Winner,Player1,Player2,MatchID,Generation,Replay_Name,
dunscy,dunscy,Jrdyop,1.69947E+12,[Gen 9] NatDex Infinite Fusion OU,dunscy-jrdyop-1699469617147,
dunscy,Jrdyop,dunscy,1.69947E+12,[Gen 9] NatDex Infinite Fusion OU,jrdyop-dunscy-1699470241705,
dunscy,dunscy,TrulyAtrocious,1.69947E+12,[Gen 9] NatDex Infinite Fusion OU,dunscy-trulyatrocious-1699471949015,
dunscy,TrulyAtrocious,dunscy,1.69947E+12,[Gen 9] NatDex Infinite Fusion OU,trulyatrocious-dunscy-1699472469110,
KRAFT Steering,KRAFT Steering,Kizaco,1.69949E+12,[Gen 9] NatDex Infinite Fusion AG,kraftsteering-kizaco-1699489871738,
KRAFT Steering,KRAFT Steering,Kizaco,1.69949E+12,[Gen 9] NatDex Infinite Fusion AG,kraftsteering-kizaco-1699490888584,
KRAFT Steering,jordblast,KRAFT Steering,1.69949E+12,[Gen 9] NatDex Infinite Fusion AG,jordblast-kraftsteering-1699491305700,
KRAFT Steering,Kraft Cardinal,KRAFT Steering,1.69949E+12,[Gen 9] NatDex Infinite Fusion AG,kraftcardinal-kraftsteering-1699491927584,
the_shawdoin,the_shawdoin,dunscy,1.69972E+12,[Gen 9] IF NatDex OU,theshawdoin-dunscy-1699717420675,
dunscy,dunscy,the_shawdoin,1.69972E+12,[Gen 9] IF NatDex OU,dunscy-theshawdoin-1699717641672,
dunscy,the_shawdoin,dunscy,1.69972E+12,[Gen 9] IF NatDex OU,theshawdoin-dunscy-1699717921672,
dunscy,dunscy,yoshifanfic,1.69972E+12,[Gen 7] IF Dex OU,dunscy-yoshifanfic-1699720865095,
dunscy,yoshifanfic,dunscy,1.6998E+12,[Gen 9] IF NatDex OU,yoshifanfic-dunscy-1699796067142,
dunscy,dunscy,yoshifanfic,1.6998E+12,[Gen 9] IF NatDex OU,dunscy-yoshifanfic-1699796447940,
dunscy,dunscy,ruadh21,1.69981E+12,[Gen 9] IF NatDex OU,dunscy-ruadh21-1699814441363,
JustARickety,sergiovicenteg3,JustARickety,1.70001E+12,[Gen 7] IF Dex AG,sergiovicenteg3-justarickety-1700008659799,
Jaevwyn,Milian1,Jaevwyn,1.70009E+12,[Gen 7] IF Dex OU,milian1-jaevwyn-1700088752052,
Jaevwyn,Jaevwyn,sergiovicenteg3,1.70009E+12,[Gen 7] IF Dex AG,jaevwyn-sergiovicenteg3-1700091393404,
TMchadus,TMchadus,Sqicy Tuna,1.70016E+12,[Gen 7] IF Dex OU,tmchadus-sqicytuna-1700161152398,
Staros,Henudiso,Staros,1.70016E+12,[Gen 7] IF Dex AG,henudiso-staros-1700161776934,
ClemShino,flaque_azoique,ClemShino,1.70016E+12,[Gen 9] IF NatDex AG,flaqueazoique-clemshino-1700161989070,
SaucyKoolAid,SaucyKoolAid,overwhelmingshurbs,1.70016E+12,[Gen 7] IF Dex OU,saucykoolaid-overwhelmingshurbs-1700162235706,
cryochick,cryochick,SmaackBZSixTwo,1.70016E+12,[Gen 7] IF Dex OU,cryochick-smaackbzsixtwo-1700163752381,
PlooshieBaird,PlooshieBaird,Jaevwyn,1.70016E+12,[Gen 7] IF Dex OU,plooshiebaird-jaevwyn-1700164205462,
Low-Key-G-Mazing,Skyboy332211,Low-Key-G-Mazing,1.70016E+12,[Gen 9] IF NatDex AG,skyboy332211-lowkeygmazing-1700164321756,
Astrachi,Astrachi,caeriselene,1.70016E+12,[Gen 7] IF Dex OU,astrachi-caeriselene-1700164353165,
Guest 953,Boopa,Iceasaurus,1.70016E+12,[Gen 7] IF Dex AG,boopa-iceasaurus-1700164478666,
Guest 1045,spacetomO4,Iceasaurus,1.70017E+12,[Gen 7] IF Dex AG,spacetomo4-iceasaurus-1700165358677,
