turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4.59052,10,17,18,18,66,65,63,128,101,90,-1,-1,-1,-1,-1,100,0,0,10.8346,2,10,18,18,96,86,93,100,116,93,-1,-1,-1,-1,-1,100,0,0,26.17372,11,17,18,18,66,70,76,90,65,113,-1,-1,-1,-1,-1,100,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,-1,-1,-1,-1,-1,100,0,0,2,10.71584,14,2,18,18,85,70,79,120,115,90,-1,-1,-1,-1,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,2.06568,1,17,18,18,71,68,68,95,105,86,-1,-1,-1,-1,-1,100,0,0,15.41804,13,16,18,18,63,93,66,108,93,95,-1,-1,-1,-1,-1,100,0,0,2.27784,1,14,18,18,78,94,79,99,83,100,-1,-1,-1,-1,-1,100,0,0,2.12476,3,9,18,18,90,81,95,108,101,75,-1,-1,-1,-1,-1,100,0,0,3,7,600,600
1,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4.59052,10,17,18,18,66,65,63,128,101,90,794,-1,-1,-1,-1,100,0,0,10.8346,2,10,18,18,96,86,93,100,116,93,-1,-1,-1,-1,-1,100,0,0,26.17372,11,17,18,18,66,70,76,90,65,113,-1,-1,-1,-1,-1,100,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,-1,-1,-1,-1,-1,100,0,0,2,10.71584,14,2,18,18,85,70,79,120,115,90,-1,-1,-1,-1,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,2.06568,1,17,18,18,71,68,68,95,105,86,-1,-1,-1,-1,-1,100,0,0,15.41804,13,16,18,18,63,93,66,108,93,95,500,-1,-1,-1,-1,58,0,0,2.27784,1,14,18,18,78,94,79,99,83,100,-1,-1,-1,-1,-1,100,0,0,2.12476,3,9,18,18,90,81,95,108,101,75,-1,-1,-1,-1,-1,100,0,0,3,7,600,558
2,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4.59052,10,17,18,18,66,65,63,128,101,90,794,-1,-1,-1,-1,100,0,0,10.8346,2,10,18,18,96,86,93,100,116,93,-1,-1,-1,-1,-1,100,0,0,26.17372,11,17,18,18,66,70,76,90,65,113,-1,-1,-1,-1,-1,100,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,-1,-1,-1,-1,-1,100,0,0,3,10.71584,14,2,18,18,85,70,79,120,115,90,-1,-1,-1,-1,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,2.06568,1,17,18,18,71,68,68,95,105,86,-1,-1,-1,-1,-1,100,0,0,15.41804,13,16,18,18,63,93,66,108,93,95,500,487,-1,-1,-1,48,270,0,2.27784,1,14,18,18,78,94,79,99,83,100,-1,-1,-1,-1,-1,100,0,0,2.12476,3,9,18,18,90,81,95,108,101,75,-1,-1,-1,-1,-1,100,0,0,3,8,500,548
3,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4.59052,10,17,18,18,66,65,63,128,101,90,794,-1,-1,-1,-1,100,0,0,10.8346,2,10,18,18,96,86,93,100,116,93,-1,-1,-1,-1,-1,0,0,0,26.17372,11,17,18,18,66,70,76,90,65,113,-1,-1,-1,-1,-1,100,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,-1,-1,-1,-1,-1,100,0,0,4,10.71584,14,2,18,18,85,70,79,120,115,90,-1,-1,-1,-1,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,2.06568,1,17,18,18,71,68,68,95,105,86,-1,-1,-1,-1,-1,100,0,0,15.41804,13,16,18,18,63,93,66,108,93,95,500,487,-1,-1,-1,38,270,0,2.27784,1,14,18,18,78,94,79,99,83,100,-1,-1,-1,-1,-1,100,0,0,2.12476,3,9,18,18,90,81,95,108,101,75,-1,-1,-1,-1,-1,100,0,0,3,9,400,538
4,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4.59052,10,17,18,18,66,65,63,128,101,90,794,-1,-1,-1,-1,100,0,0,10.8346,2,10,18,18,96,86,93,100,116,93,-1,-1,-1,-1,-1,0,0,0,26.17372,11,17,18,18,66,70,76,90,65,113,800,-1,-1,-1,-1,1,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,-1,-1,-1,-1,-1,100,0,0,4,10.71584,14,2,18,18,85,70,79,120,115,90,-1,-1,-1,-1,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,2.06568,1,17,18,18,71,68,68,95,105,86,-1,-1,-1,-1,-1,100,0,0,15.41804,13,16,18,18,63,93,66,108,93,95,500,487,249,-1,-1,29,270,4,2.27784,1,14,18,18,78,94,79,99,83,100,-1,-1,-1,-1,-1,100,0,0,2.12476,3,9,18,18,90,81,95,108,101,75,-1,-1,-1,-1,-1,100,0,0,3,9,301,529
5,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4.59052,10,17,18,18,66,65,63,128,101,90,794,-1,-1,-1,-1,100,0,0,10.8346,2,10,18,18,96,86,93,100,116,93,-1,-1,-1,-1,-1,0,0,0,26.17372,11,17,18,18,66,70,76,90,65,113,800,735,-1,-1,-1,0,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,-1,-1,-1,-1,-1,100,0,0,5,10.71584,14,2,18,18,85,70,79,120,115,90,-1,-1,-1,-1,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,2.06568,1,17,18,18,71,68,68,95,105,86,-1,-1,-1,-1,-1,100,0,0,15.41804,13,16,18,18,63,93,66,108,93,95,500,487,249,34,-1,19,270,4,2.27784,1,14,18,18,78,94,79,99,83,100,-1,-1,-1,-1,-1,100,0,0,2.12476,3,9,18,18,90,81,95,108,101,75,-1,-1,-1,-1,-1,100,0,0,3,10,300,519
6,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4.59052,10,17,18,18,66,65,63,128,101,90,794,-1,-1,-1,-1,100,0,0,10.8346,2,10,18,18,96,86,93,100,116,93,-1,-1,-1,-1,-1,0,0,0,26.17372,11,17,18,18,66,70,76,90,65,113,800,735,-1,-1,-1,0,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,668,-1,-1,-1,-1,0,0,0,2,10.71584,14,2,18,18,85,70,79,120,115,90,-1,-1,-1,-1,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,2.06568,1,17,18,18,71,68,68,95,105,86,-1,-1,-1,-1,-1,100,0,0,15.41804,13,16,18,18,63,93,66,108,93,95,500,487,249,34,-1,9,270,4,2.27784,1,14,18,18,78,94,79,99,83,100,-1,-1,-1,-1,-1,100,0,0,2.12476,3,9,18,18,90,81,95,108,101,75,-1,-1,-1,-1,-1,100,0,0,3,7,200,509
7,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4.59052,10,17,18,18,66,65,63,128,101,90,794,-1,-1,-1,-1,100,0,0,10.8346,2,10,18,18,96,86,93,100,116,93,-1,-1,-1,-1,-1,0,0,0,26.17372,11,17,18,18,66,70,76,90,65,113,800,735,-1,-1,-1,0,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,668,-1,-1,-1,-1,0,0,0,2,10.71584,14,2,18,18,85,70,79,120,115,90,-1,-1,-1,-1,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,2.06568,1,17,18,18,71,68,68,95,105,86,-1,-1,-1,-1,-1,100,0,0,15.41804,13,16,18,18,63,93,66,108,93,95,500,487,249,34,-1,0,270,4,2.27784,1,14,18,18,78,94,79,99,83,100,-1,-1,-1,-1,-1,100,0,0,2.12476,3,9,18,18,90,81,95,108,101,75,-1,-1,-1,-1,-1,100,0,0,1,1,200,500
8,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4.59052,10,17,18,18,66,65,63,128,101,90,794,486,-1,-1,-1,47,234,0,10.8346,2,10,18,18,96,86,93,100,116,93,-1,-1,-1,-1,-1,0,0,0,26.17372,11,17,18,18,66,70,76,90,65,113,800,735,-1,-1,-1,0,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,668,-1,-1,-1,-1,0,0,0,2,10.71584,14,2,18,18,85,70,79,120,115,90,-1,-1,-1,-1,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,75,-1,-1,-1,-1,18,0,0,2.06568,1,17,18,18,71,68,68,95,105,86,-1,-1,-1,-1,-1,100,0,0,15.41804,13,16,18,18,63,93,66,108,93,95,500,487,249,34,-1,0,270,4,2.27784,1,14,18,18,78,94,79,99,83,100,-1,-1,-1,-1,-1,100,0,0,2.12476,3,9,18,18,90,81,95,108,101,75,-1,-1,-1,-1,-1,100,0,0,1,1,147,418
9,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4.59052,10,17,18,18,66,65,63,128,101,90,794,486,-1,-1,-1,53,234,0,10.8346,2,10,18,18,96,86,93,100,116,93,-1,-1,-1,-1,-1,0,0,0,26.17372,11,17,18,18,66,70,76,90,65,113,800,735,-1,-1,-1,0,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,668,-1,-1,-1,-1,0,0,0,2,10.71584,14,2,18,18,85,70,79,120,115,90,-1,-1,-1,-1,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,75,-1,-1,-1,-1,0,0,0,2.06568,1,17,18,18,71,68,68,95,105,86,-1,-1,-1,-1,-1,100,0,0,15.41804,13,16,18,18,63,93,66,108,93,95,500,487,249,34,-1,0,270,4,2.27784,1,14,18,18,78,94,79,99,83,100,-1,-1,-1,-1,-1,100,0,0,2.12476,3,9,18,18,90,81,95,108,101,75,-1,-1,-1,-1,-1,100,0,0,5,2,153,400
