turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
3892892.9236,10,16,4,18,302,100,100,100,100,100,100,-1,-1,-1,-1,-1,100,0,0,9.62876,14,15,18,18,105,132,105,85,90,74,-1,-1,-1,-1,-1,100,0,0,27.617,0,17,18,18,88,70,66,126,93,70,-1,-1,-1,-1,-1,100,0,0,17.59672,8,4,18,18,83,98,125,66,66,65,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,-1,-1,-1,-1,-1,100,0,0,12.74596,10,5,18,18,108,120,93,110,96,96,-1,-1,-1,-1,-1,100,0,0,4,6.36856,0,16,18,18,93,105,73,65,76,90,-1,-1,-1,-1,-1,100,0,0,4.88248,10,9,18,18,147,71,49,38,55,117,-1,-1,-1,-1,-1,100,0,0,7.51476,2,9,18,18,133,90,45,76,46,126,-1,-1,-1,-1,-1,100,0,0,3.31648,0,9,18,18,90,91,56,43,70,136,-1,-1,-1,-1,-1,100,0,0,3.78744,0,9,18,18,127,96,51,60,90,116,-1,-1,-1,-1,-1,100,0,0,20.89372,12,14,18,18,90,153,80,63,56,84,-1,-1,-1,-1,-1,100,0,0,0,9,600,600
3892892.9236,10,16,4,18,302,100,100,100,100,100,100,-1,-1,-1,-1,-1,100,0,0,9.62876,14,15,18,18,105,132,105,85,90,74,-1,-1,-1,-1,-1,100,0,0,27.617,0,17,18,18,88,70,66,126,93,70,-1,-1,-1,-1,-1,100,0,0,17.59672,8,4,18,18,83,98,125,66,66,65,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,100,0,0,12.74596,10,5,18,18,108,120,93,110,96,96,-1,-1,-1,-1,-1,100,0,0,4,6.36856,0,16,18,18,93,105,73,65,76,90,-1,-1,-1,-1,-1,100,0,1,4.88248,10,9,18,18,147,71,49,38,55,117,-1,-1,-1,-1,-1,100,0,0,7.51476,2,9,18,18,133,90,45,76,46,126,-1,-1,-1,-1,-1,100,0,0,3.31648,0,9,18,18,90,91,56,43,70,136,-1,-1,-1,-1,-1,100,0,0,3.78744,0,9,18,18,127,96,51,60,90,116,-1,-1,-1,-1,-1,100,0,0,20.89372,12,14,18,18,90,153,80,63,56,84,-1,-1,-1,-1,-1,100,0,0,0,9,600,600
3892892.9236,10,16,4,18,302,100,100,100,100,100,100,-1,-1,-1,-1,-1,100,0,0,9.62876,14,15,18,18,105,132,105,85,90,74,-1,-1,-1,-1,-1,95,0,0,27.617,0,17,18,18,88,70,66,126,93,70,-1,-1,-1,-1,-1,100,0,0,17.59672,8,4,18,18,83,98,125,66,66,65,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,100,0,0,12.74596,10,5,18,18,108,120,93,110,96,96,-1,-1,-1,-1,-1,100,0,0,1,6.36856,0,16,18,18,93,105,73,65,76,90,-1,-1,-1,-1,-1,100,0,1,4.88248,10,9,18,18,147,71,49,38,55,117,-1,-1,-1,-1,-1,100,0,0,7.51476,2,9,18,18,133,90,45,76,46,126,-1,-1,-1,-1,-1,100,0,0,3.31648,0,9,18,18,90,91,56,43,70,136,-1,-1,-1,-1,-1,100,0,0,3.78744,0,9,18,18,127,96,51,60,90,116,-1,-1,-1,-1,-1,94,0,0,20.89372,12,14,18,18,90,153,80,63,56,84,-1,-1,-1,-1,-1,100,0,0,4,6,595,594
3892892.9236,10,16,4,18,302,100,100,100,100,100,100,-1,-1,-1,-1,-1,100,0,0,9.62876,14,15,18,18,105,132,105,85,90,74,-1,-1,-1,-1,-1,0,0,0,27.617,0,17,18,18,88,70,66,126,93,70,-1,-1,-1,-1,-1,100,0,0,17.59672,8,4,18,18,83,98,125,66,66,65,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,100,0,0,12.74596,10,5,18,18,108,120,93,110,96,96,-1,-1,-1,-1,-1,100,0,0,5,6.36856,0,16,18,18,93,105,73,65,76,90,-1,-1,-1,-1,-1,100,0,1,4.88248,10,9,18,18,147,71,49,38,55,117,-1,-1,-1,-1,-1,100,0,0,7.51476,2,9,18,18,133,90,45,76,46,126,-1,-1,-1,-1,-1,100,0,0,3.31648,0,9,18,18,90,91,56,43,70,136,-1,-1,-1,-1,-1,100,0,0,3.78744,0,9,18,18,127,96,51,60,90,116,232,-1,-1,-1,-1,94,0,0,20.89372,12,14,18,18,90,153,80,63,56,84,-1,-1,-1,-1,-1,100,0,0,3,10,500,594
3892892.9236,10,16,4,18,302,100,100,100,100,100,100,-1,-1,-1,-1,-1,100,0,0,9.62876,14,15,18,18,105,132,105,85,90,74,-1,-1,-1,-1,-1,0,0,0,27.617,0,17,18,18,88,70,66,126,93,70,-1,-1,-1,-1,-1,100,0,0,17.59672,8,4,18,18,83,98,125,66,66,65,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,100,0,0,12.74596,10,5,18,18,108,120,93,110,96,96,-1,-1,-1,-1,-1,0,0,0,2,6.36856,0,16,18,18,93,105,73,65,76,90,-1,-1,-1,-1,-1,100,0,1,4.88248,10,9,18,18,147,71,49,38,55,117,-1,-1,-1,-1,-1,100,0,0,7.51476,2,9,18,18,133,90,45,76,46,126,-1,-1,-1,-1,-1,100,0,0,3.31648,0,9,18,18,90,91,56,43,70,136,232,-1,-1,-1,-1,100,0,0,3.78744,0,9,18,18,127,96,51,60,90,116,232,-1,-1,-1,-1,94,0,0,20.89372,12,14,18,18,90,153,80,63,56,84,-1,-1,-1,-1,-1,100,0,0,2,7,400,594
3892892.9236,10,16,4,18,302,100,100,100,100,100,100,-1,-1,-1,-1,-1,100,0,0,9.62876,14,15,18,18,105,132,105,85,90,74,-1,-1,-1,-1,-1,0,0,0,27.617,0,17,18,18,88,70,66,126,93,70,-1,-1,-1,-1,-1,0,0,0,17.59672,8,4,18,18,83,98,125,66,66,65,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,100,0,0,12.74596,10,5,18,18,108,120,93,110,96,96,-1,-1,-1,-1,-1,0,0,0,3,6.36856,0,16,18,18,93,105,73,65,76,90,-1,-1,-1,-1,-1,100,0,1,4.88248,10,9,18,18,147,71,49,38,55,117,-1,-1,-1,-1,-1,100,0,0,7.51476,2,9,18,18,133,90,45,76,46,126,232,-1,-1,-1,-1,100,0,0,3.31648,0,9,18,18,90,91,56,43,70,136,232,-1,-1,-1,-1,100,0,0,3.78744,0,9,18,18,127,96,51,60,90,116,232,-1,-1,-1,-1,94,0,0,20.89372,12,14,18,18,90,153,80,63,56,84,-1,-1,-1,-1,-1,100,0,0,1,8,300,594
3892892.9236,10,16,4,18,302,100,100,100,100,100,100,-1,-1,-1,-1,-1,100,0,0,9.62876,14,15,18,18,105,132,105,85,90,74,-1,-1,-1,-1,-1,0,0,0,27.617,0,17,18,18,88,70,66,126,93,70,-1,-1,-1,-1,-1,0,0,0,17.59672,8,4,18,18,83,98,125,66,66,65,567,-1,-1,-1,-1,100,272,6,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,100,0,0,12.74596,10,5,18,18,108,120,93,110,96,96,-1,-1,-1,-1,-1,0,0,0,3,6.36856,0,16,18,18,93,105,73,65,76,90,-1,-1,-1,-1,-1,100,0,1,4.88248,10,9,18,18,147,71,49,38,55,117,232,-1,-1,-1,-1,94,0,0,7.51476,2,9,18,18,133,90,45,76,46,126,232,-1,-1,-1,-1,100,0,0,3.31648,0,9,18,18,90,91,56,43,70,136,232,-1,-1,-1,-1,100,0,0,3.78744,0,9,18,18,127,96,51,60,90,116,232,-1,-1,-1,-1,94,0,0,20.89372,12,14,18,18,90,153,80,63,56,84,-1,-1,-1,-1,-1,100,0,0,1,8,300,588
3892892.9236,10,16,4,18,302,100,100,100,100,100,100,-1,-1,-1,-1,-1,100,0,0,9.62876,14,15,18,18,105,132,105,85,90,74,-1,-1,-1,-1,-1,0,0,0,27.617,0,17,18,18,88,70,66,126,93,70,-1,-1,-1,-1,-1,0,0,0,17.59672,8,4,18,18,83,98,125,66,66,65,567,-1,-1,-1,-1,0,272,6,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,100,0,0,12.74596,10,5,18,18,108,120,93,110,96,96,-1,-1,-1,-1,-1,0,0,0,4,6.36856,0,16,18,18,93,105,73,65,76,90,-1,-1,-1,-1,-1,100,0,1,4.88248,10,9,18,18,147,71,49,38,55,117,232,-1,-1,-1,-1,94,0,0,7.51476,2,9,18,18,133,90,45,76,46,126,232,-1,-1,-1,-1,100,0,0,3.31648,0,9,18,18,90,91,56,43,70,136,232,-1,-1,-1,-1,100,0,0,3.78744,0,9,18,18,127,96,51,60,90,116,232,-1,-1,-1,-1,94,0,0,20.89372,12,14,18,18,90,153,80,63,56,84,-1,-1,-1,-1,-1,100,0,0,5,9,200,588
3892892.9236,10,16,4,18,302,100,100,100,100,100,100,-1,-1,-1,-1,-1,100,0,0,9.62876,14,15,18,18,105,132,105,85,90,74,-1,-1,-1,-1,-1,0,0,0,27.617,0,17,18,18,88,70,66,126,93,70,-1,-1,-1,-1,-1,0,0,0,17.59672,8,4,18,18,83,98,125,66,66,65,567,-1,-1,-1,-1,0,272,6,19.76912,4,17,18,18,59,96,87,66,69,73,726,541,-1,-1,-1,0,0,2,12.74596,10,5,18,18,108,120,93,110,96,96,-1,-1,-1,-1,-1,0,0,0,0,6.36856,0,16,18,18,93,105,73,65,76,90,-1,-1,-1,-1,-1,100,0,1,4.88248,10,9,18,18,147,71,49,38,55,117,232,-1,-1,-1,-1,94,0,0,7.51476,2,9,18,18,133,90,45,76,46,126,232,-1,-1,-1,-1,100,0,0,3.31648,0,9,18,18,90,91,56,43,70,136,232,-1,-1,-1,-1,100,0,0,3.78744,0,9,18,18,127,96,51,60,90,116,232,-1,-1,-1,-1,94,0,0,20.89372,12,14,18,18,90,153,80,63,56,84,237,-1,-1,-1,-1,100,0,0,5,5,100,588
3892892.9236,10,16,4,18,302,100,100,100,100,100,100,-1,-1,-1,-1,-1,0,0,0,9.62876,14,15,18,18,105,132,105,85,90,74,-1,-1,-1,-1,-1,0,0,0,27.617,0,17,18,18,88,70,66,126,93,70,-1,-1,-1,-1,-1,0,0,0,17.59672,8,4,18,18,83,98,125,66,66,65,567,-1,-1,-1,-1,0,272,6,19.76912,4,17,18,18,59,96,87,66,69,73,726,541,-1,-1,-1,0,0,2,12.74596,10,5,18,18,108,120,93,110,96,96,-1,-1,-1,-1,-1,0,0,0,0,6.36856,0,16,18,18,93,105,73,65,76,90,-1,-1,-1,-1,-1,100,0,1,4.88248,10,9,18,18,147,71,49,38,55,117,232,-1,-1,-1,-1,94,0,0,7.51476,2,9,18,18,133,90,45,76,46,126,232,-1,-1,-1,-1,100,0,0,3.31648,0,9,18,18,90,91,56,43,70,136,232,-1,-1,-1,-1,100,0,0,3.78744,0,9,18,18,127,96,51,60,90,116,232,-1,-1,-1,-1,94,0,0,20.89372,12,14,18,18,90,153,80,63,56,84,237,-1,-1,-1,-1,100,0,0,5,5,0,588
