turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,19.19672,2,8,18,18,61,76,176,38,108,21,-1,-1,-1,-1,-1,100,0,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,-1,-1,-1,-1,-1,100,0,0,3,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,41.528,0,13,18,18,99,115,126,51,56,43,-1,-1,-1,-1,-1,100,0,0,2.20324,10,3,18,18,65,65,60,123,95,123,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,29.08844,13,3,18,18,63,69,70,129,80,98,-1,-1,-1,-1,-1,100,0,0,12.22068,15,9,18,18,91,101,90,125,88,92,-1,-1,-1,-1,-1,100,0,0,4,8,600,600
1,19.19672,2,8,18,18,61,76,176,38,108,21,-1,-1,-1,-1,-1,100,0,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,835,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,-1,-1,-1,-1,-1,100,0,0,2,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,41.528,0,13,18,18,99,115,126,51,56,43,-1,-1,-1,-1,-1,100,0,0,2.20324,10,3,18,18,65,65,60,123,95,123,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,29.08844,13,3,18,18,63,69,70,129,80,98,735,-1,-1,-1,-1,75,0,0,12.22068,15,9,18,18,91,101,90,125,88,92,-1,-1,-1,-1,-1,100,0,0,4,7,600,575
2,19.19672,2,8,18,18,61,76,176,38,108,21,-1,-1,-1,-1,-1,100,0,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,171,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,835,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,-1,-1,-1,-1,-1,100,0,0,2,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,41.528,0,13,18,18,99,115,126,51,56,43,-1,-1,-1,-1,-1,100,0,0,2.20324,10,3,18,18,65,65,60,123,95,123,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,29.08844,13,3,18,18,63,69,70,129,80,98,735,-1,-1,-1,-1,0,0,0,12.22068,15,9,18,18,91,101,90,125,88,92,-1,-1,-1,-1,-1,100,0,0,0,7,600,500
3,19.19672,2,8,18,18,61,76,176,38,108,21,-1,-1,-1,-1,-1,75,234,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,171,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,835,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,-1,-1,-1,-1,-1,100,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,100,0,0,41.528,0,13,18,18,99,115,126,51,56,43,-1,-1,-1,-1,-1,100,0,0,2.20324,10,3,18,18,65,65,60,123,95,123,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,29.08844,13,3,18,18,63,69,70,129,80,98,735,-1,-1,-1,-1,0,0,0,12.22068,15,9,18,18,91,101,90,125,88,92,-1,-1,-1,-1,-1,100,0,0,0,5,575,500
4,19.19672,2,8,18,18,61,76,176,38,108,21,194,-1,-1,-1,-1,81,234,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,171,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,835,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,-1,-1,-1,-1,-1,100,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,100,0,0,41.528,0,13,18,18,99,115,126,51,56,43,-1,-1,-1,-1,-1,100,0,0,2.20324,10,3,18,18,65,65,60,123,95,123,-1,-1,-1,-1,-1,0,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,29.08844,13,3,18,18,63,69,70,129,80,98,735,-1,-1,-1,-1,0,0,0,12.22068,15,9,18,18,91,101,90,125,88,92,-1,-1,-1,-1,-1,100,0,0,1,5,581,400
5,19.19672,2,8,18,18,61,76,176,38,108,21,194,806,-1,-1,-1,87,234,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,171,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,835,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,-1,-1,-1,-1,-1,100,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,100,0,0,41.528,0,13,18,18,99,115,126,51,56,43,767,-1,-1,-1,-1,94,0,6,2.20324,10,3,18,18,65,65,60,123,95,123,-1,-1,-1,-1,-1,0,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,29.08844,13,3,18,18,63,69,70,129,80,98,735,-1,-1,-1,-1,0,0,0,12.22068,15,9,18,18,91,101,90,125,88,92,-1,-1,-1,-1,-1,100,0,0,1,1,587,394
6,19.19672,2,8,18,18,61,76,176,38,108,21,194,806,729,-1,-1,93,234,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,171,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,835,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,-1,-1,-1,-1,-1,100,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,100,0,0,41.528,0,13,18,18,99,115,126,51,56,43,767,-1,-1,-1,-1,94,0,6,2.20324,10,3,18,18,65,65,60,123,95,123,-1,-1,-1,-1,-1,0,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,29.08844,13,3,18,18,63,69,70,129,80,98,735,-1,-1,-1,-1,0,0,0,12.22068,15,9,18,18,91,101,90,125,88,92,-1,-1,-1,-1,-1,100,0,0,5,2,593,394
7,19.19672,2,8,18,18,61,76,176,38,108,21,194,806,729,-1,-1,57,234,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,171,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,835,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,-1,-1,-1,-1,-1,100,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,100,0,0,41.528,0,13,18,18,99,115,126,51,56,43,767,-1,-1,-1,-1,94,0,6,2.20324,10,3,18,18,65,65,60,123,95,123,-1,-1,-1,-1,-1,0,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,29.08844,13,3,18,18,63,69,70,129,80,98,735,-1,-1,-1,-1,0,0,0,12.22068,15,9,18,18,91,101,90,125,88,92,145,-1,-1,-1,-1,94,0,6,5,2,557,388
8,19.19672,2,8,18,18,61,76,176,38,108,21,194,806,729,-1,-1,57,234,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,171,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,835,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,-1,-1,-1,-1,-1,82,0,0,5,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,100,0,0,41.528,0,13,18,18,99,115,126,51,56,43,767,-1,-1,-1,-1,94,0,6,2.20324,10,3,18,18,65,65,60,123,95,123,-1,-1,-1,-1,-1,0,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,29.08844,13,3,18,18,63,69,70,129,80,98,735,-1,-1,-1,-1,0,0,0,12.22068,15,9,18,18,91,101,90,125,88,92,145,-1,-1,-1,-1,82,0,6,5,10,539,376
9,19.19672,2,8,18,18,61,76,176,38,108,21,194,806,729,-1,-1,57,234,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,171,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,835,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,856,-1,-1,-1,-1,82,0,0,5,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,76,0,0,41.528,0,13,18,18,99,115,126,51,56,43,767,-1,-1,-1,-1,94,0,6,2.20324,10,3,18,18,65,65,60,123,95,123,-1,-1,-1,-1,-1,0,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,29.08844,13,3,18,18,63,69,70,129,80,98,735,-1,-1,-1,-1,0,0,0,12.22068,15,9,18,18,91,101,90,125,88,92,145,-1,-1,-1,-1,82,0,6,0,10,539,352
