turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,0.99524,13,0,18,18,65,88,83,100,73,110,-1,-1,-1,-1,-1,100,0,0,5.09276,14,1,18,18,102,116,85,86,83,97,-1,-1,-1,-1,-1,100,0,0,16.48892,3,8,18,18,82,110,101,113,88,88,-1,-1,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,-1,-1,-1,-1,-1,100,0,0,5,28.2738,13,10,18,18,76,61,80,138,88,46,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,-1,-1,-1,-1,-1,100,0,0,18.34604,13,15,18,18,90,126,98,75,88,59,-1,-1,-1,-1,-1,100,0,0,13.1426,17,7,18,18,85,81,101,101,110,60,-1,-1,-1,-1,-1,100,0,0,2,10,600,600
1,0.99524,13,0,18,18,65,88,83,100,73,110,-1,-1,-1,-1,-1,100,0,0,5.09276,14,1,18,18,102,116,85,86,83,97,-1,-1,-1,-1,-1,100,0,0,16.48892,3,8,18,18,82,110,101,113,88,88,-1,-1,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,-1,-1,-1,-1,100,0,0,5,28.2738,13,10,18,18,76,61,80,138,88,46,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,814,-1,-1,-1,-1,100,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,-1,-1,-1,-1,-1,100,0,0,18.34604,13,15,18,18,90,126,98,75,88,59,-1,-1,-1,-1,-1,100,0,0,13.1426,17,7,18,18,85,81,101,101,110,60,-1,-1,-1,-1,-1,100,0,0,2,10,600,600
2,0.99524,13,0,18,18,65,88,83,100,73,110,-1,-1,-1,-1,-1,100,0,0,5.09276,14,1,18,18,102,116,85,86,83,97,-1,-1,-1,-1,-1,94,234,0,16.48892,3,8,18,18,82,110,101,113,88,88,-1,-1,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,835,-1,-1,-1,100,0,0,1,28.2738,13,10,18,18,76,61,80,138,88,46,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,814,245,-1,-1,-1,78,270,0,9.86652,7,14,18,18,95,133,85,63,90,81,-1,-1,-1,-1,-1,100,0,0,18.34604,13,15,18,18,90,126,98,75,88,59,-1,-1,-1,-1,-1,100,0,0,13.1426,17,7,18,18,85,81,101,101,110,60,-1,-1,-1,-1,-1,100,0,0,2,6,594,578
3,0.99524,13,0,18,18,65,88,83,100,73,110,-1,-1,-1,-1,-1,100,0,0,5.09276,14,1,18,18,102,116,85,86,83,97,-1,-1,-1,-1,-1,94,234,0,16.48892,3,8,18,18,82,110,101,113,88,88,-1,-1,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,835,-1,-1,-1,100,0,0,2,28.2738,13,10,18,18,76,61,80,138,88,46,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,814,245,654,-1,-1,68,270,0,9.86652,7,14,18,18,95,133,85,63,90,81,-1,-1,-1,-1,-1,100,0,0,18.34604,13,15,18,18,90,126,98,75,88,59,-1,-1,-1,-1,-1,100,0,0,13.1426,17,7,18,18,85,81,101,101,110,60,-1,-1,-1,-1,-1,100,0,0,2,7,494,568
4,0.99524,13,0,18,18,65,88,83,100,73,110,-1,-1,-1,-1,-1,100,0,0,5.09276,14,1,18,18,102,116,85,86,83,97,-1,-1,-1,-1,-1,94,234,0,16.48892,3,8,18,18,82,110,101,113,88,88,794,-1,-1,-1,-1,12,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,835,-1,-1,-1,100,0,0,2,28.2738,13,10,18,18,76,61,80,138,88,46,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,814,245,654,-1,-1,4,270,0,9.86652,7,14,18,18,95,133,85,63,90,81,-1,-1,-1,-1,-1,100,0,0,18.34604,13,15,18,18,90,126,98,75,88,59,-1,-1,-1,-1,-1,100,0,0,13.1426,17,7,18,18,85,81,101,101,110,60,-1,-1,-1,-1,-1,100,0,0,2,7,406,504
5,0.99524,13,0,18,18,65,88,83,100,73,110,-1,-1,-1,-1,-1,24,0,0,5.09276,14,1,18,18,102,116,85,86,83,97,-1,-1,-1,-1,-1,94,234,0,16.48892,3,8,18,18,82,110,101,113,88,88,794,-1,-1,-1,-1,12,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,835,-1,-1,-1,100,0,0,0,28.2738,13,10,18,18,76,61,80,138,88,46,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,814,245,654,-1,-1,0,270,0,9.86652,7,14,18,18,95,133,85,63,90,81,-1,-1,-1,-1,-1,100,0,0,18.34604,13,15,18,18,90,126,98,75,88,59,-1,-1,-1,-1,-1,100,0,0,13.1426,17,7,18,18,85,81,101,101,110,60,-1,-1,-1,-1,-1,100,0,0,3,5,330,500
6,0.99524,13,0,18,18,65,88,83,100,73,110,654,-1,-1,-1,-1,0,0,0,5.09276,14,1,18,18,102,116,85,86,83,97,-1,-1,-1,-1,-1,94,234,0,16.48892,3,8,18,18,82,110,101,113,88,88,794,-1,-1,-1,-1,12,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,835,-1,-1,-1,100,0,0,4,28.2738,13,10,18,18,76,61,80,138,88,46,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,814,245,654,-1,-1,0,270,0,9.86652,7,14,18,18,95,133,85,63,90,81,237,-1,-1,-1,-1,37,270,0,18.34604,13,15,18,18,90,126,98,75,88,59,-1,-1,-1,-1,-1,100,0,0,13.1426,17,7,18,18,85,81,101,101,110,60,-1,-1,-1,-1,-1,100,0,0,3,9,306,437
7,0.99524,13,0,18,18,65,88,83,100,73,110,654,-1,-1,-1,-1,0,0,0,5.09276,14,1,18,18,102,116,85,86,83,97,-1,-1,-1,-1,-1,94,234,0,16.48892,3,8,18,18,82,110,101,113,88,88,794,-1,-1,-1,-1,12,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,171,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,835,-1,-1,-1,100,0,0,4,28.2738,13,10,18,18,76,61,80,138,88,46,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,814,245,654,-1,-1,0,270,0,9.86652,7,14,18,18,95,133,85,63,90,81,237,-1,-1,-1,-1,37,270,0,18.34604,13,15,18,18,90,126,98,75,88,59,-1,-1,-1,-1,-1,100,0,0,13.1426,17,7,18,18,85,81,101,101,110,60,-1,-1,-1,-1,-1,100,0,0,5,9,306,437
8,0.99524,13,0,18,18,65,88,83,100,73,110,654,-1,-1,-1,-1,0,0,0,5.09276,14,1,18,18,102,116,85,86,83,97,-1,-1,-1,-1,-1,94,234,0,16.48892,3,8,18,18,82,110,101,113,88,88,794,-1,-1,-1,-1,12,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,171,825,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,835,-1,-1,-1,100,0,0,5,28.2738,13,10,18,18,76,61,80,138,88,46,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,814,245,654,-1,-1,0,270,0,9.86652,7,14,18,18,95,133,85,63,90,81,237,-1,-1,-1,-1,37,270,0,18.34604,13,15,18,18,90,126,98,75,88,59,-1,-1,-1,-1,-1,100,0,0,13.1426,17,7,18,18,85,81,101,101,110,60,690,-1,-1,-1,-1,99,0,0,5,10,306,436
9,0.99524,13,0,18,18,65,88,83,100,73,110,654,-1,-1,-1,-1,0,0,0,5.09276,14,1,18,18,102,116,85,86,83,97,-1,-1,-1,-1,-1,94,234,0,16.48892,3,8,18,18,82,110,101,113,88,88,794,-1,-1,-1,-1,12,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,171,825,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,835,-1,-1,-1,100,0,0,5,28.2738,13,10,18,18,76,61,80,138,88,46,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,814,245,654,-1,-1,0,270,0,9.86652,7,14,18,18,95,133,85,63,90,81,237,-1,-1,-1,-1,37,270,0,18.34604,13,15,18,18,90,126,98,75,88,59,-1,-1,-1,-1,-1,100,0,0,13.1426,17,7,18,18,85,81,101,101,110,60,690,-1,-1,-1,-1,99,0,0,4,1,306,436
