turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,17.88916,6,1,18,18,90,107,81,79,67,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,8.98348,15,9,18,18,88,85,120,55,111,85,-1,-1,-1,-1,-1,100,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,18.97592,13,17,18,18,120,71,71,85,61,104,-1,-1,-1,-1,-1,100,0,0,20.92016,2,4,18,18,70,86,110,53,120,68,-1,-1,-1,-1,-1,100,0,0,2,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,12.1894,15,9,18,18,91,95,86,125,90,99,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,14.316,14,4,18,18,86,93,113,110,103,70,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,100,0,0,14.43976,16,9,18,18,67,96,103,53,59,98,-1,-1,-1,-1,-1,100,0,0,4,7,600,600
1,17.88916,6,1,18,18,90,107,81,79,67,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,8.98348,15,9,18,18,88,85,120,55,111,85,729,-1,-1,-1,-1,84,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,18.97592,13,17,18,18,120,71,71,85,61,104,-1,-1,-1,-1,-1,100,0,0,20.92016,2,4,18,18,70,86,110,53,120,68,-1,-1,-1,-1,-1,100,0,0,2,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,12.1894,15,9,18,18,91,95,86,125,90,99,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,14.316,14,4,18,18,86,93,113,110,103,70,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,-1,-1,-1,-1,100,0,0,14.43976,16,9,18,18,67,96,103,53,59,98,-1,-1,-1,-1,-1,100,0,0,4,7,584,600
2,17.88916,6,1,18,18,90,107,81,79,67,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,8.98348,15,9,18,18,88,85,120,55,111,85,729,414,-1,-1,-1,84,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,18.97592,13,17,18,18,120,71,71,85,61,104,-1,-1,-1,-1,-1,100,0,0,20.92016,2,4,18,18,70,86,110,53,120,68,-1,-1,-1,-1,-1,100,0,0,2,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,12.1894,15,9,18,18,91,95,86,125,90,99,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,14.316,14,4,18,18,86,93,113,110,103,70,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,729,-1,-1,-1,89,0,0,14.43976,16,9,18,18,67,96,103,53,59,98,-1,-1,-1,-1,-1,100,0,0,4,1,584,589
3,17.88916,6,1,18,18,90,107,81,79,67,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,8.98348,15,9,18,18,88,85,120,55,111,85,729,414,767,-1,-1,84,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,18.97592,13,17,18,18,120,71,71,85,61,104,-1,-1,-1,-1,-1,100,0,0,20.92016,2,4,18,18,70,86,110,53,120,68,-1,-1,-1,-1,-1,100,0,0,2,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,12.1894,15,9,18,18,91,95,86,125,90,99,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,88,0,0,14.316,14,4,18,18,86,93,113,110,103,70,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,729,-1,-1,-1,89,0,0,14.43976,16,9,18,18,67,96,103,53,59,98,-1,-1,-1,-1,-1,100,0,0,2,2,584,577
4,17.88916,6,1,18,18,90,107,81,79,67,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,8.98348,15,9,18,18,88,85,120,55,111,85,729,414,767,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,18.97592,13,17,18,18,120,71,71,85,61,104,-1,-1,-1,-1,-1,88,0,0,20.92016,2,4,18,18,70,86,110,53,120,68,-1,-1,-1,-1,-1,100,0,0,4,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,12.1894,15,9,18,18,91,95,86,125,90,99,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,88,0,0,14.316,14,4,18,18,86,93,113,110,103,70,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,729,-1,-1,-1,89,0,0,14.43976,16,9,18,18,67,96,103,53,59,98,-1,-1,-1,-1,-1,100,0,0,2,9,488,577
5,17.88916,6,1,18,18,90,107,81,79,67,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,8.98348,15,9,18,18,88,85,120,55,111,85,729,414,767,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,18.97592,13,17,18,18,120,71,71,85,61,104,726,-1,-1,-1,-1,94,234,0,20.92016,2,4,18,18,70,86,110,53,120,68,-1,-1,-1,-1,-1,100,0,0,4,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,88,0,1,12.1894,15,9,18,18,91,95,86,125,90,99,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,88,0,0,14.316,14,4,18,18,86,93,113,110,103,70,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,729,-1,-1,-1,89,0,0,14.43976,16,9,18,18,67,96,103,53,59,98,-1,-1,-1,-1,-1,100,0,0,0,9,494,565
6,17.88916,6,1,18,18,90,107,81,79,67,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,8.98348,15,9,18,18,88,85,120,55,111,85,729,414,767,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,18.97592,13,17,18,18,120,71,71,85,61,104,726,745,-1,-1,-1,100,234,0,20.92016,2,4,18,18,70,86,110,53,120,68,-1,-1,-1,-1,-1,100,0,0,4,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,88,0,1,12.1894,15,9,18,18,91,95,86,125,90,99,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,88,0,0,14.316,14,4,18,18,86,93,113,110,103,70,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,729,-1,-1,-1,89,0,0,14.43976,16,9,18,18,67,96,103,53,59,98,-1,-1,-1,-1,-1,100,0,0,0,1,500,565
7,17.88916,6,1,18,18,90,107,81,79,67,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,8.98348,15,9,18,18,88,85,120,55,111,85,729,414,767,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,18.97592,13,17,18,18,120,71,71,85,61,104,726,745,-1,-1,-1,100,234,0,20.92016,2,4,18,18,70,86,110,53,120,68,-1,-1,-1,-1,-1,94,234,0,5,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,88,0,1,12.1894,15,9,18,18,91,95,86,125,90,99,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,88,0,0,14.316,14,4,18,18,86,93,113,110,103,70,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,729,-1,-1,-1,89,0,0,14.43976,16,9,18,18,67,96,103,53,59,98,-1,-1,-1,-1,-1,100,0,0,0,10,494,565
8,17.88916,6,1,18,18,90,107,81,79,67,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,8.98348,15,9,18,18,88,85,120,55,111,85,729,414,767,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,18.97592,13,17,18,18,120,71,71,85,61,104,726,745,-1,-1,-1,100,234,0,20.92016,2,4,18,18,70,86,110,53,120,68,65,-1,-1,-1,-1,99,234,0,5,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,88,0,1,12.1894,15,9,18,18,91,95,86,125,90,99,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,88,0,0,14.316,14,4,18,18,86,93,113,110,103,70,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,729,-1,-1,-1,89,0,0,14.43976,16,9,18,18,67,96,103,53,59,98,-1,-1,-1,-1,-1,100,0,0,0,10,499,565
9,17.88916,6,1,18,18,90,107,81,79,67,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,8.98348,15,9,18,18,88,85,120,55,111,85,729,414,767,-1,-1,0,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,18.97592,13,17,18,18,120,71,71,85,61,104,726,745,-1,-1,-1,100,234,0,20.92016,2,4,18,18,70,86,110,53,120,68,65,532,-1,-1,-1,67,234,0,5,7.93516,16,1,18,18,105,110,90,96,91,100,825,-1,-1,-1,-1,88,0,1,12.1894,15,9,18,18,91,95,86,125,90,99,-1,-1,-1,-1,-1,76,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,88,0,0,14.316,14,4,18,18,86,93,113,110,103,70,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,729,-1,-1,-1,89,0,0,14.43976,16,9,18,18,67,96,103,53,59,98,-1,-1,-1,-1,-1,100,0,0,1,1,467,541
