turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,30.25132,13,16,18,18,70,117,80,95,83,73,-1,-1,-1,-1,-1,100,0,0,2.473,15,7,18,18,56,68,65,73,68,76,-1,-1,-1,-1,-1,100,0,0,0.9388,4,8,18,18,77,94,83,88,91,73,-1,-1,-1,-1,-1,100,0,0,12.84404,2,9,18,18,62,104,88,58,54,103,-1,-1,-1,-1,-1,100,0,0,20.5276,0,14,18,18,78,126,80,56,63,88,-1,-1,-1,-1,-1,100,0,0,14.427,14,5,18,18,101,96,79,99,97,65,-1,-1,-1,-1,-1,100,0,0,3,5.94452,2,9,18,18,115,109,72,87,77,89,-1,-1,-1,-1,-1,100,0,0,27.32632,14,16,18,18,83,80,100,116,130,66,-1,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,-1,-1,-1,-1,-1,100,0,0,6.14148,15,13,18,18,76,68,123,60,130,38,-1,-1,-1,-1,-1,100,0,0,0.57352,3,9,18,18,66,100,61,80,78,123,-1,-1,-1,-1,-1,100,0,0,11.091,13,3,18,18,61,61,70,133,91,113,-1,-1,-1,-1,-1,100,0,0,2,8,600,600
1,30.25132,13,16,18,18,70,117,80,95,83,73,-1,-1,-1,-1,-1,100,0,0,2.473,15,7,18,18,56,68,65,73,68,76,-1,-1,-1,-1,-1,100,0,0,0.9388,4,8,18,18,77,94,83,88,91,73,-1,-1,-1,-1,-1,100,0,0,12.84404,2,9,18,18,62,104,88,58,54,103,142,-1,-1,-1,-1,100,0,0,20.5276,0,14,18,18,78,126,80,56,63,88,-1,-1,-1,-1,-1,100,0,0,14.427,14,5,18,18,101,96,79,99,97,65,-1,-1,-1,-1,-1,100,0,0,3,5.94452,2,9,18,18,115,109,72,87,77,89,-1,-1,-1,-1,-1,100,0,0,27.32632,14,16,18,18,83,80,100,116,130,66,-1,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,-1,-1,-1,-1,100,0,0,6.14148,15,13,18,18,76,68,123,60,130,38,-1,-1,-1,-1,-1,100,0,0,0.57352,3,9,18,18,66,100,61,80,78,123,-1,-1,-1,-1,-1,100,0,0,11.091,13,3,18,18,61,61,70,133,91,113,-1,-1,-1,-1,-1,100,0,0,2,8,600,600
2,30.25132,13,16,18,18,70,117,80,95,83,73,-1,-1,-1,-1,-1,100,0,0,2.473,15,7,18,18,56,68,65,73,68,76,-1,-1,-1,-1,-1,100,0,0,0.9388,4,8,18,18,77,94,83,88,91,73,-1,-1,-1,-1,-1,100,0,0,12.84404,2,9,18,18,62,104,88,58,54,103,142,6,-1,-1,-1,100,0,0,20.5276,0,14,18,18,78,126,80,56,63,88,-1,-1,-1,-1,-1,100,0,0,14.427,14,5,18,18,101,96,79,99,97,65,-1,-1,-1,-1,-1,100,0,0,3,5.94452,2,9,18,18,115,109,72,87,77,89,-1,-1,-1,-1,-1,100,0,0,27.32632,14,16,18,18,83,80,100,116,130,66,-1,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,-1,-1,-1,-1,0,0,0,6.14148,15,13,18,18,76,68,123,60,130,38,-1,-1,-1,-1,-1,100,0,0,0.57352,3,9,18,18,66,100,61,80,78,123,-1,-1,-1,-1,-1,100,0,0,11.091,13,3,18,18,61,61,70,133,91,113,-1,-1,-1,-1,-1,100,0,0,4,1,600,500
3,30.25132,13,16,18,18,70,117,80,95,83,73,-1,-1,-1,-1,-1,100,0,0,2.473,15,7,18,18,56,68,65,73,68,76,-1,-1,-1,-1,-1,100,0,0,0.9388,4,8,18,18,77,94,83,88,91,73,-1,-1,-1,-1,-1,100,0,0,12.84404,2,9,18,18,62,104,88,58,54,103,142,6,135,-1,-1,100,0,0,20.5276,0,14,18,18,78,126,80,56,63,88,-1,-1,-1,-1,-1,100,0,0,14.427,14,5,18,18,101,96,79,99,97,65,-1,-1,-1,-1,-1,100,0,0,3,5.94452,2,9,18,18,115,109,72,87,77,89,-1,-1,-1,-1,-1,100,0,0,27.32632,14,16,18,18,83,80,100,116,130,66,-1,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,-1,-1,-1,-1,0,0,0,6.14148,15,13,18,18,76,68,123,60,130,38,-1,-1,-1,-1,-1,100,0,0,0.57352,3,9,18,18,66,100,61,80,78,123,-1,-1,-1,-1,-1,0,0,0,11.091,13,3,18,18,61,61,70,133,91,113,-1,-1,-1,-1,-1,100,0,0,0,2,600,400
4,30.25132,13,16,18,18,70,117,80,95,83,73,-1,-1,-1,-1,-1,100,0,0,2.473,15,7,18,18,56,68,65,73,68,76,-1,-1,-1,-1,-1,100,0,0,0.9388,4,8,18,18,77,94,83,88,91,73,-1,-1,-1,-1,-1,100,0,0,12.84404,2,9,18,18,62,104,88,58,54,103,142,6,135,-1,-1,74,0,0,20.5276,0,14,18,18,78,126,80,56,63,88,-1,-1,-1,-1,-1,100,0,0,14.427,14,5,18,18,101,96,79,99,97,65,-1,-1,-1,-1,-1,100,0,0,3,5.94452,2,9,18,18,115,109,72,87,77,89,174,-1,-1,-1,-1,14,234,0,27.32632,14,16,18,18,83,80,100,116,130,66,-1,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,-1,-1,-1,-1,0,0,0,6.14148,15,13,18,18,76,68,123,60,130,38,-1,-1,-1,-1,-1,100,0,0,0.57352,3,9,18,18,66,100,61,80,78,123,-1,-1,-1,-1,-1,0,0,0,11.091,13,3,18,18,61,61,70,133,91,113,-1,-1,-1,-1,-1,100,0,0,0,2,574,314
5,30.25132,13,16,18,18,70,117,80,95,83,73,-1,-1,-1,-1,-1,100,0,0,2.473,15,7,18,18,56,68,65,73,68,76,-1,-1,-1,-1,-1,100,0,0,0.9388,4,8,18,18,77,94,83,88,91,73,-1,-1,-1,-1,-1,100,0,0,12.84404,2,9,18,18,62,104,88,58,54,103,142,6,135,184,-1,84,0,0,20.5276,0,14,18,18,78,126,80,56,63,88,-1,-1,-1,-1,-1,100,0,0,14.427,14,5,18,18,101,96,79,99,97,65,-1,-1,-1,-1,-1,100,0,0,3,5.94452,2,9,18,18,115,109,72,87,77,89,174,-1,-1,-1,-1,0,234,0,27.32632,14,16,18,18,83,80,100,116,130,66,-1,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,-1,-1,-1,-1,0,0,0,6.14148,15,13,18,18,76,68,123,60,130,38,-1,-1,-1,-1,-1,100,0,0,0.57352,3,9,18,18,66,100,61,80,78,123,-1,-1,-1,-1,-1,0,0,0,11.091,13,3,18,18,61,61,70,133,91,113,-1,-1,-1,-1,-1,100,0,0,3,3,584,300
6,30.25132,13,16,18,18,70,117,80,95,83,73,-1,-1,-1,-1,-1,100,0,0,2.473,15,7,18,18,56,68,65,73,68,76,-1,-1,-1,-1,-1,100,0,0,0.9388,4,8,18,18,77,94,83,88,91,73,-1,-1,-1,-1,-1,100,0,0,12.84404,2,9,18,18,62,104,88,58,54,103,142,6,135,184,-1,14,0,0,20.5276,0,14,18,18,78,126,80,56,63,88,-1,-1,-1,-1,-1,100,0,0,14.427,14,5,18,18,101,96,79,99,97,65,-1,-1,-1,-1,-1,100,0,0,3,5.94452,2,9,18,18,115,109,72,87,77,89,174,-1,-1,-1,-1,0,234,0,27.32632,14,16,18,18,83,80,100,116,130,66,-1,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,-1,-1,-1,-1,0,0,0,6.14148,15,13,18,18,76,68,123,60,130,38,267,-1,-1,-1,-1,57,0,0,0.57352,3,9,18,18,66,100,61,80,78,123,-1,-1,-1,-1,-1,0,0,0,11.091,13,3,18,18,61,61,70,133,91,113,-1,-1,-1,-1,-1,100,0,0,3,2,514,257
7,30.25132,13,16,18,18,70,117,80,95,83,73,-1,-1,-1,-1,-1,100,0,0,2.473,15,7,18,18,56,68,65,73,68,76,-1,-1,-1,-1,-1,100,0,0,0.9388,4,8,18,18,77,94,83,88,91,73,-1,-1,-1,-1,-1,100,0,0,12.84404,2,9,18,18,62,104,88,58,54,103,142,6,135,184,-1,0,0,0,20.5276,0,14,18,18,78,126,80,56,63,88,-1,-1,-1,-1,-1,100,0,0,14.427,14,5,18,18,101,96,79,99,97,65,-1,-1,-1,-1,-1,100,0,0,5,5.94452,2,9,18,18,115,109,72,87,77,89,174,-1,-1,-1,-1,0,234,0,27.32632,14,16,18,18,83,80,100,116,130,66,-1,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,-1,-1,-1,-1,0,0,0,6.14148,15,13,18,18,76,68,123,60,130,38,267,-1,-1,-1,-1,13,0,0,0.57352,3,9,18,18,66,100,61,80,78,123,-1,-1,-1,-1,-1,0,0,0,11.091,13,3,18,18,61,61,70,133,91,113,-1,-1,-1,-1,-1,100,0,0,3,10,500,213
8,30.25132,13,16,18,18,70,117,80,95,83,73,-1,-1,-1,-1,-1,100,0,0,2.473,15,7,18,18,56,68,65,73,68,76,-1,-1,-1,-1,-1,100,0,0,0.9388,4,8,18,18,77,94,83,88,91,73,-1,-1,-1,-1,-1,100,0,0,12.84404,2,9,18,18,62,104,88,58,54,103,142,6,135,184,-1,0,0,0,20.5276,0,14,18,18,78,126,80,56,63,88,-1,-1,-1,-1,-1,100,0,0,14.427,14,5,18,18,101,96,79,99,97,65,217,-1,-1,-1,-1,100,0,0,5,5.94452,2,9,18,18,115,109,72,87,77,89,174,-1,-1,-1,-1,0,234,0,27.32632,14,16,18,18,83,80,100,116,130,66,-1,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,-1,-1,-1,-1,0,0,0,6.14148,15,13,18,18,76,68,123,60,130,38,267,-1,-1,-1,-1,0,0,0,0.57352,3,9,18,18,66,100,61,80,78,123,-1,-1,-1,-1,-1,0,0,0,11.091,13,3,18,18,61,61,70,133,91,113,-1,-1,-1,-1,-1,100,0,0,1,10,500,200
9,30.25132,13,16,18,18,70,117,80,95,83,73,-1,-1,-1,-1,-1,100,0,0,2.473,15,7,18,18,56,68,65,73,68,76,-1,-1,-1,-1,-1,100,0,0,0.9388,4,8,18,18,77,94,83,88,91,73,-1,-1,-1,-1,-1,100,0,0,12.84404,2,9,18,18,62,104,88,58,54,103,142,6,135,184,-1,0,0,0,20.5276,0,14,18,18,78,126,80,56,63,88,-1,-1,-1,-1,-1,100,0,0,14.427,14,5,18,18,101,96,79,99,97,65,217,194,-1,-1,-1,0,0,0,2,5.94452,2,9,18,18,115,109,72,87,77,89,174,-1,-1,-1,-1,0,234,0,27.32632,14,16,18,18,83,80,100,116,130,66,171,-1,-1,-1,-1,41,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,-1,-1,-1,-1,0,0,0,6.14148,15,13,18,18,76,68,123,60,130,38,267,-1,-1,-1,-1,0,0,0,0.57352,3,9,18,18,66,100,61,80,78,123,-1,-1,-1,-1,-1,0,0,0,11.091,13,3,18,18,61,61,70,133,91,113,-1,-1,-1,-1,-1,100,0,0,1,7,400,141
