turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,9.00304,16,9,18,18,73,85,80,66,116,123,-1,-1,-1,-1,-1,100,0,0,26.31728,14,9,18,18,98,104,81,78,77,112,-1,-1,-1,-1,-1,100,0,0,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,-0.02992,7,2,18,18,50,63,152,53,142,35,-1,-1,-1,-1,-1,100,0,0,17.26944,12,13,18,18,86,118,136,78,83,43,-1,-1,-1,-1,-1,100,0,0,21.71292,10,16,18,18,96,68,101,126,86,50,-1,-1,-1,-1,-1,100,0,0,1,12.95004,1,2,18,18,72,103,93,71,69,95,-1,-1,-1,-1,-1,100,0,0,0.63532,11,9,18,18,71,115,79,60,86,64,-1,-1,-1,-1,-1,100,0,0,4.16104,7,6,18,18,76,116,80,66,73,90,-1,-1,-1,-1,-1,100,0,0,15.45908,10,3,18,18,68,73,61,115,96,98,-1,-1,-1,-1,-1,100,0,0,5.90404,13,16,18,18,63,95,66,125,73,96,-1,-1,-1,-1,-1,100,0,0,17.7906,8,14,18,18,78,131,86,73,76,98,-1,-1,-1,-1,-1,100,0,0,2,6,600,600
1,9.00304,16,9,18,18,73,85,80,66,116,123,-1,-1,-1,-1,-1,100,0,0,26.31728,14,9,18,18,98,104,81,78,77,112,729,-1,-1,-1,-1,100,0,1,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,-0.02992,7,2,18,18,50,63,152,53,142,35,-1,-1,-1,-1,-1,100,0,0,17.26944,12,13,18,18,86,118,136,78,83,43,-1,-1,-1,-1,-1,100,0,0,21.71292,10,16,18,18,96,68,101,126,86,50,-1,-1,-1,-1,-1,100,0,0,1,12.95004,1,2,18,18,72,103,93,71,69,95,-1,-1,-1,-1,-1,100,0,0,0.63532,11,9,18,18,71,115,79,60,86,64,-1,-1,-1,-1,-1,100,0,0,4.16104,7,6,18,18,76,116,80,66,73,90,726,-1,-1,-1,-1,100,0,0,15.45908,10,3,18,18,68,73,61,115,96,98,-1,-1,-1,-1,-1,100,0,0,5.90404,13,16,18,18,63,95,66,125,73,96,-1,-1,-1,-1,-1,100,0,0,17.7906,8,14,18,18,78,131,86,73,76,98,-1,-1,-1,-1,-1,100,0,0,2,6,600,600
2,9.00304,16,9,18,18,73,85,80,66,116,123,-1,-1,-1,-1,-1,100,0,0,26.31728,14,9,18,18,98,104,81,78,77,112,729,-1,-1,-1,-1,100,0,1,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,-0.02992,7,2,18,18,50,63,152,53,142,35,-1,-1,-1,-1,-1,100,0,0,17.26944,12,13,18,18,86,118,136,78,83,43,-1,-1,-1,-1,-1,100,0,0,21.71292,10,16,18,18,96,68,101,126,86,50,-1,-1,-1,-1,-1,100,0,0,1,12.95004,1,2,18,18,72,103,93,71,69,95,-1,-1,-1,-1,-1,100,0,0,0.63532,11,9,18,18,71,115,79,60,86,64,-1,-1,-1,-1,-1,100,0,0,4.16104,7,6,18,18,76,116,80,66,73,90,726,752,-1,-1,-1,76,0,0,15.45908,10,3,18,18,68,73,61,115,96,98,-1,-1,-1,-1,-1,100,0,0,5.90404,13,16,18,18,63,95,66,125,73,96,-1,-1,-1,-1,-1,100,0,0,17.7906,8,14,18,18,78,131,86,73,76,98,-1,-1,-1,-1,-1,100,0,0,2,6,600,576
3,9.00304,16,9,18,18,73,85,80,66,116,123,-1,-1,-1,-1,-1,100,0,0,26.31728,14,9,18,18,98,104,81,78,77,112,729,615,-1,-1,-1,56,0,1,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,-0.02992,7,2,18,18,50,63,152,53,142,35,-1,-1,-1,-1,-1,100,0,0,17.26944,12,13,18,18,86,118,136,78,83,43,-1,-1,-1,-1,-1,100,0,0,21.71292,10,16,18,18,96,68,101,126,86,50,-1,-1,-1,-1,-1,100,0,0,1,12.95004,1,2,18,18,72,103,93,71,69,95,-1,-1,-1,-1,-1,100,0,0,0.63532,11,9,18,18,71,115,79,60,86,64,-1,-1,-1,-1,-1,100,0,0,4.16104,7,6,18,18,76,116,80,66,73,90,726,752,262,-1,-1,82,234,0,15.45908,10,3,18,18,68,73,61,115,96,98,-1,-1,-1,-1,-1,100,0,0,5.90404,13,16,18,18,63,95,66,125,73,96,-1,-1,-1,-1,-1,100,0,0,17.7906,8,14,18,18,78,131,86,73,76,98,-1,-1,-1,-1,-1,100,0,0,2,1,556,582
4,9.00304,16,9,18,18,73,85,80,66,116,123,-1,-1,-1,-1,-1,100,0,0,26.31728,14,9,18,18,98,104,81,78,77,112,729,615,194,-1,-1,56,0,1,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,-0.02992,7,2,18,18,50,63,152,53,142,35,-1,-1,-1,-1,-1,100,0,0,17.26944,12,13,18,18,86,118,136,78,83,43,-1,-1,-1,-1,-1,100,0,0,21.71292,10,16,18,18,96,68,101,126,86,50,-1,-1,-1,-1,-1,100,0,0,1,12.95004,1,2,18,18,72,103,93,71,69,95,-1,-1,-1,-1,-1,100,0,0,0.63532,11,9,18,18,71,115,79,60,86,64,-1,-1,-1,-1,-1,100,0,0,4.16104,7,6,18,18,76,116,80,66,73,90,726,752,262,-1,-1,53,234,0,15.45908,10,3,18,18,68,73,61,115,96,98,-1,-1,-1,-1,-1,100,0,0,5.90404,13,16,18,18,63,95,66,125,73,96,-1,-1,-1,-1,-1,100,0,0,17.7906,8,14,18,18,78,131,86,73,76,98,-1,-1,-1,-1,-1,100,0,0,2,2,556,553
5,9.00304,16,9,18,18,73,85,80,66,116,123,-1,-1,-1,-1,-1,100,0,0,26.31728,14,9,18,18,98,104,81,78,77,112,729,615,194,-1,-1,56,0,1,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,-0.02992,7,2,18,18,50,63,152,53,142,35,-1,-1,-1,-1,-1,100,0,0,17.26944,12,13,18,18,86,118,136,78,83,43,-1,-1,-1,-1,-1,100,0,0,21.71292,10,16,18,18,96,68,101,126,86,50,-1,-1,-1,-1,-1,100,0,0,1,12.95004,1,2,18,18,72,103,93,71,69,95,-1,-1,-1,-1,-1,100,0,0,0.63532,11,9,18,18,71,115,79,60,86,64,-1,-1,-1,-1,-1,100,0,0,4.16104,7,6,18,18,76,116,80,66,73,90,726,752,262,-1,-1,0,234,0,15.45908,10,3,18,18,68,73,61,115,96,98,-1,-1,-1,-1,-1,100,0,0,5.90404,13,16,18,18,63,95,66,125,73,96,-1,-1,-1,-1,-1,95,0,0,17.7906,8,14,18,18,78,131,86,73,76,98,-1,-1,-1,-1,-1,100,0,0,4,3,556,495
6,9.00304,16,9,18,18,73,85,80,66,116,123,-1,-1,-1,-1,-1,100,0,0,26.31728,14,9,18,18,98,104,81,78,77,112,729,615,194,-1,-1,56,0,1,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,-0.02992,7,2,18,18,50,63,152,53,142,35,-1,-1,-1,-1,-1,100,0,0,17.26944,12,13,18,18,86,118,136,78,83,43,-1,-1,-1,-1,-1,100,0,0,21.71292,10,16,18,18,96,68,101,126,86,50,-1,-1,-1,-1,-1,100,0,0,1,12.95004,1,2,18,18,72,103,93,71,69,95,-1,-1,-1,-1,-1,100,0,0,0.63532,11,9,18,18,71,115,79,60,86,64,-1,-1,-1,-1,-1,51,0,0,4.16104,7,6,18,18,76,116,80,66,73,90,726,752,262,-1,-1,0,234,0,15.45908,10,3,18,18,68,73,61,115,96,98,-1,-1,-1,-1,-1,100,0,0,5.90404,13,16,18,18,63,95,66,125,73,96,-1,-1,-1,-1,-1,0,0,0,17.7906,8,14,18,18,78,131,86,73,76,98,-1,-1,-1,-1,-1,100,0,0,1,3,556,351
7,9.00304,16,9,18,18,73,85,80,66,116,123,-1,-1,-1,-1,-1,100,0,0,26.31728,14,9,18,18,98,104,81,78,77,112,729,615,194,233,-1,29,0,1,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,-0.02992,7,2,18,18,50,63,152,53,142,35,-1,-1,-1,-1,-1,100,0,0,17.26944,12,13,18,18,86,118,136,78,83,43,-1,-1,-1,-1,-1,100,0,0,21.71292,10,16,18,18,96,68,101,126,86,50,-1,-1,-1,-1,-1,100,0,0,1,12.95004,1,2,18,18,72,103,93,71,69,95,-1,-1,-1,-1,-1,100,0,0,0.63532,11,9,18,18,71,115,79,60,86,64,426,-1,-1,-1,-1,9,234,0,4.16104,7,6,18,18,76,116,80,66,73,90,726,752,262,-1,-1,0,234,0,15.45908,10,3,18,18,68,73,61,115,96,98,-1,-1,-1,-1,-1,100,0,0,5.90404,13,16,18,18,63,95,66,125,73,96,-1,-1,-1,-1,-1,0,0,0,17.7906,8,14,18,18,78,131,86,73,76,98,-1,-1,-1,-1,-1,100,0,0,1,3,529,309
8,9.00304,16,9,18,18,73,85,80,66,116,123,-1,-1,-1,-1,-1,100,0,0,26.31728,14,9,18,18,98,104,81,78,77,112,729,615,194,233,-1,6,0,1,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,-0.02992,7,2,18,18,50,63,152,53,142,35,-1,-1,-1,-1,-1,100,0,0,17.26944,12,13,18,18,86,118,136,78,83,43,-1,-1,-1,-1,-1,100,0,0,21.71292,10,16,18,18,96,68,101,126,86,50,-1,-1,-1,-1,-1,100,0,0,1,12.95004,1,2,18,18,72,103,93,71,69,95,-1,-1,-1,-1,-1,100,0,0,0.63532,11,9,18,18,71,115,79,60,86,64,426,-1,-1,-1,-1,12,234,0,4.16104,7,6,18,18,76,116,80,66,73,90,726,752,262,-1,-1,0,234,0,15.45908,10,3,18,18,68,73,61,115,96,98,-1,-1,-1,-1,-1,100,0,0,5.90404,13,16,18,18,63,95,66,125,73,96,-1,-1,-1,-1,-1,0,0,0,17.7906,8,14,18,18,78,131,86,73,76,98,-1,-1,-1,-1,-1,100,0,0,1,4,506,312
9,9.00304,16,9,18,18,73,85,80,66,116,123,-1,-1,-1,-1,-1,100,0,0,26.31728,14,9,18,18,98,104,81,78,77,112,729,615,194,233,-1,0,0,1,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,-0.02992,7,2,18,18,50,63,152,53,142,35,-1,-1,-1,-1,-1,100,0,0,17.26944,12,13,18,18,86,118,136,78,83,43,-1,-1,-1,-1,-1,100,0,0,21.71292,10,16,18,18,96,68,101,126,86,50,-1,-1,-1,-1,-1,100,0,0,0,12.95004,1,2,18,18,72,103,93,71,69,95,-1,-1,-1,-1,-1,100,0,0,0.63532,11,9,18,18,71,115,79,60,86,64,426,-1,-1,-1,-1,0,540,0,4.16104,7,6,18,18,76,116,80,66,73,90,726,752,262,-1,-1,0,234,0,15.45908,10,3,18,18,68,73,61,115,96,98,-1,-1,-1,-1,-1,100,0,0,5.90404,13,16,18,18,63,95,66,125,73,96,-1,-1,-1,-1,-1,0,0,0,17.7906,8,14,18,18,78,131,86,73,76,98,-1,-1,-1,-1,-1,94,0,0,5,5,500,294
