turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,9.26564,10,3,18,18,93,55,71,110,83,110,-1,-1,-1,-1,-1,100,0,0,9.83036,11,12,18,18,73,140,55,55,50,92,-1,-1,-1,-1,-1,100,0,0,0.77588,8,5,18,18,56,90,156,61,68,61,-1,-1,-1,-1,-1,100,0,0,2.93208,0,9,18,18,87,116,93,103,96,73,-1,-1,-1,-1,-1,100,0,0,23.32156,17,16,18,18,90,71,121,98,136,53,-1,-1,-1,-1,-1,100,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,0,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,7.42452,2,13,18,18,101,95,116,78,108,50,-1,-1,-1,-1,-1,100,0,0,3,5,600,600
1,9.26564,10,3,18,18,93,55,71,110,83,110,835,-1,-1,-1,-1,91,270,0,9.83036,11,12,18,18,73,140,55,55,50,92,-1,-1,-1,-1,-1,100,0,0,0.77588,8,5,18,18,56,90,156,61,68,61,-1,-1,-1,-1,-1,100,0,0,2.93208,0,9,18,18,87,116,93,103,96,73,-1,-1,-1,-1,-1,98,0,0,23.32156,17,16,18,18,90,71,121,98,136,53,-1,-1,-1,-1,-1,100,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,3,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,825,-1,-1,-1,-1,87,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,7.42452,2,13,18,18,101,95,116,78,108,50,-1,-1,-1,-1,-1,100,0,0,2,8,589,587
2,9.26564,10,3,18,18,93,55,71,110,83,110,835,-1,-1,-1,-1,91,270,0,9.83036,11,12,18,18,73,140,55,55,50,92,-1,-1,-1,-1,-1,100,0,0,0.77588,8,5,18,18,56,90,156,61,68,61,-1,-1,-1,-1,-1,100,0,0,2.93208,0,9,18,18,87,116,93,103,96,73,217,-1,-1,-1,-1,70,0,0,23.32156,17,16,18,18,90,71,121,98,136,53,-1,-1,-1,-1,-1,100,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,3,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,414,-1,-1,-1,-1,52,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,825,-1,-1,-1,-1,87,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,7.42452,2,13,18,18,101,95,116,78,108,50,-1,-1,-1,-1,-1,100,0,0,2,8,561,539
3,9.26564,10,3,18,18,93,55,71,110,83,110,835,-1,-1,-1,-1,91,270,0,9.83036,11,12,18,18,73,140,55,55,50,92,-1,-1,-1,-1,-1,100,0,0,0.77588,8,5,18,18,56,90,156,61,68,61,-1,-1,-1,-1,-1,100,0,0,2.93208,0,9,18,18,87,116,93,103,96,73,217,-1,-1,-1,-1,40,540,0,23.32156,17,16,18,18,90,71,121,98,136,53,-1,-1,-1,-1,-1,100,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,3,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,-1,-1,-1,-1,-1,86,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,414,-1,-1,-1,-1,52,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,825,-1,-1,-1,-1,87,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,7.42452,2,13,18,18,101,95,116,78,108,50,-1,-1,-1,-1,-1,100,0,0,1,1,531,525
4,9.26564,10,3,18,18,93,55,71,110,83,110,835,-1,-1,-1,-1,91,270,0,9.83036,11,12,18,18,73,140,55,55,50,92,-1,-1,-1,-1,-1,100,0,0,0.77588,8,5,18,18,56,90,156,61,68,61,-1,-1,-1,-1,-1,100,0,0,2.93208,0,9,18,18,87,116,93,103,96,73,217,600,-1,-1,-1,90,540,0,23.32156,17,16,18,18,90,71,121,98,136,53,-1,-1,-1,-1,-1,100,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,3,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,717,-1,-1,-1,-1,86,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,414,-1,-1,-1,-1,52,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,825,-1,-1,-1,-1,87,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,7.42452,2,13,18,18,101,95,116,78,108,50,-1,-1,-1,-1,-1,100,0,0,1,1,581,525
5,9.26564,10,3,18,18,93,55,71,110,83,110,835,-1,-1,-1,-1,88,270,0,9.83036,11,12,18,18,73,140,55,55,50,92,-1,-1,-1,-1,-1,100,0,0,0.77588,8,5,18,18,56,90,156,61,68,61,-1,-1,-1,-1,-1,100,0,0,2.93208,0,9,18,18,87,116,93,103,96,73,217,600,-1,-1,-1,90,540,0,23.32156,17,16,18,18,90,71,121,98,136,53,-1,-1,-1,-1,-1,100,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,0,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,717,-1,-1,-1,-1,86,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,414,-1,-1,-1,-1,52,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,825,-1,-1,-1,-1,87,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,7.42452,2,13,18,18,101,95,116,78,108,50,-1,-1,-1,-1,-1,100,0,0,1,5,578,525
6,9.26564,10,3,18,18,93,55,71,110,83,110,835,475,-1,-1,-1,28,270,0,9.83036,11,12,18,18,73,140,55,55,50,92,-1,-1,-1,-1,-1,100,0,0,0.77588,8,5,18,18,56,90,156,61,68,61,-1,-1,-1,-1,-1,100,0,0,2.93208,0,9,18,18,87,116,93,103,96,73,217,600,-1,-1,-1,90,540,0,23.32156,17,16,18,18,90,71,121,98,136,53,-1,-1,-1,-1,-1,100,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,0,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,717,-1,-1,-1,-1,86,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,414,-1,-1,-1,-1,52,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,825,-1,-1,-1,-1,87,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,76,0,0,7.42452,2,13,18,18,101,95,116,78,108,50,-1,-1,-1,-1,-1,100,0,0,4,1,518,501
7,9.26564,10,3,18,18,93,55,71,110,83,110,835,475,-1,-1,-1,0,270,0,9.83036,11,12,18,18,73,140,55,55,50,92,-1,-1,-1,-1,-1,84,0,0,0.77588,8,5,18,18,56,90,156,61,68,61,-1,-1,-1,-1,-1,100,0,0,2.93208,0,9,18,18,87,116,93,103,96,73,217,600,-1,-1,-1,90,540,0,23.32156,17,16,18,18,90,71,121,98,136,53,-1,-1,-1,-1,-1,100,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,1,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,717,-1,-1,-1,-1,86,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,414,-1,-1,-1,-1,52,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,825,-1,-1,-1,-1,87,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,66,270,0,7.42452,2,13,18,18,101,95,116,78,108,50,-1,-1,-1,-1,-1,100,0,0,4,6,474,491
8,9.26564,10,3,18,18,93,55,71,110,83,110,835,475,-1,-1,-1,0,270,0,9.83036,11,12,18,18,73,140,55,55,50,92,620,-1,-1,-1,-1,84,0,0,0.77588,8,5,18,18,56,90,156,61,68,61,-1,-1,-1,-1,-1,100,0,0,2.93208,0,9,18,18,87,116,93,103,96,73,217,600,-1,-1,-1,90,540,0,23.32156,17,16,18,18,90,71,121,98,136,53,-1,-1,-1,-1,-1,100,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,1,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,717,-1,-1,-1,-1,70,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,414,-1,-1,-1,-1,52,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,825,-1,-1,-1,-1,87,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,66,270,0,7.42452,2,13,18,18,101,95,116,78,108,50,-1,-1,-1,-1,-1,100,0,0,1,6,474,475
9,9.26564,10,3,18,18,93,55,71,110,83,110,835,475,-1,-1,-1,0,270,0,9.83036,11,12,18,18,73,140,55,55,50,92,620,-1,-1,-1,-1,84,0,0,0.77588,8,5,18,18,56,90,156,61,68,61,-1,-1,-1,-1,-1,100,0,0,2.93208,0,9,18,18,87,116,93,103,96,73,217,600,-1,-1,-1,90,540,0,23.32156,17,16,18,18,90,71,121,98,136,53,-1,-1,-1,-1,-1,100,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,33,0,0,5,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,717,308,-1,-1,-1,70,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,414,-1,-1,-1,-1,52,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,825,-1,-1,-1,-1,87,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,66,270,0,7.42452,2,13,18,18,101,95,116,78,108,50,-1,-1,-1,-1,-1,100,0,0,1,10,407,475
