turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,14.68828,14,16,18,18,92,78,143,69,102,54,-1,-1,-1,-1,-1,100,0,0,1.70732,13,15,18,18,71,65,93,106,93,80,-1,-1,-1,-1,-1,100,0,0,1.46612,10,6,18,18,156,97,72,43,67,47,-1,-1,-1,-1,-1,100,0,0,11.7452,2,14,18,18,94,111,86,81,96,92,-1,-1,-1,-1,-1,100,0,0,2.77152,7,17,18,18,92,78,68,85,105,70,-1,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,-1,-1,-1,-1,-1,100,0,0,0.0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0.0,5.34084,14,3,18,18,75,73,66,123,105,123,-1,-1,-1,-1,-1,100,0,0.0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0.0,34.3238,13,17,18,18,71,61,73,133,103,66,-1,-1,-1,-1,-1,100,0,0.0,2.38976,4,1,18,18,70,116,80,73,66,86,-1,-1,-1,-1,-1,100,0,0.0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,0,5.0,600,600
1,14.68828,14,16,18,18,92,78,143,69,102,54,729,-1,-1,-1,-1,91,0,0,1.70732,13,15,18,18,71,65,93,106,93,80,-1,-1,-1,-1,-1,100,0,0,1.46612,10,6,18,18,156,97,72,43,67,47,-1,-1,-1,-1,-1,100,0,0,11.7452,2,14,18,18,94,111,86,81,96,92,-1,-1,-1,-1,-1,100,0,0,2.77152,7,17,18,18,92,78,68,85,105,70,-1,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,-1,-1,-1,-1,-1,100,0,0,0.0,5.71976,16,9,18,18,97,122,96,100,100,86,69,-1,-1,-1,-1,94,234,0.0,5.34084,14,3,18,18,75,73,66,123,105,123,-1,-1,-1,-1,-1,100,0,0.0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0.0,34.3238,13,17,18,18,71,61,73,133,103,66,-1,-1,-1,-1,-1,100,0,0.0,2.38976,4,1,18,18,70,116,80,73,66,86,-1,-1,-1,-1,-1,100,0,0.0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,0,5.0,591,594
2,14.68828,14,16,18,18,92,78,143,69,102,54,729,-1,-1,-1,-1,76,0,4,1.70732,13,15,18,18,71,65,93,106,93,80,-1,-1,-1,-1,-1,100,0,0,1.46612,10,6,18,18,156,97,72,43,67,47,-1,-1,-1,-1,-1,100,0,0,11.7452,2,14,18,18,94,111,86,81,96,92,-1,-1,-1,-1,-1,100,0,0,2.77152,7,17,18,18,92,78,68,85,105,70,-1,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,-1,-1,-1,-1,-1,100,0,0,0.0,5.71976,16,9,18,18,97,122,96,100,100,86,69,-1,-1,-1,-1,88,234,0.0,5.34084,14,3,18,18,75,73,66,123,105,123,-1,-1,-1,-1,-1,100,0,0.0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0.0,34.3238,13,17,18,18,71,61,73,133,103,66,-1,-1,-1,-1,-1,100,0,0.0,2.38976,4,1,18,18,70,116,80,73,66,86,-1,-1,-1,-1,-1,100,0,0.0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,0,5.0,576,588
3,14.68828,14,16,18,18,92,78,143,69,102,54,729,182,-1,-1,-1,76,0,4,1.70732,13,15,18,18,71,65,93,106,93,80,-1,-1,-1,-1,-1,100,0,0,1.46612,10,6,18,18,156,97,72,43,67,47,-1,-1,-1,-1,-1,100,0,0,11.7452,2,14,18,18,94,111,86,81,96,92,-1,-1,-1,-1,-1,100,0,0,2.77152,7,17,18,18,92,78,68,85,105,70,-1,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,-1,-1,-1,-1,-1,100,0,0,0.0,5.71976,16,9,18,18,97,122,96,100,100,86,69,-1,-1,-1,-1,88,234,0.0,5.34084,14,3,18,18,75,73,66,123,105,123,-1,-1,-1,-1,-1,100,0,0.0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0.0,34.3238,13,17,18,18,71,61,73,133,103,66,-1,-1,-1,-1,-1,100,0,0.0,2.38976,4,1,18,18,70,116,80,73,66,86,-1,-1,-1,-1,-1,94,0,0.0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,4,1.0,576,582
4,14.68828,14,16,18,18,92,78,143,69,102,54,729,182,139,-1,-1,76,0,4,1.70732,13,15,18,18,71,65,93,106,93,80,-1,-1,-1,-1,-1,100,0,0,1.46612,10,6,18,18,156,97,72,43,67,47,-1,-1,-1,-1,-1,100,0,0,11.7452,2,14,18,18,94,111,86,81,96,92,-1,-1,-1,-1,-1,100,0,0,2.77152,7,17,18,18,92,78,68,85,105,70,-1,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,-1,-1,-1,-1,-1,100,0,0,0.0,5.71976,16,9,18,18,97,122,96,100,100,86,69,-1,-1,-1,-1,88,234,0.0,5.34084,14,3,18,18,75,73,66,123,105,123,-1,-1,-1,-1,-1,100,0,0.0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0.0,34.3238,13,17,18,18,71,61,73,133,103,66,-1,-1,-1,-1,-1,100,0,0.0,2.38976,4,1,18,18,70,116,80,73,66,86,175,-1,-1,-1,-1,77,0,0.0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,4,2.0,576,565
5,14.68828,14,16,18,18,92,78,143,69,102,54,729,182,139,-1,-1,0,0,4,1.70732,13,15,18,18,71,65,93,106,93,80,-1,-1,-1,-1,-1,100,0,0,1.46612,10,6,18,18,156,97,72,43,67,47,-1,-1,-1,-1,-1,100,0,0,11.7452,2,14,18,18,94,111,86,81,96,92,-1,-1,-1,-1,-1,100,0,0,2.77152,7,17,18,18,92,78,68,85,105,70,-1,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,-1,-1,-1,-1,-1,100,0,0,3.0,5.71976,16,9,18,18,97,122,96,100,100,86,69,-1,-1,-1,-1,88,234,0.0,5.34084,14,3,18,18,75,73,66,123,105,123,-1,-1,-1,-1,-1,100,0,0.0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0.0,34.3238,13,17,18,18,71,61,73,133,103,66,-1,-1,-1,-1,-1,100,0,0.0,2.38976,4,1,18,18,70,116,80,73,66,86,175,194,-1,-1,-1,77,0,0.0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,4,8.0,500,565
6,14.68828,14,16,18,18,92,78,143,69,102,54,729,182,139,-1,-1,0,0,4,1.70732,13,15,18,18,71,65,93,106,93,80,-1,-1,-1,-1,-1,100,0,0,1.46612,10,6,18,18,156,97,72,43,67,47,-1,-1,-1,-1,-1,100,0,0,11.7452,2,14,18,18,94,111,86,81,96,92,838,-1,-1,-1,-1,11,234,0,2.77152,7,17,18,18,92,78,68,85,105,70,-1,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,-1,-1,-1,-1,-1,100,0,0,3.0,5.71976,16,9,18,18,97,122,96,100,100,86,69,-1,-1,-1,-1,88,234,0.0,5.34084,14,3,18,18,75,73,66,123,105,123,-1,-1,-1,-1,-1,100,0,0.0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0.0,34.3238,13,17,18,18,71,61,73,133,103,66,-1,-1,-1,-1,-1,100,0,0.0,2.38976,4,1,18,18,70,116,80,73,66,86,175,194,-1,-1,-1,35,0,0.0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,4,8.0,411,523
7,14.68828,14,16,18,18,92,78,143,69,102,54,729,182,139,-1,-1,0,0,4,1.70732,13,15,18,18,71,65,93,106,93,80,-1,-1,-1,-1,-1,100,0,0,1.46612,10,6,18,18,156,97,72,43,67,47,-1,-1,-1,-1,-1,33,273,2,11.7452,2,14,18,18,94,111,86,81,96,92,838,-1,-1,-1,-1,11,234,0,2.77152,7,17,18,18,92,78,68,85,105,70,-1,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,-1,-1,-1,-1,-1,100,0,0,2.0,5.71976,16,9,18,18,97,122,96,100,100,86,69,-1,-1,-1,-1,88,234,0.0,5.34084,14,3,18,18,75,73,66,123,105,123,-1,-1,-1,-1,-1,100,0,0.0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0.0,34.3238,13,17,18,18,71,61,73,133,103,66,-1,-1,-1,-1,-1,100,0,0.0,2.38976,4,1,18,18,70,116,80,73,66,86,175,194,-1,-1,-1,35,0,0.0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,4,7.0,344,523
8,14.68828,14,16,18,18,92,78,143,69,102,54,729,182,139,-1,-1,0,0,4,1.70732,13,15,18,18,71,65,93,106,93,80,-1,-1,-1,-1,-1,100,0,0,1.46612,10,6,18,18,156,97,72,43,67,47,-1,-1,-1,-1,-1,0,273,2,11.7452,2,14,18,18,94,111,86,81,96,92,838,-1,-1,-1,-1,11,234,0,2.77152,7,17,18,18,92,78,68,85,105,70,-1,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,-1,-1,-1,-1,-1,100,0,0,1.0,5.71976,16,9,18,18,97,122,96,100,100,86,69,-1,-1,-1,-1,88,234,0.0,5.34084,14,3,18,18,75,73,66,123,105,123,-1,-1,-1,-1,-1,100,0,0.0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0.0,34.3238,13,17,18,18,71,61,73,133,103,66,-1,-1,-1,-1,-1,100,0,0.0,2.38976,4,1,18,18,70,116,80,73,66,86,175,194,838,-1,-1,35,0,0.0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,4,6.0,311,523
9,14.68828,14,16,18,18,92,78,143,69,102,54,729,182,139,-1,-1,0,0,4,1.70732,13,15,18,18,71,65,93,106,93,80,-1,-1,-1,-1,-1,0,0,0,1.46612,10,6,18,18,156,97,72,43,67,47,-1,-1,-1,-1,-1,0,273,2,11.7452,2,14,18,18,94,111,86,81,96,92,838,-1,-1,-1,-1,11,234,0,2.77152,7,17,18,18,92,78,68,85,105,70,-1,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,-1,-1,-1,-1,-1,100,0,0,5.0,5.71976,16,9,18,18,97,122,96,100,100,86,69,-1,-1,-1,-1,88,234,0.0,5.34084,14,3,18,18,75,73,66,123,105,123,-1,-1,-1,-1,-1,100,0,0.0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0.0,34.3238,13,17,18,18,71,61,73,133,103,66,-1,-1,-1,-1,-1,100,0,0.0,2.38976,4,1,18,18,70,116,80,73,66,86,175,194,838,-1,-1,35,0,0.0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,4,10.0,211,523
