turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,16.21192,10,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,4.06916,10,4,18,18,66,78,63,121,91,116,-1,-1,-1,-1,-1,100,0,0,6.73532,6,8,18,18,70,126,71,46,93,82,-1,-1,-1,-1,-1,100,0,0,17.8228,11,0,18,18,85,78,75,122,62,91,-1,-1,-1,-1,-1,100,0,0,10.10024,13,3,18,18,60,51,76,123,86,126,-1,-1,-1,-1,-1,100,0,0,11.61268,16,10,18,18,93,123,120,98,96,80,-1,-1,-1,-1,-1,100,0,0,5,4.73804,16,7,18,18,75,105,123,91,83,63,-1,-1,-1,-1,-1,100,0,0,25.9996,16,6,18,18,93,108,103,68,120,56,-1,-1,-1,-1,-1,100,0,0,11.2118,10,9,18,18,101,81,78,106,83,96,-1,-1,-1,-1,-1,100,0,0,8.8232,2,12,18,18,101,118,113,85,91,36,-1,-1,-1,-1,-1,100,0,0,4.62764,15,4,18,18,83,96,83,106,86,98,-1,-1,-1,-1,-1,100,0,0,11.50152,10,14,18,18,57,85,81,108,110,95,-1,-1,-1,-1,-1,100,0,0,0,10,600,600,,,0.0
1,16.21192,10,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,4.06916,10,4,18,18,66,78,63,121,91,116,-1,-1,-1,-1,-1,100,0,0,6.73532,6,8,18,18,70,126,71,46,93,82,-1,-1,-1,-1,-1,100,0,0,17.8228,11,0,18,18,85,78,75,122,62,91,-1,-1,-1,-1,-1,100,0,0,10.10024,13,3,18,18,60,51,76,123,86,126,-1,-1,-1,-1,-1,100,0,0,11.61268,16,10,18,18,93,123,120,98,96,80,572,-1,-1,-1,-1,100,0,0,5,4.73804,16,7,18,18,75,105,123,91,83,63,729,-1,-1,-1,-1,100,0,0,25.9996,16,6,18,18,93,108,103,68,120,56,-1,-1,-1,-1,-1,100,0,0,11.2118,10,9,18,18,101,81,78,106,83,96,-1,-1,-1,-1,-1,100,0,0,8.8232,2,12,18,18,101,118,113,85,91,36,-1,-1,-1,-1,-1,100,0,0,4.62764,15,4,18,18,83,96,83,106,86,98,-1,-1,-1,-1,-1,100,0,0,11.50152,10,14,18,18,57,85,81,108,110,95,-1,-1,-1,-1,-1,100,0,0,0,10,600,600,600.0,600.0,0.0
2,16.21192,10,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,4.06916,10,4,18,18,66,78,63,121,91,116,-1,-1,-1,-1,-1,100,0,0,6.73532,6,8,18,18,70,126,71,46,93,82,-1,-1,-1,-1,-1,98,882,0,17.8228,11,0,18,18,85,78,75,122,62,91,-1,-1,-1,-1,-1,100,0,0,10.10024,13,3,18,18,60,51,76,123,86,126,-1,-1,-1,-1,-1,100,0,0,11.61268,16,10,18,18,93,123,120,98,96,80,572,825,-1,-1,-1,100,0,0,2,4.73804,16,7,18,18,75,105,123,91,83,63,729,-1,-1,-1,-1,100,0,0,25.9996,16,6,18,18,93,108,103,68,120,56,-1,-1,-1,-1,-1,100,0,0,11.2118,10,9,18,18,101,81,78,106,83,96,-1,-1,-1,-1,-1,100,0,0,8.8232,2,12,18,18,101,118,113,85,91,36,-1,-1,-1,-1,-1,100,0,0,4.62764,15,4,18,18,83,96,83,106,86,98,-1,-1,-1,-1,-1,0,0,0,11.50152,10,14,18,18,57,85,81,108,110,95,-1,-1,-1,-1,-1,100,0,0,5,7,598,500,600.0,600.0,1.01
3,16.21192,10,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,4.06916,10,4,18,18,66,78,63,121,91,116,-1,-1,-1,-1,-1,100,0,0,6.73532,6,8,18,18,70,126,71,46,93,82,391,-1,-1,-1,-1,35,882,0,17.8228,11,0,18,18,85,78,75,122,62,91,-1,-1,-1,-1,-1,100,0,0,10.10024,13,3,18,18,60,51,76,123,86,126,-1,-1,-1,-1,-1,100,0,0,11.61268,16,10,18,18,93,123,120,98,96,80,572,825,-1,-1,-1,100,0,0,2,4.73804,16,7,18,18,75,105,123,91,83,63,729,-1,-1,-1,-1,100,0,0,25.9996,16,6,18,18,93,108,103,68,120,56,-1,-1,-1,-1,-1,100,0,0,11.2118,10,9,18,18,101,81,78,106,83,96,-1,-1,-1,-1,-1,100,0,0,8.8232,2,12,18,18,101,118,113,85,91,36,-1,-1,-1,-1,-1,100,0,0,4.62764,15,4,18,18,83,96,83,106,86,98,-1,-1,-1,-1,-1,0,0,0,11.50152,10,14,18,18,57,85,81,108,110,95,759,-1,-1,-1,-1,11,0,0,5,7,535,411,500.0,598.0,1.205
4,16.21192,10,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,4.06916,10,4,18,18,66,78,63,121,91,116,-1,-1,-1,-1,-1,100,0,0,6.73532,6,8,18,18,70,126,71,46,93,82,391,-1,-1,-1,-1,35,882,0,17.8228,11,0,18,18,85,78,75,122,62,91,-1,-1,-1,-1,-1,100,0,0,10.10024,13,3,18,18,60,51,76,123,86,126,-1,-1,-1,-1,-1,100,0,0,11.61268,16,10,18,18,93,123,120,98,96,80,572,825,-1,-1,-1,100,0,0,2,4.73804,16,7,18,18,75,105,123,91,83,63,729,-1,-1,-1,-1,100,0,0,25.9996,16,6,18,18,93,108,103,68,120,56,-1,-1,-1,-1,-1,100,0,0,11.2118,10,9,18,18,101,81,78,106,83,96,-1,-1,-1,-1,-1,100,0,0,8.8232,2,12,18,18,101,118,113,85,91,36,-1,-1,-1,-1,-1,94,234,0,4.62764,15,4,18,18,83,96,83,106,86,98,-1,-1,-1,-1,-1,0,0,0,11.50152,10,14,18,18,57,85,81,108,110,95,759,-1,-1,-1,-1,11,0,0,3,1,535,405,411.0,535.0,0.06
5,16.21192,10,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,4.06916,10,4,18,18,66,78,63,121,91,116,-1,-1,-1,-1,-1,100,0,0,6.73532,6,8,18,18,70,126,71,46,93,82,391,113,-1,-1,-1,35,882,0,17.8228,11,0,18,18,85,78,75,122,62,91,-1,-1,-1,-1,-1,100,0,0,10.10024,13,3,18,18,60,51,76,123,86,126,-1,-1,-1,-1,-1,100,0,0,11.61268,16,10,18,18,93,123,120,98,96,80,572,825,-1,-1,-1,100,0,0,2,4.73804,16,7,18,18,75,105,123,91,83,63,729,-1,-1,-1,-1,100,0,0,25.9996,16,6,18,18,93,108,103,68,120,56,-1,-1,-1,-1,-1,100,0,0,11.2118,10,9,18,18,101,81,78,106,83,96,-1,-1,-1,-1,-1,100,0,0,8.8232,2,12,18,18,101,118,113,85,91,36,-1,-1,-1,-1,-1,0,234,0,4.62764,15,4,18,18,83,96,83,106,86,98,-1,-1,-1,-1,-1,0,0,0,11.50152,10,14,18,18,57,85,81,108,110,95,759,-1,-1,-1,-1,11,0,0,2,1,535,311,405.0,535.0,0.94
6,16.21192,10,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,4.06916,10,4,18,18,66,78,63,121,91,116,-1,-1,-1,-1,-1,100,0,0,6.73532,6,8,18,18,70,126,71,46,93,82,391,113,-1,-1,-1,35,882,0,17.8228,11,0,18,18,85,78,75,122,62,91,-1,-1,-1,-1,-1,100,0,0,10.10024,13,3,18,18,60,51,76,123,86,126,-1,-1,-1,-1,-1,100,0,0,11.61268,16,10,18,18,93,123,120,98,96,80,572,825,-1,-1,-1,100,0,0,2,4.73804,16,7,18,18,75,105,123,91,83,63,729,-1,-1,-1,-1,100,0,0,25.9996,16,6,18,18,93,108,103,68,120,56,-1,-1,-1,-1,-1,100,0,0,11.2118,10,9,18,18,101,81,78,106,83,96,-1,-1,-1,-1,-1,39,234,0,8.8232,2,12,18,18,101,118,113,85,91,36,-1,-1,-1,-1,-1,0,234,0,4.62764,15,4,18,18,83,96,83,106,86,98,-1,-1,-1,-1,-1,0,0,0,11.50152,10,14,18,18,57,85,81,108,110,95,759,-1,-1,-1,-1,11,0,0,2,1,535,250,311.0,535.0,0.61
7,16.21192,10,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,4.06916,10,4,18,18,66,78,63,121,91,116,-1,-1,-1,-1,-1,100,0,0,6.73532,6,8,18,18,70,126,71,46,93,82,391,113,-1,-1,-1,35,882,0,17.8228,11,0,18,18,85,78,75,122,62,91,-1,-1,-1,-1,-1,100,0,0,10.10024,13,3,18,18,60,51,76,123,86,126,-1,-1,-1,-1,-1,100,0,0,11.61268,16,10,18,18,93,123,120,98,96,80,572,825,-1,-1,-1,100,0,0,2,4.73804,16,7,18,18,75,105,123,91,83,63,729,-1,-1,-1,-1,100,0,0,25.9996,16,6,18,18,93,108,103,68,120,56,-1,-1,-1,-1,-1,100,0,0,11.2118,10,9,18,18,101,81,78,106,83,96,-1,-1,-1,-1,-1,0,234,0,8.8232,2,12,18,18,101,118,113,85,91,36,-1,-1,-1,-1,-1,0,234,0,4.62764,15,4,18,18,83,96,83,106,86,98,-1,-1,-1,-1,-1,0,0,0,11.50152,10,14,18,18,57,85,81,108,110,95,759,-1,-1,-1,-1,11,0,0,0,1,535,211,250.0,535.0,0.39
8,16.21192,10,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,4.06916,10,4,18,18,66,78,63,121,91,116,-1,-1,-1,-1,-1,100,0,0,6.73532,6,8,18,18,70,126,71,46,93,82,391,113,-1,-1,-1,0,882,0,17.8228,11,0,18,18,85,78,75,122,62,91,-1,-1,-1,-1,-1,100,0,0,10.10024,13,3,18,18,60,51,76,123,86,126,-1,-1,-1,-1,-1,100,0,0,11.61268,16,10,18,18,93,123,120,98,96,80,572,825,-1,-1,-1,94,0,0,5,4.73804,16,7,18,18,75,105,123,91,83,63,729,471,-1,-1,-1,67,281,0,25.9996,16,6,18,18,93,108,103,68,120,56,-1,-1,-1,-1,-1,100,0,0,11.2118,10,9,18,18,101,81,78,106,83,96,-1,-1,-1,-1,-1,0,234,0,8.8232,2,12,18,18,101,118,113,85,91,36,-1,-1,-1,-1,-1,0,234,0,4.62764,15,4,18,18,83,96,83,106,86,98,-1,-1,-1,-1,-1,0,0,0,11.50152,10,14,18,18,57,85,81,108,110,95,759,-1,-1,-1,-1,11,0,0,0,10,494,178,211.0,535.0,0.535
9,16.21192,10,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,4.06916,10,4,18,18,66,78,63,121,91,116,-1,-1,-1,-1,-1,100,0,0,6.73532,6,8,18,18,70,126,71,46,93,82,391,113,-1,-1,-1,0,882,0,17.8228,11,0,18,18,85,78,75,122,62,91,-1,-1,-1,-1,-1,100,0,0,10.10024,13,3,18,18,60,51,76,123,86,126,-1,-1,-1,-1,-1,100,0,0,11.61268,16,10,18,18,93,123,120,98,96,80,572,825,-1,-1,-1,94,0,0,5,4.73804,16,7,18,18,75,105,123,91,83,63,729,471,-1,-1,-1,67,281,0,25.9996,16,6,18,18,93,108,103,68,120,56,-1,-1,-1,-1,-1,100,0,0,11.2118,10,9,18,18,101,81,78,106,83,96,-1,-1,-1,-1,-1,0,234,0,8.8232,2,12,18,18,101,118,113,85,91,36,-1,-1,-1,-1,-1,0,234,0,4.62764,15,4,18,18,83,96,83,106,86,98,-1,-1,-1,-1,-1,0,0,0,11.50152,10,14,18,18,57,85,81,108,110,95,759,-1,-1,-1,-1,11,0,0,1,1,494,178,178.0,494.0,0.0
