turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,1.48916,2,3,18,18,103,52,66,77,77,122,-1,-1,-1,-1,-1,100,0,0,26.96644,16,4,18,18,76,112,116,78,130,43,-1,-1,-1,-1,-1,100,0,0,12.02084,10,3,18,18,66,76,63,95,66,103,-1,-1,-1,-1,-1,100,0,0,24.11992,0,12,18,18,65,106,66,58,101,88,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,-1,-1,-1,-1,-1,100,0,0,17.48424,5,5,18,18,96,123,70,61,68,110,-1,-1,-1,-1,-1,100,0,0,2,8.68452,13,13,18,18,43,73,93,61,108,41,-1,-1,-1,-1,-1,100,0,0,14.61976,14,12,18,18,104,153,71,75,73,72,-1,-1,-1,-1,-1,100,0,0,18.31292,10,12,18,18,100,88,158,100,90,43,-1,-1,-1,-1,-1,100,0,0,11.27096,16,9,18,18,70,122,101,80,90,83,-1,-1,-1,-1,-1,100,0,0,2.84632,13,17,18,18,62,65,63,128,88,90,-1,-1,-1,-1,-1,100,0,0,12.209,3,14,18,18,90,100,88,125,90,98,-1,-1,-1,-1,-1,100,0,0,5,7,600,600,,,0.0
1,1.48916,2,3,18,18,103,52,66,77,77,122,-1,-1,-1,-1,-1,100,0,0,26.96644,16,4,18,18,76,112,116,78,130,43,-1,-1,-1,-1,-1,100,0,0,12.02084,10,3,18,18,66,76,63,95,66,103,570,-1,-1,-1,-1,0,0,0,24.11992,0,12,18,18,65,106,66,58,101,88,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,-1,-1,-1,-1,-1,100,0,0,17.48424,5,5,18,18,96,123,70,61,68,110,-1,-1,-1,-1,-1,100,0,0,0,8.68452,13,13,18,18,43,73,93,61,108,41,-1,-1,-1,-1,-1,100,0,0,14.61976,14,12,18,18,104,153,71,75,73,72,-1,-1,-1,-1,-1,100,0,0,18.31292,10,12,18,18,100,88,158,100,90,43,-1,-1,-1,-1,-1,100,0,0,11.27096,16,9,18,18,70,122,101,80,90,83,-1,-1,-1,-1,-1,100,0,0,2.84632,13,17,18,18,62,65,63,128,88,90,-1,-1,-1,-1,-1,100,0,0,12.209,3,14,18,18,90,100,88,125,90,98,193,-1,-1,-1,-1,33,0,0,5,5,500,533,600.0,600.0,1.17
2,1.48916,2,3,18,18,103,52,66,77,77,122,384,-1,-1,-1,-1,100,0,0,26.96644,16,4,18,18,76,112,116,78,130,43,-1,-1,-1,-1,-1,100,0,0,12.02084,10,3,18,18,66,76,63,95,66,103,570,-1,-1,-1,-1,0,0,0,24.11992,0,12,18,18,65,106,66,58,101,88,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,-1,-1,-1,-1,-1,100,0,0,17.48424,5,5,18,18,96,123,70,61,68,110,-1,-1,-1,-1,-1,100,0,0,0,8.68452,13,13,18,18,43,73,93,61,108,41,-1,-1,-1,-1,-1,100,0,0,14.61976,14,12,18,18,104,153,71,75,73,72,-1,-1,-1,-1,-1,100,0,0,18.31292,10,12,18,18,100,88,158,100,90,43,-1,-1,-1,-1,-1,100,0,0,11.27096,16,9,18,18,70,122,101,80,90,83,-1,-1,-1,-1,-1,100,0,0,2.84632,13,17,18,18,62,65,63,128,88,90,-1,-1,-1,-1,-1,100,0,0,12.209,3,14,18,18,90,100,88,125,90,98,193,-1,-1,-1,-1,0,0,0,0,5,500,500,533.0,500.0,0.33
3,1.48916,2,3,18,18,103,52,66,77,77,122,384,-1,-1,-1,-1,100,0,0,26.96644,16,4,18,18,76,112,116,78,130,43,-1,-1,-1,-1,-1,100,0,0,12.02084,10,3,18,18,66,76,63,95,66,103,570,-1,-1,-1,-1,0,0,0,24.11992,0,12,18,18,65,106,66,58,101,88,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,-1,-1,-1,-1,-1,100,0,0,17.48424,5,5,18,18,96,123,70,61,68,110,-1,-1,-1,-1,-1,100,0,0,5,8.68452,13,13,18,18,43,73,93,61,108,41,95,-1,-1,-1,-1,100,0,0,14.61976,14,12,18,18,104,153,71,75,73,72,-1,-1,-1,-1,-1,100,0,0,18.31292,10,12,18,18,100,88,158,100,90,43,-1,-1,-1,-1,-1,100,0,0,11.27096,16,9,18,18,70,122,101,80,90,83,-1,-1,-1,-1,-1,100,0,0,2.84632,13,17,18,18,62,65,63,128,88,90,-1,-1,-1,-1,-1,100,0,0,12.209,3,14,18,18,90,100,88,125,90,98,193,-1,-1,-1,-1,0,0,0,0,10,500,500,500.0,500.0,0.0
4,1.48916,2,3,18,18,103,52,66,77,77,122,384,-1,-1,-1,-1,100,0,0,26.96644,16,4,18,18,76,112,116,78,130,43,-1,-1,-1,-1,-1,100,0,0,12.02084,10,3,18,18,66,76,63,95,66,103,570,-1,-1,-1,-1,0,0,0,24.11992,0,12,18,18,65,106,66,58,101,88,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,-1,-1,-1,-1,-1,100,0,0,17.48424,5,5,18,18,96,123,70,61,68,110,367,-1,-1,-1,-1,100,0,0,5,8.68452,13,13,18,18,43,73,93,61,108,41,95,854,-1,-1,-1,100,0,0,14.61976,14,12,18,18,104,153,71,75,73,72,-1,-1,-1,-1,-1,100,0,0,18.31292,10,12,18,18,100,88,158,100,90,43,-1,-1,-1,-1,-1,100,0,0,11.27096,16,9,18,18,70,122,101,80,90,83,-1,-1,-1,-1,-1,100,0,0,2.84632,13,17,18,18,62,65,63,128,88,90,-1,-1,-1,-1,-1,100,0,0,12.209,3,14,18,18,90,100,88,125,90,98,193,-1,-1,-1,-1,0,0,0,0,10,500,500,500.0,500.0,0.0
5,1.48916,2,3,18,18,103,52,66,77,77,122,384,-1,-1,-1,-1,100,0,0,26.96644,16,4,18,18,76,112,116,78,130,43,-1,-1,-1,-1,-1,100,0,0,12.02084,10,3,18,18,66,76,63,95,66,103,570,-1,-1,-1,-1,0,0,0,24.11992,0,12,18,18,65,106,66,58,101,88,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,-1,-1,-1,-1,-1,100,0,0,17.48424,5,5,18,18,96,123,70,61,68,110,367,391,-1,-1,-1,91,270,0,5,8.68452,13,13,18,18,43,73,93,61,108,41,95,854,-1,-1,-1,100,0,0,14.61976,14,12,18,18,104,153,71,75,73,72,-1,-1,-1,-1,-1,100,0,0,18.31292,10,12,18,18,100,88,158,100,90,43,-1,-1,-1,-1,-1,100,0,0,11.27096,16,9,18,18,70,122,101,80,90,83,-1,-1,-1,-1,-1,59,234,0,2.84632,13,17,18,18,62,65,63,128,88,90,-1,-1,-1,-1,-1,100,0,0,12.209,3,14,18,18,90,100,88,125,90,98,193,-1,-1,-1,-1,0,0,0,3,1,491,459,500.0,500.0,0.455
6,1.48916,2,3,18,18,103,52,66,77,77,122,384,-1,-1,-1,-1,100,0,0,26.96644,16,4,18,18,76,112,116,78,130,43,-1,-1,-1,-1,-1,100,0,0,12.02084,10,3,18,18,66,76,63,95,66,103,570,-1,-1,-1,-1,0,0,0,24.11992,0,12,18,18,65,106,66,58,101,88,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,-1,-1,-1,-1,-1,100,0,0,17.48424,5,5,18,18,96,123,70,61,68,110,367,391,-1,-1,-1,91,270,0,1,8.68452,13,13,18,18,43,73,93,61,108,41,95,854,-1,-1,-1,100,0,0,14.61976,14,12,18,18,104,153,71,75,73,72,-1,-1,-1,-1,-1,100,0,0,18.31292,10,12,18,18,100,88,158,100,90,43,-1,-1,-1,-1,-1,100,0,0,11.27096,16,9,18,18,70,122,101,80,90,83,668,-1,-1,-1,-1,65,234,0,2.84632,13,17,18,18,62,65,63,128,88,90,-1,-1,-1,-1,-1,100,0,0,12.209,3,14,18,18,90,100,88,125,90,98,193,-1,-1,-1,-1,0,0,0,3,6,491,465,459.0,491.0,-0.06
7,1.48916,2,3,18,18,103,52,66,77,77,122,384,-1,-1,-1,-1,100,0,0,26.96644,16,4,18,18,76,112,116,78,130,43,-1,-1,-1,-1,-1,0,0,0,12.02084,10,3,18,18,66,76,63,95,66,103,570,-1,-1,-1,-1,0,0,0,24.11992,0,12,18,18,65,106,66,58,101,88,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,-1,-1,-1,-1,-1,100,0,0,17.48424,5,5,18,18,96,123,70,61,68,110,367,391,-1,-1,-1,91,270,0,0,8.68452,13,13,18,18,43,73,93,61,108,41,95,854,-1,-1,-1,100,0,0,14.61976,14,12,18,18,104,153,71,75,73,72,-1,-1,-1,-1,-1,100,0,0,18.31292,10,12,18,18,100,88,158,100,90,43,-1,-1,-1,-1,-1,100,0,0,11.27096,16,9,18,18,70,122,101,80,90,83,668,237,-1,-1,-1,71,234,0,2.84632,13,17,18,18,62,65,63,128,88,90,-1,-1,-1,-1,-1,100,0,0,12.209,3,14,18,18,90,100,88,125,90,98,193,-1,-1,-1,-1,0,0,0,3,5,391,471,465.0,491.0,0.44
8,1.48916,2,3,18,18,103,52,66,77,77,122,384,794,-1,-1,-1,72,0,0,26.96644,16,4,18,18,76,112,116,78,130,43,-1,-1,-1,-1,-1,0,0,0,12.02084,10,3,18,18,66,76,63,95,66,103,570,-1,-1,-1,-1,0,0,0,24.11992,0,12,18,18,65,106,66,58,101,88,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,-1,-1,-1,-1,-1,100,0,0,17.48424,5,5,18,18,96,123,70,61,68,110,367,391,-1,-1,-1,91,270,0,0,8.68452,13,13,18,18,43,73,93,61,108,41,95,854,-1,-1,-1,100,0,0,14.61976,14,12,18,18,104,153,71,75,73,72,-1,-1,-1,-1,-1,100,0,0,18.31292,10,12,18,18,100,88,158,100,90,43,-1,-1,-1,-1,-1,100,0,0,11.27096,16,9,18,18,70,122,101,80,90,83,668,237,282,-1,-1,0,234,0,2.84632,13,17,18,18,62,65,63,128,88,90,-1,-1,-1,-1,-1,100,0,0,12.209,3,14,18,18,90,100,88,125,90,98,193,-1,-1,-1,-1,0,0,0,0,1,363,400,471.0,391.0,0.85
9,1.48916,2,3,18,18,103,52,66,77,77,122,384,794,-1,-1,-1,72,0,0,26.96644,16,4,18,18,76,112,116,78,130,43,-1,-1,-1,-1,-1,0,0,0,12.02084,10,3,18,18,66,76,63,95,66,103,570,-1,-1,-1,-1,0,0,0,24.11992,0,12,18,18,65,106,66,58,101,88,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,-1,-1,-1,-1,-1,90,0,0,17.48424,5,5,18,18,96,123,70,61,68,110,367,391,-1,-1,-1,91,270,0,4,8.68452,13,13,18,18,43,73,93,61,108,41,95,854,329,-1,-1,100,0,0,14.61976,14,12,18,18,104,153,71,75,73,72,-1,-1,-1,-1,-1,100,0,0,18.31292,10,12,18,18,100,88,158,100,90,43,-1,-1,-1,-1,-1,100,0,0,11.27096,16,9,18,18,70,122,101,80,90,83,668,237,282,-1,-1,0,234,0,2.84632,13,17,18,18,62,65,63,128,88,90,-1,-1,-1,-1,-1,100,0,0,12.209,3,14,18,18,90,100,88,125,90,98,193,-1,-1,-1,-1,0,0,0,0,9,353,400,400.0,363.0,0.05
