turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,14.9228,13,4,18,18,63,75,73,131,88,106,-1,-1,-1,-1,-1,100,0,0,27.1864,17,4,18,18,96,88,105,110,103,53,-1,-1,-1,-1,-1,100,0,0,7.9604,16,2,18,18,100,83,110,96,105,90,-1,-1,-1,-1,-1,100,0,0,23.84524,14,8,18,18,119,130,93,113,88,99,-1,-1,-1,-1,-1,100,0,0,7.80972,14,3,18,18,83,86,76,125,106,113,-1,-1,-1,-1,-1,100,0,0,11.73548,14,6,18,18,88,114,74,108,77,105,-1,-1,-1,-1,-1,100,0,0,5,34.00608,16,3,18,18,61,78,70,85,78,97,-1,-1,-1,-1,-1,100,0,0,11.4482,12,1,18,18,84,113,93,79,66,87,-1,-1,-1,-1,-1,100,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,-1,-1,-1,-1,-1,100,0,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,100,0,0,8.99924,0,10,18,18,78,70,63,133,81,103,-1,-1,-1,-1,-1,100,0,0.0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,1,10.0,600,600,,,0.0
1,14.9228,13,4,18,18,63,75,73,131,88,106,-1,-1,-1,-1,-1,100,0,0,27.1864,17,4,18,18,96,88,105,110,103,53,-1,-1,-1,-1,-1,100,0,0,7.9604,16,2,18,18,100,83,110,96,105,90,-1,-1,-1,-1,-1,100,0,0,23.84524,14,8,18,18,119,130,93,113,88,99,-1,-1,-1,-1,-1,100,0,0,7.80972,14,3,18,18,83,86,76,125,106,113,-1,-1,-1,-1,-1,100,0,0,11.73548,14,6,18,18,88,114,74,108,77,105,113,-1,-1,-1,-1,100,0,0,5,34.00608,16,3,18,18,61,78,70,85,78,97,-1,-1,-1,-1,-1,100,0,0,11.4482,12,1,18,18,84,113,93,79,66,87,-1,-1,-1,-1,-1,0,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,-1,-1,-1,-1,-1,100,0,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,100,0,0,8.99924,0,10,18,18,78,70,63,133,81,103,-1,-1,-1,-1,-1,100,0,0.0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,0,10.0,600,500,600.0,600.0,1.0
2,14.9228,13,4,18,18,63,75,73,131,88,106,-1,-1,-1,-1,-1,100,0,0,27.1864,17,4,18,18,96,88,105,110,103,53,-1,-1,-1,-1,-1,100,0,0,7.9604,16,2,18,18,100,83,110,96,105,90,-1,-1,-1,-1,-1,100,0,0,23.84524,14,8,18,18,119,130,93,113,88,99,-1,-1,-1,-1,-1,100,0,0,7.80972,14,3,18,18,83,86,76,125,106,113,-1,-1,-1,-1,-1,100,0,0,11.73548,14,6,18,18,88,114,74,108,77,105,113,-1,-1,-1,-1,100,0,0,5,34.00608,16,3,18,18,61,78,70,85,78,97,735,-1,-1,-1,-1,0,0,0,11.4482,12,1,18,18,84,113,93,79,66,87,-1,-1,-1,-1,-1,0,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,-1,-1,-1,-1,-1,100,0,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,100,0,0,8.99924,0,10,18,18,78,70,63,133,81,103,-1,-1,-1,-1,-1,100,0,0.0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,2,1.0,600,400,500.0,600.0,1.0
3,14.9228,13,4,18,18,63,75,73,131,88,106,-1,-1,-1,-1,-1,100,0,0,27.1864,17,4,18,18,96,88,105,110,103,53,-1,-1,-1,-1,-1,100,0,0,7.9604,16,2,18,18,100,83,110,96,105,90,-1,-1,-1,-1,-1,100,0,0,23.84524,14,8,18,18,119,130,93,113,88,99,-1,-1,-1,-1,-1,100,0,0,7.80972,14,3,18,18,83,86,76,125,106,113,-1,-1,-1,-1,-1,100,0,0,11.73548,14,6,18,18,88,114,74,108,77,105,113,-1,-1,-1,-1,0,0,0,4,34.00608,16,3,18,18,61,78,70,85,78,97,735,-1,-1,-1,-1,0,0,0,11.4482,12,1,18,18,84,113,93,79,66,87,-1,-1,-1,-1,-1,0,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,486,-1,-1,-1,-1,54,234,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,100,0,0,8.99924,0,10,18,18,78,70,63,133,81,103,-1,-1,-1,-1,-1,100,0,0.0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,2,9.0,500,354,400.0,600.0,0.96
4,14.9228,13,4,18,18,63,75,73,131,88,106,-1,-1,-1,-1,-1,100,0,0,27.1864,17,4,18,18,96,88,105,110,103,53,-1,-1,-1,-1,-1,100,0,0,7.9604,16,2,18,18,100,83,110,96,105,90,-1,-1,-1,-1,-1,100,0,0,23.84524,14,8,18,18,119,130,93,113,88,99,-1,-1,-1,-1,-1,100,0,0,7.80972,14,3,18,18,83,86,76,125,106,113,794,-1,-1,-1,-1,26,0,0,11.73548,14,6,18,18,88,114,74,108,77,105,113,-1,-1,-1,-1,0,0,0,4,34.00608,16,3,18,18,61,78,70,85,78,97,735,-1,-1,-1,-1,0,0,0,11.4482,12,1,18,18,84,113,93,79,66,87,-1,-1,-1,-1,-1,0,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,486,-1,-1,-1,-1,19,234,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,100,0,0,8.99924,0,10,18,18,78,70,63,133,81,103,-1,-1,-1,-1,-1,100,0,0.0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,2,9.0,426,319,354.0,500.0,0.72
5,14.9228,13,4,18,18,63,75,73,131,88,106,-1,-1,-1,-1,-1,100,0,0,27.1864,17,4,18,18,96,88,105,110,103,53,-1,-1,-1,-1,-1,100,0,0,7.9604,16,2,18,18,100,83,110,96,105,90,-1,-1,-1,-1,-1,100,0,0,23.84524,14,8,18,18,119,130,93,113,88,99,-1,-1,-1,-1,-1,100,0,0,7.80972,14,3,18,18,83,86,76,125,106,113,794,-1,-1,-1,-1,26,0,0,11.73548,14,6,18,18,88,114,74,108,77,105,113,-1,-1,-1,-1,0,0,0,4,34.00608,16,3,18,18,61,78,70,85,78,97,735,-1,-1,-1,-1,0,0,0,11.4482,12,1,18,18,84,113,93,79,66,87,-1,-1,-1,-1,-1,0,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,486,-1,-1,-1,-1,0,234,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,100,0,0,8.99924,0,10,18,18,78,70,63,133,81,103,-1,-1,-1,-1,-1,100,0,0.0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,4,1.0,426,300,319.0,426.0,0.19
6,14.9228,13,4,18,18,63,75,73,131,88,106,-1,-1,-1,-1,-1,100,0,0,27.1864,17,4,18,18,96,88,105,110,103,53,-1,-1,-1,-1,-1,89,0,0,7.9604,16,2,18,18,100,83,110,96,105,90,-1,-1,-1,-1,-1,100,0,0,23.84524,14,8,18,18,119,130,93,113,88,99,-1,-1,-1,-1,-1,100,0,0,7.80972,14,3,18,18,83,86,76,125,106,113,794,-1,-1,-1,-1,26,0,0,11.73548,14,6,18,18,88,114,74,108,77,105,113,-1,-1,-1,-1,0,0,0,1,34.00608,16,3,18,18,61,78,70,85,78,97,735,-1,-1,-1,-1,0,0,0,11.4482,12,1,18,18,84,113,93,79,66,87,-1,-1,-1,-1,-1,0,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,486,-1,-1,-1,-1,0,234,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,100,0,0,8.99924,0,10,18,18,78,70,63,133,81,103,147,-1,-1,-1,-1,100,0,0.0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,4,6.0,415,300,300.0,426.0,0.055
7,14.9228,13,4,18,18,63,75,73,131,88,106,-1,-1,-1,-1,-1,100,0,0,27.1864,17,4,18,18,96,88,105,110,103,53,414,-1,-1,-1,-1,89,0,0,7.9604,16,2,18,18,100,83,110,96,105,90,-1,-1,-1,-1,-1,100,0,0,23.84524,14,8,18,18,119,130,93,113,88,99,-1,-1,-1,-1,-1,100,0,0,7.80972,14,3,18,18,83,86,76,125,106,113,794,-1,-1,-1,-1,26,0,0,11.73548,14,6,18,18,88,114,74,108,77,105,113,-1,-1,-1,-1,0,0,0,1,34.00608,16,3,18,18,61,78,70,85,78,97,735,-1,-1,-1,-1,0,0,0,11.4482,12,1,18,18,84,113,93,79,66,87,-1,-1,-1,-1,-1,0,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,486,-1,-1,-1,-1,0,234,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,81,0,0,8.99924,0,10,18,18,78,70,63,133,81,103,147,-1,-1,-1,-1,100,0,0.0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3,6.0,415,281,300.0,415.0,0.19
8,14.9228,13,4,18,18,63,75,73,131,88,106,-1,-1,-1,-1,-1,100,0,0,27.1864,17,4,18,18,96,88,105,110,103,53,414,-1,-1,-1,-1,89,0,0,7.9604,16,2,18,18,100,83,110,96,105,90,-1,-1,-1,-1,-1,100,234,0,23.84524,14,8,18,18,119,130,93,113,88,99,-1,-1,-1,-1,-1,100,0,0,7.80972,14,3,18,18,83,86,76,125,106,113,794,-1,-1,-1,-1,26,0,0,11.73548,14,6,18,18,88,114,74,108,77,105,113,-1,-1,-1,-1,0,0,0,2,34.00608,16,3,18,18,61,78,70,85,78,97,735,-1,-1,-1,-1,0,0,0,11.4482,12,1,18,18,84,113,93,79,66,87,-1,-1,-1,-1,-1,0,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,486,-1,-1,-1,-1,0,234,0,7.22692,16,9,18,18,75,116,100,63,73,90,403,-1,-1,-1,-1,81,0,0,8.99924,0,10,18,18,78,70,63,133,81,103,147,-1,-1,-1,-1,100,0,0.0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3,7.0,415,281,281.0,415.0,0.0
9,14.9228,13,4,18,18,63,75,73,131,88,106,-1,-1,-1,-1,-1,100,0,0,27.1864,17,4,18,18,96,88,105,110,103,53,414,-1,-1,-1,-1,89,0,0,7.9604,16,2,18,18,100,83,110,96,105,90,641,-1,-1,-1,-1,68,234,0,23.84524,14,8,18,18,119,130,93,113,88,99,-1,-1,-1,-1,-1,100,0,0,7.80972,14,3,18,18,83,86,76,125,106,113,794,-1,-1,-1,-1,26,0,0,11.73548,14,6,18,18,88,114,74,108,77,105,113,-1,-1,-1,-1,0,0,0,2,34.00608,16,3,18,18,61,78,70,85,78,97,735,-1,-1,-1,-1,0,0,0,11.4482,12,1,18,18,84,113,93,79,66,87,-1,-1,-1,-1,-1,0,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,486,-1,-1,-1,-1,0,234,0,7.22692,16,9,18,18,75,116,100,63,73,90,403,194,-1,-1,-1,40,0,0,8.99924,0,10,18,18,78,70,63,133,81,103,147,-1,-1,-1,-1,100,0,0.0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3,7.0,383,240,281.0,415.0,0.57
