turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,1.11708,1,15,18,18,80,68,98,74,110,76,-1,-1,-1,-1,-1,100,0,0,7.50324,13,7,18,18,66,73,85,130,93,80,-1,-1,-1,-1,-1,100,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,10.229,1,4,18,18,98,111,115,80,71,96,-1,-1,-1,-1,-1,100,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,-1,-1,-1,-1,-1,100,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,1.71708,0,9,18,18,137,126,85,76,106,63,-1,-1,-1,-1,-1,100,0,0,6.96444,0,13,18,18,70,73,116,90,106,36,-1,-1,-1,-1,-1,100,0,0,6.68176,4,9,18,18,60,103,56,56,56,130,-1,-1,-1,-1,-1,100,0,0,23.50772,16,17,18,18,72,98,104,90,89,73,-1,-1,-1,-1,-1,100,0,0,1.04696,2,6,18,18,86,121,86,74,83,62,-1,-1,-1,-1,-1,100,0,0,0,5,600,600,,,0.0
1,1.11708,1,15,18,18,80,68,98,74,110,76,528,-1,-1,-1,-1,91,0,0,7.50324,13,7,18,18,66,73,85,130,93,80,-1,-1,-1,-1,-1,100,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,10.229,1,4,18,18,98,111,115,80,71,96,-1,-1,-1,-1,-1,100,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,-1,-1,-1,-1,-1,100,0,0,4,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,100,0,0,1.71708,0,9,18,18,137,126,85,76,106,63,-1,-1,-1,-1,-1,100,0,0,6.96444,0,13,18,18,70,73,116,90,106,36,-1,-1,-1,-1,-1,100,0,0,6.68176,4,9,18,18,60,103,56,56,56,130,-1,-1,-1,-1,-1,100,0,0,23.50772,16,17,18,18,72,98,104,90,89,73,-1,-1,-1,-1,-1,100,0,0,1.04696,2,6,18,18,86,121,86,74,83,62,-1,-1,-1,-1,-1,100,0,0,5,9,591,600,600.0,600.0,0.045
2,1.11708,1,15,18,18,80,68,98,74,110,76,528,-1,-1,-1,-1,91,0,0,7.50324,13,7,18,18,66,73,85,130,93,80,-1,-1,-1,-1,-1,100,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,10.229,1,4,18,18,98,111,115,80,71,96,423,-1,-1,-1,-1,100,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,-1,-1,-1,-1,-1,100,0,0,4,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,100,0,0,1.71708,0,9,18,18,137,126,85,76,106,63,-1,-1,-1,-1,-1,100,0,0,6.96444,0,13,18,18,70,73,116,90,106,36,-1,-1,-1,-1,-1,100,0,0,6.68176,4,9,18,18,60,103,56,56,56,130,-1,-1,-1,-1,-1,100,0,0,23.50772,16,17,18,18,72,98,104,90,89,73,-1,-1,-1,-1,-1,85,0,0,1.04696,2,6,18,18,86,121,86,74,83,62,-1,-1,-1,-1,-1,100,0,0,4,9,591,585,600.0,591.0,0.15
3,1.11708,1,15,18,18,80,68,98,74,110,76,528,-1,-1,-1,-1,91,0,0,7.50324,13,7,18,18,66,73,85,130,93,80,-1,-1,-1,-1,-1,100,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,10.229,1,4,18,18,98,111,115,80,71,96,423,247,-1,-1,-1,79,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,-1,-1,-1,-1,-1,100,0,0,4,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,100,0,0,1.71708,0,9,18,18,137,126,85,76,106,63,-1,-1,-1,-1,-1,100,0,0,6.96444,0,13,18,18,70,73,116,90,106,36,-1,-1,-1,-1,-1,100,0,0,6.68176,4,9,18,18,60,103,56,56,56,130,-1,-1,-1,-1,-1,100,0,0,23.50772,16,17,18,18,72,98,104,90,89,73,602,-1,-1,-1,-1,23,0,0,1.04696,2,6,18,18,86,121,86,74,83,62,-1,-1,-1,-1,-1,100,0,0,4,1,570,523,585.0,591.0,0.725
4,1.11708,1,15,18,18,80,68,98,74,110,76,528,-1,-1,-1,-1,91,0,0,7.50324,13,7,18,18,66,73,85,130,93,80,-1,-1,-1,-1,-1,100,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,10.229,1,4,18,18,98,111,115,80,71,96,423,247,-1,-1,-1,72,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,-1,-1,-1,-1,-1,100,0,0,4,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,100,0,0,1.71708,0,9,18,18,137,126,85,76,106,63,-1,-1,-1,-1,-1,100,0,0,6.96444,0,13,18,18,70,73,116,90,106,36,-1,-1,-1,-1,-1,100,0,0,6.68176,4,9,18,18,60,103,56,56,56,130,-1,-1,-1,-1,-1,100,0,0,23.50772,16,17,18,18,72,98,104,90,89,73,602,729,-1,-1,-1,0,0,0,1.04696,2,6,18,18,86,121,86,74,83,62,-1,-1,-1,-1,-1,100,0,0,1,2,563,500,523.0,570.0,0.265
5,1.11708,1,15,18,18,80,68,98,74,110,76,528,-1,-1,-1,-1,91,0,0,7.50324,13,7,18,18,66,73,85,130,93,80,-1,-1,-1,-1,-1,100,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,10.229,1,4,18,18,98,111,115,80,71,96,423,247,567,-1,-1,72,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,-1,-1,-1,-1,-1,100,0,0,4,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,100,0,0,1.71708,0,9,18,18,137,126,85,76,106,63,142,-1,-1,-1,-1,100,0,0,6.96444,0,13,18,18,70,73,116,90,106,36,-1,-1,-1,-1,-1,100,0,0,6.68176,4,9,18,18,60,103,56,56,56,130,-1,-1,-1,-1,-1,100,0,0,23.50772,16,17,18,18,72,98,104,90,89,73,602,729,-1,-1,-1,0,0,0,1.04696,2,6,18,18,86,121,86,74,83,62,-1,-1,-1,-1,-1,100,0,0,1,2,563,500,500.0,563.0,0.0
6,1.11708,1,15,18,18,80,68,98,74,110,76,528,-1,-1,-1,-1,66,0,0,7.50324,13,7,18,18,66,73,85,130,93,80,-1,-1,-1,-1,-1,100,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,10.229,1,4,18,18,98,111,115,80,71,96,423,247,567,-1,-1,72,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,-1,-1,-1,-1,-1,100,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,100,0,0,1.71708,0,9,18,18,137,126,85,76,106,63,142,-1,-1,-1,-1,100,0,0,6.96444,0,13,18,18,70,73,116,90,106,36,-1,-1,-1,-1,-1,100,0,0,6.68176,4,9,18,18,60,103,56,56,56,130,-1,-1,-1,-1,-1,100,0,0,23.50772,16,17,18,18,72,98,104,90,89,73,602,729,-1,-1,-1,0,0,0,1.04696,2,6,18,18,86,121,86,74,83,62,-1,-1,-1,-1,-1,100,0,0,1,5,538,500,500.0,563.0,0.125
7,1.11708,1,15,18,18,80,68,98,74,110,76,528,-1,-1,-1,-1,0,0,0,7.50324,13,7,18,18,66,73,85,130,93,80,-1,-1,-1,-1,-1,100,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,88,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,10.229,1,4,18,18,98,111,115,80,71,96,423,247,567,-1,-1,72,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,-1,-1,-1,-1,-1,100,0,0,2,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,100,0,0,1.71708,0,9,18,18,137,126,85,76,106,63,142,217,-1,-1,-1,100,0,0,6.96444,0,13,18,18,70,73,116,90,106,36,-1,-1,-1,-1,-1,100,0,0,6.68176,4,9,18,18,60,103,56,56,56,130,-1,-1,-1,-1,-1,100,0,0,23.50772,16,17,18,18,72,98,104,90,89,73,602,729,-1,-1,-1,0,0,0,1.04696,2,6,18,18,86,121,86,74,83,62,-1,-1,-1,-1,-1,100,0,0,1,7,460,500,500.0,538.0,0.39
8,1.11708,1,15,18,18,80,68,98,74,110,76,528,-1,-1,-1,-1,0,0,0,7.50324,13,7,18,18,66,73,85,130,93,80,-1,-1,-1,-1,-1,100,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,217,-1,-1,-1,-1,88,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,10.229,1,4,18,18,98,111,115,80,71,96,423,247,567,-1,-1,72,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,-1,-1,-1,-1,-1,100,0,0,2,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,100,0,0,1.71708,0,9,18,18,137,126,85,76,106,63,142,217,-1,-1,-1,93,234,0,6.96444,0,13,18,18,70,73,116,90,106,36,-1,-1,-1,-1,-1,100,0,0,6.68176,4,9,18,18,60,103,56,56,56,130,-1,-1,-1,-1,-1,100,0,0,23.50772,16,17,18,18,72,98,104,90,89,73,602,729,-1,-1,-1,0,0,0,1.04696,2,6,18,18,86,121,86,74,83,62,-1,-1,-1,-1,-1,100,0,0,1,7,460,493,500.0,460.0,0.07
9,1.11708,1,15,18,18,80,68,98,74,110,76,528,-1,-1,-1,-1,0,0,0,7.50324,13,7,18,18,66,73,85,130,93,80,-1,-1,-1,-1,-1,100,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,217,-1,-1,-1,-1,88,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,10.229,1,4,18,18,98,111,115,80,71,96,423,247,567,-1,-1,72,0,0,21.92104,16,8,18,18,76,120,101,73,85,98,-1,-1,-1,-1,-1,100,0,0,2,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,100,0,0,1.71708,0,9,18,18,137,126,85,76,106,63,142,217,-1,-1,-1,93,234,0,6.96444,0,13,18,18,70,73,116,90,106,36,-1,-1,-1,-1,-1,100,0,0,6.68176,4,9,18,18,60,103,56,56,56,130,-1,-1,-1,-1,-1,100,0,0,23.50772,16,17,18,18,72,98,104,90,89,73,602,729,-1,-1,-1,0,0,0,1.04696,2,6,18,18,86,121,86,74,83,62,-1,-1,-1,-1,-1,100,0,0,1,7,460,493,493.0,460.0,0.0
