turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,16.39068,15,17,18,18,82,75,97,66,115,71,-1,-1,-1,-1,-1,100,0,0,14.31232,8,9,18,18,81,121,95,66,76,98,-1,-1,-1,-1,-1,100,0,0,9.3048,10,0,18,18,65,51,48,95,90,47,-1,-1,-1,-1,-1,100,0,0,12.63244,4,10,18,18,71,74,83,79,109,80,-1,-1,-1,-1,-1,100,0,0,10.02092,3,2,18,18,80,73,115,116,98,76,-1,-1,-1,-1,-1,100,0,0,4,6.67424,0,10,18,18,88,90,80,131,75,66,-1,-1,-1,-1,-1,100,0,0,19.00944,13,16,18,18,58,51,160,79,116,30,-1,-1,-1,-1,-1,100,0,0,7.73092,3,9,18,18,60,86,69,83,76,117,-1,-1,-1,-1,-1,100,0,0,18.96212,2,10,18,18,100,42,82,31,106,23,-1,-1,-1,-1,-1,100,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,5.4556,8,12,18,18,102,153,80,51,46,52,-1,-1,-1,-1,-1,100,0,0,2,9,600,600,,,0.0
1,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,16.39068,15,17,18,18,82,75,97,66,115,71,-1,-1,-1,-1,-1,100,0,0,14.31232,8,9,18,18,81,121,95,66,76,98,-1,-1,-1,-1,-1,100,0,0,9.3048,10,0,18,18,65,51,48,95,90,47,-1,-1,-1,-1,-1,100,0,0,12.63244,4,10,18,18,71,74,83,79,109,80,729,-1,-1,-1,-1,100,0,0,10.02092,3,2,18,18,80,73,115,116,98,76,-1,-1,-1,-1,-1,100,0,0,4,6.67424,0,10,18,18,88,90,80,131,75,66,-1,-1,-1,-1,-1,100,0,0,19.00944,13,16,18,18,58,51,160,79,116,30,-1,-1,-1,-1,-1,100,0,0,7.73092,3,9,18,18,60,86,69,83,76,117,812,-1,-1,-1,-1,100,0,0,18.96212,2,10,18,18,100,42,82,31,106,23,-1,-1,-1,-1,-1,100,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,5.4556,8,12,18,18,102,153,80,51,46,52,-1,-1,-1,-1,-1,100,0,0,2,9,600,600,600.0,600.0,0.0
2,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,16.39068,15,17,18,18,82,75,97,66,115,71,-1,-1,-1,-1,-1,100,0,0,14.31232,8,9,18,18,81,121,95,66,76,98,-1,-1,-1,-1,-1,100,0,0,9.3048,10,0,18,18,65,51,48,95,90,47,-1,-1,-1,-1,-1,100,0,0,12.63244,4,10,18,18,71,74,83,79,109,80,729,-1,-1,-1,-1,100,0,0,10.02092,3,2,18,18,80,73,115,116,98,76,-1,-1,-1,-1,-1,100,0,0,2,6.67424,0,10,18,18,88,90,80,131,75,66,-1,-1,-1,-1,-1,100,0,0,19.00944,13,16,18,18,58,51,160,79,116,30,-1,-1,-1,-1,-1,100,0,0,7.73092,3,9,18,18,60,86,69,83,76,117,812,151,-1,-1,-1,100,0,0,18.96212,2,10,18,18,100,42,82,31,106,23,-1,-1,-1,-1,-1,100,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,5.4556,8,12,18,18,102,153,80,51,46,52,-1,-1,-1,-1,-1,100,0,0,2,7,600,600,600.0,600.0,0.0
3,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,16.39068,15,17,18,18,82,75,97,66,115,71,-1,-1,-1,-1,-1,100,0,0,14.31232,8,9,18,18,81,121,95,66,76,98,740,-1,-1,-1,-1,94,0,2,9.3048,10,0,18,18,65,51,48,95,90,47,-1,-1,-1,-1,-1,100,0,0,12.63244,4,10,18,18,71,74,83,79,109,80,729,-1,-1,-1,-1,100,0,0,10.02092,3,2,18,18,80,73,115,116,98,76,-1,-1,-1,-1,-1,100,0,0,2,6.67424,0,10,18,18,88,90,80,131,75,66,-1,-1,-1,-1,-1,100,0,0,19.00944,13,16,18,18,58,51,160,79,116,30,-1,-1,-1,-1,-1,100,0,0,7.73092,3,9,18,18,60,86,69,83,76,117,812,151,854,-1,-1,0,0,0,18.96212,2,10,18,18,100,42,82,31,106,23,-1,-1,-1,-1,-1,100,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,5.4556,8,12,18,18,102,153,80,51,46,52,-1,-1,-1,-1,-1,100,0,0,5,7,594,500,600.0,600.0,1.03
4,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,16.39068,15,17,18,18,82,75,97,66,115,71,-1,-1,-1,-1,-1,100,0,0,14.31232,8,9,18,18,81,121,95,66,76,98,740,-1,-1,-1,-1,94,0,2,9.3048,10,0,18,18,65,51,48,95,90,47,-1,-1,-1,-1,-1,100,0,0,12.63244,4,10,18,18,71,74,83,79,109,80,729,-1,-1,-1,-1,100,0,0,10.02092,3,2,18,18,80,73,115,116,98,76,-1,-1,-1,-1,-1,88,0,0,5,6.67424,0,10,18,18,88,90,80,131,75,66,-1,-1,-1,-1,-1,100,0,0,19.00944,13,16,18,18,58,51,160,79,116,30,-1,-1,-1,-1,-1,100,0,0,7.73092,3,9,18,18,60,86,69,83,76,117,812,151,854,-1,-1,0,0,0,18.96212,2,10,18,18,100,42,82,31,106,23,-1,-1,-1,-1,-1,100,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,5.4556,8,12,18,18,102,153,80,51,46,52,562,-1,-1,-1,-1,100,0,0,5,10,582,500,500.0,594.0,0.06
5,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,16.39068,15,17,18,18,82,75,97,66,115,71,-1,-1,-1,-1,-1,100,0,0,14.31232,8,9,18,18,81,121,95,66,76,98,740,-1,-1,-1,-1,94,0,2,9.3048,10,0,18,18,65,51,48,95,90,47,-1,-1,-1,-1,-1,100,0,0,12.63244,4,10,18,18,71,74,83,79,109,80,729,-1,-1,-1,-1,100,0,0,10.02092,3,2,18,18,80,73,115,116,98,76,641,-1,-1,-1,-1,88,0,0,5,6.67424,0,10,18,18,88,90,80,131,75,66,-1,-1,-1,-1,-1,100,0,0,19.00944,13,16,18,18,58,51,160,79,116,30,-1,-1,-1,-1,-1,100,0,0,7.73092,3,9,18,18,60,86,69,83,76,117,812,151,854,-1,-1,0,0,0,18.96212,2,10,18,18,100,42,82,31,106,23,-1,-1,-1,-1,-1,100,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,5.4556,8,12,18,18,102,153,80,51,46,52,562,-1,-1,-1,-1,0,0,0,1,10,582,400,500.0,582.0,1.0
6,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,16.39068,15,17,18,18,82,75,97,66,115,71,-1,-1,-1,-1,-1,100,0,0,14.31232,8,9,18,18,81,121,95,66,76,98,740,-1,-1,-1,-1,94,0,2,9.3048,10,0,18,18,65,51,48,95,90,47,-1,-1,-1,-1,-1,100,0,0,12.63244,4,10,18,18,71,74,83,79,109,80,729,-1,-1,-1,-1,100,0,0,10.02092,3,2,18,18,80,73,115,116,98,76,641,95,-1,-1,-1,88,0,0,5,6.67424,0,10,18,18,88,90,80,131,75,66,-1,-1,-1,-1,-1,100,0,0,19.00944,13,16,18,18,58,51,160,79,116,30,814,-1,-1,-1,-1,100,0,0,7.73092,3,9,18,18,60,86,69,83,76,117,812,151,854,-1,-1,0,0,0,18.96212,2,10,18,18,100,42,82,31,106,23,-1,-1,-1,-1,-1,100,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,5.4556,8,12,18,18,102,153,80,51,46,52,562,-1,-1,-1,-1,0,0,0,1,1,582,400,400.0,582.0,0.0
7,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,16.39068,15,17,18,18,82,75,97,66,115,71,-1,-1,-1,-1,-1,100,0,0,14.31232,8,9,18,18,81,121,95,66,76,98,740,-1,-1,-1,-1,94,0,2,9.3048,10,0,18,18,65,51,48,95,90,47,-1,-1,-1,-1,-1,100,0,0,12.63244,4,10,18,18,71,74,83,79,109,80,729,-1,-1,-1,-1,100,0,0,10.02092,3,2,18,18,80,73,115,116,98,76,641,95,-1,-1,-1,78,0,0,5,6.67424,0,10,18,18,88,90,80,131,75,66,-1,-1,-1,-1,-1,100,0,0,19.00944,13,16,18,18,58,51,160,79,116,30,814,414,-1,-1,-1,100,0,0,7.73092,3,9,18,18,60,86,69,83,76,117,812,151,854,-1,-1,0,0,0,18.96212,2,10,18,18,100,42,82,31,106,23,-1,-1,-1,-1,-1,100,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,5.4556,8,12,18,18,102,153,80,51,46,52,562,-1,-1,-1,-1,0,0,0,1,2,572,400,400.0,582.0,0.05
8,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,16.39068,15,17,18,18,82,75,97,66,115,71,-1,-1,-1,-1,-1,100,0,0,14.31232,8,9,18,18,81,121,95,66,76,98,740,-1,-1,-1,-1,94,0,2,9.3048,10,0,18,18,65,51,48,95,90,47,-1,-1,-1,-1,-1,100,0,0,12.63244,4,10,18,18,71,74,83,79,109,80,729,-1,-1,-1,-1,100,0,0,10.02092,3,2,18,18,80,73,115,116,98,76,641,95,-1,-1,-1,78,0,0,5,6.67424,0,10,18,18,88,90,80,131,75,66,-1,-1,-1,-1,-1,100,0,0,19.00944,13,16,18,18,58,51,160,79,116,30,814,414,525,-1,-1,22,234,0,7.73092,3,9,18,18,60,86,69,83,76,117,812,151,854,-1,-1,0,0,0,18.96212,2,10,18,18,100,42,82,31,106,23,-1,-1,-1,-1,-1,100,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,5.4556,8,12,18,18,102,153,80,51,46,52,562,-1,-1,-1,-1,0,0,0,1,1,572,322,400.0,572.0,0.78
9,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,16.39068,15,17,18,18,82,75,97,66,115,71,-1,-1,-1,-1,-1,100,0,0,14.31232,8,9,18,18,81,121,95,66,76,98,740,-1,-1,-1,-1,94,0,2,9.3048,10,0,18,18,65,51,48,95,90,47,-1,-1,-1,-1,-1,100,0,0,12.63244,4,10,18,18,71,74,83,79,109,80,729,-1,-1,-1,-1,100,0,0,10.02092,3,2,18,18,80,73,115,116,98,76,641,95,-1,-1,-1,78,0,0,5,6.67424,0,10,18,18,88,90,80,131,75,66,-1,-1,-1,-1,-1,100,0,0,19.00944,13,16,18,18,58,51,160,79,116,30,814,414,525,-1,-1,68,234,0,7.73092,3,9,18,18,60,86,69,83,76,117,812,151,854,-1,-1,0,0,0,18.96212,2,10,18,18,100,42,82,31,106,23,-1,-1,-1,-1,-1,100,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,5.4556,8,12,18,18,102,153,80,51,46,52,562,-1,-1,-1,-1,0,0,0,1,2,572,368,322.0,572.0,-0.46
