turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,1.35528,11,16,18,18,63,118,93,58,80,53,-1,-1,-1,-1,-1,100,0,0,12.26996,2,3,18,18,83,76,65,92,86,95,-1,-1,-1,-1,-1,100,0,0,2.31092,10,0,18,18,96,95,63,108,100,56,-1,-1,-1,-1,-1,100,0,0,2.58364,8,14,18,18,76,100,90,56,63,88,-1,-1,-1,-1,-1,100,0,0,0.69944,2,8,18,18,45,61,166,66,45,70,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,-1,-1,-1,-1,-1,100,0,0,1,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,1.07964,17,8,18,18,95,80,81,85,81,43,-1,-1,-1,-1,-1,100,0,0,21.05188,8,9,18,18,88,102,110,58,71,94,-1,-1,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,-1,-1,-1,-1,-1,100,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,4,6,600,600,,,0.0
1,1.35528,11,16,18,18,63,118,93,58,80,53,-1,-1,-1,-1,-1,100,0,0,12.26996,2,3,18,18,83,76,65,92,86,95,735,-1,-1,-1,-1,94,0,6,2.31092,10,0,18,18,96,95,63,108,100,56,-1,-1,-1,-1,-1,100,0,0,2.58364,8,14,18,18,76,100,90,56,63,88,-1,-1,-1,-1,-1,100,0,0,0.69944,2,8,18,18,45,61,166,66,45,70,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,-1,-1,-1,-1,-1,100,0,0,1,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,1.07964,17,8,18,18,95,80,81,85,81,43,-1,-1,-1,-1,-1,100,0,0,21.05188,8,9,18,18,88,102,110,58,71,94,-1,-1,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,806,-1,-1,-1,-1,100,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,4,6,594,600,600.0,600.0,0.03
2,1.35528,11,16,18,18,63,118,93,58,80,53,-1,-1,-1,-1,-1,100,0,0,12.26996,2,3,18,18,83,76,65,92,86,95,735,87,-1,-1,-1,88,234,6,2.31092,10,0,18,18,96,95,63,108,100,56,-1,-1,-1,-1,-1,100,0,0,2.58364,8,14,18,18,76,100,90,56,63,88,-1,-1,-1,-1,-1,100,0,0,0.69944,2,8,18,18,45,61,166,66,45,70,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,-1,-1,-1,-1,-1,100,0,0,1,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,1.07964,17,8,18,18,95,80,81,85,81,43,-1,-1,-1,-1,-1,100,0,0,21.05188,8,9,18,18,88,102,110,58,71,94,-1,-1,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,806,528,-1,-1,-1,71,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,3,1,588,571,600.0,594.0,0.32
3,1.35528,11,16,18,18,63,118,93,58,80,53,-1,-1,-1,-1,-1,100,0,0,12.26996,2,3,18,18,83,76,65,92,86,95,735,87,752,-1,-1,15,234,6,2.31092,10,0,18,18,96,95,63,108,100,56,-1,-1,-1,-1,-1,100,0,0,2.58364,8,14,18,18,76,100,90,56,63,88,-1,-1,-1,-1,-1,100,0,0,0.69944,2,8,18,18,45,61,166,66,45,70,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,-1,-1,-1,-1,-1,100,0,0,1,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,1.07964,17,8,18,18,95,80,81,85,81,43,-1,-1,-1,-1,-1,100,0,0,21.05188,8,9,18,18,88,102,110,58,71,94,-1,-1,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,570,-1,-1,-1,-1,100,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,806,528,-1,-1,-1,71,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,3,2,515,571,571.0,588.0,0.365
4,1.35528,11,16,18,18,63,118,93,58,80,53,-1,-1,-1,-1,-1,100,0,0,12.26996,2,3,18,18,83,76,65,92,86,95,735,87,752,-1,-1,15,234,6,2.31092,10,0,18,18,96,95,63,108,100,56,-1,-1,-1,-1,-1,85,0,0,2.58364,8,14,18,18,76,100,90,56,63,88,-1,-1,-1,-1,-1,100,0,0,0.69944,2,8,18,18,45,61,166,66,45,70,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,-1,-1,-1,-1,-1,100,0,0,2,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,1.07964,17,8,18,18,95,80,81,85,81,43,-1,-1,-1,-1,-1,100,0,0,21.05188,8,9,18,18,88,102,110,58,71,94,-1,-1,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,570,-1,-1,-1,-1,100,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,806,528,-1,-1,-1,71,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,3,7,500,571,571.0,515.0,0.075
5,1.35528,11,16,18,18,63,118,93,58,80,53,-1,-1,-1,-1,-1,100,0,0,12.26996,2,3,18,18,83,76,65,92,86,95,735,87,752,-1,-1,15,234,6,2.31092,10,0,18,18,96,95,63,108,100,56,814,-1,-1,-1,-1,85,0,0,2.58364,8,14,18,18,76,100,90,56,63,88,-1,-1,-1,-1,-1,100,0,0,0.69944,2,8,18,18,45,61,166,66,45,70,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,-1,-1,-1,-1,-1,100,0,0,2,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,1.07964,17,8,18,18,95,80,81,85,81,43,-1,-1,-1,-1,-1,100,0,0,21.05188,8,9,18,18,88,102,110,58,71,94,-1,-1,-1,-1,-1,100,272,6,4.53724,13,10,18,18,66,81,73,130,86,110,570,-1,-1,-1,-1,100,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,806,528,-1,-1,-1,71,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,2,7,500,571,571.0,500.0,0.0
6,1.35528,11,16,18,18,63,118,93,58,80,53,-1,-1,-1,-1,-1,100,0,0,12.26996,2,3,18,18,83,76,65,92,86,95,735,87,752,-1,-1,15,234,6,2.31092,10,0,18,18,96,95,63,108,100,56,814,602,-1,-1,-1,85,0,0,2.58364,8,14,18,18,76,100,90,56,63,88,-1,-1,-1,-1,-1,100,0,0,0.69944,2,8,18,18,45,61,166,66,45,70,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,-1,-1,-1,-1,-1,100,0,0,2,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,1.07964,17,8,18,18,95,80,81,85,81,43,-1,-1,-1,-1,-1,100,0,0,21.05188,8,9,18,18,88,102,110,58,71,94,806,-1,-1,-1,-1,100,272,6,4.53724,13,10,18,18,66,81,73,130,86,110,570,-1,-1,-1,-1,100,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,806,528,-1,-1,-1,71,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,2,1,500,571,571.0,500.0,0.0
7,1.35528,11,16,18,18,63,118,93,58,80,53,-1,-1,-1,-1,-1,100,0,0,12.26996,2,3,18,18,83,76,65,92,86,95,735,87,752,-1,-1,15,234,6,2.31092,10,0,18,18,96,95,63,108,100,56,814,602,432,-1,-1,85,0,0,2.58364,8,14,18,18,76,100,90,56,63,88,-1,-1,-1,-1,-1,100,0,0,0.69944,2,8,18,18,45,61,166,66,45,70,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,-1,-1,-1,-1,-1,100,0,0,2,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,1.07964,17,8,18,18,95,80,81,85,81,43,-1,-1,-1,-1,-1,100,0,0,21.05188,8,9,18,18,88,102,110,58,71,94,806,151,-1,-1,-1,100,272,6,4.53724,13,10,18,18,66,81,73,130,86,110,570,-1,-1,-1,-1,100,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,806,528,-1,-1,-1,71,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,2,2,500,571,571.0,500.0,0.0
8,1.35528,11,16,18,18,63,118,93,58,80,53,-1,-1,-1,-1,-1,100,0,0,12.26996,2,3,18,18,83,76,65,92,86,95,735,87,752,-1,-1,15,234,6,2.31092,10,0,18,18,96,95,63,108,100,56,814,602,432,856,-1,85,0,0,2.58364,8,14,18,18,76,100,90,56,63,88,-1,-1,-1,-1,-1,100,0,0,0.69944,2,8,18,18,45,61,166,66,45,70,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,-1,-1,-1,-1,-1,100,0,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,1.07964,17,8,18,18,95,80,81,85,81,43,-1,-1,-1,-1,-1,100,0,0,21.05188,8,9,18,18,88,102,110,58,71,94,806,151,528,-1,-1,100,272,6,4.53724,13,10,18,18,66,81,73,130,86,110,570,-1,-1,-1,-1,100,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,806,528,-1,-1,-1,71,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,2,5,500,571,571.0,500.0,0.0
9,1.35528,11,16,18,18,63,118,93,58,80,53,-1,-1,-1,-1,-1,100,0,0,12.26996,2,3,18,18,83,76,65,92,86,95,735,87,752,-1,-1,15,234,6,2.31092,10,0,18,18,96,95,63,108,100,56,814,602,432,856,-1,85,0,0,2.58364,8,14,18,18,76,100,90,56,63,88,-1,-1,-1,-1,-1,100,0,0,0.69944,2,8,18,18,45,61,166,66,45,70,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,-1,-1,-1,-1,-1,100,0,0,5,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,1.07964,17,8,18,18,95,80,81,85,81,43,-1,-1,-1,-1,-1,100,0,0,21.05188,8,9,18,18,88,102,110,58,71,94,806,151,528,-1,-1,100,272,6,4.53724,13,10,18,18,66,81,73,130,86,110,570,-1,-1,-1,-1,100,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,806,528,-1,-1,-1,71,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,1,10,500,571,571.0,500.0,0.0
