turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,42.39952,16,2,18,18,54,68,131,71,105,48,-1,-1,-1,-1,-1,100,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,-1,-1,-1,-1,-1,100,0,0,7.781,0,9,18,18,87,116,86,123,83,83,-1,-1,-1,-1,-1,100,0,0,22.38392,14,8,18,18,86,135,93,66,75,100,-1,-1,-1,-1,-1,100,0,0,6.93512,16,16,18,18,76,131,110,81,86,66,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.3438,1,0,18,18,105,91,75,105,75,93,-1,-1,-1,-1,-1,100,0,0,3.07688,8,6,18,18,60,113,90,53,73,61,-1,-1,-1,-1,-1,100,0,0,20.07604,16,2,18,18,66,90,78,65,76,77,-1,-1,-1,-1,-1,100,0,0,13.31496,15,13,18,18,68,116,65,57,77,85,-1,-1,-1,-1,-1,100,0,0,17.66888,4,6,18,18,65,91,75,86,73,110,-1,-1,-1,-1,-1,100,0,0,5,5,600,600,,,0.0
1,42.39952,16,2,18,18,54,68,131,71,105,48,-1,-1,-1,-1,-1,96,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,-1,-1,-1,-1,-1,100,0,0,7.781,0,9,18,18,87,116,86,123,83,83,-1,-1,-1,-1,-1,100,0,0,22.38392,14,8,18,18,86,135,93,66,75,100,-1,-1,-1,-1,-1,100,0,0,6.93512,16,16,18,18,76,131,110,81,86,66,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.3438,1,0,18,18,105,91,75,105,75,93,-1,-1,-1,-1,-1,100,0,0,3.07688,8,6,18,18,60,113,90,53,73,61,-1,-1,-1,-1,-1,100,0,0,20.07604,16,2,18,18,66,90,78,65,76,77,-1,-1,-1,-1,-1,100,0,0,13.31496,15,13,18,18,68,116,65,57,77,85,-1,-1,-1,-1,-1,100,0,0,17.66888,4,6,18,18,65,91,75,86,73,110,221,-1,-1,-1,-1,84,540,0,5,5,596,584,600.0,600.0,0.18
2,42.39952,16,2,18,18,54,68,131,71,105,48,806,-1,-1,-1,-1,68,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,-1,-1,-1,-1,-1,100,0,0,7.781,0,9,18,18,87,116,86,123,83,83,-1,-1,-1,-1,-1,100,0,0,22.38392,14,8,18,18,86,135,93,66,75,100,-1,-1,-1,-1,-1,100,0,0,6.93512,16,16,18,18,76,131,110,81,86,66,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.3438,1,0,18,18,105,91,75,105,75,93,-1,-1,-1,-1,-1,100,0,0,3.07688,8,6,18,18,60,113,90,53,73,61,-1,-1,-1,-1,-1,100,0,0,20.07604,16,2,18,18,66,90,78,65,76,77,-1,-1,-1,-1,-1,100,0,0,13.31496,15,13,18,18,68,116,65,57,77,85,-1,-1,-1,-1,-1,100,0,0,17.66888,4,6,18,18,65,91,75,86,73,110,221,444,-1,-1,-1,61,540,6,5,5,568,561,584.0,596.0,0.37
3,42.39952,16,2,18,18,54,68,131,71,105,48,806,43,-1,-1,-1,68,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,-1,-1,-1,-1,-1,100,0,0,7.781,0,9,18,18,87,116,86,123,83,83,-1,-1,-1,-1,-1,100,0,0,22.38392,14,8,18,18,86,135,93,66,75,100,-1,-1,-1,-1,-1,100,0,0,6.93512,16,16,18,18,76,131,110,81,86,66,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.3438,1,0,18,18,105,91,75,105,75,93,-1,-1,-1,-1,-1,100,0,0,3.07688,8,6,18,18,60,113,90,53,73,61,-1,-1,-1,-1,-1,100,0,0,20.07604,16,2,18,18,66,90,78,65,76,77,-1,-1,-1,-1,-1,100,0,0,13.31496,15,13,18,18,68,116,65,57,77,85,-1,-1,-1,-1,-1,100,0,0,17.66888,4,6,18,18,65,91,75,86,73,110,221,444,729,-1,-1,50,540,6,5,1,568,550,561.0,568.0,0.11
4,42.39952,16,2,18,18,54,68,131,71,105,48,806,43,600,-1,-1,91,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,-1,-1,-1,-1,-1,100,0,0,7.781,0,9,18,18,87,116,86,123,83,83,-1,-1,-1,-1,-1,100,0,0,22.38392,14,8,18,18,86,135,93,66,75,100,-1,-1,-1,-1,-1,100,0,0,6.93512,16,16,18,18,76,131,110,81,86,66,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.3438,1,0,18,18,105,91,75,105,75,93,-1,-1,-1,-1,-1,100,0,0,3.07688,8,6,18,18,60,113,90,53,73,61,-1,-1,-1,-1,-1,100,0,0,20.07604,16,2,18,18,66,90,78,65,76,77,-1,-1,-1,-1,-1,100,0,0,13.31496,15,13,18,18,68,116,65,57,77,85,-1,-1,-1,-1,-1,100,0,0,17.66888,4,6,18,18,65,91,75,86,73,110,221,444,729,-1,-1,15,540,6,5,2,591,515,550.0,568.0,0.465
5,42.39952,16,2,18,18,54,68,131,71,105,48,806,43,600,-1,-1,100,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,-1,-1,-1,-1,-1,100,0,0,7.781,0,9,18,18,87,116,86,123,83,83,-1,-1,-1,-1,-1,100,0,0,22.38392,14,8,18,18,86,135,93,66,75,100,-1,-1,-1,-1,-1,100,0,0,6.93512,16,16,18,18,76,131,110,81,86,66,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.3438,1,0,18,18,105,91,75,105,75,93,-1,-1,-1,-1,-1,100,0,0,3.07688,8,6,18,18,60,113,90,53,73,61,-1,-1,-1,-1,-1,100,0,0,20.07604,16,2,18,18,66,90,78,65,76,77,-1,-1,-1,-1,-1,100,0,0,13.31496,15,13,18,18,68,116,65,57,77,85,-1,-1,-1,-1,-1,100,0,0,17.66888,4,6,18,18,65,91,75,86,73,110,221,444,729,-1,-1,0,540,6,3,3,600,500,515.0,591.0,0.195
6,42.39952,16,2,18,18,54,68,131,71,105,48,806,43,600,151,-1,100,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,-1,-1,-1,-1,-1,100,0,0,7.781,0,9,18,18,87,116,86,123,83,83,-1,-1,-1,-1,-1,100,0,0,22.38392,14,8,18,18,86,135,93,66,75,100,-1,-1,-1,-1,-1,100,0,0,6.93512,16,16,18,18,76,131,110,81,86,66,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.3438,1,0,18,18,105,91,75,105,75,93,-1,-1,-1,-1,-1,100,0,0,3.07688,8,6,18,18,60,113,90,53,73,61,-1,-1,-1,-1,-1,100,0,0,20.07604,16,2,18,18,66,90,78,65,76,77,668,-1,-1,-1,-1,100,0,0,13.31496,15,13,18,18,68,116,65,57,77,85,-1,-1,-1,-1,-1,100,0,0,17.66888,4,6,18,18,65,91,75,86,73,110,221,444,729,-1,-1,0,540,6,3,3,600,500,500.0,600.0,0.0
7,42.39952,16,2,18,18,54,68,131,71,105,48,806,43,600,151,-1,100,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,-1,-1,-1,-1,-1,100,0,0,7.781,0,9,18,18,87,116,86,123,83,83,-1,-1,-1,-1,-1,100,0,0,22.38392,14,8,18,18,86,135,93,66,75,100,-1,-1,-1,-1,-1,100,0,0,6.93512,16,16,18,18,76,131,110,81,86,66,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,1,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.3438,1,0,18,18,105,91,75,105,75,93,-1,-1,-1,-1,-1,100,0,0,3.07688,8,6,18,18,60,113,90,53,73,61,-1,-1,-1,-1,-1,100,0,0,20.07604,16,2,18,18,66,90,78,65,76,77,668,-1,-1,-1,-1,100,0,0,13.31496,15,13,18,18,68,116,65,57,77,85,-1,-1,-1,-1,-1,100,0,0,17.66888,4,6,18,18,65,91,75,86,73,110,221,444,729,-1,-1,0,540,6,3,6,600,500,500.0,600.0,0.0
8,42.39952,16,2,18,18,54,68,131,71,105,48,806,43,600,151,-1,100,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,-1,-1,-1,-1,-1,0,0,0,7.781,0,9,18,18,87,116,86,123,83,83,-1,-1,-1,-1,-1,100,0,0,22.38392,14,8,18,18,86,135,93,66,75,100,-1,-1,-1,-1,-1,100,0,0,6.93512,16,16,18,18,76,131,110,81,86,66,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.3438,1,0,18,18,105,91,75,105,75,93,-1,-1,-1,-1,-1,100,0,0,3.07688,8,6,18,18,60,113,90,53,73,61,-1,-1,-1,-1,-1,100,0,0,20.07604,16,2,18,18,66,90,78,65,76,77,668,738,-1,-1,-1,91,270,0,13.31496,15,13,18,18,68,116,65,57,77,85,-1,-1,-1,-1,-1,100,0,0,17.66888,4,6,18,18,65,91,75,86,73,110,221,444,729,-1,-1,0,540,6,3,9,500,491,500.0,600.0,0.59
9,42.39952,16,2,18,18,54,68,131,71,105,48,806,43,600,151,-1,100,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,-1,-1,-1,-1,-1,0,0,0,7.781,0,9,18,18,87,116,86,123,83,83,-1,-1,-1,-1,-1,100,0,0,22.38392,14,8,18,18,86,135,93,66,75,100,-1,-1,-1,-1,-1,100,0,0,6.93512,16,16,18,18,76,131,110,81,86,66,239,-1,-1,-1,-1,0,270,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,2,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.3438,1,0,18,18,105,91,75,105,75,93,-1,-1,-1,-1,-1,100,0,0,3.07688,8,6,18,18,60,113,90,53,73,61,-1,-1,-1,-1,-1,100,0,0,20.07604,16,2,18,18,66,90,78,65,76,77,668,738,433,-1,-1,33,270,0,13.31496,15,13,18,18,68,116,65,57,77,85,-1,-1,-1,-1,-1,100,0,0,17.66888,4,6,18,18,65,91,75,86,73,110,221,444,729,-1,-1,0,540,6,3,7,400,433,491.0,500.0,1.08
