turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,1.9222,14,2,18,18,89,114,98,93,94,78,-1,-1,-1,-1,-1,100,0,0,16.89064,5,8,18,18,109,130,90,73,68,94,-1,-1,-1,-1,-1,100,0,0,2.38976,4,1,18,18,70,116,80,73,66,86,-1,-1,-1,-1,-1,100,0,0,7.74736,6,15,18,18,91,121,80,65,80,79,-1,-1,-1,-1,-1,100,0,0,21.55064,0,13,18,18,76,60,120,121,85,50,-1,-1,-1,-1,-1,100,0,0,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,4,10.67144,8,9,18,18,76,94,86,54,57,100,-1,-1,-1,-1,-1,100,0,0,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,2.21696,2,9,18,18,90,91,85,101,95,83,-1,-1,-1,-1,-1,100,0,0,22.55268,15,9,18,18,111,88,59,113,78,86,-1,-1,-1,-1,-1,100,0,0,1.48216,2,9,18,18,73,80,49,81,94,94,-1,-1,-1,-1,-1,100,0,0,5,9,600,600,,,0.0
1,1.9222,14,2,18,18,89,114,98,93,94,78,-1,-1,-1,-1,-1,100,0,0,16.89064,5,8,18,18,109,130,90,73,68,94,-1,-1,-1,-1,-1,100,0,0,2.38976,4,1,18,18,70,116,80,73,66,86,-1,-1,-1,-1,-1,100,0,0,7.74736,6,15,18,18,91,121,80,65,80,79,-1,-1,-1,-1,-1,100,0,0,21.55064,0,13,18,18,76,60,120,121,85,50,854,-1,-1,-1,-1,100,0,0,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,4,10.67144,8,9,18,18,76,94,86,54,57,100,-1,-1,-1,-1,-1,100,0,0,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,2.21696,2,9,18,18,90,91,85,101,95,83,-1,-1,-1,-1,-1,100,0,0,22.55268,15,9,18,18,111,88,59,113,78,86,-1,-1,-1,-1,-1,100,0,0,1.48216,2,9,18,18,73,80,49,81,94,94,807,-1,-1,-1,-1,100,0,0,5,9,600,600,600.0,600.0,0.0
2,1.9222,14,2,18,18,89,114,98,93,94,78,-1,-1,-1,-1,-1,100,0,0,16.89064,5,8,18,18,109,130,90,73,68,94,-1,-1,-1,-1,-1,100,0,0,2.38976,4,1,18,18,70,116,80,73,66,86,-1,-1,-1,-1,-1,100,0,0,7.74736,6,15,18,18,91,121,80,65,80,79,-1,-1,-1,-1,-1,100,0,0,21.55064,0,13,18,18,76,60,120,121,85,50,854,811,-1,-1,-1,100,0,0,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,4,10.67144,8,9,18,18,76,94,86,54,57,100,-1,-1,-1,-1,-1,100,0,0,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,2.21696,2,9,18,18,90,91,85,101,95,83,-1,-1,-1,-1,-1,100,0,0,22.55268,15,9,18,18,111,88,59,113,78,86,-1,-1,-1,-1,-1,100,0,0,1.48216,2,9,18,18,73,80,49,81,94,94,807,800,-1,-1,-1,71,0,0,5,1,600,571,600.0,600.0,0.29
3,1.9222,14,2,18,18,89,114,98,93,94,78,-1,-1,-1,-1,-1,100,0,0,16.89064,5,8,18,18,109,130,90,73,68,94,-1,-1,-1,-1,-1,100,0,0,2.38976,4,1,18,18,70,116,80,73,66,86,-1,-1,-1,-1,-1,100,0,0,7.74736,6,15,18,18,91,121,80,65,80,79,-1,-1,-1,-1,-1,100,0,0,21.55064,0,13,18,18,76,60,120,121,85,50,854,811,384,-1,-1,100,0,4,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,4,10.67144,8,9,18,18,76,94,86,54,57,100,-1,-1,-1,-1,-1,100,0,0,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,2.21696,2,9,18,18,90,91,85,101,95,83,-1,-1,-1,-1,-1,100,0,0,22.55268,15,9,18,18,111,88,59,113,78,86,-1,-1,-1,-1,-1,100,0,0,1.48216,2,9,18,18,73,80,49,81,94,94,807,800,-1,-1,-1,53,0,0,5,2,600,553,571.0,600.0,0.18
4,1.9222,14,2,18,18,89,114,98,93,94,78,-1,-1,-1,-1,-1,100,0,0,16.89064,5,8,18,18,109,130,90,73,68,94,-1,-1,-1,-1,-1,100,0,0,2.38976,4,1,18,18,70,116,80,73,66,86,-1,-1,-1,-1,-1,100,0,0,7.74736,6,15,18,18,91,121,80,65,80,79,-1,-1,-1,-1,-1,100,0,0,21.55064,0,13,18,18,76,60,120,121,85,50,854,811,384,-1,-1,71,0,4,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,4,10.67144,8,9,18,18,76,94,86,54,57,100,-1,-1,-1,-1,-1,100,0,0,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,2.21696,2,9,18,18,90,91,85,101,95,83,-1,-1,-1,-1,-1,100,0,0,22.55268,15,9,18,18,111,88,59,113,78,86,-1,-1,-1,-1,-1,100,0,0,1.48216,2,9,18,18,73,80,49,81,94,94,807,800,514,-1,-1,71,0,0,5,2,571,571,553.0,600.0,-0.035
5,1.9222,14,2,18,18,89,114,98,93,94,78,-1,-1,-1,-1,-1,100,0,0,16.89064,5,8,18,18,109,130,90,73,68,94,-1,-1,-1,-1,-1,100,0,0,2.38976,4,1,18,18,70,116,80,73,66,86,-1,-1,-1,-1,-1,100,0,0,7.74736,6,15,18,18,91,121,80,65,80,79,-1,-1,-1,-1,-1,100,0,0,21.55064,0,13,18,18,76,60,120,121,85,50,854,811,384,-1,-1,71,0,4,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,4,10.67144,8,9,18,18,76,94,86,54,57,100,-1,-1,-1,-1,-1,100,0,0,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,2.21696,2,9,18,18,90,91,85,101,95,83,-1,-1,-1,-1,-1,100,0,0,22.55268,15,9,18,18,111,88,59,113,78,86,-1,-1,-1,-1,-1,100,0,0,1.48216,2,9,18,18,73,80,49,81,94,94,807,800,514,-1,-1,65,0,2,5,1,571,565,571.0,571.0,0.06
6,1.9222,14,2,18,18,89,114,98,93,94,78,-1,-1,-1,-1,-1,100,0,0,16.89064,5,8,18,18,109,130,90,73,68,94,-1,-1,-1,-1,-1,100,0,0,2.38976,4,1,18,18,70,116,80,73,66,86,-1,-1,-1,-1,-1,100,0,0,7.74736,6,15,18,18,91,121,80,65,80,79,-1,-1,-1,-1,-1,100,0,0,21.55064,0,13,18,18,76,60,120,121,85,50,854,811,384,-1,-1,40,0,4,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,4,10.67144,8,9,18,18,76,94,86,54,57,100,-1,-1,-1,-1,-1,100,0,0,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,2.21696,2,9,18,18,90,91,85,101,95,83,-1,-1,-1,-1,-1,100,0,0,22.55268,15,9,18,18,111,88,59,113,78,86,-1,-1,-1,-1,-1,100,0,0,1.48216,2,9,18,18,73,80,49,81,94,94,807,800,514,-1,-1,48,0,2,5,2,540,548,565.0,571.0,0.325
7,1.9222,14,2,18,18,89,114,98,93,94,78,-1,-1,-1,-1,-1,100,0,0,16.89064,5,8,18,18,109,130,90,73,68,94,-1,-1,-1,-1,-1,100,0,0,2.38976,4,1,18,18,70,116,80,73,66,86,-1,-1,-1,-1,-1,100,0,0,7.74736,6,15,18,18,91,121,80,65,80,79,-1,-1,-1,-1,-1,100,0,0,21.55064,0,13,18,18,76,60,120,121,85,50,854,811,384,-1,-1,8,0,4,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,4,10.67144,8,9,18,18,76,94,86,54,57,100,-1,-1,-1,-1,-1,100,0,0,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,2.21696,2,9,18,18,90,91,85,101,95,83,-1,-1,-1,-1,-1,100,0,0,22.55268,15,9,18,18,111,88,59,113,78,86,-1,-1,-1,-1,-1,100,0,0,1.48216,2,9,18,18,73,80,49,81,94,94,807,800,514,-1,-1,27,0,2,5,2,508,527,548.0,540.0,0.37
8,1.9222,14,2,18,18,89,114,98,93,94,78,-1,-1,-1,-1,-1,100,0,0,16.89064,5,8,18,18,109,130,90,73,68,94,-1,-1,-1,-1,-1,100,0,0,2.38976,4,1,18,18,70,116,80,73,66,86,-1,-1,-1,-1,-1,100,0,6,7.74736,6,15,18,18,91,121,80,65,80,79,-1,-1,-1,-1,-1,100,0,0,21.55064,0,13,18,18,76,60,120,121,85,50,854,811,384,-1,-1,0,0,4,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,2,10.67144,8,9,18,18,76,94,86,54,57,100,-1,-1,-1,-1,-1,100,0,0,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,2.21696,2,9,18,18,90,91,85,101,95,83,-1,-1,-1,-1,-1,100,0,0,22.55268,15,9,18,18,111,88,59,113,78,86,-1,-1,-1,-1,-1,100,0,0,1.48216,2,9,18,18,73,80,49,81,94,94,807,800,514,-1,-1,26,0,2,5,7,500,526,527.0,508.0,0.05
9,1.9222,14,2,18,18,89,114,98,93,94,78,-1,-1,-1,-1,-1,100,0,0,16.89064,5,8,18,18,109,130,90,73,68,94,-1,-1,-1,-1,-1,100,0,0,2.38976,4,1,18,18,70,116,80,73,66,86,184,-1,-1,-1,-1,52,0,6,7.74736,6,15,18,18,91,121,80,65,80,79,-1,-1,-1,-1,-1,100,0,0,21.55064,0,13,18,18,76,60,120,121,85,50,854,811,384,-1,-1,0,0,4,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,2,10.67144,8,9,18,18,76,94,86,54,57,100,-1,-1,-1,-1,-1,100,0,0,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,2.21696,2,9,18,18,90,91,85,101,95,83,-1,-1,-1,-1,-1,100,0,0,22.55268,15,9,18,18,111,88,59,113,78,86,-1,-1,-1,-1,-1,100,0,0,1.48216,2,9,18,18,73,80,49,81,94,94,807,800,514,-1,-1,53,0,2,5,7,452,553,526.0,500.0,-0.03
10,1.9222,14,2,18,18,89,114,98,93,94,78,-1,-1,-1,-1,-1,100,0,0,16.89064,5,8,18,18,109,130,90,73,68,94,-1,-1,-1,-1,-1,100,0,6,2.38976,4,1,18,18,70,116,80,73,66,86,184,-1,-1,-1,-1,0,0,6,7.74736,6,15,18,18,91,121,80,65,80,79,-1,-1,-1,-1,-1,100,0,0,21.55064,0,13,18,18,76,60,120,121,85,50,854,811,384,-1,-1,0,0,4,33.74596,17,16,18,18,88,84,109,91,125,33,-1,-1,-1,-1,-1,100,0,0,1,10.67144,8,9,18,18,76,94,86,54,57,100,-1,-1,-1,-1,-1,100,0,0,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,2.21696,2,9,18,18,90,91,85,101,95,83,-1,-1,-1,-1,-1,100,0,0,22.55268,15,9,18,18,111,88,59,113,78,86,-1,-1,-1,-1,-1,100,0,0,1.48216,2,9,18,18,73,80,49,81,94,94,807,800,514,-1,-1,86,0,2,5,6,400,586,553.0,452.0,-0.07
