turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,14.427,14,5,18,18,101,96,79,99,97,65,-1,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,-1,-1,-1,-1,-1,100,0,0,0.8718,14,1,18,18,90,118,85,100,93,90,-1,-1,-1,-1,-1,100,0,0,2,3.68152,10,8,18,18,73,101,100,106,83,70,-1,-1,-1,-1,-1,100,0,0,16.54976,0,9,18,18,110,131,90,70,73,73,-1,-1,-1,-1,-1,100,0,0,11.39956,0,13,18,18,74,105,63,64,61,67,-1,-1,-1,-1,-1,100,0,0,33.90016,7,15,18,18,65,99,104,57,118,73,-1,-1,-1,-1,-1,100,0,0,3.13816,10,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,2.02196,2,9,18,18,113,86,79,92,79,82,-1,-1,-1,-1,-1,100,0,0,0,7,600,600,,,0.0
1,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,14.427,14,5,18,18,101,96,79,99,97,65,217,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,-1,-1,-1,-1,-1,100,0,0,0.8718,14,1,18,18,90,118,85,100,93,90,-1,-1,-1,-1,-1,100,0,0,2,3.68152,10,8,18,18,73,101,100,106,83,70,729,-1,-1,-1,-1,22,234,0,16.54976,0,9,18,18,110,131,90,70,73,73,-1,-1,-1,-1,-1,100,0,0,11.39956,0,13,18,18,74,105,63,64,61,67,-1,-1,-1,-1,-1,100,0,0,33.90016,7,15,18,18,65,99,104,57,118,73,-1,-1,-1,-1,-1,100,0,0,3.13816,10,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,2.02196,2,9,18,18,113,86,79,92,79,82,-1,-1,-1,-1,-1,100,0,0,0,7,600,522,600.0,600.0,0.78
2,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,14.427,14,5,18,18,101,96,79,99,97,65,217,151,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,-1,-1,-1,-1,-1,100,0,0,0.8718,14,1,18,18,90,118,85,100,93,90,-1,-1,-1,-1,-1,100,0,0,2,3.68152,10,8,18,18,73,101,100,106,83,70,729,-1,-1,-1,-1,22,234,0,16.54976,0,9,18,18,110,131,90,70,73,73,-1,-1,-1,-1,-1,100,0,0,11.39956,0,13,18,18,74,105,63,64,61,67,-1,-1,-1,-1,-1,100,0,0,33.90016,7,15,18,18,65,99,104,57,118,73,-1,-1,-1,-1,-1,100,0,0,3.13816,10,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,2.02196,2,9,18,18,113,86,79,92,79,82,-1,-1,-1,-1,-1,100,0,0,4,1,600,522,522.0,600.0,0.0
3,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,14.427,14,5,18,18,101,96,79,99,97,65,217,151,729,-1,-1,54,234,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,-1,-1,-1,-1,-1,100,0,0,0.8718,14,1,18,18,90,118,85,100,93,90,-1,-1,-1,-1,-1,100,0,0,2,3.68152,10,8,18,18,73,101,100,106,83,70,729,-1,-1,-1,-1,22,234,0,16.54976,0,9,18,18,110,131,90,70,73,73,-1,-1,-1,-1,-1,100,0,0,11.39956,0,13,18,18,74,105,63,64,61,67,-1,-1,-1,-1,-1,100,0,0,33.90016,7,15,18,18,65,99,104,57,118,73,-1,-1,-1,-1,-1,100,0,0,3.13816,10,1,18,18,105,110,90,96,91,100,184,-1,-1,-1,-1,100,0,0,2.02196,2,9,18,18,113,86,79,92,79,82,-1,-1,-1,-1,-1,100,0,0,4,2,554,522,522.0,600.0,0.23
4,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,14.427,14,5,18,18,101,96,79,99,97,65,217,151,729,-1,-1,54,234,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,-1,-1,-1,-1,-1,100,234,0,0.8718,14,1,18,18,90,118,85,100,93,90,-1,-1,-1,-1,-1,100,0,0,4,3.68152,10,8,18,18,73,101,100,106,83,70,729,-1,-1,-1,-1,22,234,0,16.54976,0,9,18,18,110,131,90,70,73,73,-1,-1,-1,-1,-1,100,0,0,11.39956,0,13,18,18,74,105,63,64,61,67,-1,-1,-1,-1,-1,100,0,0,33.90016,7,15,18,18,65,99,104,57,118,73,-1,-1,-1,-1,-1,100,0,0,3.13816,10,1,18,18,105,110,90,96,91,100,184,-1,-1,-1,-1,100,0,0,2.02196,2,9,18,18,113,86,79,92,79,82,-1,-1,-1,-1,-1,100,0,0,4,9,554,522,522.0,554.0,0.0
5,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,14.427,14,5,18,18,101,96,79,99,97,65,217,151,729,-1,-1,54,234,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,-1,-1,-1,-1,-1,100,234,0,0.8718,14,1,18,18,90,118,85,100,93,90,-1,-1,-1,-1,-1,100,0,0,1,3.68152,10,8,18,18,73,101,100,106,83,70,729,-1,-1,-1,-1,22,234,0,16.54976,0,9,18,18,110,131,90,70,73,73,-1,-1,-1,-1,-1,100,0,0,11.39956,0,13,18,18,74,105,63,64,61,67,-1,-1,-1,-1,-1,100,0,0,33.90016,7,15,18,18,65,99,104,57,118,73,-1,-1,-1,-1,-1,94,281,0,3.13816,10,1,18,18,105,110,90,96,91,100,184,-1,-1,-1,-1,100,0,0,2.02196,2,9,18,18,113,86,79,92,79,82,-1,-1,-1,-1,-1,100,0,0,3,6,554,516,522.0,554.0,0.06
6,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,94,0,6,14.427,14,5,18,18,101,96,79,99,97,65,217,151,729,-1,-1,54,234,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,-1,-1,-1,-1,-1,100,234,0,0.8718,14,1,18,18,90,118,85,100,93,90,-1,-1,-1,-1,-1,100,0,0,1,3.68152,10,8,18,18,73,101,100,106,83,70,729,-1,-1,-1,-1,22,234,0,16.54976,0,9,18,18,110,131,90,70,73,73,-1,-1,-1,-1,-1,100,0,0,11.39956,0,13,18,18,74,105,63,64,61,67,-1,-1,-1,-1,-1,100,0,0,33.90016,7,15,18,18,65,99,104,57,118,73,806,-1,-1,-1,-1,61,281,0,3.13816,10,1,18,18,105,110,90,96,91,100,184,-1,-1,-1,-1,100,0,0,2.02196,2,9,18,18,113,86,79,92,79,82,-1,-1,-1,-1,-1,100,0,0,3,6,548,483,516.0,554.0,0.36
7,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,175,-1,-1,-1,82,0,6,14.427,14,5,18,18,101,96,79,99,97,65,217,151,729,-1,-1,54,234,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,-1,-1,-1,-1,-1,100,234,0,0.8718,14,1,18,18,90,118,85,100,93,90,-1,-1,-1,-1,-1,100,0,0,1,3.68152,10,8,18,18,73,101,100,106,83,70,729,-1,-1,-1,-1,22,234,0,16.54976,0,9,18,18,110,131,90,70,73,73,-1,-1,-1,-1,-1,100,0,0,11.39956,0,13,18,18,74,105,63,64,61,67,-1,-1,-1,-1,-1,100,0,0,33.90016,7,15,18,18,65,99,104,57,118,73,806,528,-1,-1,-1,61,281,0,3.13816,10,1,18,18,105,110,90,96,91,100,184,-1,-1,-1,-1,100,0,0,2.02196,2,9,18,18,113,86,79,92,79,82,-1,-1,-1,-1,-1,100,0,0,0,1,536,483,483.0,548.0,0.06
8,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,175,-1,-1,-1,64,0,6,14.427,14,5,18,18,101,96,79,99,97,65,217,151,729,-1,-1,54,234,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,-1,-1,-1,-1,-1,100,234,0,0.8718,14,1,18,18,90,118,85,100,93,90,-1,-1,-1,-1,-1,100,0,0,1,3.68152,10,8,18,18,73,101,100,106,83,70,729,-1,-1,-1,-1,0,234,0,16.54976,0,9,18,18,110,131,90,70,73,73,-1,-1,-1,-1,-1,100,0,0,11.39956,0,13,18,18,74,105,63,64,61,67,-1,-1,-1,-1,-1,88,0,0,33.90016,7,15,18,18,65,99,104,57,118,73,806,528,-1,-1,-1,61,281,0,3.13816,10,1,18,18,105,110,90,96,91,100,184,-1,-1,-1,-1,100,0,0,2.02196,2,9,18,18,113,86,79,92,79,82,-1,-1,-1,-1,-1,100,0,0,2,1,518,449,483.0,536.0,0.43
9,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,175,419,-1,-1,39,0,6,14.427,14,5,18,18,101,96,79,99,97,65,217,151,729,-1,-1,54,234,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,-1,-1,-1,-1,-1,100,234,0,0.8718,14,1,18,18,90,118,85,100,93,90,-1,-1,-1,-1,-1,100,0,0,1,3.68152,10,8,18,18,73,101,100,106,83,70,729,-1,-1,-1,-1,0,234,0,16.54976,0,9,18,18,110,131,90,70,73,73,-1,-1,-1,-1,-1,100,0,0,11.39956,0,13,18,18,74,105,63,64,61,67,-1,-1,-1,-1,-1,0,0,0,33.90016,7,15,18,18,65,99,104,57,118,73,806,528,-1,-1,-1,82,281,0,3.13816,10,1,18,18,105,110,90,96,91,100,184,-1,-1,-1,-1,100,0,0,2.02196,2,9,18,18,113,86,79,92,79,82,-1,-1,-1,-1,-1,100,0,0,3,2,493,382,449.0,518.0,0.795
