turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,2.13832,7,1,18,18,82,86,78,83,81,110,-1,-1,-1,-1,-1,100,0,0,17.67164,5,5,18,18,70,106,66,68,75,120,-1,-1,-1,-1,-1,100,0,0,9.51728,3,9,18,18,68,76,131,100,83,66,-1,-1,-1,-1,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,37.04572,12,9,18,18,80,94,87,70,62,107,-1,-1,-1,-1,-1,100,0,0,2,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,100,0,0,0,7,600,600,,,0.0
1,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,2.13832,7,1,18,18,82,86,78,83,81,110,-1,-1,-1,-1,-1,100,0,0,17.67164,5,5,18,18,70,106,66,68,75,120,414,-1,-1,-1,-1,72,540,0,9.51728,3,9,18,18,68,76,131,100,83,66,-1,-1,-1,-1,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,37.04572,12,9,18,18,80,94,87,70,62,107,-1,-1,-1,-1,-1,100,0,0,2,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,-1,-1,-1,-1,-1,74,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,100,0,0,1,7,572,574,600.0,600.0,0.4
2,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,2.13832,7,1,18,18,82,86,78,83,81,110,-1,-1,-1,-1,-1,100,0,0,17.67164,5,5,18,18,70,106,66,68,75,120,414,391,-1,-1,-1,72,540,0,9.51728,3,9,18,18,68,76,131,100,83,66,-1,-1,-1,-1,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,37.04572,12,9,18,18,80,94,87,70,62,107,-1,-1,-1,-1,-1,100,0,0,2,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,729,-1,-1,-1,-1,51,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,100,0,0,1,1,572,551,574.0,572.0,0.23
3,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,2.13832,7,1,18,18,82,86,78,83,81,110,-1,-1,-1,-1,-1,100,0,0,17.67164,5,5,18,18,70,106,66,68,75,120,414,391,-1,-1,-1,72,540,0,9.51728,3,9,18,18,68,76,131,100,83,66,-1,-1,-1,-1,-1,75,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,37.04572,12,9,18,18,80,94,87,70,62,107,-1,-1,-1,-1,-1,100,0,0,3,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,729,769,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,100,0,0,1,8,547,600,551.0,572.0,-0.365
4,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,2.13832,7,1,18,18,82,86,78,83,81,110,-1,-1,-1,-1,-1,100,0,0,17.67164,5,5,18,18,70,106,66,68,75,120,414,391,-1,-1,-1,72,540,0,9.51728,3,9,18,18,68,76,131,100,83,66,628,-1,-1,-1,-1,88,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,37.04572,12,9,18,18,80,94,87,70,62,107,-1,-1,-1,-1,-1,100,0,0,3,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,729,769,427,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,100,0,0,1,8,560,600,600.0,547.0,0.065
5,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,2.13832,7,1,18,18,82,86,78,83,81,110,-1,-1,-1,-1,-1,100,0,0,17.67164,5,5,18,18,70,106,66,68,75,120,414,391,-1,-1,-1,72,540,0,9.51728,3,9,18,18,68,76,131,100,83,66,628,151,-1,-1,-1,76,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,37.04572,12,9,18,18,80,94,87,70,62,107,-1,-1,-1,-1,-1,100,0,0,3,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,729,769,427,563,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,100,0,0,1,1,548,600,600.0,560.0,0.06
6,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,2.13832,7,1,18,18,82,86,78,83,81,110,-1,-1,-1,-1,-1,100,0,0,17.67164,5,5,18,18,70,106,66,68,75,120,414,391,-1,-1,-1,72,540,0,9.51728,3,9,18,18,68,76,131,100,83,66,628,151,-1,-1,-1,76,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,37.04572,12,9,18,18,80,94,87,70,62,107,-1,-1,-1,-1,-1,100,0,0,1,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,729,769,427,563,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,100,0,0,1,6,548,600,600.0,548.0,0.0
7,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,2.13832,7,1,18,18,82,86,78,83,81,110,211,-1,-1,-1,-1,100,0,0,17.67164,5,5,18,18,70,106,66,68,75,120,414,391,-1,-1,-1,72,540,0,9.51728,3,9,18,18,68,76,131,100,83,66,628,151,-1,-1,-1,76,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,37.04572,12,9,18,18,80,94,87,70,62,107,-1,-1,-1,-1,-1,100,0,0,1,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,729,769,427,563,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,76,234,0,5,6,548,576,600.0,548.0,0.24
8,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,2.13832,7,1,18,18,82,86,78,83,81,110,211,-1,-1,-1,-1,100,0,0,17.67164,5,5,18,18,70,106,66,68,75,120,414,391,-1,-1,-1,72,540,0,9.51728,3,9,18,18,68,76,131,100,83,66,628,151,-1,-1,-1,56,158,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,37.04572,12,9,18,18,80,94,87,70,62,107,-1,-1,-1,-1,-1,100,0,0,3,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,729,769,427,563,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,641,-1,-1,-1,-1,82,234,0,5,8,528,582,576.0,548.0,0.04
9,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,2.13832,7,1,18,18,82,86,78,83,81,110,211,-1,-1,-1,-1,100,0,0,17.67164,5,5,18,18,70,106,66,68,75,120,414,391,-1,-1,-1,72,540,0,9.51728,3,9,18,18,68,76,131,100,83,66,628,151,-1,-1,-1,100,158,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,37.04572,12,9,18,18,80,94,87,70,62,107,-1,-1,-1,-1,-1,100,0,0,3,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,729,769,427,563,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,641,95,-1,-1,-1,88,234,0,5,1,572,588,582.0,528.0,0.16
