turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision
0,27.60796,17,0,18,18,91,75,68,118,111,80,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,100,0,0,6.0454,4,2,18,18,91,106,101,76,84,70,-1,-1,-1,-1,-1,100,0,0,10.82064,12,17,18,18,113,72,72,97,91,59,-1,-1,-1,-1,-1,100,0,0,0.95208,6,9,18,18,90,132,90,76,90,71,-1,-1,-1,-1,-1,100,0,0,4,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,4.91464,4,6,18,18,80,116,70,61,93,76,-1,-1,-1,-1,-1,100,0,0,13.83304,6,9,18,18,83,114,77,69,75,93,-1,-1,-1,-1,-1,100,0,0,11.82752,16,6,18,18,78,114,90,98,83,95,-1,-1,-1,-1,-1,100,0,0,30.41152,8,6,18,18,90,115,95,48,70,71,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,2,9
1,27.60796,17,0,18,18,91,75,68,118,111,80,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,100,0,0,6.0454,4,2,18,18,91,106,101,76,84,70,-1,-1,-1,-1,-1,100,0,0,10.82064,12,17,18,18,113,72,72,97,91,59,602,-1,-1,-1,-1,100,0,0,0.95208,6,9,18,18,90,132,90,76,90,71,-1,-1,-1,-1,-1,100,0,0,4,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,4.91464,4,6,18,18,80,116,70,61,93,76,-1,-1,-1,-1,-1,100,0,0,13.83304,6,9,18,18,83,114,77,69,75,93,-1,-1,-1,-1,-1,100,0,0,11.82752,16,6,18,18,78,114,90,98,83,95,-1,-1,-1,-1,-1,100,0,0,30.41152,8,6,18,18,90,115,95,48,70,71,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,5,9
2,27.60796,17,0,18,18,91,75,68,118,111,80,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,100,0,0,6.0454,4,2,18,18,91,106,101,76,84,70,-1,-1,-1,-1,-1,100,0,0,10.82064,12,17,18,18,113,72,72,97,91,59,602,432,-1,-1,-1,100,0,0,0.95208,6,9,18,18,90,132,90,76,90,71,-1,-1,-1,-1,-1,100,0,0,4,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,4.91464,4,6,18,18,80,116,70,61,93,76,-1,-1,-1,-1,-1,100,0,0,13.83304,6,9,18,18,83,114,77,69,75,93,-1,-1,-1,-1,-1,100,0,0,11.82752,16,6,18,18,78,114,90,98,83,95,-1,-1,-1,-1,-1,100,0,0,30.41152,8,6,18,18,90,115,95,48,70,71,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,151,-1,-1,-1,-1,100,0,0,5,1
3,27.60796,17,0,18,18,91,75,68,118,111,80,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,100,0,0,6.0454,4,2,18,18,91,106,101,76,84,70,-1,-1,-1,-1,-1,100,0,0,10.82064,12,17,18,18,113,72,72,97,91,59,602,432,-1,-1,-1,100,0,0,0.95208,6,9,18,18,90,132,90,76,90,71,-1,-1,-1,-1,-1,100,0,0,3,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,4.91464,4,6,18,18,80,116,70,61,93,76,-1,-1,-1,-1,-1,100,0,0,13.83304,6,9,18,18,83,114,77,69,75,93,-1,-1,-1,-1,-1,100,0,0,11.82752,16,6,18,18,78,114,90,98,83,95,-1,-1,-1,-1,-1,100,0,0,30.41152,8,6,18,18,90,115,95,48,70,71,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,151,726,-1,-1,-1,100,0,0,5,8
4,27.60796,17,0,18,18,91,75,68,118,111,80,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,100,0,0,6.0454,4,2,18,18,91,106,101,76,84,70,142,-1,-1,-1,-1,100,0,0,10.82064,12,17,18,18,113,72,72,97,91,59,602,432,-1,-1,-1,100,0,0,0.95208,6,9,18,18,90,132,90,76,90,71,-1,-1,-1,-1,-1,100,0,0,3,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,4.91464,4,6,18,18,80,116,70,61,93,76,-1,-1,-1,-1,-1,100,0,0,13.83304,6,9,18,18,83,114,77,69,75,93,-1,-1,-1,-1,-1,100,0,0,11.82752,16,6,18,18,78,114,90,98,83,95,-1,-1,-1,-1,-1,100,0,0,30.41152,8,6,18,18,90,115,95,48,70,71,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,151,726,-1,-1,-1,100,0,0,1,8
5,27.60796,17,0,18,18,91,75,68,118,111,80,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,100,0,0,6.0454,4,2,18,18,91,106,101,76,84,70,142,-1,-1,-1,-1,96,234,0,10.82064,12,17,18,18,113,72,72,97,91,59,602,432,-1,-1,-1,100,0,0,0.95208,6,9,18,18,90,132,90,76,90,71,-1,-1,-1,-1,-1,100,0,0,3,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,4.91464,4,6,18,18,80,116,70,61,93,76,221,-1,-1,-1,-1,91,270,0,13.83304,6,9,18,18,83,114,77,69,75,93,-1,-1,-1,-1,-1,100,0,0,11.82752,16,6,18,18,78,114,90,98,83,95,-1,-1,-1,-1,-1,100,0,0,30.41152,8,6,18,18,90,115,95,48,70,71,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,151,726,-1,-1,-1,100,0,0,1,8
6,27.60796,17,0,18,18,91,75,68,118,111,80,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,100,0,0,6.0454,4,2,18,18,91,106,101,76,84,70,142,-1,-1,-1,-1,42,234,0,10.82064,12,17,18,18,113,72,72,97,91,59,602,432,-1,-1,-1,100,0,0,0.95208,6,9,18,18,90,132,90,76,90,71,-1,-1,-1,-1,-1,100,0,0,3,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,4.91464,4,6,18,18,80,116,70,61,93,76,221,364,-1,-1,-1,81,270,0,13.83304,6,9,18,18,83,114,77,69,75,93,-1,-1,-1,-1,-1,100,0,0,11.82752,16,6,18,18,78,114,90,98,83,95,-1,-1,-1,-1,-1,100,0,0,30.41152,8,6,18,18,90,115,95,48,70,71,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,151,726,-1,-1,-1,100,0,0,1,1
7,27.60796,17,0,18,18,91,75,68,118,111,80,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,100,0,0,6.0454,4,2,18,18,91,106,101,76,84,70,142,-1,-1,-1,-1,0,234,0,10.82064,12,17,18,18,113,72,72,97,91,59,602,432,-1,-1,-1,100,0,0,0.95208,6,9,18,18,90,132,90,76,90,71,-1,-1,-1,-1,-1,100,0,0,2,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,4.91464,4,6,18,18,80,116,70,61,93,76,221,364,-1,-1,-1,71,270,0,13.83304,6,9,18,18,83,114,77,69,75,93,-1,-1,-1,-1,-1,100,0,0,11.82752,16,6,18,18,78,114,90,98,83,95,-1,-1,-1,-1,-1,100,0,0,30.41152,8,6,18,18,90,115,95,48,70,71,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,151,726,-1,-1,-1,100,0,0,1,7
8,27.60796,17,0,18,18,91,75,68,118,111,80,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,61,-1,-1,-1,-1,81,270,0,6.0454,4,2,18,18,91,106,101,76,84,70,142,-1,-1,-1,-1,0,234,0,10.82064,12,17,18,18,113,72,72,97,91,59,602,432,-1,-1,-1,100,0,0,0.95208,6,9,18,18,90,132,90,76,90,71,-1,-1,-1,-1,-1,100,0,0,2,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,4.91464,4,6,18,18,80,116,70,61,93,76,221,364,90,-1,-1,0,270,0,13.83304,6,9,18,18,83,114,77,69,75,93,-1,-1,-1,-1,-1,100,0,0,11.82752,16,6,18,18,78,114,90,98,83,95,-1,-1,-1,-1,-1,100,0,0,30.41152,8,6,18,18,90,115,95,48,70,71,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,151,726,-1,-1,-1,100,0,0,5,7
9,27.60796,17,0,18,18,91,75,68,118,111,80,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,61,567,-1,-1,-1,81,270,0,6.0454,4,2,18,18,91,106,101,76,84,70,142,-1,-1,-1,-1,0,234,0,10.82064,12,17,18,18,113,72,72,97,91,59,602,432,-1,-1,-1,100,0,0,0.95208,6,9,18,18,90,132,90,76,90,71,-1,-1,-1,-1,-1,100,0,0,2,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,4.91464,4,6,18,18,80,116,70,61,93,76,221,364,90,-1,-1,0,270,0,13.83304,6,9,18,18,83,114,77,69,75,93,-1,-1,-1,-1,-1,100,0,0,11.82752,16,6,18,18,78,114,90,98,83,95,-1,-1,-1,-1,-1,100,0,0,30.41152,8,6,18,18,90,115,95,48,70,71,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,151,726,-1,-1,-1,100,0,0,5,1
