turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision
0,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,100,0,0,0,1.745,7,8,18,18,87,107,85,85,80,68,-1,-1,-1,-1,-1,100,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,14.75084,4,8,18,18,82,104,103,64,107,46,-1,-1,-1,-1,-1,100,0,0,2.676,2,8,18,18,86,90,103,73,86,50,-1,-1,-1,-1,-1,100,0,0,9.965,14,8,18,18,105,116,91,81,86,74,-1,-1,-1,-1,-1,100,0,0,5,5
1,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,100,0,0,3,1.745,7,8,18,18,87,107,85,85,80,68,-1,-1,-1,-1,-1,100,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,14.75084,4,8,18,18,82,104,103,64,107,46,-1,-1,-1,-1,-1,100,0,0,2.676,2,8,18,18,86,90,103,73,86,50,-1,-1,-1,-1,-1,100,0,0,9.965,14,8,18,18,105,116,91,81,86,74,767,-1,-1,-1,-1,100,0,0,5,8
2,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,267,-1,-1,-1,-1,11,234,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,100,0,0,3,1.745,7,8,18,18,87,107,85,85,80,68,-1,-1,-1,-1,-1,100,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,14.75084,4,8,18,18,82,104,103,64,107,46,-1,-1,-1,-1,-1,100,0,0,2.676,2,8,18,18,86,90,103,73,86,50,-1,-1,-1,-1,-1,100,0,0,9.965,14,8,18,18,105,116,91,81,86,74,767,194,-1,-1,-1,27,0,0,5,8
3,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,267,-1,-1,-1,-1,0,234,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,100,0,0,2,1.745,7,8,18,18,87,107,85,85,80,68,-1,-1,-1,-1,-1,100,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,14.75084,4,8,18,18,82,104,103,64,107,46,-1,-1,-1,-1,-1,100,0,0,2.676,2,8,18,18,86,90,103,73,86,50,-1,-1,-1,-1,-1,100,0,0,9.965,14,8,18,18,105,116,91,81,86,74,767,194,144,-1,-1,0,0,0,4,7
4,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,-1,-1,-1,-1,-1,67,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,528,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,267,-1,-1,-1,-1,0,234,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,100,0,0,1,1.745,7,8,18,18,87,107,85,85,80,68,-1,-1,-1,-1,-1,100,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,14.75084,4,8,18,18,82,104,103,64,107,46,-1,-1,-1,-1,-1,100,0,0,2.676,2,8,18,18,86,90,103,73,86,50,81,-1,-1,-1,-1,72,540,0,9.965,14,8,18,18,105,116,91,81,86,74,767,194,144,-1,-1,0,0,0,4,6
5,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,11.34904,4,16,18,18,78,90,120,73,105,40,769,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,528,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,267,-1,-1,-1,-1,0,234,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,100,0,0,1,1.745,7,8,18,18,87,107,85,85,80,68,-1,-1,-1,-1,-1,100,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,14.75084,4,8,18,18,82,104,103,64,107,46,-1,-1,-1,-1,-1,100,0,0,2.676,2,8,18,18,86,90,103,73,86,50,81,-1,-1,-1,-1,72,540,0,9.965,14,8,18,18,105,116,91,81,86,74,767,194,144,-1,-1,0,0,0,2,6
6,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,67,272,6,11.34904,4,16,18,18,78,90,120,73,105,40,769,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,528,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,267,-1,-1,-1,-1,0,234,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,100,0,0,0,1.745,7,8,18,18,87,107,85,85,80,68,-1,-1,-1,-1,-1,100,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,237,-1,-1,-1,-1,100,0,0,14.75084,4,8,18,18,82,104,103,64,107,46,-1,-1,-1,-1,-1,100,0,0,2.676,2,8,18,18,86,90,103,73,86,50,81,-1,-1,-1,-1,72,540,0,9.965,14,8,18,18,105,116,91,81,86,74,767,194,144,-1,-1,0,0,0,2,5
7,7.645,3,9,18,18,85,93,111,98,85,96,729,-1,-1,-1,-1,44,272,6,11.34904,4,16,18,18,78,90,120,73,105,40,769,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,528,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,267,-1,-1,-1,-1,0,234,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,100,0,0,0,1.745,7,8,18,18,87,107,85,85,80,68,-1,-1,-1,-1,-1,100,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,237,-1,-1,-1,-1,100,0,0,14.75084,4,8,18,18,82,104,103,64,107,46,-1,-1,-1,-1,-1,100,0,0,2.676,2,8,18,18,86,90,103,73,86,50,81,-1,-1,-1,-1,72,540,0,9.965,14,8,18,18,105,116,91,81,86,74,767,194,144,-1,-1,0,0,0,2,5
8,7.645,3,9,18,18,85,93,111,98,85,96,729,567,-1,-1,-1,56,272,6,11.34904,4,16,18,18,78,90,120,73,105,40,769,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,528,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,267,-1,-1,-1,-1,0,234,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,100,0,0,0,1.745,7,8,18,18,87,107,85,85,80,68,-1,-1,-1,-1,-1,100,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,237,23,-1,-1,-1,100,0,0,14.75084,4,8,18,18,82,104,103,64,107,46,-1,-1,-1,-1,-1,100,0,0,2.676,2,8,18,18,86,90,103,73,86,50,81,-1,-1,-1,-1,72,540,0,9.965,14,8,18,18,105,116,91,81,86,74,767,194,144,-1,-1,0,0,0,2,1
9,7.645,3,9,18,18,85,93,111,98,85,96,729,567,835,-1,-1,56,272,6,11.34904,4,16,18,18,78,90,120,73,105,40,769,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,528,-1,-1,-1,-1,100,0,0,3.78528,15,6,18,18,80,85,100,51,123,68,267,-1,-1,-1,-1,0,234,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,10.4592,2,13,18,18,81,91,128,81,121,58,-1,-1,-1,-1,-1,100,0,0,5,1.745,7,8,18,18,87,107,85,85,80,68,-1,-1,-1,-1,-1,100,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,237,23,-1,-1,-1,76,0,0,14.75084,4,8,18,18,82,104,103,64,107,46,-1,-1,-1,-1,-1,100,0,0,2.676,2,8,18,18,86,90,103,73,86,50,81,-1,-1,-1,-1,72,540,0,9.965,14,8,18,18,105,116,91,81,86,74,767,194,144,-1,-1,0,0,0,2,10
