turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,5.03516,14,0,18,18,88,111,90,86,76,106,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,5.99996,13,10,18,18,120,76,71,93,64,103,-1,-1,-1,-1,-1,100,0,0,3.47324,2,8,18,18,125,60,121,70,45,66,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,4,14.937,4,1,18,18,66,65,81,118,86,93,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,100,0,0,7.339,14,2,18,18,100,113,98,79,84,86,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,-1,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,5,9,600,600
1,5.03516,14,0,18,18,88,111,90,86,76,106,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,5.99996,13,10,18,18,120,76,71,93,64,103,-1,-1,-1,-1,-1,100,0,0,3.47324,2,8,18,18,125,60,121,70,45,66,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,690,-1,-1,-1,-1,100,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,4,14.937,4,1,18,18,66,65,81,118,86,93,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,100,0,0,7.339,14,2,18,18,100,113,98,79,84,86,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,-1,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,4,9,600,600
2,5.03516,14,0,18,18,88,111,90,86,76,106,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,5.99996,13,10,18,18,120,76,71,93,64,103,-1,-1,-1,-1,-1,100,0,0,3.47324,2,8,18,18,125,60,121,70,45,66,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,690,588,-1,-1,-1,100,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,4,14.937,4,1,18,18,66,65,81,118,86,93,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,100,0,0,7.339,14,2,18,18,100,113,98,79,84,86,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,95,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,4,1,600,600
3,5.03516,14,0,18,18,88,111,90,86,76,106,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,5.99996,13,10,18,18,120,76,71,93,64,103,-1,-1,-1,-1,-1,100,0,0,3.47324,2,8,18,18,125,60,121,70,45,66,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,690,588,-1,-1,-1,100,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,4,14.937,4,1,18,18,66,65,81,118,86,93,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,100,0,0,7.339,14,2,18,18,100,113,98,79,84,86,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,95,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,4,2,600,600
4,5.03516,14,0,18,18,88,111,90,86,76,106,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,5.99996,13,10,18,18,120,76,71,93,64,103,-1,-1,-1,-1,-1,100,0,0,3.47324,2,8,18,18,125,60,121,70,45,66,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,690,588,-1,-1,-1,100,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,4,14.937,4,1,18,18,66,65,81,118,86,93,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,100,0,0,7.339,14,2,18,18,100,113,98,79,84,86,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,95,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,4,2,600,600
5,5.03516,14,0,18,18,88,111,90,86,76,106,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,5.99996,13,10,18,18,120,76,71,93,64,103,-1,-1,-1,-1,-1,100,0,0,3.47324,2,8,18,18,125,60,121,70,45,66,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,690,588,741,-1,-1,100,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,4,14.937,4,1,18,18,66,65,81,118,86,93,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,100,0,0,7.339,14,2,18,18,100,113,98,79,84,86,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,95,-1,-1,-1,-1,52,234,0,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,4,2,600,552
6,5.03516,14,0,18,18,88,111,90,86,76,106,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,5.99996,13,10,18,18,120,76,71,93,64,103,-1,-1,-1,-1,-1,100,0,0,3.47324,2,8,18,18,125,60,121,70,45,66,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,690,588,741,-1,-1,57,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,4,14.937,4,1,18,18,66,65,81,118,86,93,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,100,0,0,7.339,14,2,18,18,100,113,98,79,84,86,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,95,249,-1,-1,-1,58,234,0,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,4,2,557,558
7,5.03516,14,0,18,18,88,111,90,86,76,106,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,5.99996,13,10,18,18,120,76,71,93,64,103,-1,-1,-1,-1,-1,100,0,0,3.47324,2,8,18,18,125,60,121,70,45,66,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,690,588,741,-1,-1,57,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,4,14.937,4,1,18,18,66,65,81,118,86,93,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,100,0,0,7.339,14,2,18,18,100,113,98,79,84,86,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,95,249,-1,-1,-1,0,234,0,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,2,3,557,500
8,5.03516,14,0,18,18,88,111,90,86,76,106,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,5.99996,13,10,18,18,120,76,71,93,64,103,-1,-1,-1,-1,-1,100,0,0,3.47324,2,8,18,18,125,60,121,70,45,66,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,690,588,741,179,-1,57,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,4,14.937,4,1,18,18,66,65,81,118,86,93,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,0,0,0,7.339,14,2,18,18,100,113,98,79,84,86,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,95,249,-1,-1,-1,0,234,0,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,5,3,557,400
9,5.03516,14,0,18,18,88,111,90,86,76,106,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,5.99996,13,10,18,18,120,76,71,93,64,103,-1,-1,-1,-1,-1,100,0,0,3.47324,2,8,18,18,125,60,121,70,45,66,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,690,588,741,179,-1,57,0,0,9.16468,16,9,18,18,87,93,63,83,83,140,-1,-1,-1,-1,-1,100,0,0,4,14.937,4,1,18,18,66,65,81,118,86,93,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,0,0,0,7.339,14,2,18,18,100,113,98,79,84,86,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,95,249,-1,-1,-1,0,234,0,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,0,0,0,3,3,557,300
