turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,29.33612,3,2,18,18,63,65,139,104,107,43,-1,-1,-1,-1,-1,100,0,0,21.20732,13,15,18,18,80,133,106,89,93,54,-1,-1,-1,-1,-1,100,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,13.91632,4,17,18,18,60,88,83,65,65,100,-1,-1,-1,-1,-1,100,0,0,4,5.69756,3,0,18,18,78,106,89,76,76,96,-1,-1,-1,-1,-1,100,0,0,12.78796,17,2,18,18,81,108,98,90,103,70,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,-1,-1,-1,-1,-1,100,0,0,6.06892,0,9,18,18,60,86,51,68,94,74,-1,-1,-1,-1,-1,100,0,0,2.59076,17,9,18,18,90,129,88,73,73,68,-1,-1,-1,-1,-1,100,0,0,3.228,15,2,18,18,51,111,101,60,60,66,-1,-1,-1,-1,-1,100,0,0,4,9,600,600
1,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,29.33612,3,2,18,18,63,65,139,104,107,43,-1,-1,-1,-1,-1,100,0,0,21.20732,13,15,18,18,80,133,106,89,93,54,-1,-1,-1,-1,-1,100,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,602,-1,-1,-1,-1,100,0,0,13.91632,4,17,18,18,60,88,83,65,65,100,-1,-1,-1,-1,-1,100,0,0,4,5.69756,3,0,18,18,78,106,89,76,76,96,-1,-1,-1,-1,-1,100,0,0,12.78796,17,2,18,18,81,108,98,90,103,70,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,-1,-1,-1,-1,-1,100,0,0,6.06892,0,9,18,18,60,86,51,68,94,74,-1,-1,-1,-1,-1,100,0,0,2.59076,17,9,18,18,90,129,88,73,73,68,175,-1,-1,-1,-1,100,0,0,3.228,15,2,18,18,51,111,101,60,60,66,-1,-1,-1,-1,-1,100,0,0,4,9,600,600
2,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,29.33612,3,2,18,18,63,65,139,104,107,43,-1,-1,-1,-1,-1,100,0,0,21.20732,13,15,18,18,80,133,106,89,93,54,-1,-1,-1,-1,-1,100,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,602,427,-1,-1,-1,100,0,0,13.91632,4,17,18,18,60,88,83,65,65,100,-1,-1,-1,-1,-1,100,0,0,4,5.69756,3,0,18,18,78,106,89,76,76,96,-1,-1,-1,-1,-1,100,0,0,12.78796,17,2,18,18,81,108,98,90,103,70,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,-1,-1,-1,-1,-1,100,0,0,6.06892,0,9,18,18,60,86,51,68,94,74,-1,-1,-1,-1,-1,100,0,0,2.59076,17,9,18,18,90,129,88,73,73,68,175,-1,-1,-1,-1,88,0,0,3.228,15,2,18,18,51,111,101,60,60,66,-1,-1,-1,-1,-1,100,0,0,4,1,600,588
3,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,29.33612,3,2,18,18,63,65,139,104,107,43,-1,-1,-1,-1,-1,100,0,0,21.20732,13,15,18,18,80,133,106,89,93,54,-1,-1,-1,-1,-1,100,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,602,427,-1,-1,-1,100,0,0,13.91632,4,17,18,18,60,88,83,65,65,100,-1,-1,-1,-1,-1,100,0,0,2,5.69756,3,0,18,18,78,106,89,76,76,96,-1,-1,-1,-1,-1,100,0,0,12.78796,17,2,18,18,81,108,98,90,103,70,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,-1,-1,-1,-1,-1,100,0,0,6.06892,0,9,18,18,60,86,51,68,94,74,-1,-1,-1,-1,-1,100,0,0,2.59076,17,9,18,18,90,129,88,73,73,68,175,-1,-1,-1,-1,76,0,0,3.228,15,2,18,18,51,111,101,60,60,66,-1,-1,-1,-1,-1,100,0,0,4,7,600,576
4,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,29.33612,3,2,18,18,63,65,139,104,107,43,-1,-1,-1,-1,-1,100,0,0,21.20732,13,15,18,18,80,133,106,89,93,54,-1,-1,-1,-1,-1,100,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,602,427,-1,-1,-1,100,0,0,13.91632,4,17,18,18,60,88,83,65,65,100,-1,-1,-1,-1,-1,21,234,0,5,5.69756,3,0,18,18,78,106,89,76,76,96,-1,-1,-1,-1,-1,100,0,0,12.78796,17,2,18,18,81,108,98,90,103,70,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,-1,-1,-1,-1,-1,100,0,0,6.06892,0,9,18,18,60,86,51,68,94,74,-1,-1,-1,-1,-1,100,0,0,2.59076,17,9,18,18,90,129,88,73,73,68,175,541,-1,-1,-1,53,270,0,3.228,15,2,18,18,51,111,101,60,60,66,-1,-1,-1,-1,-1,100,0,0,4,10,521,553
5,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,29.33612,3,2,18,18,63,65,139,104,107,43,-1,-1,-1,-1,-1,100,0,0,21.20732,13,15,18,18,80,133,106,89,93,54,-1,-1,-1,-1,-1,100,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,602,427,-1,-1,-1,100,0,0,13.91632,4,17,18,18,60,88,83,65,65,100,-1,-1,-1,-1,-1,0,234,0,3,5.69756,3,0,18,18,78,106,89,76,76,96,-1,-1,-1,-1,-1,100,0,0,12.78796,17,2,18,18,81,108,98,90,103,70,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,-1,-1,-1,-1,-1,100,0,0,6.06892,0,9,18,18,60,86,51,68,94,74,-1,-1,-1,-1,-1,100,0,0,2.59076,17,9,18,18,90,129,88,73,73,68,175,541,217,-1,-1,43,270,0,3.228,15,2,18,18,51,111,101,60,60,66,-1,-1,-1,-1,-1,100,0,0,4,8,500,543
6,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,29.33612,3,2,18,18,63,65,139,104,107,43,-1,-1,-1,-1,-1,100,0,0,21.20732,13,15,18,18,80,133,106,89,93,54,-1,-1,-1,-1,-1,100,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,0,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,602,427,-1,-1,-1,100,0,0,13.91632,4,17,18,18,60,88,83,65,65,100,-1,-1,-1,-1,-1,0,234,0,0,5.69756,3,0,18,18,78,106,89,76,76,96,-1,-1,-1,-1,-1,100,0,0,12.78796,17,2,18,18,81,108,98,90,103,70,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,-1,-1,-1,-1,-1,100,0,0,6.06892,0,9,18,18,60,86,51,68,94,74,-1,-1,-1,-1,-1,100,0,0,2.59076,17,9,18,18,90,129,88,73,73,68,175,541,217,194,-1,33,270,0,3.228,15,2,18,18,51,111,101,60,60,66,-1,-1,-1,-1,-1,100,0,0,4,5,400,533
7,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,0,0,0,29.33612,3,2,18,18,63,65,139,104,107,43,-1,-1,-1,-1,-1,100,0,0,21.20732,13,15,18,18,80,133,106,89,93,54,-1,-1,-1,-1,-1,100,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,0,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,602,427,-1,-1,-1,100,0,0,13.91632,4,17,18,18,60,88,83,65,65,100,-1,-1,-1,-1,-1,0,234,0,4,5.69756,3,0,18,18,78,106,89,76,76,96,-1,-1,-1,-1,-1,100,0,0,12.78796,17,2,18,18,81,108,98,90,103,70,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,-1,-1,-1,-1,-1,100,0,0,6.06892,0,9,18,18,60,86,51,68,94,74,-1,-1,-1,-1,-1,100,0,0,2.59076,17,9,18,18,90,129,88,73,73,68,175,541,217,194,-1,23,270,0,3.228,15,2,18,18,51,111,101,60,60,66,-1,-1,-1,-1,-1,100,0,0,4,9,300,523
8,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,0,0,0,29.33612,3,2,18,18,63,65,139,104,107,43,-1,-1,-1,-1,-1,100,0,0,21.20732,13,15,18,18,80,133,106,89,93,54,-1,-1,-1,-1,-1,100,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,0,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,602,427,-1,-1,-1,0,0,0,13.91632,4,17,18,18,60,88,83,65,65,100,-1,-1,-1,-1,-1,0,234,0,2,5.69756,3,0,18,18,78,106,89,76,76,96,-1,-1,-1,-1,-1,100,0,0,12.78796,17,2,18,18,81,108,98,90,103,70,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,-1,-1,-1,-1,-1,100,0,0,6.06892,0,9,18,18,60,86,51,68,94,74,-1,-1,-1,-1,-1,100,0,0,2.59076,17,9,18,18,90,129,88,73,73,68,175,541,217,194,-1,13,270,0,3.228,15,2,18,18,51,111,101,60,60,66,-1,-1,-1,-1,-1,100,0,0,4,7,200,513
9,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,0,0,0,29.33612,3,2,18,18,63,65,139,104,107,43,-1,-1,-1,-1,-1,100,0,0,21.20732,13,15,18,18,80,133,106,89,93,54,-1,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,0,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,602,427,-1,-1,-1,0,0,0,13.91632,4,17,18,18,60,88,83,65,65,100,-1,-1,-1,-1,-1,0,234,0,1,5.69756,3,0,18,18,78,106,89,76,76,96,-1,-1,-1,-1,-1,100,0,0,12.78796,17,2,18,18,81,108,98,90,103,70,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,-1,-1,-1,-1,-1,100,0,0,6.06892,0,9,18,18,60,86,51,68,94,74,-1,-1,-1,-1,-1,100,0,0,2.59076,17,9,18,18,90,129,88,73,73,68,175,541,217,194,-1,3,270,0,3.228,15,2,18,18,51,111,101,60,60,66,-1,-1,-1,-1,-1,100,0,0,4,6,100,503
