turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,7.58252,8,0,18,18,103,105,85,51,86,51,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,-1,-1,-1,-1,-1,100,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,1.0588,13,3,18,18,61,65,60,123,81,123,-1,-1,-1,-1,-1,100,0,0,2,2.6204,4,9,18,18,78,85,71,93,83,96,-1,-1,-1,-1,-1,100,0,0,1.907,1,7,18,18,75,86,90,81,86,43,-1,-1,-1,-1,-1,100,0,0,1.71952,3,17,18,18,63,100,81,100,66,53,-1,-1,-1,-1,-1,100,0,0,13.11324,8,2,18,18,89,91,76,66,86,65,-1,-1,-1,-1,-1,100,0,0,24.3234,13,15,18,18,80,101,76,105,70,48,-1,-1,-1,-1,-1,100,0,0,4.84288,11,6,18,18,70,116,100,60,60,60,-1,-1,-1,-1,-1,100,0,0,4,7,600,600
1,7.58252,8,0,18,18,103,105,85,51,86,51,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,717,-1,-1,-1,-1,100,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,1.0588,13,3,18,18,61,65,60,123,81,123,-1,-1,-1,-1,-1,100,0,0,2,2.6204,4,9,18,18,78,85,71,93,83,96,-1,-1,-1,-1,-1,100,0,0,1.907,1,7,18,18,75,86,90,81,86,43,-1,-1,-1,-1,-1,100,0,0,1.71952,3,17,18,18,63,100,81,100,66,53,-1,-1,-1,-1,-1,100,0,0,13.11324,8,2,18,18,89,91,76,66,86,65,-1,-1,-1,-1,-1,100,0,0,24.3234,13,15,18,18,80,101,76,105,70,48,729,-1,-1,-1,-1,100,0,0,4.84288,11,6,18,18,70,116,100,60,60,60,-1,-1,-1,-1,-1,100,0,0,4,7,600,600
2,7.58252,8,0,18,18,103,105,85,51,86,51,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,717,-1,-1,-1,-1,100,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,1.0588,13,3,18,18,61,65,60,123,81,123,-1,-1,-1,-1,-1,100,0,0,2,2.6204,4,9,18,18,78,85,71,93,83,96,-1,-1,-1,-1,-1,100,0,0,1.907,1,7,18,18,75,86,90,81,86,43,-1,-1,-1,-1,-1,100,0,0,1.71952,3,17,18,18,63,100,81,100,66,53,-1,-1,-1,-1,-1,100,0,0,13.11324,8,2,18,18,89,91,76,66,86,65,-1,-1,-1,-1,-1,100,0,0,24.3234,13,15,18,18,80,101,76,105,70,48,729,427,-1,-1,-1,100,0,0,4.84288,11,6,18,18,70,116,100,60,60,60,-1,-1,-1,-1,-1,100,0,0,4,1,600,600
3,7.58252,8,0,18,18,103,105,85,51,86,51,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,717,-1,-1,-1,-1,70,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,1.0588,13,3,18,18,61,65,60,123,81,123,-1,-1,-1,-1,-1,100,0,0,2,2.6204,4,9,18,18,78,85,71,93,83,96,-1,-1,-1,-1,-1,100,0,0,1.907,1,7,18,18,75,86,90,81,86,43,-1,-1,-1,-1,-1,100,0,0,1.71952,3,17,18,18,63,100,81,100,66,53,-1,-1,-1,-1,-1,100,0,0,13.11324,8,2,18,18,89,91,76,66,86,65,-1,-1,-1,-1,-1,100,0,0,24.3234,13,15,18,18,80,101,76,105,70,48,729,427,145,-1,-1,100,0,0,4.84288,11,6,18,18,70,116,100,60,60,60,-1,-1,-1,-1,-1,100,0,0,4,1,570,600
4,7.58252,8,0,18,18,103,105,85,51,86,51,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,717,465,-1,-1,-1,38,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,1.0588,13,3,18,18,61,65,60,123,81,123,-1,-1,-1,-1,-1,100,0,0,2,2.6204,4,9,18,18,78,85,71,93,83,96,-1,-1,-1,-1,-1,100,0,0,1.907,1,7,18,18,75,86,90,81,86,43,-1,-1,-1,-1,-1,100,0,0,1.71952,3,17,18,18,63,100,81,100,66,53,-1,-1,-1,-1,-1,100,0,0,13.11324,8,2,18,18,89,91,76,66,86,65,-1,-1,-1,-1,-1,100,0,0,24.3234,13,15,18,18,80,101,76,105,70,48,729,427,145,-1,-1,100,0,0,4.84288,11,6,18,18,70,116,100,60,60,60,-1,-1,-1,-1,-1,100,0,0,4,1,538,600
5,7.58252,8,0,18,18,103,105,85,51,86,51,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,717,465,-1,-1,-1,6,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,1.0588,13,3,18,18,61,65,60,123,81,123,-1,-1,-1,-1,-1,100,0,0,2,2.6204,4,9,18,18,78,85,71,93,83,96,-1,-1,-1,-1,-1,100,0,0,1.907,1,7,18,18,75,86,90,81,86,43,-1,-1,-1,-1,-1,100,0,0,1.71952,3,17,18,18,63,100,81,100,66,53,-1,-1,-1,-1,-1,100,0,0,13.11324,8,2,18,18,89,91,76,66,86,65,-1,-1,-1,-1,-1,100,0,0,24.3234,13,15,18,18,80,101,76,105,70,48,729,427,145,-1,-1,100,0,0,4.84288,11,6,18,18,70,116,100,60,60,60,-1,-1,-1,-1,-1,100,0,0,4,2,506,600
6,7.58252,8,0,18,18,103,105,85,51,86,51,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,717,465,-1,-1,-1,0,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,75,0,0,1.0588,13,3,18,18,61,65,60,123,81,123,-1,-1,-1,-1,-1,100,0,0,4,2.6204,4,9,18,18,78,85,71,93,83,96,-1,-1,-1,-1,-1,100,0,0,1.907,1,7,18,18,75,86,90,81,86,43,-1,-1,-1,-1,-1,100,0,0,1.71952,3,17,18,18,63,100,81,100,66,53,-1,-1,-1,-1,-1,100,0,0,13.11324,8,2,18,18,89,91,76,66,86,65,-1,-1,-1,-1,-1,100,0,0,24.3234,13,15,18,18,80,101,76,105,70,48,729,427,145,-1,-1,100,0,0,4.84288,11,6,18,18,70,116,100,60,60,60,-1,-1,-1,-1,-1,100,0,0,4,9,475,600
7,7.58252,8,0,18,18,103,105,85,51,86,51,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,717,465,-1,-1,-1,0,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,588,-1,-1,-1,-1,69,234,0,1.0588,13,3,18,18,61,65,60,123,81,123,-1,-1,-1,-1,-1,100,0,0,4,2.6204,4,9,18,18,78,85,71,93,83,96,-1,-1,-1,-1,-1,100,0,0,1.907,1,7,18,18,75,86,90,81,86,43,-1,-1,-1,-1,-1,100,0,0,1.71952,3,17,18,18,63,100,81,100,66,53,-1,-1,-1,-1,-1,100,0,0,13.11324,8,2,18,18,89,91,76,66,86,65,-1,-1,-1,-1,-1,100,0,0,24.3234,13,15,18,18,80,101,76,105,70,48,729,427,145,-1,-1,100,0,0,4.84288,11,6,18,18,70,116,100,60,60,60,-1,-1,-1,-1,-1,100,0,0,4,9,469,600
8,7.58252,8,0,18,18,103,105,85,51,86,51,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,717,465,-1,-1,-1,0,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,588,514,-1,-1,-1,85,234,0,1.0588,13,3,18,18,61,65,60,123,81,123,-1,-1,-1,-1,-1,100,0,0,4,2.6204,4,9,18,18,78,85,71,93,83,96,-1,-1,-1,-1,-1,100,0,0,1.907,1,7,18,18,75,86,90,81,86,43,-1,-1,-1,-1,-1,100,0,0,1.71952,3,17,18,18,63,100,81,100,66,53,-1,-1,-1,-1,-1,100,0,0,13.11324,8,2,18,18,89,91,76,66,86,65,-1,-1,-1,-1,-1,100,0,0,24.3234,13,15,18,18,80,101,76,105,70,48,729,427,145,-1,-1,59,234,0,4.84288,11,6,18,18,70,116,100,60,60,60,-1,-1,-1,-1,-1,100,0,0,4,1,485,559
9,7.58252,8,0,18,18,103,105,85,51,86,51,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,717,465,-1,-1,-1,0,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,588,514,-1,-1,-1,71,234,0,1.0588,13,3,18,18,61,65,60,123,81,123,-1,-1,-1,-1,-1,100,0,0,4,2.6204,4,9,18,18,78,85,71,93,83,96,-1,-1,-1,-1,-1,100,0,0,1.907,1,7,18,18,75,86,90,81,86,43,-1,-1,-1,-1,-1,100,0,0,1.71952,3,17,18,18,63,100,81,100,66,53,-1,-1,-1,-1,-1,100,0,0,13.11324,8,2,18,18,89,91,76,66,86,65,-1,-1,-1,-1,-1,100,0,0,24.3234,13,15,18,18,80,101,76,105,70,48,729,427,145,-1,-1,79,234,0,4.84288,11,6,18,18,70,116,100,60,60,60,-1,-1,-1,-1,-1,100,0,0,4,1,471,579
