turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,9.18284,13,6,18,18,70,105,83,118,88,63,-1,-1,-1,-1,-1,100,0,0,6.50452,2,16,18,18,63,98,75,105,80,98,-1,-1,-1,-1,-1,100,0,0,13.12276,16,0,18,18,91,100,77,86,88,110,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,3,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,100,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,24.55,15,9,18,18,86,98,113,98,85,96,-1,-1,-1,-1,-1,100,0,0,5,8,600,600
1,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,9.18284,13,6,18,18,70,105,83,118,88,63,-1,-1,-1,-1,-1,100,0,0,6.50452,2,16,18,18,63,98,75,105,80,98,-1,-1,-1,-1,-1,100,0,0,13.12276,16,0,18,18,91,100,77,86,88,110,166,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,3,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,100,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,24.55,15,9,18,18,86,98,113,98,85,96,-1,-1,-1,-1,-1,58,272,6,5,8,600,558
2,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,9.18284,13,6,18,18,70,105,83,118,88,63,-1,-1,-1,-1,-1,100,0,0,6.50452,2,16,18,18,63,98,75,105,80,98,-1,-1,-1,-1,-1,100,0,0,13.12276,16,0,18,18,91,100,77,86,88,110,166,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,3,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,100,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,24.55,15,9,18,18,86,98,113,98,85,96,-1,-1,-1,-1,-1,24,272,6,5,1,600,524
3,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,9.18284,13,6,18,18,70,105,83,118,88,63,-1,-1,-1,-1,-1,100,0,0,6.50452,2,16,18,18,63,98,75,105,80,98,-1,-1,-1,-1,-1,100,0,0,13.12276,16,0,18,18,91,100,77,86,88,110,166,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,3,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,100,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,24.55,15,9,18,18,86,98,113,98,85,96,-1,-1,-1,-1,-1,0,272,6,0,1,600,500
4,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,9.18284,13,6,18,18,70,105,83,118,88,63,-1,-1,-1,-1,-1,100,0,0,6.50452,2,16,18,18,63,98,75,105,80,98,-1,-1,-1,-1,-1,100,0,0,13.12276,16,0,18,18,91,100,77,86,88,110,166,184,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,29,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,100,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,24.55,15,9,18,18,86,98,113,98,85,96,-1,-1,-1,-1,-1,0,272,6,0,5,500,429
5,27.05616,15,9,18,18,72,101,71,54,77,120,221,-1,-1,-1,-1,100,0,0,9.18284,13,6,18,18,70,105,83,118,88,63,-1,-1,-1,-1,-1,100,0,0,6.50452,2,16,18,18,63,98,75,105,80,98,-1,-1,-1,-1,-1,100,0,0,13.12276,16,0,18,18,91,100,77,86,88,110,166,184,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,29,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,87,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,24.55,15,9,18,18,86,98,113,98,85,96,-1,-1,-1,-1,-1,0,272,6,3,5,500,416
6,27.05616,15,9,18,18,72,101,71,54,77,120,221,6,-1,-1,-1,32,0,0,9.18284,13,6,18,18,70,105,83,118,88,63,-1,-1,-1,-1,-1,100,0,0,6.50452,2,16,18,18,63,98,75,105,80,98,-1,-1,-1,-1,-1,100,0,0,13.12276,16,0,18,18,91,100,77,86,88,110,166,184,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,29,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,641,-1,-1,-1,-1,42,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,24.55,15,9,18,18,86,98,113,98,85,96,-1,-1,-1,-1,-1,0,272,6,3,1,432,371
7,27.05616,15,9,18,18,72,101,71,54,77,120,221,6,-1,-1,-1,32,0,0,9.18284,13,6,18,18,70,105,83,118,88,63,-1,-1,-1,-1,-1,100,0,0,6.50452,2,16,18,18,63,98,75,105,80,98,-1,-1,-1,-1,-1,100,0,0,13.12276,16,0,18,18,91,100,77,86,88,110,166,184,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,29,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,641,-1,-1,-1,-1,0,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,24.55,15,9,18,18,86,98,113,98,85,96,-1,-1,-1,-1,-1,0,272,6,1,2,432,329
8,27.05616,15,9,18,18,72,101,71,54,77,120,221,6,-1,-1,-1,0,0,0,9.18284,13,6,18,18,70,105,83,118,88,63,-1,-1,-1,-1,-1,100,0,0,6.50452,2,16,18,18,63,98,75,105,80,98,-1,-1,-1,-1,-1,100,0,0,13.12276,16,0,18,18,91,100,77,86,88,110,166,184,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,2,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,29,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,217,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,641,-1,-1,-1,-1,0,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,24.55,15,9,18,18,86,98,113,98,85,96,-1,-1,-1,-1,-1,0,272,6,1,7,400,329
9,27.05616,15,9,18,18,72,101,71,54,77,120,221,6,-1,-1,-1,0,0,0,9.18284,13,6,18,18,70,105,83,118,88,63,-1,-1,-1,-1,-1,100,0,0,6.50452,2,16,18,18,63,98,75,105,80,98,842,-1,-1,-1,-1,91,270,0,13.12276,16,0,18,18,91,100,77,86,88,110,166,184,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,2,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,29,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,217,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,641,-1,-1,-1,-1,0,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,24.55,15,9,18,18,86,98,113,98,85,96,-1,-1,-1,-1,-1,0,272,6,2,7,391,229
10,27.05616,15,9,18,18,72,101,71,54,77,120,221,6,-1,-1,-1,0,0,0,9.18284,13,6,18,18,70,105,83,118,88,63,-1,-1,-1,-1,-1,100,0,0,6.50452,2,16,18,18,63,98,75,105,80,98,842,34,-1,-1,-1,0,270,0,13.12276,16,0,18,18,91,100,77,86,88,110,166,184,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,4,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,29,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,217,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,75,-1,-1,-1,-1,21,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,641,-1,-1,-1,-1,0,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,24.55,15,9,18,18,86,98,113,98,85,96,-1,-1,-1,-1,-1,0,272,6,2,9,300,150
11,27.05616,15,9,18,18,72,101,71,54,77,120,221,6,-1,-1,-1,0,0,0,9.18284,13,6,18,18,70,105,83,118,88,63,-1,-1,-1,-1,-1,100,0,0,6.50452,2,16,18,18,63,98,75,105,80,98,842,34,-1,-1,-1,0,270,0,13.12276,16,0,18,18,91,100,77,86,88,110,166,184,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,215,-1,-1,-1,-1,53,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,1,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,29,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,217,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,75,-1,-1,-1,-1,0,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,641,-1,-1,-1,-1,0,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,24.55,15,9,18,18,86,98,113,98,85,96,-1,-1,-1,-1,-1,0,272,6,4,6,253,129
