turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,8.68028,3,10,18,18,68,66,78,130,91,93,-1,-1,-1,-1,-1,100,0,0,9.04364,17,14,18,18,94,93,84,105,90,85,-1,-1,-1,-1,-1,100,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,-1,-1,-1,-1,-1,100,0,0,7.53328,8,2,18,18,70,108,111,51,73,85,-1,-1,-1,-1,-1,100,0,0,4.15636,4,9,18,18,68,103,80,63,66,110,-1,-1,-1,-1,-1,100,0,0,0,29.47612,16,14,18,18,65,131,98,66,80,94,-1,-1,-1,-1,-1,100,0,0,16.34048,4,13,18,18,53,69,115,71,93,55,-1,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,1,5,600,600
1,8.68028,3,10,18,18,68,66,78,130,91,93,654,-1,-1,-1,-1,100,0,0,9.04364,17,14,18,18,94,93,84,105,90,85,-1,-1,-1,-1,-1,100,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,-1,-1,-1,-1,-1,100,0,0,7.53328,8,2,18,18,70,108,111,51,73,85,-1,-1,-1,-1,-1,100,0,0,4.15636,4,9,18,18,68,103,80,63,66,110,-1,-1,-1,-1,-1,100,0,0,0,29.47612,16,14,18,18,65,131,98,66,80,94,-1,-1,-1,-1,-1,100,0,0,16.34048,4,13,18,18,53,69,115,71,93,55,465,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,0,5,600,600
2,8.68028,3,10,18,18,68,66,78,130,91,93,654,-1,-1,-1,-1,100,0,0,9.04364,17,14,18,18,94,93,84,105,90,85,-1,-1,-1,-1,-1,100,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,-1,-1,-1,-1,-1,100,0,0,7.53328,8,2,18,18,70,108,111,51,73,85,-1,-1,-1,-1,-1,100,0,0,4.15636,4,9,18,18,68,103,80,63,66,110,-1,-1,-1,-1,-1,100,0,0,5,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,100,0,0,16.34048,4,13,18,18,53,69,115,71,93,55,465,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,0,10,600,600
3,8.68028,3,10,18,18,68,66,78,130,91,93,654,-1,-1,-1,-1,100,0,0,9.04364,17,14,18,18,94,93,84,105,90,85,-1,-1,-1,-1,-1,100,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,-1,-1,-1,-1,-1,100,0,0,7.53328,8,2,18,18,70,108,111,51,73,85,-1,-1,-1,-1,-1,100,0,0,4.15636,4,9,18,18,68,103,80,63,66,110,-1,-1,-1,-1,-1,0,0,0,3,29.47612,16,14,18,18,65,131,98,66,80,94,668,282,-1,-1,-1,100,0,0,16.34048,4,13,18,18,53,69,115,71,93,55,465,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,0,8,500,600
4,8.68028,3,10,18,18,68,66,78,130,91,93,654,-1,-1,-1,-1,100,0,0,9.04364,17,14,18,18,94,93,84,105,90,85,-1,-1,-1,-1,-1,100,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,69,-1,-1,-1,-1,61,0,0,7.53328,8,2,18,18,70,108,111,51,73,85,-1,-1,-1,-1,-1,100,0,0,4.15636,4,9,18,18,68,103,80,63,66,110,-1,-1,-1,-1,-1,0,0,0,3,29.47612,16,14,18,18,65,131,98,66,80,94,668,282,174,-1,-1,84,0,0,16.34048,4,13,18,18,53,69,115,71,93,55,465,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,0,8,461,584
5,8.68028,3,10,18,18,68,66,78,130,91,93,654,-1,-1,-1,-1,100,0,0,9.04364,17,14,18,18,94,93,84,105,90,85,-1,-1,-1,-1,-1,100,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,69,-1,-1,-1,-1,0,0,0,7.53328,8,2,18,18,70,108,111,51,73,85,-1,-1,-1,-1,-1,100,0,0,4.15636,4,9,18,18,68,103,80,63,66,110,-1,-1,-1,-1,-1,0,0,0,1,29.47612,16,14,18,18,65,131,98,66,80,94,668,282,174,194,-1,84,0,0,16.34048,4,13,18,18,53,69,115,71,93,55,465,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,0,6,400,584
6,8.68028,3,10,18,18,68,66,78,130,91,93,654,-1,-1,-1,-1,100,0,0,9.04364,17,14,18,18,94,93,84,105,90,85,-1,-1,-1,-1,-1,0,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,69,-1,-1,-1,-1,0,0,0,7.53328,8,2,18,18,70,108,111,51,73,85,-1,-1,-1,-1,-1,100,0,0,4.15636,4,9,18,18,68,103,80,63,66,110,-1,-1,-1,-1,-1,0,0,0,4,29.47612,16,14,18,18,65,131,98,66,80,94,668,282,174,194,-1,84,0,0,16.34048,4,13,18,18,53,69,115,71,93,55,465,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,0,9,300,584
7,8.68028,3,10,18,18,68,66,78,130,91,93,654,-1,-1,-1,-1,100,0,0,9.04364,17,14,18,18,94,93,84,105,90,85,-1,-1,-1,-1,-1,0,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,69,-1,-1,-1,-1,0,0,0,7.53328,8,2,18,18,70,108,111,51,73,85,194,-1,-1,-1,-1,25,272,6,4.15636,4,9,18,18,68,103,80,63,66,110,-1,-1,-1,-1,-1,0,0,0,4,29.47612,16,14,18,18,65,131,98,66,80,94,668,282,174,194,-1,0,0,0,16.34048,4,13,18,18,53,69,115,71,93,55,465,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,4,9,225,500
8,8.68028,3,10,18,18,68,66,78,130,91,93,654,-1,-1,-1,-1,100,0,0,9.04364,17,14,18,18,94,93,84,105,90,85,-1,-1,-1,-1,-1,0,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,69,-1,-1,-1,-1,0,0,0,7.53328,8,2,18,18,70,108,111,51,73,85,194,2,-1,-1,-1,0,272,6,4.15636,4,9,18,18,68,103,80,63,66,110,-1,-1,-1,-1,-1,0,0,0,0,29.47612,16,14,18,18,65,131,98,66,80,94,668,282,174,194,-1,0,0,0,16.34048,4,13,18,18,53,69,115,71,93,55,465,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,84,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,4,5,200,484
9,8.68028,3,10,18,18,68,66,78,130,91,93,654,-1,-1,-1,-1,0,0,0,9.04364,17,14,18,18,94,93,84,105,90,85,-1,-1,-1,-1,-1,0,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,69,-1,-1,-1,-1,0,0,0,7.53328,8,2,18,18,70,108,111,51,73,85,194,2,-1,-1,-1,0,272,6,4.15636,4,9,18,18,68,103,80,63,66,110,-1,-1,-1,-1,-1,0,0,0,2,29.47612,16,14,18,18,65,131,98,66,80,94,668,282,174,194,-1,0,0,0,16.34048,4,13,18,18,53,69,115,71,93,55,465,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,84,0,0,17.88728,7,15,18,18,65,64,124,55,138,55,-1,-1,-1,-1,-1,100,0,0,4,7,100,484
