turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,9.55964,13,3,18,18,63,73,60,119,70,108,-1,-1,-1,-1,-1,100,0,0,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,18.24928,1,14,18,18,80,120,102,96,66,74,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,3.55468,16,17,18,18,98,80,82,98,96,73,-1,-1,-1,-1,-1,100,0,0,1,38.25736,16,4,18,18,63,120,105,75,86,56,-1,-1,-1,-1,-1,100,0,0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,-1,-1,-1,-1,-1,100,0,0,29.62736,17,2,18,18,73,58,133,97,124,50,-1,-1,-1,-1,-1,100,0,0,6.66484,2,8,18,18,122,115,90,83,91,88,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,0,6,600,600,,,0.0
1,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,9.55964,13,3,18,18,63,73,60,119,70,108,735,-1,-1,-1,-1,100,0,0,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,18.24928,1,14,18,18,80,120,102,96,66,74,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,3.55468,16,17,18,18,98,80,82,98,96,73,-1,-1,-1,-1,-1,100,0,0,1,38.25736,16,4,18,18,63,120,105,75,86,56,668,-1,-1,-1,-1,100,0,0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,-1,-1,-1,-1,-1,100,0,0,29.62736,17,2,18,18,73,58,133,97,124,50,-1,-1,-1,-1,-1,100,0,0,6.66484,2,8,18,18,122,115,90,83,91,88,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,0,6,600,600,600.0,600.0,0.0
2,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,9.55964,13,3,18,18,63,73,60,119,70,108,735,142,-1,-1,-1,51,0,0,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,18.24928,1,14,18,18,80,120,102,96,66,74,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,3.55468,16,17,18,18,98,80,82,98,96,73,-1,-1,-1,-1,-1,100,0,0,1,38.25736,16,4,18,18,63,120,105,75,86,56,668,-1,-1,-1,-1,76,0,0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,-1,-1,-1,-1,-1,100,0,0,29.62736,17,2,18,18,73,58,133,97,124,50,-1,-1,-1,-1,-1,100,0,0,6.66484,2,8,18,18,122,115,90,83,91,88,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,0,1,551,576,600.0,600.0,0.485
3,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,9.55964,13,3,18,18,63,73,60,119,70,108,735,142,-1,-1,-1,0,0,0,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,18.24928,1,14,18,18,80,120,102,96,66,74,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,3.55468,16,17,18,18,98,80,82,98,96,73,-1,-1,-1,-1,-1,100,0,0,3,38.25736,16,4,18,18,63,120,105,75,86,56,668,194,-1,-1,-1,51,0,0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,-1,-1,-1,-1,-1,100,0,0,29.62736,17,2,18,18,73,58,133,97,124,50,-1,-1,-1,-1,-1,100,0,0,6.66484,2,8,18,18,122,115,90,83,91,88,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,0,8,500,551,576.0,551.0,0.505
4,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,9.55964,13,3,18,18,63,73,60,119,70,108,735,142,-1,-1,-1,0,0,0,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,18.24928,1,14,18,18,80,120,102,96,66,74,247,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,3.55468,16,17,18,18,98,80,82,98,96,73,-1,-1,-1,-1,-1,100,0,0,3,38.25736,16,4,18,18,63,120,105,75,86,56,668,194,-1,-1,-1,0,0,0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,-1,-1,-1,-1,-1,100,0,0,29.62736,17,2,18,18,73,58,133,97,124,50,-1,-1,-1,-1,-1,100,0,0,6.66484,2,8,18,18,122,115,90,83,91,88,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,1,8,500,500,551.0,500.0,0.51
5,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,9.55964,13,3,18,18,63,73,60,119,70,108,735,142,-1,-1,-1,0,0,0,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,18.24928,1,14,18,18,80,120,102,96,66,74,247,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,3.55468,16,17,18,18,98,80,82,98,96,73,-1,-1,-1,-1,-1,100,0,0,3,38.25736,16,4,18,18,63,120,105,75,86,56,668,194,-1,-1,-1,0,0,0,12.128,13,9,18,18,68,78,83,120,86,113,151,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,-1,-1,-1,-1,-1,100,0,0,29.62736,17,2,18,18,73,58,133,97,124,50,-1,-1,-1,-1,-1,100,0,0,6.66484,2,8,18,18,122,115,90,83,91,88,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,1,1,500,500,500.0,500.0,0.0
6,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,9.55964,13,3,18,18,63,73,60,119,70,108,735,142,-1,-1,-1,0,0,0,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,18.24928,1,14,18,18,80,120,102,96,66,74,247,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,3.55468,16,17,18,18,98,80,82,98,96,73,-1,-1,-1,-1,-1,100,0,0,0,38.25736,16,4,18,18,63,120,105,75,86,56,668,194,-1,-1,-1,0,0,0,12.128,13,9,18,18,68,78,83,120,86,113,151,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,-1,-1,-1,-1,-1,100,0,0,29.62736,17,2,18,18,73,58,133,97,124,50,-1,-1,-1,-1,-1,100,0,0,6.66484,2,8,18,18,122,115,90,83,91,88,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,3,5,500,500,500.0,500.0,0.0
7,8.11112,0,16,18,18,73,120,88,58,70,81,166,-1,-1,-1,-1,100,0,0,9.55964,13,3,18,18,63,73,60,119,70,108,735,142,-1,-1,-1,0,0,0,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,18.24928,1,14,18,18,80,120,102,96,66,74,247,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,3.55468,16,17,18,18,98,80,82,98,96,73,-1,-1,-1,-1,-1,100,0,0,0,38.25736,16,4,18,18,63,120,105,75,86,56,668,194,-1,-1,-1,0,0,0,12.128,13,9,18,18,68,78,83,120,86,113,151,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,-1,-1,-1,-1,-1,100,0,0,29.62736,17,2,18,18,73,58,133,97,124,50,-1,-1,-1,-1,-1,100,0,0,6.66484,2,8,18,18,122,115,90,83,91,88,-1,-1,-1,-1,-1,37,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,4,5,500,437,500.0,500.0,0.63
8,8.11112,0,16,18,18,73,120,88,58,70,81,166,-1,-1,-1,-1,0,0,0,9.55964,13,3,18,18,63,73,60,119,70,108,735,142,-1,-1,-1,0,0,0,2.59644,6,9,18,18,80,103,56,60,73,125,-1,-1,-1,-1,-1,100,0,0,18.24928,1,14,18,18,80,120,102,96,66,74,247,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,3.55468,16,17,18,18,98,80,82,98,96,73,-1,-1,-1,-1,-1,100,0,0,2,38.25736,16,4,18,18,63,120,105,75,86,56,668,194,-1,-1,-1,0,0,0,12.128,13,9,18,18,68,78,83,120,86,113,151,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,-1,-1,-1,-1,-1,100,0,0,29.62736,17,2,18,18,73,58,133,97,124,50,-1,-1,-1,-1,-1,100,0,0,6.66484,2,8,18,18,122,115,90,83,91,88,194,-1,-1,-1,-1,37,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,4,7,400,437,437.0,500.0,0.5
9,8.11112,0,16,18,18,73,120,88,58,70,81,166,-1,-1,-1,-1,0,0,0,9.55964,13,3,18,18,63,73,60,119,70,108,735,142,-1,-1,-1,0,0,0,2.59644,6,9,18,18,80,103,56,60,73,125,113,-1,-1,-1,-1,57,0,0,18.24928,1,14,18,18,80,120,102,96,66,74,247,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,3.55468,16,17,18,18,98,80,82,98,96,73,-1,-1,-1,-1,-1,100,0,0,2,38.25736,16,4,18,18,63,120,105,75,86,56,668,194,-1,-1,-1,0,0,0,12.128,13,9,18,18,68,78,83,120,86,113,151,-1,-1,-1,-1,100,0,0,3.95396,16,1,18,18,96,106,86,100,93,96,-1,-1,-1,-1,-1,100,0,0,29.62736,17,2,18,18,73,58,133,97,124,50,-1,-1,-1,-1,-1,100,0,0,6.66484,2,8,18,18,122,115,90,83,91,88,194,389,-1,-1,-1,0,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,1,7,357,400,437.0,400.0,0.585
