turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,-1,-1,-1,-1,-1,100,0,0,12.022,14,16,18,18,82,128,98,86,90,73,-1,-1,-1,-1,-1,100,0,0,7.01632,2,9,18,18,78,94,105,58,78,86,-1,-1,-1,-1,-1,100,0,0,4,4.30792,3,17,18,18,82,68,71,118,98,71,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,-1,-1,-1,-1,-1,100,0,0,23.01676,13,9,18,18,67,103,63,74,76,120,-1,-1,-1,-1,-1,100,0,0,22.35208,2,14,18,18,93,86,73,103,133,80,-1,-1,-1,-1,-1,100,0,0,3,9,600,600,,,0.0
1,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,-1,-1,-1,-1,-1,100,0,0,12.022,14,16,18,18,82,128,98,86,90,73,775,-1,-1,-1,-1,100,0,4,7.01632,2,9,18,18,78,94,105,58,78,86,-1,-1,-1,-1,-1,100,0,0,4,4.30792,3,17,18,18,82,68,71,118,98,71,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,800,-1,-1,-1,-1,100,0,0,23.01676,13,9,18,18,67,103,63,74,76,120,-1,-1,-1,-1,-1,100,0,0,22.35208,2,14,18,18,93,86,73,103,133,80,-1,-1,-1,-1,-1,100,0,0,3,9,600,600,600.0,600.0,0.0
2,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,-1,-1,-1,-1,-1,100,0,0,12.022,14,16,18,18,82,128,98,86,90,73,775,-1,-1,-1,-1,100,0,4,7.01632,2,9,18,18,78,94,105,58,78,86,-1,-1,-1,-1,-1,100,0,0,4,4.30792,3,17,18,18,82,68,71,118,98,71,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,800,206,-1,-1,-1,100,0,0,23.01676,13,9,18,18,67,103,63,74,76,120,-1,-1,-1,-1,-1,100,0,0,22.35208,2,14,18,18,93,86,73,103,133,80,-1,-1,-1,-1,-1,100,0,0,3,1,600,600,600.0,600.0,0.0
3,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,-1,-1,-1,-1,-1,100,0,0,12.022,14,16,18,18,82,128,98,86,90,73,775,-1,-1,-1,-1,100,0,4,7.01632,2,9,18,18,78,94,105,58,78,86,-1,-1,-1,-1,-1,100,0,0,0,4.30792,3,17,18,18,82,68,71,118,98,71,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,800,206,729,-1,-1,100,0,0,23.01676,13,9,18,18,67,103,63,74,76,120,-1,-1,-1,-1,-1,100,0,0,22.35208,2,14,18,18,93,86,73,103,133,80,-1,-1,-1,-1,-1,100,0,0,3,5,600,600,600.0,600.0,0.0
4,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,4,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,-1,-1,-1,-1,-1,100,0,0,12.022,14,16,18,18,82,128,98,86,90,73,775,-1,-1,-1,-1,100,0,4,7.01632,2,9,18,18,78,94,105,58,78,86,-1,-1,-1,-1,-1,100,0,0,0,4.30792,3,17,18,18,82,68,71,118,98,71,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,800,206,729,-1,-1,100,0,0,23.01676,13,9,18,18,67,103,63,74,76,120,-1,-1,-1,-1,-1,100,0,0,22.35208,2,14,18,18,93,86,73,103,133,80,-1,-1,-1,-1,-1,100,0,0,3,5,600,600,600.0,600.0,0.0
5,3.0134,2,6,18,18,90,121,73,76,90,80,244,-1,-1,-1,-1,91,0,4,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,-1,-1,-1,-1,-1,100,0,0,12.022,14,16,18,18,82,128,98,86,90,73,775,-1,-1,-1,-1,100,0,4,7.01632,2,9,18,18,78,94,105,58,78,86,-1,-1,-1,-1,-1,100,0,0,0,4.30792,3,17,18,18,82,68,71,118,98,71,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,800,206,729,825,-1,45,0,0,23.01676,13,9,18,18,67,103,63,74,76,120,-1,-1,-1,-1,-1,100,0,0,22.35208,2,14,18,18,93,86,73,103,133,80,-1,-1,-1,-1,-1,100,0,0,0,5,591,545,600.0,600.0,0.595
6,3.0134,2,6,18,18,90,121,73,76,90,80,244,545,-1,-1,-1,91,0,4,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,-1,-1,-1,-1,-1,100,0,0,12.022,14,16,18,18,82,128,98,86,90,73,775,-1,-1,-1,-1,100,0,4,7.01632,2,9,18,18,78,94,105,58,78,86,-1,-1,-1,-1,-1,100,0,0,0,4.30792,3,17,18,18,82,68,71,118,98,71,11,-1,-1,-1,-1,12,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,800,206,729,825,-1,45,0,0,23.01676,13,9,18,18,67,103,63,74,76,120,-1,-1,-1,-1,-1,100,0,0,22.35208,2,14,18,18,93,86,73,103,133,80,-1,-1,-1,-1,-1,100,0,0,0,1,591,457,545.0,591.0,0.88
7,3.0134,2,6,18,18,90,121,73,76,90,80,244,545,-1,-1,-1,91,0,4,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,-1,-1,-1,-1,-1,100,0,0,12.022,14,16,18,18,82,128,98,86,90,73,775,-1,-1,-1,-1,100,0,4,7.01632,2,9,18,18,78,94,105,58,78,86,-1,-1,-1,-1,-1,100,0,0,0,4.30792,3,17,18,18,82,68,71,118,98,71,11,251,-1,-1,-1,18,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,800,206,729,825,-1,45,0,0,23.01676,13,9,18,18,67,103,63,74,76,120,-1,-1,-1,-1,-1,100,0,0,22.35208,2,14,18,18,93,86,73,103,133,80,-1,-1,-1,-1,-1,100,0,0,0,1,591,463,457.0,591.0,-0.06
8,3.0134,2,6,18,18,90,121,73,76,90,80,244,545,-1,-1,-1,10,0,4,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,-1,-1,-1,-1,-1,100,0,0,12.022,14,16,18,18,82,128,98,86,90,73,775,-1,-1,-1,-1,100,0,4,7.01632,2,9,18,18,78,94,105,58,78,86,-1,-1,-1,-1,-1,100,0,0,0,4.30792,3,17,18,18,82,68,71,118,98,71,11,251,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,800,206,729,825,-1,45,0,0,23.01676,13,9,18,18,67,103,63,74,76,120,-1,-1,-1,-1,-1,100,0,0,22.35208,2,14,18,18,93,86,73,103,133,80,-1,-1,-1,-1,-1,100,0,0,4,2,510,445,463.0,591.0,0.585
9,3.0134,2,6,18,18,90,121,73,76,90,80,244,545,-1,-1,-1,10,0,4,35.6966,17,14,18,18,94,91,81,115,116,85,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,-1,-1,-1,-1,-1,100,0,0,12.022,14,16,18,18,82,128,98,86,90,73,775,-1,-1,-1,-1,100,0,4,7.01632,2,9,18,18,78,94,105,58,78,86,-1,-1,-1,-1,-1,100,0,0,0,4.30792,3,17,18,18,82,68,71,118,98,71,11,251,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,800,206,729,825,-1,45,0,0,23.01676,13,9,18,18,67,103,63,74,76,120,767,-1,-1,-1,-1,71,0,0,22.35208,2,14,18,18,93,86,73,103,133,80,-1,-1,-1,-1,-1,100,0,0,4,2,510,416,445.0,510.0,0.29
