turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,100,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,-1,-1,-1,-1,-1,100,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,-1,-1,-1,-1,-1,100,0,0,26.95364,12,5,18,18,105,105,67,81,89,102,-1,-1,-1,-1,-1,100,0,0,21.04816,14,16,18,18,110,93,130,111,110,65,-1,-1,-1,-1,-1,100,0,0,1,5,600,600,,,0.0
1,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,100,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,-1,-1,-1,-1,-1,100,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,-1,-1,-1,-1,-1,48,0,2,26.95364,12,5,18,18,105,105,67,81,89,102,-1,-1,-1,-1,-1,100,0,0,21.04816,14,16,18,18,110,93,130,111,110,65,-1,-1,-1,-1,-1,100,0,0,3,5,600,548,600.0,600.0,0.52
2,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,0,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,100,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,1,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,-1,-1,-1,-1,-1,100,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,113,-1,-1,-1,-1,0,0,2,26.95364,12,5,18,18,105,105,67,81,89,102,-1,-1,-1,-1,-1,100,0,0,21.04816,14,16,18,18,110,93,130,111,110,65,-1,-1,-1,-1,-1,100,0,0,1,6,500,500,548.0,600.0,0.98
3,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,0,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,767,-1,-1,-1,-1,72,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,100,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,1,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,217,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,-1,-1,-1,-1,-1,100,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,113,-1,-1,-1,-1,0,0,2,26.95364,12,5,18,18,105,105,67,81,89,102,-1,-1,-1,-1,-1,100,0,0,21.04816,14,16,18,18,110,93,130,111,110,65,-1,-1,-1,-1,-1,100,0,0,1,6,472,500,500.0,500.0,0.14
4,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,0,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,767,217,-1,-1,-1,72,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,100,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,1,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,217,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,-1,-1,-1,-1,-1,100,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,113,-1,-1,-1,-1,0,0,2,26.95364,12,5,18,18,105,105,67,81,89,102,-1,-1,-1,-1,-1,100,0,0,21.04816,14,16,18,18,110,93,130,111,110,65,-1,-1,-1,-1,-1,79,234,0,5,1,472,479,500.0,472.0,0.21
5,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,0,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,767,217,194,-1,-1,72,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,100,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,1,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,217,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,-1,-1,-1,-1,-1,100,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,113,-1,-1,-1,-1,0,0,2,26.95364,12,5,18,18,105,105,67,81,89,102,-1,-1,-1,-1,-1,100,0,0,21.04816,14,16,18,18,110,93,130,111,110,65,-1,-1,-1,-1,-1,0,234,0,4,2,472,400,479.0,472.0,0.79
6,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,0,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,767,217,194,-1,-1,72,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,3,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,3,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,217,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,-1,-1,-1,-1,-1,100,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,113,-1,-1,-1,-1,0,0,2,26.95364,12,5,18,18,105,105,67,81,89,102,607,-1,-1,-1,-1,91,270,0,21.04816,14,16,18,18,110,93,130,111,110,65,-1,-1,-1,-1,-1,0,234,0,4,8,375,391,400.0,472.0,0.575
7,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,0,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,767,217,194,-1,-1,72,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,320,-1,-1,-1,-1,3,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,2,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,217,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,-1,-1,-1,-1,-1,100,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,113,-1,-1,-1,-1,0,0,2,26.95364,12,5,18,18,105,105,67,81,89,102,607,-1,-1,-1,-1,91,270,0,21.04816,14,16,18,18,110,93,130,111,110,65,-1,-1,-1,-1,-1,0,234,0,2,7,375,391,391.0,375.0,0.0
8,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,0,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,767,217,194,-1,-1,72,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,1,6.42588,14,2,18,18,83,76,80,103,120,83,320,-1,-1,-1,-1,3,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,2,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,217,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,687,-1,-1,-1,-1,100,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,113,-1,-1,-1,-1,0,0,2,26.95364,12,5,18,18,105,105,67,81,89,102,607,-1,-1,-1,-1,91,270,0,21.04816,14,16,18,18,110,93,130,111,110,65,-1,-1,-1,-1,-1,0,234,0,2,7,375,391,391.0,375.0,0.0
9,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,0,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,767,217,194,-1,-1,72,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,1,6.42588,14,2,18,18,83,76,80,103,120,83,320,-1,-1,-1,-1,3,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,2,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,217,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,687,-1,-1,-1,-1,100,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,113,-1,-1,-1,-1,0,0,2,26.95364,12,5,18,18,105,105,67,81,89,102,607,-1,-1,-1,-1,91,270,0,21.04816,14,16,18,18,110,93,130,111,110,65,-1,-1,-1,-1,-1,0,234,0,0,7,375,391,391.0,375.0,0.0
