turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,10.30584,0,3,18,18,86,83,73,128,83,106,-1,-1,-1,-1,-1,100,0,0,7.60204,16,7,18,18,61,93,65,61,83,80,-1,-1,-1,-1,-1,100,0,0,26.26528,4,17,18,18,69,76,100,61,102,84,-1,-1,-1,-1,-1,100,0,0,6.89808,3,5,18,18,66,107,62,78,85,118,-1,-1,-1,-1,-1,100,0,0,10.50292,16,9,18,18,63,106,91,65,83,100,-1,-1,-1,-1,-1,100,0,0,7.00592,16,16,18,18,76,111,116,68,126,60,-1,-1,-1,-1,-1,100,0,0,3,13.48008,0,6,18,18,68,94,75,70,87,107,-1,-1,-1,-1,-1,100,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,-1,-1,-1,-1,-1,100,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,-1,-1,-1,-1,-1,100,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,-1,-1,-1,-1,-1,100,0,0,19.00792,16,9,18,18,71,123,91,83,83,96,-1,-1,-1,-1,-1,100,0,0,0,8,600,600,,,0.0
1,10.30584,0,3,18,18,86,83,73,128,83,106,-1,-1,-1,-1,-1,100,0,0,7.60204,16,7,18,18,61,93,65,61,83,80,-1,-1,-1,-1,-1,100,0,0,26.26528,4,17,18,18,69,76,100,61,102,84,-1,-1,-1,-1,-1,100,0,0,6.89808,3,5,18,18,66,107,62,78,85,118,-1,-1,-1,-1,-1,72,0,0,10.50292,16,9,18,18,63,106,91,65,83,100,-1,-1,-1,-1,-1,100,0,0,7.00592,16,16,18,18,76,111,116,68,126,60,-1,-1,-1,-1,-1,100,0,0,3,13.48008,0,6,18,18,68,94,75,70,87,107,221,-1,-1,-1,-1,100,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,-1,-1,-1,-1,-1,100,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,-1,-1,-1,-1,-1,100,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,-1,-1,-1,-1,-1,100,0,0,19.00792,16,9,18,18,71,123,91,83,83,96,-1,-1,-1,-1,-1,100,0,0,0,8,572,600,600.0,600.0,0.14
2,10.30584,0,3,18,18,86,83,73,128,83,106,-1,-1,-1,-1,-1,100,0,0,7.60204,16,7,18,18,61,93,65,61,83,80,-1,-1,-1,-1,-1,100,0,0,26.26528,4,17,18,18,69,76,100,61,102,84,-1,-1,-1,-1,-1,100,0,0,6.89808,3,5,18,18,66,107,62,78,85,118,539,-1,-1,-1,-1,0,0,0,10.50292,16,9,18,18,63,106,91,65,83,100,-1,-1,-1,-1,-1,100,0,0,7.00592,16,16,18,18,76,111,116,68,126,60,-1,-1,-1,-1,-1,100,0,0,4,13.48008,0,6,18,18,68,94,75,70,87,107,221,113,-1,-1,-1,29,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,-1,-1,-1,-1,-1,100,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,-1,-1,-1,-1,-1,100,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,-1,-1,-1,-1,-1,100,0,0,19.00792,16,9,18,18,71,123,91,83,83,96,-1,-1,-1,-1,-1,100,0,0,0,9,500,529,600.0,572.0,1.07
3,10.30584,0,3,18,18,86,83,73,128,83,106,-1,-1,-1,-1,-1,100,0,0,7.60204,16,7,18,18,61,93,65,61,83,80,-1,-1,-1,-1,-1,100,0,0,26.26528,4,17,18,18,69,76,100,61,102,84,-1,-1,-1,-1,-1,100,0,0,6.89808,3,5,18,18,66,107,62,78,85,118,539,-1,-1,-1,-1,0,0,0,10.50292,16,9,18,18,63,106,91,65,83,100,668,-1,-1,-1,-1,68,234,0,7.00592,16,16,18,18,76,111,116,68,126,60,-1,-1,-1,-1,-1,100,0,0,4,13.48008,0,6,18,18,68,94,75,70,87,107,221,113,244,-1,-1,29,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,-1,-1,-1,-1,-1,100,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,-1,-1,-1,-1,-1,100,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,-1,-1,-1,-1,-1,100,0,0,19.00792,16,9,18,18,71,123,91,83,83,96,-1,-1,-1,-1,-1,100,0,0,0,9,468,529,529.0,500.0,0.16
4,10.30584,0,3,18,18,86,83,73,128,83,106,-1,-1,-1,-1,-1,100,0,0,7.60204,16,7,18,18,61,93,65,61,83,80,-1,-1,-1,-1,-1,100,0,0,26.26528,4,17,18,18,69,76,100,61,102,84,-1,-1,-1,-1,-1,100,0,0,6.89808,3,5,18,18,66,107,62,78,85,118,539,-1,-1,-1,-1,0,0,0,10.50292,16,9,18,18,63,106,91,65,83,100,668,135,-1,-1,-1,74,234,0,7.00592,16,16,18,18,76,111,116,68,126,60,-1,-1,-1,-1,-1,100,0,0,4,13.48008,0,6,18,18,68,94,75,70,87,107,221,113,244,-1,-1,0,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,-1,-1,-1,-1,-1,100,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,-1,-1,-1,-1,-1,100,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,-1,-1,-1,-1,-1,100,0,0,19.00792,16,9,18,18,71,123,91,83,83,96,-1,-1,-1,-1,-1,100,0,0,4,1,474,500,529.0,468.0,0.32
5,10.30584,0,3,18,18,86,83,73,128,83,106,-1,-1,-1,-1,-1,100,0,0,7.60204,16,7,18,18,61,93,65,61,83,80,-1,-1,-1,-1,-1,100,0,0,26.26528,4,17,18,18,69,76,100,61,102,84,-1,-1,-1,-1,-1,100,0,0,6.89808,3,5,18,18,66,107,62,78,85,118,539,-1,-1,-1,-1,0,0,0,10.50292,16,9,18,18,63,106,91,65,83,100,668,135,-1,-1,-1,69,234,0,7.00592,16,16,18,18,76,111,116,68,126,60,-1,-1,-1,-1,-1,100,0,0,4,13.48008,0,6,18,18,68,94,75,70,87,107,221,113,244,-1,-1,0,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,-1,-1,-1,-1,-1,100,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,-1,-1,-1,-1,-1,100,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,221,-1,-1,-1,-1,100,0,0,19.00792,16,9,18,18,71,123,91,83,83,96,-1,-1,-1,-1,-1,100,0,0,4,1,469,500,500.0,474.0,0.025
6,10.30584,0,3,18,18,86,83,73,128,83,106,-1,-1,-1,-1,-1,100,0,0,7.60204,16,7,18,18,61,93,65,61,83,80,-1,-1,-1,-1,-1,100,0,0,26.26528,4,17,18,18,69,76,100,61,102,84,-1,-1,-1,-1,-1,100,0,0,6.89808,3,5,18,18,66,107,62,78,85,118,539,-1,-1,-1,-1,0,0,0,10.50292,16,9,18,18,63,106,91,65,83,100,668,135,-1,-1,-1,0,234,0,7.00592,16,16,18,18,76,111,116,68,126,60,-1,-1,-1,-1,-1,100,0,0,0,13.48008,0,6,18,18,68,94,75,70,87,107,221,113,244,-1,-1,0,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,-1,-1,-1,-1,-1,100,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,-1,-1,-1,-1,-1,100,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,221,712,-1,-1,-1,100,0,0,19.00792,16,9,18,18,71,123,91,83,83,96,-1,-1,-1,-1,-1,100,0,0,4,5,400,500,500.0,469.0,0.345
7,10.30584,0,3,18,18,86,83,73,128,83,106,-1,-1,-1,-1,-1,0,0,0,7.60204,16,7,18,18,61,93,65,61,83,80,-1,-1,-1,-1,-1,100,0,0,26.26528,4,17,18,18,69,76,100,61,102,84,-1,-1,-1,-1,-1,100,0,0,6.89808,3,5,18,18,66,107,62,78,85,118,539,-1,-1,-1,-1,0,0,0,10.50292,16,9,18,18,63,106,91,65,83,100,668,135,-1,-1,-1,0,234,0,7.00592,16,16,18,18,76,111,116,68,126,60,-1,-1,-1,-1,-1,100,0,0,2,13.48008,0,6,18,18,68,94,75,70,87,107,221,113,244,-1,-1,0,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,-1,-1,-1,-1,-1,100,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,-1,-1,-1,-1,-1,100,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,221,712,608,-1,-1,100,0,0,19.00792,16,9,18,18,71,123,91,83,83,96,-1,-1,-1,-1,-1,100,0,0,4,7,300,500,500.0,400.0,0.5
8,10.30584,0,3,18,18,86,83,73,128,83,106,-1,-1,-1,-1,-1,0,0,0,7.60204,16,7,18,18,61,93,65,61,83,80,-1,-1,-1,-1,-1,100,0,0,26.26528,4,17,18,18,69,76,100,61,102,84,147,-1,-1,-1,-1,44,234,0,6.89808,3,5,18,18,66,107,62,78,85,118,539,-1,-1,-1,-1,0,0,0,10.50292,16,9,18,18,63,106,91,65,83,100,668,135,-1,-1,-1,0,234,0,7.00592,16,16,18,18,76,111,116,68,126,60,-1,-1,-1,-1,-1,100,0,0,2,13.48008,0,6,18,18,68,94,75,70,87,107,221,113,244,-1,-1,0,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,-1,-1,-1,-1,-1,100,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,-1,-1,-1,-1,-1,100,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,221,712,608,-1,-1,71,0,0,19.00792,16,9,18,18,71,123,91,83,83,96,-1,-1,-1,-1,-1,100,0,0,4,7,244,471,500.0,300.0,0.57
9,10.30584,0,3,18,18,86,83,73,128,83,106,-1,-1,-1,-1,-1,0,0,0,7.60204,16,7,18,18,61,93,65,61,83,80,-1,-1,-1,-1,-1,100,0,0,26.26528,4,17,18,18,69,76,100,61,102,84,147,-1,-1,-1,-1,0,234,0,6.89808,3,5,18,18,66,107,62,78,85,118,539,-1,-1,-1,-1,0,0,0,10.50292,16,9,18,18,63,106,91,65,83,100,668,135,-1,-1,-1,0,234,0,7.00592,16,16,18,18,76,111,116,68,126,60,-1,-1,-1,-1,-1,100,0,0,5,13.48008,0,6,18,18,68,94,75,70,87,107,221,113,244,-1,-1,0,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,-1,-1,-1,-1,-1,100,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,-1,-1,-1,-1,-1,100,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,221,712,608,-1,-1,71,0,0,19.00792,16,9,18,18,71,123,91,83,83,96,-1,-1,-1,-1,-1,100,0,0,4,10,200,471,471.0,244.0,0.22
