turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value,player1_elo,player2_elo,win
0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,15.17384,12,5,18,18,88,135,63,58,61,102,-1,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,100,0,0,16.34812,13,17,18,18,46,68,100,65,111,85,-1,-1,-1,-1,-1,100,0,0,5,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0,10,600,600,,,0.0,1220,1284,1
1,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,15.17384,12,5,18,18,88,135,63,58,61,102,-1,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,100,0,0,16.34812,13,17,18,18,46,68,100,65,111,85,779,-1,-1,-1,-1,47,0,0,5,4.01108,0,9,18,18,63,96,76,46,60,60,414,-1,-1,-1,-1,100,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0,10,547,600,600.0,600.0,0.265,1220,1284,1
2,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,15.17384,12,5,18,18,88,135,63,58,61,102,-1,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,100,0,0,16.34812,13,17,18,18,46,68,100,65,111,85,779,152,-1,-1,-1,47,0,0,5,4.01108,0,9,18,18,63,96,76,46,60,60,414,-1,-1,-1,-1,100,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,2,1,547,600,600.0,547.0,0.0,1220,1284,1
3,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,15.17384,12,5,18,18,88,135,63,58,61,102,-1,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,100,0,0,16.34812,13,17,18,18,46,68,100,65,111,85,779,152,507,-1,-1,47,0,0,5,4.01108,0,9,18,18,63,96,76,46,60,60,414,-1,-1,-1,-1,100,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,588,-1,-1,-1,-1,69,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,2,2,547,569,600.0,547.0,0.31,1220,1284,1
4,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,15.17384,12,5,18,18,88,135,63,58,61,102,-1,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,100,0,0,16.34812,13,17,18,18,46,68,100,65,111,85,779,152,507,-1,-1,0,0,0,2,4.01108,0,9,18,18,63,96,76,46,60,60,414,-1,-1,-1,-1,100,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,588,514,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0,7,500,600,569.0,547.0,-0.075,1220,1284,1
5,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,15.17384,12,5,18,18,88,135,63,58,61,102,388,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,100,0,0,16.34812,13,17,18,18,46,68,100,65,111,85,779,152,507,-1,-1,0,0,0,2,4.01108,0,9,18,18,63,96,76,46,60,60,414,-1,-1,-1,-1,0,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,588,514,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,1,7,500,500,600.0,500.0,1.0,1220,1284,1
6,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,15.17384,12,5,18,18,88,135,63,58,61,102,388,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,100,0,0,16.34812,13,17,18,18,46,68,100,65,111,85,779,152,507,-1,-1,0,0,0,4,4.01108,0,9,18,18,63,96,76,46,60,60,414,-1,-1,-1,-1,0,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,129,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,588,514,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,1,9,500,500,500.0,500.0,0.0,1220,1284,1
7,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,15.17384,12,5,18,18,88,135,63,58,61,102,388,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,427,-1,-1,-1,-1,100,0,0,16.34812,13,17,18,18,46,68,100,65,111,85,779,152,507,-1,-1,0,0,0,4,4.01108,0,9,18,18,63,96,76,46,60,60,414,-1,-1,-1,-1,0,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,129,-1,-1,-1,-1,88,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,588,514,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,1,9,500,488,500.0,500.0,0.12,1220,1284,1
8,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,15.17384,12,5,18,18,88,135,63,58,61,102,388,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,427,414,-1,-1,-1,100,0,0,16.34812,13,17,18,18,46,68,100,65,111,85,779,152,507,-1,-1,0,0,0,4,4.01108,0,9,18,18,63,96,76,46,60,60,414,-1,-1,-1,-1,0,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,129,-1,-1,-1,-1,54,639,0,24.41716,15,9,18,18,90,85,87,122,78,96,588,514,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,1,1,500,454,488.0,500.0,0.34,1220,1284,1
9,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,15.17384,12,5,18,18,88,135,63,58,61,102,388,-1,-1,-1,-1,100,0,0,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,427,414,-1,-1,-1,100,0,0,16.34812,13,17,18,18,46,68,100,65,111,85,779,152,507,-1,-1,0,0,0,4,4.01108,0,9,18,18,63,96,76,46,60,60,414,-1,-1,-1,-1,0,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,129,600,-1,-1,-1,71,639,0,24.41716,15,9,18,18,90,85,87,122,78,96,588,514,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,1,2,500,471,454.0,500.0,-0.17,1220,1284,1
