turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value,player1_elo,player2_elo,win
0,12.91896,15,7,18,18,84,95,76,103,83,59,-1,-1,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,1.8446,1,1,18,18,106,111,81,93,76,96,-1,-1,-1,-1,-1,100,0,0,5.12936,17,9,18,18,92,74,81,102,78,83,-1,-1,-1,-1,-1,100,0,0,16.35072,11,14,18,18,66,128,75,53,56,118,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,5,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,16.86604,7,2,18,18,73,72,128,64,100,66,-1,-1,-1,-1,-1,100,0,0,14.48576,14,9,18,18,82,80,84,125,92,100,-1,-1,-1,-1,-1,100,0,0,7.58252,8,0,18,18,103,105,85,51,86,51,-1,-1,-1,-1,-1,100,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,3,10,600,600,,,0.0,1152,1462,0
1,12.91896,15,7,18,18,84,95,76,103,83,59,-1,-1,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,1.8446,1,1,18,18,106,111,81,93,76,96,-1,-1,-1,-1,-1,100,0,0,5.12936,17,9,18,18,92,74,81,102,78,83,-1,-1,-1,-1,-1,100,0,0,16.35072,11,14,18,18,66,128,75,53,56,118,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,39,0,0,5,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,16.86604,7,2,18,18,73,72,128,64,100,66,-1,-1,-1,-1,-1,100,0,0,14.48576,14,9,18,18,82,80,84,125,92,100,384,-1,-1,-1,-1,0,0,0,7.58252,8,0,18,18,103,105,85,51,86,51,-1,-1,-1,-1,-1,100,0,0,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,4,10,539,500,600.0,600.0,1.305,1152,1462,0
2,12.91896,15,7,18,18,84,95,76,103,83,59,-1,-1,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,1.8446,1,1,18,18,106,111,81,93,76,96,-1,-1,-1,-1,-1,100,0,0,5.12936,17,9,18,18,92,74,81,102,78,83,-1,-1,-1,-1,-1,100,0,0,16.35072,11,14,18,18,66,128,75,53,56,118,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,39,0,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,16.86604,7,2,18,18,73,72,128,64,100,66,-1,-1,-1,-1,-1,100,0,0,14.48576,14,9,18,18,82,80,84,125,92,100,384,-1,-1,-1,-1,0,0,0,7.58252,8,0,18,18,103,105,85,51,86,51,567,-1,-1,-1,-1,100,272,6,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,4,5,539,500,500.0,539.0,0.0,1152,1462,0
3,12.91896,15,7,18,18,84,95,76,103,83,59,779,-1,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,1.8446,1,1,18,18,106,111,81,93,76,96,-1,-1,-1,-1,-1,100,0,0,5.12936,17,9,18,18,92,74,81,102,78,83,-1,-1,-1,-1,-1,100,0,0,16.35072,11,14,18,18,66,128,75,53,56,118,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,39,0,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,16.86604,7,2,18,18,73,72,128,64,100,66,-1,-1,-1,-1,-1,100,0,0,14.48576,14,9,18,18,82,80,84,125,92,100,384,-1,-1,-1,-1,0,0,0,7.58252,8,0,18,18,103,105,85,51,86,51,567,-1,-1,-1,-1,100,272,6,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,4,5,539,500,500.0,539.0,0.0,1152,1462,0
4,12.91896,15,7,18,18,84,95,76,103,83,59,779,825,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,1.8446,1,1,18,18,106,111,81,93,76,96,-1,-1,-1,-1,-1,100,0,0,5.12936,17,9,18,18,92,74,81,102,78,83,-1,-1,-1,-1,-1,100,0,0,16.35072,11,14,18,18,66,128,75,53,56,118,-1,-1,-1,-1,-1,14,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,39,0,0,4,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,16.86604,7,2,18,18,73,72,128,64,100,66,-1,-1,-1,-1,-1,100,0,0,14.48576,14,9,18,18,82,80,84,125,92,100,384,-1,-1,-1,-1,0,0,0,7.58252,8,0,18,18,103,105,85,51,86,51,567,218,-1,-1,-1,97,272,6,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,4,9,453,497,500.0,539.0,0.46,1152,1462,0
5,12.91896,15,7,18,18,84,95,76,103,83,59,779,825,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,1.8446,1,1,18,18,106,111,81,93,76,96,-1,-1,-1,-1,-1,100,0,0,5.12936,17,9,18,18,92,74,81,102,78,83,-1,-1,-1,-1,-1,100,0,0,16.35072,11,14,18,18,66,128,75,53,56,118,426,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,39,0,0,2,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,16.86604,7,2,18,18,73,72,128,64,100,66,-1,-1,-1,-1,-1,100,0,0,14.48576,14,9,18,18,82,80,84,125,92,100,384,-1,-1,-1,-1,0,0,0,7.58252,8,0,18,18,103,105,85,51,86,51,567,218,-1,-1,-1,46,272,6,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,4,7,439,446,497.0,453.0,0.58,1152,1462,0
6,12.91896,15,7,18,18,84,95,76,103,83,59,779,825,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,1.8446,1,1,18,18,106,111,81,93,76,96,827,-1,-1,-1,-1,100,0,0,5.12936,17,9,18,18,92,74,81,102,78,83,-1,-1,-1,-1,-1,100,0,0,16.35072,11,14,18,18,66,128,75,53,56,118,426,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,39,0,0,2,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,16.86604,7,2,18,18,73,72,128,64,100,66,-1,-1,-1,-1,-1,100,0,0,14.48576,14,9,18,18,82,80,84,125,92,100,384,-1,-1,-1,-1,0,0,0,7.58252,8,0,18,18,103,105,85,51,86,51,567,218,-1,-1,-1,59,272,6,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,4,7,439,459,446.0,439.0,-0.13,1152,1462,0
7,12.91896,15,7,18,18,84,95,76,103,83,59,779,825,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,1.8446,1,1,18,18,106,111,81,93,76,96,827,-1,-1,-1,-1,100,0,0,5.12936,17,9,18,18,92,74,81,102,78,83,-1,-1,-1,-1,-1,100,0,0,16.35072,11,14,18,18,66,128,75,53,56,118,426,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,39,0,0,2,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,16.86604,7,2,18,18,73,72,128,64,100,66,-1,-1,-1,-1,-1,72,281,0,14.48576,14,9,18,18,82,80,84,125,92,100,384,-1,-1,-1,-1,0,0,0,7.58252,8,0,18,18,103,105,85,51,86,51,567,218,-1,-1,-1,59,272,6,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,2,1,439,431,459.0,439.0,0.28,1152,1462,0
8,12.91896,15,7,18,18,84,95,76,103,83,59,779,825,-1,-1,-1,95,281,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,1.8446,1,1,18,18,106,111,81,93,76,96,827,-1,-1,-1,-1,100,0,0,5.12936,17,9,18,18,92,74,81,102,78,83,-1,-1,-1,-1,-1,100,0,0,16.35072,11,14,18,18,66,128,75,53,56,118,426,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,39,0,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,16.86604,7,2,18,18,73,72,128,64,100,66,825,-1,-1,-1,-1,72,281,0,14.48576,14,9,18,18,82,80,84,125,92,100,384,-1,-1,-1,-1,0,0,0,7.58252,8,0,18,18,103,105,85,51,86,51,567,218,-1,-1,-1,59,272,6,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,0,5,434,431,431.0,439.0,0.025,1152,1462,0
9,12.91896,15,7,18,18,84,95,76,103,83,59,779,825,-1,-1,-1,100,281,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,1.8446,1,1,18,18,106,111,81,93,76,96,827,-1,-1,-1,-1,100,0,0,5.12936,17,9,18,18,92,74,81,102,78,83,-1,-1,-1,-1,-1,100,0,0,16.35072,11,14,18,18,66,128,75,53,56,118,426,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,39,0,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,779,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,16.86604,7,2,18,18,73,72,128,64,100,66,825,-1,-1,-1,-1,72,281,0,14.48576,14,9,18,18,82,80,84,125,92,100,384,-1,-1,-1,-1,0,0,0,7.58252,8,0,18,18,103,105,85,51,86,51,567,218,-1,-1,-1,59,272,6,2.24308,10,0,18,18,142,43,51,38,54,43,-1,-1,-1,-1,-1,100,0,0,0,5,439,431,431.0,434.0,0.025,1152,1462,0
