turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value,player1_elo,player2_elo,win
0,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,100,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,27.04656,6,5,18,18,75,110,68,64,70,122,-1,-1,-1,-1,-1,100,0,0,27.514,17,9,18,18,88,85,105,88,111,83,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,-1,-1,-1,-1,-1,100,0,0,4,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,-1,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,2,9,600,600,,,0.0,1000,1143,1
1,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,100,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,27.04656,6,5,18,18,75,110,68,64,70,122,-1,-1,-1,-1,-1,100,0,0,27.514,17,9,18,18,88,85,105,88,111,83,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,-1,-1,-1,-1,-1,100,0,0,5,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,2,10,600,600,600.0,600.0,0.0,1000,1143,1
2,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,100,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,27.04656,6,5,18,18,75,110,68,64,70,122,-1,-1,-1,-1,-1,100,0,0,27.514,17,9,18,18,88,85,105,88,111,83,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,759,-1,-1,-1,-1,100,0,0,5,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,99,234,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,1,10,600,599,600.0,600.0,0.01,1000,1143,1
3,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,100,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,27.04656,6,5,18,18,75,110,68,64,70,122,-1,-1,-1,-1,-1,100,0,0,27.514,17,9,18,18,88,85,105,88,111,83,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,759,854,-1,-1,-1,100,0,0,5,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,175,-1,-1,-1,-1,95,234,2,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,1,1,600,595,599.0,600.0,0.04,1000,1143,1
4,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,100,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,27.04656,6,5,18,18,75,110,68,64,70,122,-1,-1,-1,-1,-1,100,0,0,27.514,17,9,18,18,88,85,105,88,111,83,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,759,854,-1,-1,-1,100,0,0,1,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,175,-1,-1,-1,-1,95,234,2,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,1,6,600,595,595.0,600.0,0.0,1000,1143,1
5,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,100,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,-1,-1,-1,-1,100,0,0,27.04656,6,5,18,18,75,110,68,64,70,122,-1,-1,-1,-1,-1,100,0,0,27.514,17,9,18,18,88,85,105,88,111,83,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,759,854,-1,-1,-1,100,0,0,1,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,175,-1,-1,-1,-1,0,234,2,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,-1,-1,-1,-1,-1,100,0,0,5,6,600,500,595.0,600.0,0.95,1000,1143,1
6,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,100,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,-1,-1,-1,-1,100,0,0,27.04656,6,5,18,18,75,110,68,64,70,122,-1,-1,-1,-1,-1,100,0,0,27.514,17,9,18,18,88,85,105,88,111,83,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,759,854,-1,-1,-1,95,234,0,5,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,175,-1,-1,-1,-1,0,234,2,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,384,-1,-1,-1,-1,91,270,0,5,10,595,491,500.0,600.0,0.115,1000,1143,1
7,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,100,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,-1,-1,-1,-1,100,0,0,27.04656,6,5,18,18,75,110,68,64,70,122,-1,-1,-1,-1,-1,100,0,0,27.514,17,9,18,18,88,85,105,88,111,83,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,759,854,-1,-1,-1,48,234,5,5,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,175,-1,-1,-1,-1,0,234,2,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,384,690,-1,-1,-1,75,270,2,5,2,548,475,491.0,595.0,0.395,1000,1143,1
8,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,100,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,-1,-1,-1,-1,100,0,0,27.04656,6,5,18,18,75,110,68,64,70,122,-1,-1,-1,-1,-1,100,0,0,27.514,17,9,18,18,88,85,105,88,111,83,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,759,854,-1,-1,-1,48,234,5,0,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,175,-1,-1,-1,-1,0,234,2,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,384,690,-1,-1,-1,68,270,2,5,5,548,468,475.0,548.0,0.07,1000,1143,1
9,16.89732,16,14,18,18,72,134,120,60,63,81,175,-1,-1,-1,-1,100,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,-1,-1,-1,-1,100,0,0,27.04656,6,5,18,18,75,110,68,64,70,122,-1,-1,-1,-1,-1,100,0,0,27.514,17,9,18,18,88,85,105,88,111,83,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,759,854,-1,-1,-1,48,234,5,0,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,175,-1,-1,-1,-1,0,234,2,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,-1,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,384,690,-1,-1,-1,68,270,2,0,5,548,468,468.0,548.0,0.0,1000,1143,1
