turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value,player1_elo,player2_elo,win
0,20.77764,12,8,18,18,95,94,110,96,91,43,-1,-1,-1,-1,-1,100,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,20.12992,1,12,18,18,78,116,66,91,68,101,-1,-1,-1,-1,-1,100,0,0,6.7316,2,10,18,18,90,78,86,103,116,83,-1,-1,-1,-1,-1,100,0,0,27.1864,17,4,18,18,96,88,105,110,103,53,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,0,17.94716,15,2,18,18,56,70,115,74,75,53,-1,-1,-1,-1,-1,100,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,7.5122,16,9,18,18,88,86,126,80,90,80,-1,-1,-1,-1,-1,100,0,0,23.46416,14,9,18,18,79,91,76,111,94,115,-1,-1,-1,-1,-1,100,0,0,22.04812,15,13,18,18,63,88,66,106,63,108,-1,-1,-1,-1,-1,100,0,0,24.2474,4,14,18,18,97,103,101,115,63,82,-1,-1,-1,-1,-1,100,0,0,0,5,600,600,,,0.0,1000,1060,1
1,20.77764,12,8,18,18,95,94,110,96,91,43,-1,-1,-1,-1,-1,100,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,20.12992,1,12,18,18,78,116,66,91,68,101,-1,-1,-1,-1,-1,100,0,0,6.7316,2,10,18,18,90,78,86,103,116,83,-1,-1,-1,-1,-1,100,0,0,27.1864,17,4,18,18,96,88,105,110,103,53,-1,-1,-1,-1,-1,94,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,4,17.94716,15,2,18,18,56,70,115,74,75,53,807,-1,-1,-1,-1,94,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,7.5122,16,9,18,18,88,86,126,80,90,80,-1,-1,-1,-1,-1,100,0,0,23.46416,14,9,18,18,79,91,76,111,94,115,-1,-1,-1,-1,-1,100,0,0,22.04812,15,13,18,18,63,88,66,106,63,108,-1,-1,-1,-1,-1,100,0,0,24.2474,4,14,18,18,97,103,101,115,63,82,-1,-1,-1,-1,-1,100,0,0,0,9,594,594,600.0,600.0,0.09,1000,1060,1
2,20.77764,12,8,18,18,95,94,110,96,91,43,-1,-1,-1,-1,-1,100,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,20.12992,1,12,18,18,78,116,66,91,68,101,-1,-1,-1,-1,-1,100,0,0,6.7316,2,10,18,18,90,78,86,103,116,83,-1,-1,-1,-1,-1,100,0,0,27.1864,17,4,18,18,96,88,105,110,103,53,486,-1,-1,-1,-1,88,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,4,17.94716,15,2,18,18,56,70,115,74,75,53,807,-1,-1,-1,-1,42,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,7.5122,16,9,18,18,88,86,126,80,90,80,-1,-1,-1,-1,-1,100,0,0,23.46416,14,9,18,18,79,91,76,111,94,115,-1,-1,-1,-1,-1,100,0,0,22.04812,15,13,18,18,63,88,66,106,63,108,-1,-1,-1,-1,-1,100,0,0,24.2474,4,14,18,18,97,103,101,115,63,82,-1,-1,-1,-1,-1,100,0,0,0,9,588,542,594.0,594.0,0.55,1000,1060,1
3,20.77764,12,8,18,18,95,94,110,96,91,43,-1,-1,-1,-1,-1,100,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,20.12992,1,12,18,18,78,116,66,91,68,101,-1,-1,-1,-1,-1,100,0,0,6.7316,2,10,18,18,90,78,86,103,116,83,-1,-1,-1,-1,-1,100,0,0,27.1864,17,4,18,18,96,88,105,110,103,53,486,-1,-1,-1,-1,82,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,4,17.94716,15,2,18,18,56,70,115,74,75,53,807,-1,-1,-1,-1,42,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,90,0,0,7.5122,16,9,18,18,88,86,126,80,90,80,-1,-1,-1,-1,-1,100,0,0,23.46416,14,9,18,18,79,91,76,111,94,115,-1,-1,-1,-1,-1,100,0,0,22.04812,15,13,18,18,63,88,66,106,63,108,-1,-1,-1,-1,-1,100,0,0,24.2474,4,14,18,18,97,103,101,115,63,82,-1,-1,-1,-1,-1,100,0,0,1,1,582,532,542.0,588.0,0.13,1000,1060,1
4,20.77764,12,8,18,18,95,94,110,96,91,43,-1,-1,-1,-1,-1,100,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,20.12992,1,12,18,18,78,116,66,91,68,101,-1,-1,-1,-1,-1,100,0,0,6.7316,2,10,18,18,90,78,86,103,116,83,-1,-1,-1,-1,-1,100,0,0,27.1864,17,4,18,18,96,88,105,110,103,53,486,427,-1,-1,-1,51,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,4,17.94716,15,2,18,18,56,70,115,74,75,53,807,-1,-1,-1,-1,42,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,308,-1,-1,-1,-1,90,0,0,7.5122,16,9,18,18,88,86,126,80,90,80,-1,-1,-1,-1,-1,100,0,0,23.46416,14,9,18,18,79,91,76,111,94,115,-1,-1,-1,-1,-1,100,0,0,22.04812,15,13,18,18,63,88,66,106,63,108,-1,-1,-1,-1,-1,100,0,0,24.2474,4,14,18,18,97,103,101,115,63,82,-1,-1,-1,-1,-1,100,0,0,1,1,551,532,532.0,582.0,0.155,1000,1060,1
5,20.77764,12,8,18,18,95,94,110,96,91,43,-1,-1,-1,-1,-1,100,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,20.12992,1,12,18,18,78,116,66,91,68,101,-1,-1,-1,-1,-1,100,0,0,6.7316,2,10,18,18,90,78,86,103,116,83,-1,-1,-1,-1,-1,71,234,6,27.1864,17,4,18,18,96,88,105,110,103,53,486,427,-1,-1,-1,51,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,3,17.94716,15,2,18,18,56,70,115,74,75,53,807,-1,-1,-1,-1,42,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,308,-1,-1,-1,-1,90,0,0,7.5122,16,9,18,18,88,86,126,80,90,80,-1,-1,-1,-1,-1,100,0,0,23.46416,14,9,18,18,79,91,76,111,94,115,-1,-1,-1,-1,-1,100,0,0,22.04812,15,13,18,18,63,88,66,106,63,108,-1,-1,-1,-1,-1,100,0,0,24.2474,4,14,18,18,97,103,101,115,63,82,-1,-1,-1,-1,-1,100,0,0,1,8,522,532,532.0,551.0,0.145,1000,1060,1
6,20.77764,12,8,18,18,95,94,110,96,91,43,-1,-1,-1,-1,-1,100,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,20.12992,1,12,18,18,78,116,66,91,68,101,-1,-1,-1,-1,-1,100,0,0,6.7316,2,10,18,18,90,78,86,103,116,83,151,-1,-1,-1,-1,47,234,6,27.1864,17,4,18,18,96,88,105,110,103,53,486,427,-1,-1,-1,51,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,3,17.94716,15,2,18,18,56,70,115,74,75,53,807,-1,-1,-1,-1,42,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,308,427,-1,-1,-1,100,0,0,7.5122,16,9,18,18,88,86,126,80,90,80,-1,-1,-1,-1,-1,100,0,0,23.46416,14,9,18,18,79,91,76,111,94,115,-1,-1,-1,-1,-1,100,0,0,22.04812,15,13,18,18,63,88,66,106,63,108,-1,-1,-1,-1,-1,100,0,0,24.2474,4,14,18,18,97,103,101,115,63,82,-1,-1,-1,-1,-1,100,0,0,1,8,498,542,532.0,522.0,0.02,1000,1060,1
7,20.77764,12,8,18,18,95,94,110,96,91,43,-1,-1,-1,-1,-1,87,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,20.12992,1,12,18,18,78,116,66,91,68,101,-1,-1,-1,-1,-1,100,0,0,6.7316,2,10,18,18,90,78,86,103,116,83,151,-1,-1,-1,-1,47,234,6,27.1864,17,4,18,18,96,88,105,110,103,53,486,427,-1,-1,-1,51,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,0,17.94716,15,2,18,18,56,70,115,74,75,53,807,-1,-1,-1,-1,42,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,308,427,486,-1,-1,100,0,0,7.5122,16,9,18,18,88,86,126,80,90,80,-1,-1,-1,-1,-1,100,0,0,23.46416,14,9,18,18,79,91,76,111,94,115,-1,-1,-1,-1,-1,100,0,0,22.04812,15,13,18,18,63,88,66,106,63,108,-1,-1,-1,-1,-1,100,0,0,24.2474,4,14,18,18,97,103,101,115,63,82,-1,-1,-1,-1,-1,100,0,0,1,5,485,542,542.0,498.0,0.065,1000,1060,1
8,20.77764,12,8,18,18,95,94,110,96,91,43,729,-1,-1,-1,-1,64,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,20.12992,1,12,18,18,78,116,66,91,68,101,-1,-1,-1,-1,-1,100,0,0,6.7316,2,10,18,18,90,78,86,103,116,83,151,-1,-1,-1,-1,47,234,6,27.1864,17,4,18,18,96,88,105,110,103,53,486,427,-1,-1,-1,51,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,0,17.94716,15,2,18,18,56,70,115,74,75,53,807,-1,-1,-1,-1,42,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,308,427,486,-1,-1,100,0,0,7.5122,16,9,18,18,88,86,126,80,90,80,-1,-1,-1,-1,-1,100,0,0,23.46416,14,9,18,18,79,91,76,111,94,115,-1,-1,-1,-1,-1,100,0,0,22.04812,15,13,18,18,63,88,66,106,63,108,-1,-1,-1,-1,-1,100,0,0,24.2474,4,14,18,18,97,103,101,115,63,82,-1,-1,-1,-1,-1,100,0,0,1,5,462,542,542.0,485.0,0.115,1000,1060,1
9,20.77764,12,8,18,18,95,94,110,96,91,43,729,-1,-1,-1,-1,64,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,20.12992,1,12,18,18,78,116,66,91,68,101,-1,-1,-1,-1,-1,100,0,0,6.7316,2,10,18,18,90,78,86,103,116,83,151,-1,-1,-1,-1,47,234,6,27.1864,17,4,18,18,96,88,105,110,103,53,486,427,-1,-1,-1,51,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,4,17.94716,15,2,18,18,56,70,115,74,75,53,807,-1,-1,-1,-1,42,0,0,8.07572,17,16,18,18,88,86,111,81,98,33,308,427,486,-1,-1,100,0,0,7.5122,16,9,18,18,88,86,126,80,90,80,-1,-1,-1,-1,-1,100,0,0,23.46416,14,9,18,18,79,91,76,111,94,115,-1,-1,-1,-1,-1,100,0,0,22.04812,15,13,18,18,63,88,66,106,63,108,-1,-1,-1,-1,-1,100,0,0,24.2474,4,14,18,18,97,103,101,115,63,82,-1,-1,-1,-1,-1,100,0,0,1,9,462,542,542.0,462.0,0.0,1000,1060,1
