turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value,player1_elo,player2_elo,win
0,15.80508,13,16,18,18,50,68,157,59,136,35,-1,-1,-1,-1,-1,100,0,0,38.08432,13,16,18,18,71,106,120,75,98,26,-1,-1,-1,-1,-1,100,0,0,1.60604,7,15,18,18,87,123,99,88,83,69,-1,-1,-1,-1,-1,100,0,0,4.88976,0,8,18,18,73,113,73,56,66,85,-1,-1,-1,-1,-1,100,0,0,19.60408,13,17,18,18,53,75,92,87,97,89,-1,-1,-1,-1,-1,100,0,0,8.88228,0,14,18,18,68,121,80,63,66,103,-1,-1,-1,-1,-1,100,0,0,2,20.8538,16,14,18,18,97,103,93,108,96,98,-1,-1,-1,-1,-1,100,0,0,10.5456,2,4,18,18,100,103,113,93,76,53,-1,-1,-1,-1,-1,100,0,0,5.1082,1,8,18,18,96,123,90,93,81,99,-1,-1,-1,-1,-1,100,0,0,1.74056,3,9,18,18,90,119,91,116,93,86,-1,-1,-1,-1,-1,100,0,0,0.56404,13,7,18,18,66,68,63,113,90,103,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,-1,-1,-1,-1,-1,100,0,0,5,7,600,600,,,0.0,1086,1101,1
1,15.80508,13,16,18,18,50,68,157,59,136,35,-1,-1,-1,-1,-1,100,0,0,38.08432,13,16,18,18,71,106,120,75,98,26,-1,-1,-1,-1,-1,100,0,0,1.60604,7,15,18,18,87,123,99,88,83,69,545,-1,-1,-1,-1,100,0,0,4.88976,0,8,18,18,73,113,73,56,66,85,-1,-1,-1,-1,-1,100,0,0,19.60408,13,17,18,18,53,75,92,87,97,89,-1,-1,-1,-1,-1,100,0,0,8.88228,0,14,18,18,68,121,80,63,66,103,-1,-1,-1,-1,-1,100,0,0,2,20.8538,16,14,18,18,97,103,93,108,96,98,-1,-1,-1,-1,-1,100,0,0,10.5456,2,4,18,18,100,103,113,93,76,53,-1,-1,-1,-1,-1,100,0,0,5.1082,1,8,18,18,96,123,90,93,81,99,-1,-1,-1,-1,-1,100,0,0,1.74056,3,9,18,18,90,119,91,116,93,86,-1,-1,-1,-1,-1,100,0,0,0.56404,13,7,18,18,66,68,63,113,90,103,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,0,0,0,2,7,600,500,600.0,600.0,1.0,1086,1101,1
2,15.80508,13,16,18,18,50,68,157,59,136,35,-1,-1,-1,-1,-1,100,0,0,38.08432,13,16,18,18,71,106,120,75,98,26,-1,-1,-1,-1,-1,100,0,0,1.60604,7,15,18,18,87,123,99,88,83,69,545,-1,-1,-1,-1,0,0,0,4.88976,0,8,18,18,73,113,73,56,66,85,-1,-1,-1,-1,-1,100,0,0,19.60408,13,17,18,18,53,75,92,87,97,89,-1,-1,-1,-1,-1,100,0,0,8.88228,0,14,18,18,68,121,80,63,66,103,-1,-1,-1,-1,-1,100,0,0,3,20.8538,16,14,18,18,97,103,93,108,96,98,-1,-1,-1,-1,-1,100,0,0,10.5456,2,4,18,18,100,103,113,93,76,53,-1,-1,-1,-1,-1,100,0,0,5.1082,1,8,18,18,96,123,90,93,81,99,194,-1,-1,-1,-1,91,270,0,1.74056,3,9,18,18,90,119,91,116,93,86,-1,-1,-1,-1,-1,100,0,0,0.56404,13,7,18,18,66,68,63,113,90,103,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,0,0,0,2,8,500,491,500.0,600.0,0.59,1086,1101,1
3,15.80508,13,16,18,18,50,68,157,59,136,35,-1,-1,-1,-1,-1,100,0,0,38.08432,13,16,18,18,71,106,120,75,98,26,-1,-1,-1,-1,-1,100,0,0,1.60604,7,15,18,18,87,123,99,88,83,69,545,-1,-1,-1,-1,0,0,0,4.88976,0,8,18,18,73,113,73,56,66,85,-1,-1,-1,-1,-1,100,0,0,19.60408,13,17,18,18,53,75,92,87,97,89,-1,-1,-1,-1,-1,100,0,0,8.88228,0,14,18,18,68,121,80,63,66,103,-1,-1,-1,-1,-1,100,0,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,-1,-1,-1,-1,-1,100,0,0,10.5456,2,4,18,18,100,103,113,93,76,53,-1,-1,-1,-1,-1,100,0,0,5.1082,1,8,18,18,96,123,90,93,81,99,194,-1,-1,-1,-1,91,270,0,1.74056,3,9,18,18,90,119,91,116,93,86,-1,-1,-1,-1,-1,100,0,0,0.56404,13,7,18,18,66,68,63,113,90,103,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,0,0,0,0,5,500,491,491.0,500.0,0.0,1086,1101,1
4,15.80508,13,16,18,18,50,68,157,59,136,35,779,-1,-1,-1,-1,100,0,0,38.08432,13,16,18,18,71,106,120,75,98,26,-1,-1,-1,-1,-1,100,0,0,1.60604,7,15,18,18,87,123,99,88,83,69,545,-1,-1,-1,-1,0,0,0,4.88976,0,8,18,18,73,113,73,56,66,85,-1,-1,-1,-1,-1,100,0,0,19.60408,13,17,18,18,53,75,92,87,97,89,-1,-1,-1,-1,-1,100,0,0,8.88228,0,14,18,18,68,121,80,63,66,103,-1,-1,-1,-1,-1,100,0,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,95,-1,-1,-1,-1,100,0,0,10.5456,2,4,18,18,100,103,113,93,76,53,-1,-1,-1,-1,-1,100,0,0,5.1082,1,8,18,18,96,123,90,93,81,99,194,-1,-1,-1,-1,91,270,0,1.74056,3,9,18,18,90,119,91,116,93,86,-1,-1,-1,-1,-1,100,0,0,0.56404,13,7,18,18,66,68,63,113,90,103,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,0,0,0,0,5,500,491,491.0,500.0,0.0,1086,1101,1
5,15.80508,13,16,18,18,50,68,157,59,136,35,779,854,-1,-1,-1,87,234,0,38.08432,13,16,18,18,71,106,120,75,98,26,-1,-1,-1,-1,-1,100,0,0,1.60604,7,15,18,18,87,123,99,88,83,69,545,-1,-1,-1,-1,0,0,0,4.88976,0,8,18,18,73,113,73,56,66,85,-1,-1,-1,-1,-1,100,0,0,19.60408,13,17,18,18,53,75,92,87,97,89,-1,-1,-1,-1,-1,100,0,0,8.88228,0,14,18,18,68,121,80,63,66,103,-1,-1,-1,-1,-1,100,0,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,95,179,-1,-1,-1,94,0,2,10.5456,2,4,18,18,100,103,113,93,76,53,-1,-1,-1,-1,-1,100,0,0,5.1082,1,8,18,18,96,123,90,93,81,99,194,-1,-1,-1,-1,91,270,0,1.74056,3,9,18,18,90,119,91,116,93,86,-1,-1,-1,-1,-1,100,0,0,0.56404,13,7,18,18,66,68,63,113,90,103,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,0,0,0,0,1,487,485,491.0,500.0,0.125,1086,1101,1
6,15.80508,13,16,18,18,50,68,157,59,136,35,779,854,403,-1,-1,93,234,0,38.08432,13,16,18,18,71,106,120,75,98,26,-1,-1,-1,-1,-1,100,0,0,1.60604,7,15,18,18,87,123,99,88,83,69,545,-1,-1,-1,-1,0,0,0,4.88976,0,8,18,18,73,113,73,56,66,85,-1,-1,-1,-1,-1,100,0,0,19.60408,13,17,18,18,53,75,92,87,97,89,-1,-1,-1,-1,-1,100,0,0,8.88228,0,14,18,18,68,121,80,63,66,103,-1,-1,-1,-1,-1,100,0,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,95,179,-1,-1,-1,94,0,2,10.5456,2,4,18,18,100,103,113,93,76,53,-1,-1,-1,-1,-1,100,234,0,5.1082,1,8,18,18,96,123,90,93,81,99,194,-1,-1,-1,-1,91,270,0,1.74056,3,9,18,18,90,119,91,116,93,86,-1,-1,-1,-1,-1,100,0,0,0.56404,13,7,18,18,66,68,63,113,90,103,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,0,0,0,1,2,493,485,485.0,487.0,0.03,1086,1101,1
7,15.80508,13,16,18,18,50,68,157,59,136,35,779,854,403,-1,-1,99,234,1,38.08432,13,16,18,18,71,106,120,75,98,26,-1,-1,-1,-1,-1,100,0,0,1.60604,7,15,18,18,87,123,99,88,83,69,545,-1,-1,-1,-1,0,0,0,4.88976,0,8,18,18,73,113,73,56,66,85,-1,-1,-1,-1,-1,100,0,0,19.60408,13,17,18,18,53,75,92,87,97,89,-1,-1,-1,-1,-1,100,0,0,8.88228,0,14,18,18,68,121,80,63,66,103,-1,-1,-1,-1,-1,100,0,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,95,179,-1,-1,-1,94,0,2,10.5456,2,4,18,18,100,103,113,93,76,53,687,-1,-1,-1,-1,100,234,0,5.1082,1,8,18,18,96,123,90,93,81,99,194,-1,-1,-1,-1,91,270,0,1.74056,3,9,18,18,90,119,91,116,93,86,-1,-1,-1,-1,-1,100,0,0,0.56404,13,7,18,18,66,68,63,113,90,103,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,0,0,0,1,2,499,485,485.0,493.0,0.03,1086,1101,1
8,15.80508,13,16,18,18,50,68,157,59,136,35,779,854,403,-1,-1,100,234,1,38.08432,13,16,18,18,71,106,120,75,98,26,-1,-1,-1,-1,-1,100,0,0,1.60604,7,15,18,18,87,123,99,88,83,69,545,-1,-1,-1,-1,0,0,0,4.88976,0,8,18,18,73,113,73,56,66,85,-1,-1,-1,-1,-1,100,0,0,19.60408,13,17,18,18,53,75,92,87,97,89,-1,-1,-1,-1,-1,100,0,0,8.88228,0,14,18,18,68,121,80,63,66,103,-1,-1,-1,-1,-1,100,0,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,95,179,-1,-1,-1,94,0,2,10.5456,2,4,18,18,100,103,113,93,76,53,687,767,-1,-1,-1,100,234,0,5.1082,1,8,18,18,96,123,90,93,81,99,194,-1,-1,-1,-1,91,270,0,1.74056,3,9,18,18,90,119,91,116,93,86,-1,-1,-1,-1,-1,100,0,0,0.56404,13,7,18,18,66,68,63,113,90,103,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,0,0,0,1,2,500,485,485.0,499.0,0.005,1086,1101,1
9,15.80508,13,16,18,18,50,68,157,59,136,35,779,854,403,152,-1,100,234,1,38.08432,13,16,18,18,71,106,120,75,98,26,-1,-1,-1,-1,-1,100,0,0,1.60604,7,15,18,18,87,123,99,88,83,69,545,-1,-1,-1,-1,0,0,0,4.88976,0,8,18,18,73,113,73,56,66,85,-1,-1,-1,-1,-1,100,0,0,19.60408,13,17,18,18,53,75,92,87,97,89,-1,-1,-1,-1,-1,100,0,0,8.88228,0,14,18,18,68,121,80,63,66,103,-1,-1,-1,-1,-1,100,0,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,95,179,-1,-1,-1,94,0,2,10.5456,2,4,18,18,100,103,113,93,76,53,687,767,-1,-1,-1,100,234,0,5.1082,1,8,18,18,96,123,90,93,81,99,194,-1,-1,-1,-1,91,270,0,1.74056,3,9,18,18,90,119,91,116,93,86,-1,-1,-1,-1,-1,100,0,0,0.56404,13,7,18,18,66,68,63,113,90,103,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,0,0,0,1,3,500,485,485.0,500.0,0.0,1086,1101,1
10,15.80508,13,16,18,18,50,68,157,59,136,35,779,854,403,152,-1,100,234,1,38.08432,13,16,18,18,71,106,120,75,98,26,-1,-1,-1,-1,-1,100,0,0,1.60604,7,15,18,18,87,123,99,88,83,69,545,-1,-1,-1,-1,0,0,0,4.88976,0,8,18,18,73,113,73,56,66,85,-1,-1,-1,-1,-1,100,0,0,19.60408,13,17,18,18,53,75,92,87,97,89,-1,-1,-1,-1,-1,100,0,0,8.88228,0,14,18,18,68,121,80,63,66,103,-1,-1,-1,-1,-1,100,0,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,95,179,-1,-1,-1,94,0,2,10.5456,2,4,18,18,100,103,113,93,76,53,687,767,-1,-1,-1,94,234,2,5.1082,1,8,18,18,96,123,90,93,81,99,194,-1,-1,-1,-1,91,270,0,1.74056,3,9,18,18,90,119,91,116,93,86,-1,-1,-1,-1,-1,100,0,0,0.56404,13,7,18,18,66,68,63,113,90,103,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,0,0,0,1,2,500,479,485.0,500.0,0.06,1086,1101,1
11,15.80508,13,16,18,18,50,68,157,59,136,35,779,854,403,152,-1,10,0,1,38.08432,13,16,18,18,71,106,120,75,98,26,-1,-1,-1,-1,-1,100,0,0,1.60604,7,15,18,18,87,123,99,88,83,69,545,-1,-1,-1,-1,0,0,0,4.88976,0,8,18,18,73,113,73,56,66,85,-1,-1,-1,-1,-1,100,0,0,19.60408,13,17,18,18,53,75,92,87,97,89,-1,-1,-1,-1,-1,100,0,0,8.88228,0,14,18,18,68,121,80,63,66,103,-1,-1,-1,-1,-1,100,0,0,0,20.8538,16,14,18,18,97,103,93,108,96,98,95,179,-1,-1,-1,94,0,2,10.5456,2,4,18,18,100,103,113,93,76,53,687,767,414,-1,-1,94,234,2,5.1082,1,8,18,18,96,123,90,93,81,99,194,-1,-1,-1,-1,91,270,0,1.74056,3,9,18,18,90,119,91,116,93,86,-1,-1,-1,-1,-1,100,0,0,0.56404,13,7,18,18,66,68,63,113,90,103,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,0,0,0,1,1,410,479,479.0,500.0,0.45,1086,1101,1
12,15.80508,13,16,18,18,50,68,157,59,136,35,779,854,403,152,-1,0,0,1,38.08432,13,16,18,18,71,106,120,75,98,26,-1,-1,-1,-1,-1,100,0,0,1.60604,7,15,18,18,87,123,99,88,83,69,545,-1,-1,-1,-1,0,0,0,4.88976,0,8,18,18,73,113,73,56,66,85,-1,-1,-1,-1,-1,100,0,0,19.60408,13,17,18,18,53,75,92,87,97,89,-1,-1,-1,-1,-1,100,0,0,8.88228,0,14,18,18,68,121,80,63,66,103,-1,-1,-1,-1,-1,100,0,0,5,20.8538,16,14,18,18,97,103,93,108,96,98,95,179,-1,-1,-1,94,0,2,10.5456,2,4,18,18,100,103,113,93,76,53,687,767,414,-1,-1,94,234,2,5.1082,1,8,18,18,96,123,90,93,81,99,194,-1,-1,-1,-1,91,270,0,1.74056,3,9,18,18,90,119,91,116,93,86,-1,-1,-1,-1,-1,100,0,0,0.56404,13,7,18,18,66,68,63,113,90,103,-1,-1,-1,-1,-1,100,0,0,19.76912,4,17,18,18,59,96,87,66,69,73,726,-1,-1,-1,-1,0,0,0,1,10,400,479,479.0,410.0,0.05,1086,1101,1
