turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value,player1_elo,player2_elo,win
0,3.33528,0,13,18,18,64,100,63,71,64,81,-1,-1,-1,-1,-1,100,0,0,0.73684,6,9,18,18,53,113,64,43,93,102,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,-1,-1,-1,-1,-1,100,0,0,3.6394,1,8,18,18,77,102,75,97,72,92,-1,-1,-1,-1,-1,100,0,0,0,0.68964,14,17,18,18,92,91,80,98,96,66,-1,-1,-1,-1,-1,100,0,0,6.15616,16,9,18,18,95,93,86,90,93,120,-1,-1,-1,-1,-1,100,0,0,21.41524,7,6,18,18,53,107,104,55,114,58,-1,-1,-1,-1,-1,100,0,0,4.99136,4,8,18,18,93,101,93,101,58,73,-1,-1,-1,-1,-1,100,0,0,2.35016,0,3,18,18,83,60,81,53,73,133,-1,-1,-1,-1,-1,100,0,0,7.93488,1,6,18,18,67,98,87,81,84,82,-1,-1,-1,-1,-1,100,0,0,1,5,600,600,,,0.0,1150,1000,1
1,3.33528,0,13,18,18,64,100,63,71,64,81,221,-1,-1,-1,-1,74,270,0,0.73684,6,9,18,18,53,113,64,43,93,102,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,-1,-1,-1,-1,-1,100,0,0,3.6394,1,8,18,18,77,102,75,97,72,92,-1,-1,-1,-1,-1,100,0,0,0,0.68964,14,17,18,18,92,91,80,98,96,66,-1,-1,-1,-1,-1,100,0,0,6.15616,16,9,18,18,95,93,86,90,93,120,-1,-1,-1,-1,-1,85,0,0,21.41524,7,6,18,18,53,107,104,55,114,58,-1,-1,-1,-1,-1,100,0,0,4.99136,4,8,18,18,93,101,93,101,58,73,-1,-1,-1,-1,-1,100,0,0,2.35016,0,3,18,18,83,60,81,53,73,133,-1,-1,-1,-1,-1,100,0,0,7.93488,1,6,18,18,67,98,87,81,84,82,-1,-1,-1,-1,-1,100,0,0,1,5,574,585,600.0,600.0,0.28,1150,1000,1
2,3.33528,0,13,18,18,64,100,63,71,64,81,221,414,-1,-1,-1,35,270,0,0.73684,6,9,18,18,53,113,64,43,93,102,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,-1,-1,-1,-1,-1,100,0,0,3.6394,1,8,18,18,77,102,75,97,72,92,-1,-1,-1,-1,-1,100,0,0,0,0.68964,14,17,18,18,92,91,80,98,96,66,-1,-1,-1,-1,-1,100,0,0,6.15616,16,9,18,18,95,93,86,90,93,120,825,-1,-1,-1,-1,50,0,0,21.41524,7,6,18,18,53,107,104,55,114,58,-1,-1,-1,-1,-1,100,0,0,4.99136,4,8,18,18,93,101,93,101,58,73,-1,-1,-1,-1,-1,100,0,0,2.35016,0,3,18,18,83,60,81,53,73,133,-1,-1,-1,-1,-1,100,0,0,7.93488,1,6,18,18,67,98,87,81,84,82,-1,-1,-1,-1,-1,100,0,0,4,1,535,550,585.0,574.0,0.545,1150,1000,1
3,3.33528,0,13,18,18,64,100,63,71,64,81,221,414,-1,-1,-1,35,270,0,0.73684,6,9,18,18,53,113,64,43,93,102,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,-1,-1,-1,-1,-1,100,0,0,3.6394,1,8,18,18,77,102,75,97,72,92,-1,-1,-1,-1,-1,100,0,0,4,0.68964,14,17,18,18,92,91,80,98,96,66,-1,-1,-1,-1,-1,100,0,0,6.15616,16,9,18,18,95,93,86,90,93,120,825,-1,-1,-1,-1,50,0,0,21.41524,7,6,18,18,53,107,104,55,114,58,-1,-1,-1,-1,-1,100,0,0,4.99136,4,8,18,18,93,101,93,101,58,73,-1,-1,-1,-1,-1,100,0,0,2.35016,0,3,18,18,83,60,81,53,73,133,729,-1,-1,-1,-1,100,0,0,7.93488,1,6,18,18,67,98,87,81,84,82,-1,-1,-1,-1,-1,100,0,0,4,9,535,550,550.0,535.0,0.0,1150,1000,1
4,3.33528,0,13,18,18,64,100,63,71,64,81,221,414,-1,-1,-1,35,270,0,0.73684,6,9,18,18,53,113,64,43,93,102,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,326,-1,-1,-1,-1,100,0,0,3.6394,1,8,18,18,77,102,75,97,72,92,-1,-1,-1,-1,-1,100,0,0,4,0.68964,14,17,18,18,92,91,80,98,96,66,-1,-1,-1,-1,-1,100,0,0,6.15616,16,9,18,18,95,93,86,90,93,120,825,-1,-1,-1,-1,50,0,0,21.41524,7,6,18,18,53,107,104,55,114,58,-1,-1,-1,-1,-1,100,0,0,4.99136,4,8,18,18,93,101,93,101,58,73,-1,-1,-1,-1,-1,100,0,0,2.35016,0,3,18,18,83,60,81,53,73,133,729,432,-1,-1,-1,95,0,0,7.93488,1,6,18,18,67,98,87,81,84,82,-1,-1,-1,-1,-1,100,0,0,4,9,535,545,550.0,535.0,0.05,1150,1000,1
5,3.33528,0,13,18,18,64,100,63,71,64,81,221,414,-1,-1,-1,35,270,0,0.73684,6,9,18,18,53,113,64,43,93,102,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,326,151,-1,-1,-1,100,0,0,3.6394,1,8,18,18,77,102,75,97,72,92,-1,-1,-1,-1,-1,100,0,0,4,0.68964,14,17,18,18,92,91,80,98,96,66,-1,-1,-1,-1,-1,100,0,0,6.15616,16,9,18,18,95,93,86,90,93,120,825,-1,-1,-1,-1,50,0,0,21.41524,7,6,18,18,53,107,104,55,114,58,-1,-1,-1,-1,-1,100,0,0,4.99136,4,8,18,18,93,101,93,101,58,73,-1,-1,-1,-1,-1,100,0,0,2.35016,0,3,18,18,83,60,81,53,73,133,729,432,602,-1,-1,95,0,0,7.93488,1,6,18,18,67,98,87,81,84,82,-1,-1,-1,-1,-1,100,0,0,4,1,535,545,545.0,535.0,0.0,1150,1000,1
6,3.33528,0,13,18,18,64,100,63,71,64,81,221,414,-1,-1,-1,35,270,0,0.73684,6,9,18,18,53,113,64,43,93,102,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,326,151,690,-1,-1,100,0,0,3.6394,1,8,18,18,77,102,75,97,72,92,-1,-1,-1,-1,-1,100,0,0,4,0.68964,14,17,18,18,92,91,80,98,96,66,-1,-1,-1,-1,-1,100,0,0,6.15616,16,9,18,18,95,93,86,90,93,120,825,-1,-1,-1,-1,50,0,0,21.41524,7,6,18,18,53,107,104,55,114,58,-1,-1,-1,-1,-1,100,0,0,4.99136,4,8,18,18,93,101,93,101,58,73,-1,-1,-1,-1,-1,100,0,0,2.35016,0,3,18,18,83,60,81,53,73,133,729,432,602,-1,-1,82,0,0,7.93488,1,6,18,18,67,98,87,81,84,82,-1,-1,-1,-1,-1,100,0,0,4,2,535,532,545.0,535.0,0.13,1150,1000,1
7,3.33528,0,13,18,18,64,100,63,71,64,81,221,414,-1,-1,-1,35,270,0,0.73684,6,9,18,18,53,113,64,43,93,102,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,326,151,690,729,-1,100,0,0,3.6394,1,8,18,18,77,102,75,97,72,92,-1,-1,-1,-1,-1,100,0,0,4,0.68964,14,17,18,18,92,91,80,98,96,66,-1,-1,-1,-1,-1,100,0,0,6.15616,16,9,18,18,95,93,86,90,93,120,825,-1,-1,-1,-1,50,0,0,21.41524,7,6,18,18,53,107,104,55,114,58,-1,-1,-1,-1,-1,100,0,0,4.99136,4,8,18,18,93,101,93,101,58,73,-1,-1,-1,-1,-1,100,0,0,2.35016,0,3,18,18,83,60,81,53,73,133,729,432,602,-1,-1,82,0,0,7.93488,1,6,18,18,67,98,87,81,84,82,-1,-1,-1,-1,-1,100,0,0,1,3,535,532,532.0,535.0,0.0,1150,1000,1
8,3.33528,0,13,18,18,64,100,63,71,64,81,221,414,-1,-1,-1,35,270,0,0.73684,6,9,18,18,53,113,64,43,93,102,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,326,151,690,729,-1,100,0,0,3.6394,1,8,18,18,77,102,75,97,72,92,-1,-1,-1,-1,-1,100,0,0,4,0.68964,14,17,18,18,92,91,80,98,96,66,-1,-1,-1,-1,-1,100,0,0,6.15616,16,9,18,18,95,93,86,90,93,120,825,628,-1,-1,-1,88,0,0,21.41524,7,6,18,18,53,107,104,55,114,58,-1,-1,-1,-1,-1,100,0,0,4.99136,4,8,18,18,93,101,93,101,58,73,-1,-1,-1,-1,-1,100,0,0,2.35016,0,3,18,18,83,60,81,53,73,133,729,432,602,-1,-1,82,0,0,7.93488,1,6,18,18,67,98,87,81,84,82,-1,-1,-1,-1,-1,100,0,0,1,1,535,570,532.0,535.0,-0.38,1150,1000,1
9,3.33528,0,13,18,18,64,100,63,71,64,81,221,414,-1,-1,-1,35,270,0,0.73684,6,9,18,18,53,113,64,43,93,102,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,84,234,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,326,151,690,729,-1,100,0,0,3.6394,1,8,18,18,77,102,75,97,72,92,-1,-1,-1,-1,-1,100,0,0,2,0.68964,14,17,18,18,92,91,80,98,96,66,-1,-1,-1,-1,-1,100,0,0,6.15616,16,9,18,18,95,93,86,90,93,120,825,628,13,-1,-1,88,0,0,21.41524,7,6,18,18,53,107,104,55,114,58,-1,-1,-1,-1,-1,100,0,0,4.99136,4,8,18,18,93,101,93,101,58,73,-1,-1,-1,-1,-1,100,0,0,2.35016,0,3,18,18,83,60,81,53,73,133,729,432,602,-1,-1,82,0,0,7.93488,1,6,18,18,67,98,87,81,84,82,-1,-1,-1,-1,-1,100,0,0,1,7,519,570,570.0,535.0,0.08,1150,1000,1
