turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value,player1_elo,player2_elo,win
0,23.10592,6,9,18,18,83,120,78,86,68,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,12.05596,12,5,18,18,94,91,91,69,74,53,-1,-1,-1,-1,-1,100,0,0,10.39244,11,4,18,18,90,92,95,110,70,98,-1,-1,-1,-1,-1,100,0,0,12.31476,15,9,18,18,91,124,93,116,93,86,-1,-1,-1,-1,-1,100,0,0,20.67524,2,2,18,18,70,70,120,50,125,58,-1,-1,-1,-1,-1,100,0,0,2,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,-1,-1,-1,-1,-1,100,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,-1,-1,-1,-1,-1,100,0,0,4.04372,14,6,18,18,83,116,80,108,101,73,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,10.45004,0,15,18,18,90,116,96,121,83,70,-1,-1,-1,-1,-1,100,0,0,1,7,600,600,,,0.0,1218,1000,1
1,23.10592,6,9,18,18,83,120,78,86,68,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,12.05596,12,5,18,18,94,91,91,69,74,53,729,-1,-1,-1,-1,1,0,0,10.39244,11,4,18,18,90,92,95,110,70,98,-1,-1,-1,-1,-1,100,0,0,12.31476,15,9,18,18,91,124,93,116,93,86,-1,-1,-1,-1,-1,100,0,0,20.67524,2,2,18,18,70,70,120,50,125,58,-1,-1,-1,-1,-1,100,0,0,2,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,249,-1,-1,-1,-1,100,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,-1,-1,-1,-1,-1,100,0,0,4.04372,14,6,18,18,83,116,80,108,101,73,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,10.45004,0,15,18,18,90,116,96,121,83,70,-1,-1,-1,-1,-1,100,0,0,1,7,501,600,600.0,600.0,0.495,1218,1000,1
2,23.10592,6,9,18,18,83,120,78,86,68,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,12.05596,12,5,18,18,94,91,91,69,74,53,729,-1,-1,-1,-1,1,0,0,10.39244,11,4,18,18,90,92,95,110,70,98,-1,-1,-1,-1,-1,100,0,0,12.31476,15,9,18,18,91,124,93,116,93,86,-1,-1,-1,-1,-1,100,0,0,20.67524,2,2,18,18,70,70,120,50,125,58,-1,-1,-1,-1,-1,78,234,0,5,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,249,654,-1,-1,-1,100,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,-1,-1,-1,-1,-1,100,0,0,4.04372,14,6,18,18,83,116,80,108,101,73,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,10.45004,0,15,18,18,90,116,96,121,83,70,-1,-1,-1,-1,-1,100,0,0,1,10,479,600,600.0,501.0,0.11,1218,1000,1
3,23.10592,6,9,18,18,83,120,78,86,68,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,12.05596,12,5,18,18,94,91,91,69,74,53,729,-1,-1,-1,-1,1,0,0,10.39244,11,4,18,18,90,92,95,110,70,98,-1,-1,-1,-1,-1,100,0,0,12.31476,15,9,18,18,91,124,93,116,93,86,-1,-1,-1,-1,-1,100,0,0,20.67524,2,2,18,18,70,70,120,50,125,58,479,-1,-1,-1,-1,56,234,0,5,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,249,654,-1,-1,-1,30,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,-1,-1,-1,-1,-1,100,0,0,4.04372,14,6,18,18,83,116,80,108,101,73,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,10.45004,0,15,18,18,90,116,96,121,83,70,-1,-1,-1,-1,-1,100,0,0,1,10,457,530,600.0,479.0,0.81,1218,1000,1
4,23.10592,6,9,18,18,83,120,78,86,68,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,12.05596,12,5,18,18,94,91,91,69,74,53,729,-1,-1,-1,-1,1,0,0,10.39244,11,4,18,18,90,92,95,110,70,98,-1,-1,-1,-1,-1,100,0,0,12.31476,15,9,18,18,91,124,93,116,93,86,-1,-1,-1,-1,-1,100,0,0,20.67524,2,2,18,18,70,70,120,50,125,58,479,600,-1,-1,-1,100,234,0,5,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,249,654,-1,-1,-1,30,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,-1,-1,-1,-1,-1,100,0,0,4.04372,14,6,18,18,83,116,80,108,101,73,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,88,0,0,10.45004,0,15,18,18,90,116,96,121,83,70,-1,-1,-1,-1,-1,100,0,0,4,1,501,518,530.0,457.0,0.34,1218,1000,1
5,23.10592,6,9,18,18,83,120,78,86,68,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,12.05596,12,5,18,18,94,91,91,69,74,53,729,-1,-1,-1,-1,1,0,0,10.39244,11,4,18,18,90,92,95,110,70,98,-1,-1,-1,-1,-1,100,0,0,12.31476,15,9,18,18,91,124,93,116,93,86,-1,-1,-1,-1,-1,100,0,0,20.67524,2,2,18,18,70,70,120,50,125,58,479,600,-1,-1,-1,100,234,0,5,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,249,654,-1,-1,-1,30,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,-1,-1,-1,-1,-1,100,0,0,4.04372,14,6,18,18,83,116,80,108,101,73,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,-1,-1,-1,-1,88,0,0,10.45004,0,15,18,18,90,116,96,121,83,70,-1,-1,-1,-1,-1,100,0,0,4,1,501,518,518.0,501.0,0.0,1218,1000,1
6,23.10592,6,9,18,18,83,120,78,86,68,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,12.05596,12,5,18,18,94,91,91,69,74,53,729,-1,-1,-1,-1,1,0,0,10.39244,11,4,18,18,90,92,95,110,70,98,-1,-1,-1,-1,-1,100,0,0,12.31476,15,9,18,18,91,124,93,116,93,86,-1,-1,-1,-1,-1,100,0,0,20.67524,2,2,18,18,70,70,120,50,125,58,479,600,-1,-1,-1,100,234,0,5,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,249,654,-1,-1,-1,30,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,-1,-1,-1,-1,-1,100,0,0,4.04372,14,6,18,18,83,116,80,108,101,73,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,11,-1,-1,-1,88,0,0,10.45004,0,15,18,18,90,116,96,121,83,70,-1,-1,-1,-1,-1,100,0,0,4,1,501,518,518.0,501.0,0.0,1218,1000,1
7,23.10592,6,9,18,18,83,120,78,86,68,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,12.05596,12,5,18,18,94,91,91,69,74,53,729,-1,-1,-1,-1,1,0,0,10.39244,11,4,18,18,90,92,95,110,70,98,-1,-1,-1,-1,-1,100,0,0,12.31476,15,9,18,18,91,124,93,116,93,86,-1,-1,-1,-1,-1,100,0,0,20.67524,2,2,18,18,70,70,120,50,125,58,479,600,-1,-1,-1,100,234,0,5,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,249,654,-1,-1,-1,30,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,-1,-1,-1,-1,-1,100,0,0,4.04372,14,6,18,18,83,116,80,108,101,73,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,11,-1,-1,-1,88,0,0,10.45004,0,15,18,18,90,116,96,121,83,70,-1,-1,-1,-1,-1,100,0,0,4,1,501,518,518.0,501.0,0.0,1218,1000,1
8,23.10592,6,9,18,18,83,120,78,86,68,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,12.05596,12,5,18,18,94,91,91,69,74,53,729,-1,-1,-1,-1,1,0,0,10.39244,11,4,18,18,90,92,95,110,70,98,-1,-1,-1,-1,-1,100,0,0,12.31476,15,9,18,18,91,124,93,116,93,86,-1,-1,-1,-1,-1,100,0,0,20.67524,2,2,18,18,70,70,120,50,125,58,479,600,-1,-1,-1,18,234,0,5,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,94,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,249,654,-1,-1,-1,30,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,-1,-1,-1,-1,-1,100,0,0,4.04372,14,6,18,18,83,116,80,108,101,73,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,11,75,-1,-1,0,0,0,10.45004,0,15,18,18,90,116,96,121,83,70,-1,-1,-1,-1,-1,100,0,0,0,1,419,424,518.0,501.0,1.35,1218,1000,1
9,23.10592,6,9,18,18,83,120,78,86,68,106,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,12.05596,12,5,18,18,94,91,91,69,74,53,729,-1,-1,-1,-1,1,0,0,10.39244,11,4,18,18,90,92,95,110,70,98,-1,-1,-1,-1,-1,100,0,0,12.31476,15,9,18,18,91,124,93,116,93,86,-1,-1,-1,-1,-1,100,0,0,20.67524,2,2,18,18,70,70,120,50,125,58,479,600,-1,-1,-1,74,234,0,5,8.07572,17,16,18,18,88,86,111,81,98,33,95,-1,-1,-1,-1,100,234,0,19.5578,13,16,18,18,66,68,130,121,110,60,249,654,-1,-1,-1,30,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,-1,-1,-1,-1,-1,100,0,0,4.04372,14,6,18,18,83,116,80,108,101,73,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,500,11,75,-1,-1,0,0,0,10.45004,0,15,18,18,90,116,96,121,83,70,-1,-1,-1,-1,-1,100,0,0,0,2,475,430,424.0,419.0,0.22,1218,1000,1
