turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type,Win
0,9.26564,10,3,18,18,93,55,71,110,83,110,-1,-1,-1,-1,-1,100,0,0,11.29516,7,7,18,18,60,75,106,68,128,65,-1,-1,-1,-1,-1,100,0,0,37.04708,1,14,18,18,79,107,103,72,65,89,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,-1,-1,-1,-1,-1,100,0,0,3.96152,10,15,18,18,76,111,93,118,96,77,-1,-1,-1,-1,-1,100,0,0,11.49128,5,16,18,18,80,66,133,91,183,50,-1,-1,-1,-1,-1,100,0,0,4,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,-1,-1,-1,-1,-1,100,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,2,9,passive,1
1,9.26564,10,3,18,18,93,55,71,110,83,110,-1,-1,-1,-1,-1,100,0,0,11.29516,7,7,18,18,60,75,106,68,128,65,-1,-1,-1,-1,-1,100,0,0,37.04708,1,14,18,18,79,107,103,72,65,89,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,-1,-1,-1,-1,-1,100,0,0,3.96152,10,15,18,18,76,111,93,118,96,77,572,-1,-1,-1,-1,100,0,0,11.49128,5,16,18,18,80,66,133,91,183,50,-1,-1,-1,-1,-1,100,0,0,4,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,-1,-1,-1,-1,-1,100,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,0,9,passive,1
2,9.26564,10,3,18,18,93,55,71,110,83,110,-1,-1,-1,-1,-1,100,0,0,11.29516,7,7,18,18,60,75,106,68,128,65,-1,-1,-1,-1,-1,100,0,0,37.04708,1,14,18,18,79,107,103,72,65,89,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,-1,-1,-1,-1,-1,100,0,0,3.96152,10,15,18,18,76,111,93,118,96,77,572,729,-1,-1,-1,100,0,0,11.49128,5,16,18,18,80,66,133,91,183,50,-1,-1,-1,-1,-1,100,0,0,4,17.96308,7,10,18,18,65,71,104,68,131,31,800,-1,-1,-1,-1,100,0,4,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,-1,-1,-1,-1,-1,100,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,0,1,aggressive,1
3,9.26564,10,3,18,18,93,55,71,110,83,110,-1,-1,-1,-1,-1,100,0,0,11.29516,7,7,18,18,60,75,106,68,128,65,-1,-1,-1,-1,-1,100,0,0,37.04708,1,14,18,18,79,107,103,72,65,89,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,-1,-1,-1,-1,-1,100,0,0,3.96152,10,15,18,18,76,111,93,118,96,77,572,729,570,-1,-1,100,0,0,11.49128,5,16,18,18,80,66,133,91,183,50,-1,-1,-1,-1,-1,100,0,0,4,17.96308,7,10,18,18,65,71,104,68,131,31,800,-1,-1,-1,-1,57,234,4,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,-1,-1,-1,-1,-1,100,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,0,2,aggressive,1
4,9.26564,10,3,18,18,93,55,71,110,83,110,-1,-1,-1,-1,-1,100,0,0,11.29516,7,7,18,18,60,75,106,68,128,65,-1,-1,-1,-1,-1,100,0,0,37.04708,1,14,18,18,79,107,103,72,65,89,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,-1,-1,-1,-1,-1,100,0,0,3.96152,10,15,18,18,76,111,93,118,96,77,572,729,570,147,-1,100,0,0,11.49128,5,16,18,18,80,66,133,91,183,50,-1,-1,-1,-1,-1,100,0,0,4,17.96308,7,10,18,18,65,71,104,68,131,31,800,-1,-1,-1,-1,57,234,4,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,19,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,-1,-1,-1,-1,-1,100,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,2,3,aggressive,1
5,9.26564,10,3,18,18,93,55,71,110,83,110,-1,-1,-1,-1,-1,100,0,0,11.29516,7,7,18,18,60,75,106,68,128,65,-1,-1,-1,-1,-1,100,0,0,37.04708,1,14,18,18,79,107,103,72,65,89,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,-1,-1,-1,-1,-1,100,0,0,3.96152,10,15,18,18,76,111,93,118,96,77,572,729,570,147,-1,44,0,0,11.49128,5,16,18,18,80,66,133,91,183,50,-1,-1,-1,-1,-1,100,0,0,4,17.96308,7,10,18,18,65,71,104,68,131,31,800,-1,-1,-1,-1,57,234,4,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,159,-1,-1,-1,-1,0,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,-1,-1,-1,-1,-1,100,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,94,0,0,5,4,passive,1
6,9.26564,10,3,18,18,93,55,71,110,83,110,-1,-1,-1,-1,-1,100,0,0,11.29516,7,7,18,18,60,75,106,68,128,65,-1,-1,-1,-1,-1,100,0,0,37.04708,1,14,18,18,79,107,103,72,65,89,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,-1,-1,-1,-1,-1,100,0,0,3.96152,10,15,18,18,76,111,93,118,96,77,572,729,570,147,-1,44,0,0,11.49128,5,16,18,18,80,66,133,91,183,50,-1,-1,-1,-1,-1,100,0,0,4,17.96308,7,10,18,18,65,71,104,68,131,31,800,-1,-1,-1,-1,57,234,4,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,159,-1,-1,-1,-1,0,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,-1,-1,-1,-1,-1,100,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,767,-1,-1,-1,-1,94,0,0,5,1,aggressive,1
7,9.26564,10,3,18,18,93,55,71,110,83,110,-1,-1,-1,-1,-1,100,0,0,11.29516,7,7,18,18,60,75,106,68,128,65,-1,-1,-1,-1,-1,100,0,0,37.04708,1,14,18,18,79,107,103,72,65,89,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,-1,-1,-1,-1,-1,100,0,0,3.96152,10,15,18,18,76,111,93,118,96,77,572,729,570,147,-1,44,0,0,11.49128,5,16,18,18,80,66,133,91,183,50,-1,-1,-1,-1,-1,100,0,0,4,17.96308,7,10,18,18,65,71,104,68,131,31,800,-1,-1,-1,-1,57,234,4,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,159,-1,-1,-1,-1,0,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,-1,-1,-1,-1,-1,100,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,767,-1,-1,-1,-1,59,0,0,5,3,aggressive,1
8,9.26564,10,3,18,18,93,55,71,110,83,110,-1,-1,-1,-1,-1,100,0,0,11.29516,7,7,18,18,60,75,106,68,128,65,-1,-1,-1,-1,-1,100,0,0,37.04708,1,14,18,18,79,107,103,72,65,89,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,-1,-1,-1,-1,-1,100,0,0,3.96152,10,15,18,18,76,111,93,118,96,77,572,729,570,147,-1,44,0,0,11.49128,5,16,18,18,80,66,133,91,183,50,-1,-1,-1,-1,-1,100,0,0,4,17.96308,7,10,18,18,65,71,104,68,131,31,800,-1,-1,-1,-1,57,234,4,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,159,-1,-1,-1,-1,0,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,-1,-1,-1,-1,-1,100,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,767,753,-1,-1,-1,21,0,0,5,3,aggressive,1
9,9.26564,10,3,18,18,93,55,71,110,83,110,-1,-1,-1,-1,-1,100,0,0,11.29516,7,7,18,18,60,75,106,68,128,65,-1,-1,-1,-1,-1,100,0,0,37.04708,1,14,18,18,79,107,103,72,65,89,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,-1,-1,-1,-1,-1,100,0,0,3.96152,10,15,18,18,76,111,93,118,96,77,572,729,570,147,-1,44,0,0,11.49128,5,16,18,18,80,66,133,91,183,50,-1,-1,-1,-1,-1,100,0,0,4,17.96308,7,10,18,18,65,71,104,68,131,31,800,-1,-1,-1,-1,57,234,4,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,159,-1,-1,-1,-1,0,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,-1,-1,-1,-1,-1,100,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,767,753,-1,-1,-1,21,0,0,5,3,aggressive,1
