turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type,Win
0,2.50528,10,10,18,18,160,77,86,55,72,77,-1,-1,-1,-1,-1,100,0,0,9.16136,17,8,18,18,81,73,165,98,98,46,-1,-1,-1,-1,-1,100,0,0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0,2.07632,13,9,18,18,61,75,113,100,73,83,-1,-1,-1,-1,-1,100,0,0,14.2822,16,4,18,18,86,91,133,86,116,50,-1,-1,-1,-1,-1,100,0,0,7.86912,14,13,18,18,75,111,121,88,111,56,-1,-1,-1,-1,-1,100,0,0,1,13.22704,11,16,18,18,78,104,112,44,102,41,-1,-1,-1,-1,-1,100,0,0,9.51796,14,1,18,18,110,120,88,83,81,100,-1,-1,-1,-1,-1,100,0,0,28.51072,14,17,18,18,103,88,86,112,85,109,-1,-1,-1,-1,-1,100,0,0,17.5876,17,6,18,18,80,85,85,85,123,66,-1,-1,-1,-1,-1,100,0,0,7.74016,12,9,18,18,98,134,90,100,93,87,-1,-1,-1,-1,-1,100,0,0,8.52492,4,2,18,18,73,73,98,113,108,86,-1,-1,-1,-1,-1,100,0,0,0,6,passive,1
1,2.50528,10,10,18,18,160,77,86,55,72,77,-1,-1,-1,-1,-1,100,0,0,9.16136,17,8,18,18,81,73,165,98,98,46,154,-1,-1,-1,-1,100,0,0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0,2.07632,13,9,18,18,61,75,113,100,73,83,-1,-1,-1,-1,-1,100,0,0,14.2822,16,4,18,18,86,91,133,86,116,50,-1,-1,-1,-1,-1,100,0,0,7.86912,14,13,18,18,75,111,121,88,111,56,-1,-1,-1,-1,-1,100,0,0,1,13.22704,11,16,18,18,78,104,112,44,102,41,729,-1,-1,-1,-1,89,0,0,9.51796,14,1,18,18,110,120,88,83,81,100,-1,-1,-1,-1,-1,100,0,0,28.51072,14,17,18,18,103,88,86,112,85,109,-1,-1,-1,-1,-1,100,0,0,17.5876,17,6,18,18,80,85,85,85,123,66,-1,-1,-1,-1,-1,100,0,0,7.74016,12,9,18,18,98,134,90,100,93,87,-1,-1,-1,-1,-1,100,0,0,8.52492,4,2,18,18,73,73,98,113,108,86,-1,-1,-1,-1,-1,100,0,0,0,6,passive,1
2,2.50528,10,10,18,18,160,77,86,55,72,77,-1,-1,-1,-1,-1,100,0,0,9.16136,17,8,18,18,81,73,165,98,98,46,154,432,-1,-1,-1,100,0,0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0,2.07632,13,9,18,18,61,75,113,100,73,83,-1,-1,-1,-1,-1,100,0,0,14.2822,16,4,18,18,86,91,133,86,116,50,-1,-1,-1,-1,-1,100,0,0,7.86912,14,13,18,18,75,111,121,88,111,56,-1,-1,-1,-1,-1,100,0,0,1,13.22704,11,16,18,18,78,104,112,44,102,41,729,427,-1,-1,-1,89,0,0,9.51796,14,1,18,18,110,120,88,83,81,100,-1,-1,-1,-1,-1,100,0,0,28.51072,14,17,18,18,103,88,86,112,85,109,-1,-1,-1,-1,-1,100,0,0,17.5876,17,6,18,18,80,85,85,85,123,66,-1,-1,-1,-1,-1,100,0,0,7.74016,12,9,18,18,98,134,90,100,93,87,-1,-1,-1,-1,-1,100,0,0,8.52492,4,2,18,18,73,73,98,113,108,86,-1,-1,-1,-1,-1,100,0,0,0,1,aggressive,1
3,2.50528,10,10,18,18,160,77,86,55,72,77,-1,-1,-1,-1,-1,100,0,0,9.16136,17,8,18,18,81,73,165,98,98,46,154,432,-1,-1,-1,100,0,0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0,2.07632,13,9,18,18,61,75,113,100,73,83,-1,-1,-1,-1,-1,100,0,0,14.2822,16,4,18,18,86,91,133,86,116,50,-1,-1,-1,-1,-1,100,0,0,7.86912,14,13,18,18,75,111,121,88,111,56,-1,-1,-1,-1,-1,82,234,0,5,13.22704,11,16,18,18,78,104,112,44,102,41,729,427,-1,-1,-1,100,0,0,9.51796,14,1,18,18,110,120,88,83,81,100,-1,-1,-1,-1,-1,100,0,0,28.51072,14,17,18,18,103,88,86,112,85,109,-1,-1,-1,-1,-1,100,0,0,17.5876,17,6,18,18,80,85,85,85,123,66,-1,-1,-1,-1,-1,100,0,0,7.74016,12,9,18,18,98,134,90,100,93,87,-1,-1,-1,-1,-1,100,0,0,8.52492,4,2,18,18,73,73,98,113,108,86,-1,-1,-1,-1,-1,100,0,0,0,10,passive,1
4,2.50528,10,10,18,18,160,77,86,55,72,77,-1,-1,-1,-1,-1,100,0,0,9.16136,17,8,18,18,81,73,165,98,98,46,154,432,-1,-1,-1,100,0,0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0,2.07632,13,9,18,18,61,75,113,100,73,83,-1,-1,-1,-1,-1,100,0,0,14.2822,16,4,18,18,86,91,133,86,116,50,-1,-1,-1,-1,-1,100,0,0,7.86912,14,13,18,18,75,111,121,88,111,56,721,-1,-1,-1,-1,76,234,0,5,13.22704,11,16,18,18,78,104,112,44,102,41,729,427,717,-1,-1,93,0,0,9.51796,14,1,18,18,110,120,88,83,81,100,-1,-1,-1,-1,-1,100,0,0,28.51072,14,17,18,18,103,88,86,112,85,109,-1,-1,-1,-1,-1,100,0,0,17.5876,17,6,18,18,80,85,85,85,123,66,-1,-1,-1,-1,-1,100,0,0,7.74016,12,9,18,18,98,134,90,100,93,87,-1,-1,-1,-1,-1,100,0,0,8.52492,4,2,18,18,73,73,98,113,108,86,-1,-1,-1,-1,-1,100,0,0,0,10,passive,1
5,2.50528,10,10,18,18,160,77,86,55,72,77,-1,-1,-1,-1,-1,100,0,0,9.16136,17,8,18,18,81,73,165,98,98,46,154,432,-1,-1,-1,100,0,0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0,2.07632,13,9,18,18,61,75,113,100,73,83,-1,-1,-1,-1,-1,100,0,0,14.2822,16,4,18,18,86,91,133,86,116,50,-1,-1,-1,-1,-1,100,0,0,7.86912,14,13,18,18,75,111,121,88,111,56,721,175,-1,-1,-1,69,234,0,5,13.22704,11,16,18,18,78,104,112,44,102,41,729,427,717,-1,-1,100,0,0,9.51796,14,1,18,18,110,120,88,83,81,100,-1,-1,-1,-1,-1,100,0,0,28.51072,14,17,18,18,103,88,86,112,85,109,-1,-1,-1,-1,-1,100,0,0,17.5876,17,6,18,18,80,85,85,85,123,66,-1,-1,-1,-1,-1,100,0,0,7.74016,12,9,18,18,98,134,90,100,93,87,-1,-1,-1,-1,-1,100,0,0,8.52492,4,2,18,18,73,73,98,113,108,86,-1,-1,-1,-1,-1,100,0,0,0,1,passive,1
6,2.50528,10,10,18,18,160,77,86,55,72,77,-1,-1,-1,-1,-1,100,0,0,9.16136,17,8,18,18,81,73,165,98,98,46,154,432,-1,-1,-1,100,0,0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0,2.07632,13,9,18,18,61,75,113,100,73,83,-1,-1,-1,-1,-1,100,0,0,14.2822,16,4,18,18,86,91,133,86,116,50,-1,-1,-1,-1,-1,100,0,0,7.86912,14,13,18,18,75,111,121,88,111,56,721,175,-1,-1,-1,26,0,0,5,13.22704,11,16,18,18,78,104,112,44,102,41,729,427,717,414,-1,100,0,0,9.51796,14,1,18,18,110,120,88,83,81,100,-1,-1,-1,-1,-1,100,0,0,28.51072,14,17,18,18,103,88,86,112,85,109,-1,-1,-1,-1,-1,100,0,0,17.5876,17,6,18,18,80,85,85,85,123,66,-1,-1,-1,-1,-1,100,0,0,7.74016,12,9,18,18,98,134,90,100,93,87,-1,-1,-1,-1,-1,100,0,0,8.52492,4,2,18,18,73,73,98,113,108,86,-1,-1,-1,-1,-1,100,0,0,0,2,aggressive,1
7,2.50528,10,10,18,18,160,77,86,55,72,77,-1,-1,-1,-1,-1,100,0,0,9.16136,17,8,18,18,81,73,165,98,98,46,154,432,-1,-1,-1,100,0,0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0,2.07632,13,9,18,18,61,75,113,100,73,83,-1,-1,-1,-1,-1,100,0,0,14.2822,16,4,18,18,86,91,133,86,116,50,-1,-1,-1,-1,-1,100,0,0,7.86912,14,13,18,18,75,111,121,88,111,56,721,175,628,-1,-1,46,0,0,5,13.22704,11,16,18,18,78,104,112,44,102,41,729,427,717,414,-1,100,0,0,9.51796,14,1,18,18,110,120,88,83,81,100,-1,-1,-1,-1,-1,100,0,0,28.51072,14,17,18,18,103,88,86,112,85,109,-1,-1,-1,-1,-1,100,0,0,17.5876,17,6,18,18,80,85,85,85,123,66,-1,-1,-1,-1,-1,100,0,0,7.74016,12,9,18,18,98,134,90,100,93,87,-1,-1,-1,-1,-1,100,0,0,8.52492,4,2,18,18,73,73,98,113,108,86,-1,-1,-1,-1,-1,100,0,0,0,2,aggressive,1
8,2.50528,10,10,18,18,160,77,86,55,72,77,-1,-1,-1,-1,-1,100,0,0,9.16136,17,8,18,18,81,73,165,98,98,46,154,432,-1,-1,-1,100,0,0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0,2.07632,13,9,18,18,61,75,113,100,73,83,-1,-1,-1,-1,-1,100,0,0,14.2822,16,4,18,18,86,91,133,86,116,50,-1,-1,-1,-1,-1,100,0,0,7.86912,14,13,18,18,75,111,121,88,111,56,721,175,628,-1,-1,64,0,0,5,13.22704,11,16,18,18,78,104,112,44,102,41,729,427,717,414,-1,100,0,0,9.51796,14,1,18,18,110,120,88,83,81,100,-1,-1,-1,-1,-1,100,0,0,28.51072,14,17,18,18,103,88,86,112,85,109,-1,-1,-1,-1,-1,100,0,0,17.5876,17,6,18,18,80,85,85,85,123,66,-1,-1,-1,-1,-1,100,0,0,7.74016,12,9,18,18,98,134,90,100,93,87,-1,-1,-1,-1,-1,100,0,0,8.52492,4,2,18,18,73,73,98,113,108,86,-1,-1,-1,-1,-1,100,0,0,0,3,passive,1
9,2.50528,10,10,18,18,160,77,86,55,72,77,-1,-1,-1,-1,-1,100,0,0,9.16136,17,8,18,18,81,73,165,98,98,46,154,432,-1,-1,-1,100,0,0,6.6418,2,8,18,18,99,128,89,66,95,95,-1,-1,-1,-1,-1,100,0,0,2.07632,13,9,18,18,61,75,113,100,73,83,-1,-1,-1,-1,-1,100,0,0,14.2822,16,4,18,18,86,91,133,86,116,50,-1,-1,-1,-1,-1,100,0,0,7.86912,14,13,18,18,75,111,121,88,111,56,721,175,628,-1,-1,31,0,0,5,13.22704,11,16,18,18,78,104,112,44,102,41,729,427,717,414,-1,100,0,0,9.51796,14,1,18,18,110,120,88,83,81,100,-1,-1,-1,-1,-1,100,0,0,28.51072,14,17,18,18,103,88,86,112,85,109,-1,-1,-1,-1,-1,100,0,0,17.5876,17,6,18,18,80,85,85,85,123,66,-1,-1,-1,-1,-1,100,0,0,7.74016,12,9,18,18,98,134,90,100,93,87,-1,-1,-1,-1,-1,100,0,0,8.52492,4,2,18,18,73,73,98,113,108,86,-1,-1,-1,-1,-1,100,0,0,0,2,aggressive,1
