turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type,Win
20.08504,16,16,18,18,75,128,110,83,83,70,-1,-1,-1,-1,-1,100,0,0,3.35976,2,9,18,18,97,126,93,90,93,73,-1,-1,-1,-1,-1,100,0,0,6.86468,14,16,18,18,86,131,93,91,80,76,-1,-1,-1,-1,-1,100,0,0,14.83368,12,14,18,18,92,142,96,83,90,85,-1,-1,-1,-1,-1,100,0,0,9.07356,15,1,18,18,85,85,80,110,93,99,-1,-1,-1,-1,-1,100,0,0,9.80488,16,9,18,18,68,90,130,41,71,86,-1,-1,-1,-1,-1,100,0,0,4,26.12392,12,8,18,18,90,127,103,72,67,91,-1,-1,-1,-1,-1,100,0,0,0.5754,14,0,18,18,79,98,71,83,90,91,-1,-1,-1,-1,-1,100,0,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,100,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,16.77112,16,8,18,18,63,83,163,71,79,45,-1,-1,-1,-1,-1,100,0,0,0,9,passive,0
20.08504,16,16,18,18,75,128,110,83,83,70,-1,-1,-1,-1,-1,100,0,0,3.35976,2,9,18,18,97,126,93,90,93,73,-1,-1,-1,-1,-1,35,639,0,6.86468,14,16,18,18,86,131,93,91,80,76,-1,-1,-1,-1,-1,100,0,0,14.83368,12,14,18,18,92,142,96,83,90,85,-1,-1,-1,-1,-1,100,0,0,9.07356,15,1,18,18,85,85,80,110,93,99,-1,-1,-1,-1,-1,100,0,0,9.80488,16,9,18,18,68,90,130,41,71,86,-1,-1,-1,-1,-1,100,0,0,1,26.12392,12,8,18,18,90,127,103,72,67,91,317,-1,-1,-1,-1,100,0,0,0.5754,14,0,18,18,79,98,71,83,90,91,-1,-1,-1,-1,-1,100,0,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,100,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,16.77112,16,8,18,18,63,83,163,71,79,45,-1,-1,-1,-1,-1,100,0,0,0,6,passive,0
20.08504,16,16,18,18,75,128,110,83,83,70,-1,-1,-1,-1,-1,100,0,0,3.35976,2,9,18,18,97,126,93,90,93,73,-1,-1,-1,-1,-1,0,639,0,6.86468,14,16,18,18,86,131,93,91,80,76,-1,-1,-1,-1,-1,100,0,0,14.83368,12,14,18,18,92,142,96,83,90,85,-1,-1,-1,-1,-1,100,0,0,9.07356,15,1,18,18,85,85,80,110,93,99,-1,-1,-1,-1,-1,100,0,0,9.80488,16,9,18,18,68,90,130,41,71,86,-1,-1,-1,-1,-1,100,0,0,5,26.12392,12,8,18,18,90,127,103,72,67,91,317,-1,-1,-1,-1,100,0,0,0.5754,14,0,18,18,79,98,71,83,90,91,-1,-1,-1,-1,-1,100,0,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,100,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,16.77112,16,8,18,18,63,83,163,71,79,45,-1,-1,-1,-1,-1,100,0,0,0,10,passive,0
20.08504,16,16,18,18,75,128,110,83,83,70,-1,-1,-1,-1,-1,100,0,0,3.35976,2,9,18,18,97,126,93,90,93,73,-1,-1,-1,-1,-1,0,639,0,6.86468,14,16,18,18,86,131,93,91,80,76,-1,-1,-1,-1,-1,100,0,0,14.83368,12,14,18,18,92,142,96,83,90,85,-1,-1,-1,-1,-1,100,0,0,9.07356,15,1,18,18,85,85,80,110,93,99,-1,-1,-1,-1,-1,100,0,0,9.80488,16,9,18,18,68,90,130,41,71,86,403,-1,-1,-1,-1,57,234,0,5,26.12392,12,8,18,18,90,127,103,72,67,91,317,-1,-1,-1,-1,20,0,0,0.5754,14,0,18,18,79,98,71,83,90,91,-1,-1,-1,-1,-1,100,0,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,100,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,16.77112,16,8,18,18,63,83,163,71,79,45,-1,-1,-1,-1,-1,100,0,0,0,10,passive,0
20.08504,16,16,18,18,75,128,110,83,83,70,-1,-1,-1,-1,-1,100,0,0,3.35976,2,9,18,18,97,126,93,90,93,73,-1,-1,-1,-1,-1,0,639,0,6.86468,14,16,18,18,86,131,93,91,80,76,-1,-1,-1,-1,-1,100,0,0,14.83368,12,14,18,18,92,142,96,83,90,85,-1,-1,-1,-1,-1,100,0,0,9.07356,15,1,18,18,85,85,80,110,93,99,-1,-1,-1,-1,-1,100,0,0,9.80488,16,9,18,18,68,90,130,41,71,86,403,628,-1,-1,-1,64,234,0,5,26.12392,12,8,18,18,90,127,103,72,67,91,317,-1,-1,-1,-1,20,0,0,0.5754,14,0,18,18,79,98,71,83,90,91,-1,-1,-1,-1,-1,100,0,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,100,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,16.77112,16,8,18,18,63,83,163,71,79,45,-1,-1,-1,-1,-1,100,0,0,0,1,unknown,0
20.08504,16,16,18,18,75,128,110,83,83,70,-1,-1,-1,-1,-1,100,0,0,3.35976,2,9,18,18,97,126,93,90,93,73,-1,-1,-1,-1,-1,0,639,0,6.86468,14,16,18,18,86,131,93,91,80,76,-1,-1,-1,-1,-1,100,0,0,14.83368,12,14,18,18,92,142,96,83,90,85,-1,-1,-1,-1,-1,100,0,0,9.07356,15,1,18,18,85,85,80,110,93,99,-1,-1,-1,-1,-1,100,0,0,9.80488,16,9,18,18,68,90,130,41,71,86,403,628,-1,-1,-1,100,234,0,5,26.12392,12,8,18,18,90,127,103,72,67,91,317,-1,-1,-1,-1,20,0,0,0.5754,14,0,18,18,79,98,71,83,90,91,-1,-1,-1,-1,-1,100,0,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,100,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,16.77112,16,8,18,18,63,83,163,71,79,45,-1,-1,-1,-1,-1,100,0,0,0,2,unknown,0
20.08504,16,16,18,18,75,128,110,83,83,70,-1,-1,-1,-1,-1,100,0,0,3.35976,2,9,18,18,97,126,93,90,93,73,-1,-1,-1,-1,-1,0,639,0,6.86468,14,16,18,18,86,131,93,91,80,76,-1,-1,-1,-1,-1,100,0,0,14.83368,12,14,18,18,92,142,96,83,90,85,-1,-1,-1,-1,-1,100,0,0,9.07356,15,1,18,18,85,85,80,110,93,99,-1,-1,-1,-1,-1,100,0,0,9.80488,16,9,18,18,68,90,130,41,71,86,403,628,-1,-1,-1,63,234,0,5,26.12392,12,8,18,18,90,127,103,72,67,91,317,-1,-1,-1,-1,0,0,0,0.5754,14,0,18,18,79,98,71,83,90,91,-1,-1,-1,-1,-1,100,0,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,100,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,16.77112,16,8,18,18,63,83,163,71,79,45,-1,-1,-1,-1,-1,100,0,0,4,1,unknown,0
20.08504,16,16,18,18,75,128,110,83,83,70,-1,-1,-1,-1,-1,100,0,0,3.35976,2,9,18,18,97,126,93,90,93,73,-1,-1,-1,-1,-1,0,639,0,6.86468,14,16,18,18,86,131,93,91,80,76,-1,-1,-1,-1,-1,100,0,0,14.83368,12,14,18,18,92,142,96,83,90,85,-1,-1,-1,-1,-1,100,0,0,9.07356,15,1,18,18,85,85,80,110,93,99,-1,-1,-1,-1,-1,100,0,0,9.80488,16,9,18,18,68,90,130,41,71,86,403,628,806,-1,-1,14,234,0,5,26.12392,12,8,18,18,90,127,103,72,67,91,317,-1,-1,-1,-1,0,0,0,0.5754,14,0,18,18,79,98,71,83,90,91,-1,-1,-1,-1,-1,100,0,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,100,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,61,-1,-1,-1,-1,94,0,6,16.77112,16,8,18,18,63,83,163,71,79,45,-1,-1,-1,-1,-1,100,0,0,4,2,unknown,0
20.08504,16,16,18,18,75,128,110,83,83,70,-1,-1,-1,-1,-1,100,0,0,3.35976,2,9,18,18,97,126,93,90,93,73,-1,-1,-1,-1,-1,0,639,0,6.86468,14,16,18,18,86,131,93,91,80,76,-1,-1,-1,-1,-1,100,0,0,14.83368,12,14,18,18,92,142,96,83,90,85,-1,-1,-1,-1,-1,100,0,0,9.07356,15,1,18,18,85,85,80,110,93,99,-1,-1,-1,-1,-1,100,0,0,9.80488,16,9,18,18,68,90,130,41,71,86,403,628,806,-1,-1,0,234,0,2,26.12392,12,8,18,18,90,127,103,72,67,91,317,-1,-1,-1,-1,0,0,0,0.5754,14,0,18,18,79,98,71,83,90,91,-1,-1,-1,-1,-1,100,0,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,100,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,61,-1,-1,-1,-1,82,0,6,16.77112,16,8,18,18,63,83,163,71,79,45,-1,-1,-1,-1,-1,100,0,0,4,7,passive,0
20.08504,16,16,18,18,75,128,110,83,83,70,-1,-1,-1,-1,-1,100,0,0,3.35976,2,9,18,18,97,126,93,90,93,73,-1,-1,-1,-1,-1,0,639,0,6.86468,14,16,18,18,86,131,93,91,80,76,194,-1,-1,-1,-1,100,0,0,14.83368,12,14,18,18,92,142,96,83,90,85,-1,-1,-1,-1,-1,100,0,0,9.07356,15,1,18,18,85,85,80,110,93,99,-1,-1,-1,-1,-1,100,0,0,9.80488,16,9,18,18,68,90,130,41,71,86,403,628,806,-1,-1,0,234,0,2,26.12392,12,8,18,18,90,127,103,72,67,91,317,-1,-1,-1,-1,0,0,0,0.5754,14,0,18,18,79,98,71,83,90,91,-1,-1,-1,-1,-1,100,0,0,7.22692,16,9,18,18,75,116,100,63,73,90,-1,-1,-1,-1,-1,100,0,0,10.85008,17,17,18,18,95,68,70,105,116,60,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,61,142,-1,-1,-1,24,0,6,16.77112,16,8,18,18,63,83,163,71,79,45,-1,-1,-1,-1,-1,100,0,0,4,7,passive,0
