turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type
0,15.17384,12,5,18,18,88,135,63,58,61,102,-1,-1,-1,-1,-1,100,0,0,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,0,10.39232,8,15,18,18,83,121,115,61,83,72,-1,-1,-1,-1,-1,100,0,0,5.03116,5,8,18,18,98,110,100,61,58,70,-1,-1,-1,-1,-1,100,0,0,16.48892,3,8,18,18,82,110,101,113,88,88,-1,-1,-1,-1,-1,100,0,0,16.26184,14,8,18,18,91,90,80,95,121,50,-1,-1,-1,-1,-1,100,0,0,9.68008,8,9,18,18,90,109,70,63,71,117,-1,-1,-1,-1,-1,100,0,0,5.7434,8,16,18,18,78,93,120,73,73,60,-1,-1,-1,-1,-1,100,0,0,0,5,passive
1,15.17384,12,5,18,18,88,135,63,58,61,102,388,-1,-1,-1,-1,41,0,0,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,0,10.39232,8,15,18,18,83,121,115,61,83,72,414,-1,-1,-1,-1,11,0,0,5.03116,5,8,18,18,98,110,100,61,58,70,-1,-1,-1,-1,-1,100,0,0,16.48892,3,8,18,18,82,110,101,113,88,88,-1,-1,-1,-1,-1,100,0,0,16.26184,14,8,18,18,91,90,80,95,121,50,-1,-1,-1,-1,-1,100,0,0,9.68008,8,9,18,18,90,109,70,63,71,117,-1,-1,-1,-1,-1,100,0,0,5.7434,8,16,18,18,78,93,120,73,73,60,-1,-1,-1,-1,-1,100,0,0,0,5,passive
2,15.17384,12,5,18,18,88,135,63,58,61,102,388,-1,-1,-1,-1,41,0,0,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,0,10.39232,8,15,18,18,83,121,115,61,83,72,414,-1,-1,-1,-1,11,0,0,5.03116,5,8,18,18,98,110,100,61,58,70,-1,-1,-1,-1,-1,48,0,0,16.48892,3,8,18,18,82,110,101,113,88,88,-1,-1,-1,-1,-1,100,0,0,16.26184,14,8,18,18,91,90,80,95,121,50,-1,-1,-1,-1,-1,100,0,0,9.68008,8,9,18,18,90,109,70,63,71,117,-1,-1,-1,-1,-1,100,0,0,5.7434,8,16,18,18,78,93,120,73,73,60,-1,-1,-1,-1,-1,100,0,0,1,1,aggressive
3,15.17384,12,5,18,18,88,135,63,58,61,102,388,-1,-1,-1,-1,41,0,0,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,0,10.39232,8,15,18,18,83,121,115,61,83,72,414,-1,-1,-1,-1,11,0,0,5.03116,5,8,18,18,98,110,100,61,58,70,-1,-1,-1,-1,-1,0,0,0,16.48892,3,8,18,18,82,110,101,113,88,88,-1,-1,-1,-1,-1,100,0,0,16.26184,14,8,18,18,91,90,80,95,121,50,-1,-1,-1,-1,-1,100,0,0,9.68008,8,9,18,18,90,109,70,63,71,117,-1,-1,-1,-1,-1,100,0,0,5.7434,8,16,18,18,78,93,120,73,73,60,-1,-1,-1,-1,-1,100,0,0,2,1,aggressive
4,15.17384,12,5,18,18,88,135,63,58,61,102,388,-1,-1,-1,-1,41,0,0,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,0,10.39232,8,15,18,18,83,121,115,61,83,72,414,-1,-1,-1,-1,11,0,0,5.03116,5,8,18,18,98,110,100,61,58,70,-1,-1,-1,-1,-1,0,0,0,16.48892,3,8,18,18,82,110,101,113,88,88,-1,-1,-1,-1,-1,0,0,0,16.26184,14,8,18,18,91,90,80,95,121,50,-1,-1,-1,-1,-1,100,0,0,9.68008,8,9,18,18,90,109,70,63,71,117,-1,-1,-1,-1,-1,100,0,0,5.7434,8,16,18,18,78,93,120,73,73,60,-1,-1,-1,-1,-1,100,0,0,5,1,aggressive
5,15.17384,12,5,18,18,88,135,63,58,61,102,388,-1,-1,-1,-1,20,0,0,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,0,10.39232,8,15,18,18,83,121,115,61,83,72,414,-1,-1,-1,-1,11,0,0,5.03116,5,8,18,18,98,110,100,61,58,70,-1,-1,-1,-1,-1,0,0,0,16.48892,3,8,18,18,82,110,101,113,88,88,-1,-1,-1,-1,-1,0,0,0,16.26184,14,8,18,18,91,90,80,95,121,50,-1,-1,-1,-1,-1,100,0,0,9.68008,8,9,18,18,90,109,70,63,71,117,-1,-1,-1,-1,-1,100,0,0,5.7434,8,16,18,18,78,93,120,73,73,60,835,-1,-1,-1,-1,41,0,0,4,1,aggressive
6,15.17384,12,5,18,18,88,135,63,58,61,102,388,-1,-1,-1,-1,20,0,0,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,0,10.39232,8,15,18,18,83,121,115,61,83,72,414,-1,-1,-1,-1,11,0,0,5.03116,5,8,18,18,98,110,100,61,58,70,-1,-1,-1,-1,-1,0,0,0,16.48892,3,8,18,18,82,110,101,113,88,88,-1,-1,-1,-1,-1,0,0,0,16.26184,14,8,18,18,91,90,80,95,121,50,-1,-1,-1,-1,-1,100,0,0,9.68008,8,9,18,18,90,109,70,63,71,117,-1,-1,-1,-1,-1,0,0,0,5.7434,8,16,18,18,78,93,120,73,73,60,835,-1,-1,-1,-1,41,0,0,0,1,aggressive
7,15.17384,12,5,18,18,88,135,63,58,61,102,388,-1,-1,-1,-1,20,0,0,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,0,10.39232,8,15,18,18,83,121,115,61,83,72,414,-1,-1,-1,-1,0,0,0,5.03116,5,8,18,18,98,110,100,61,58,70,-1,-1,-1,-1,-1,0,0,0,16.48892,3,8,18,18,82,110,101,113,88,88,-1,-1,-1,-1,-1,0,0,0,16.26184,14,8,18,18,91,90,80,95,121,50,-1,-1,-1,-1,-1,100,0,0,9.68008,8,9,18,18,90,109,70,63,71,117,-1,-1,-1,-1,-1,0,0,0,5.7434,8,16,18,18,78,93,120,73,73,60,835,-1,-1,-1,-1,41,0,0,5,1,aggressive
8,15.17384,12,5,18,18,88,135,63,58,61,102,388,-1,-1,-1,-1,1,0,0,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,0,10.39232,8,15,18,18,83,121,115,61,83,72,414,-1,-1,-1,-1,0,0,0,5.03116,5,8,18,18,98,110,100,61,58,70,-1,-1,-1,-1,-1,0,0,0,16.48892,3,8,18,18,82,110,101,113,88,88,-1,-1,-1,-1,-1,0,0,0,16.26184,14,8,18,18,91,90,80,95,121,50,-1,-1,-1,-1,-1,100,0,0,9.68008,8,9,18,18,90,109,70,63,71,117,-1,-1,-1,-1,-1,0,0,0,5.7434,8,16,18,18,78,93,120,73,73,60,835,-1,-1,-1,-1,13,0,0,3,1,aggressive
9,15.17384,12,5,18,18,88,135,63,58,61,102,388,-1,-1,-1,-1,1,0,0,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,0,10.39232,8,15,18,18,83,121,115,61,83,72,414,-1,-1,-1,-1,0,0,0,5.03116,5,8,18,18,98,110,100,61,58,70,-1,-1,-1,-1,-1,0,0,0,16.48892,3,8,18,18,82,110,101,113,88,88,-1,-1,-1,-1,-1,0,0,0,16.26184,14,8,18,18,91,90,80,95,121,50,-1,-1,-1,-1,-1,0,0,0,9.68008,8,9,18,18,90,109,70,63,71,117,-1,-1,-1,-1,-1,0,0,0,5.7434,8,16,18,18,78,93,120,73,73,60,835,-1,-1,-1,-1,13,0,0,5,1,aggressive
