turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type
0,7.781,0,9,18,18,87,116,86,123,83,83,-1,-1,-1,-1,-1,100,0,0,14.76872,10,17,18,18,85,86,94,93,95,83,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,1.66884,2,8,18,18,66,60,90,30,60,43,-1,-1,-1,-1,-1,100,0,0,2.93776,2,9,18,18,53,91,90,73,46,130,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,0,4.17616,12,8,18,18,91,101,170,81,88,40,-1,-1,-1,-1,-1,100,0,0,0.45704,11,3,18,18,66,55,66,86,76,130,-1,-1,-1,-1,-1,100,0,0,14.4968,8,12,18,18,65,103,80,51,75,89,-1,-1,-1,-1,-1,100,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,2.25716,2,9,18,18,90,114,88,93,100,76,-1,-1,-1,-1,-1,100,0,0,5.83912,2,16,18,18,56,105,106,95,53,83,-1,-1,-1,-1,-1,100,0,0,3,5,passive
1,7.781,0,9,18,18,87,116,86,123,83,83,-1,-1,-1,-1,-1,58,0,0,14.76872,10,17,18,18,85,86,94,93,95,83,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,1.66884,2,8,18,18,66,60,90,30,60,43,-1,-1,-1,-1,-1,100,0,0,2.93776,2,9,18,18,53,91,90,73,46,130,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,0,4.17616,12,8,18,18,91,101,170,81,88,40,-1,-1,-1,-1,-1,100,0,0,0.45704,11,3,18,18,66,55,66,86,76,130,-1,-1,-1,-1,-1,100,0,0,14.4968,8,12,18,18,65,103,80,51,75,89,-1,-1,-1,-1,-1,100,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,221,-1,-1,-1,-1,91,270,0,2.25716,2,9,18,18,90,114,88,93,100,76,-1,-1,-1,-1,-1,100,0,0,5.83912,2,16,18,18,56,105,106,95,53,83,-1,-1,-1,-1,-1,100,0,0,3,5,passive
2,7.781,0,9,18,18,87,116,86,123,83,83,217,-1,-1,-1,-1,52,0,0,14.76872,10,17,18,18,85,86,94,93,95,83,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,1.66884,2,8,18,18,66,60,90,30,60,43,-1,-1,-1,-1,-1,100,0,0,2.93776,2,9,18,18,53,91,90,73,46,130,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,0,4.17616,12,8,18,18,91,101,170,81,88,40,-1,-1,-1,-1,-1,79,0,0,0.45704,11,3,18,18,66,55,66,86,76,130,-1,-1,-1,-1,-1,100,0,0,14.4968,8,12,18,18,65,103,80,51,75,89,-1,-1,-1,-1,-1,100,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,221,-1,-1,-1,-1,91,270,0,2.25716,2,9,18,18,90,114,88,93,100,76,-1,-1,-1,-1,-1,100,0,0,5.83912,2,16,18,18,56,105,106,95,53,83,-1,-1,-1,-1,-1,100,0,0,0,5,passive
3,7.781,0,9,18,18,87,116,86,123,83,83,217,-1,-1,-1,-1,52,0,0,14.76872,10,17,18,18,85,86,94,93,95,83,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,1.66884,2,8,18,18,66,60,90,30,60,43,-1,-1,-1,-1,-1,100,0,0,2.93776,2,9,18,18,53,91,90,73,46,130,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,5,4.17616,12,8,18,18,91,101,170,81,88,40,729,-1,-1,-1,-1,79,0,0,0.45704,11,3,18,18,66,55,66,86,76,130,-1,-1,-1,-1,-1,100,0,0,14.4968,8,12,18,18,65,103,80,51,75,89,-1,-1,-1,-1,-1,100,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,221,-1,-1,-1,-1,91,270,0,2.25716,2,9,18,18,90,114,88,93,100,76,-1,-1,-1,-1,-1,100,0,0,5.83912,2,16,18,18,56,105,106,95,53,83,-1,-1,-1,-1,-1,100,0,0,0,10,passive
4,7.781,0,9,18,18,87,116,86,123,83,83,217,-1,-1,-1,-1,52,0,0,14.76872,10,17,18,18,85,86,94,93,95,83,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,1.66884,2,8,18,18,66,60,90,30,60,43,-1,-1,-1,-1,-1,100,0,0,2.93776,2,9,18,18,53,91,90,73,46,130,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,-1,-1,-1,-1,81,234,0,5,4.17616,12,8,18,18,91,101,170,81,88,40,729,194,-1,-1,-1,66,0,0,0.45704,11,3,18,18,66,55,66,86,76,130,-1,-1,-1,-1,-1,100,0,0,14.4968,8,12,18,18,65,103,80,51,75,89,-1,-1,-1,-1,-1,100,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,221,-1,-1,-1,-1,91,270,0,2.25716,2,9,18,18,90,114,88,93,100,76,-1,-1,-1,-1,-1,100,0,0,5.83912,2,16,18,18,56,105,106,95,53,83,-1,-1,-1,-1,-1,100,0,0,0,10,passive
5,7.781,0,9,18,18,87,116,86,123,83,83,217,-1,-1,-1,-1,52,0,0,14.76872,10,17,18,18,85,86,94,93,95,83,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,1.66884,2,8,18,18,66,60,90,30,60,43,-1,-1,-1,-1,-1,100,0,0,2.93776,2,9,18,18,53,91,90,73,46,130,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,602,-1,-1,-1,87,234,0,5,4.17616,12,8,18,18,91,101,170,81,88,40,729,194,-1,-1,-1,66,0,0,0.45704,11,3,18,18,66,55,66,86,76,130,-1,-1,-1,-1,-1,100,0,0,14.4968,8,12,18,18,65,103,80,51,75,89,-1,-1,-1,-1,-1,100,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,221,-1,-1,-1,-1,91,270,0,2.25716,2,9,18,18,90,114,88,93,100,76,-1,-1,-1,-1,-1,100,0,0,5.83912,2,16,18,18,56,105,106,95,53,83,-1,-1,-1,-1,-1,100,0,0,2,1,passive
6,7.781,0,9,18,18,87,116,86,123,83,83,217,-1,-1,-1,-1,52,0,0,14.76872,10,17,18,18,85,86,94,93,95,83,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,1.66884,2,8,18,18,66,60,90,30,60,43,-1,-1,-1,-1,-1,100,0,0,2.93776,2,9,18,18,53,91,90,73,46,130,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,602,-1,-1,-1,75,0,0,5,4.17616,12,8,18,18,91,101,170,81,88,40,729,194,-1,-1,-1,66,0,0,0.45704,11,3,18,18,66,55,66,86,76,130,-1,-1,-1,-1,-1,100,0,0,14.4968,8,12,18,18,65,103,80,51,75,89,414,-1,-1,-1,-1,88,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,221,-1,-1,-1,-1,91,270,0,2.25716,2,9,18,18,90,114,88,93,100,76,-1,-1,-1,-1,-1,100,0,0,5.83912,2,16,18,18,56,105,106,95,53,83,-1,-1,-1,-1,-1,100,0,0,2,1,passive
7,7.781,0,9,18,18,87,116,86,123,83,83,217,-1,-1,-1,-1,52,0,0,14.76872,10,17,18,18,85,86,94,93,95,83,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,1.66884,2,8,18,18,66,60,90,30,60,43,-1,-1,-1,-1,-1,100,0,0,2.93776,2,9,18,18,53,91,90,73,46,130,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,602,825,-1,-1,42,0,0,3,4.17616,12,8,18,18,91,101,170,81,88,40,729,194,-1,-1,-1,66,0,0,0.45704,11,3,18,18,66,55,66,86,76,130,-1,-1,-1,-1,-1,100,0,0,14.4968,8,12,18,18,65,103,80,51,75,89,414,73,-1,-1,-1,54,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,221,-1,-1,-1,-1,91,270,0,2.25716,2,9,18,18,90,114,88,93,100,76,-1,-1,-1,-1,-1,100,0,0,5.83912,2,16,18,18,56,105,106,95,53,83,-1,-1,-1,-1,-1,100,0,0,2,8,passive
8,7.781,0,9,18,18,87,116,86,123,83,83,217,-1,-1,-1,-1,52,0,0,14.76872,10,17,18,18,85,86,94,93,95,83,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,1.66884,2,8,18,18,66,60,90,30,60,43,20,-1,-1,-1,-1,100,0,0,2.93776,2,9,18,18,53,91,90,73,46,130,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,602,825,-1,-1,42,0,0,3,4.17616,12,8,18,18,91,101,170,81,88,40,729,194,-1,-1,-1,66,0,0,0.45704,11,3,18,18,66,55,66,86,76,130,-1,-1,-1,-1,-1,100,0,0,14.4968,8,12,18,18,65,103,80,51,75,89,414,73,-1,-1,-1,54,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,221,-1,-1,-1,-1,91,270,0,2.25716,2,9,18,18,90,114,88,93,100,76,-1,-1,-1,-1,-1,45,0,0,5.83912,2,16,18,18,56,105,106,95,53,83,-1,-1,-1,-1,-1,100,0,0,4,8,passive
9,7.781,0,9,18,18,87,116,86,123,83,83,217,-1,-1,-1,-1,52,0,0,14.76872,10,17,18,18,85,86,94,93,95,83,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,1.66884,2,8,18,18,66,60,90,30,60,43,20,-1,-1,-1,-1,100,0,0,2.93776,2,9,18,18,53,91,90,73,46,130,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,602,825,-1,-1,38,0,0,5,4.17616,12,8,18,18,91,101,170,81,88,40,729,194,-1,-1,-1,66,0,0,0.45704,11,3,18,18,66,55,66,86,76,130,-1,-1,-1,-1,-1,100,0,0,14.4968,8,12,18,18,65,103,80,51,75,89,414,73,-1,-1,-1,54,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,221,-1,-1,-1,-1,91,270,0,2.25716,2,9,18,18,90,114,88,93,100,76,372,-1,-1,-1,-1,45,0,0,5.83912,2,16,18,18,56,105,106,95,53,83,-1,-1,-1,-1,-1,100,0,0,4,10,passive
