turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type,Win
0,28.2738,13,10,18,18,76,61,80,138,88,46,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,6.2444,12,9,18,18,95,144,83,76,66,72,-1,-1,-1,-1,-1,100,0,0,18.34604,13,15,18,18,90,126,98,75,88,59,-1,-1,-1,-1,-1,100,0,0,27.0466,17,16,18,18,86,68,98,116,116,60,-1,-1,-1,-1,-1,100,0,0,4,1.89552,15,7,18,18,85,81,116,68,110,61,-1,-1,-1,-1,-1,100,0,0,12.33272,2,16,18,18,84,87,112,78,105,36,-1,-1,-1,-1,-1,100,0,0,6.1214,3,7,18,18,80,76,71,125,95,93,-1,-1,-1,-1,-1,100,0,0,18.32824,10,6,18,18,83,105,73,105,83,76,-1,-1,-1,-1,-1,100,0,0,18.16424,0,13,18,18,80,80,70,116,73,103,-1,-1,-1,-1,-1,100,0,0,1.0786,2,9,18,18,88,91,85,70,86,110,-1,-1,-1,-1,-1,100,0,0,1,9,passive,0
1,28.2738,13,10,18,18,76,61,80,138,88,46,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,6.2444,12,9,18,18,95,144,83,76,66,72,-1,-1,-1,-1,-1,100,0,0,18.34604,13,15,18,18,90,126,98,75,88,59,814,-1,-1,-1,-1,83,0,0,27.0466,17,16,18,18,86,68,98,116,116,60,-1,-1,-1,-1,-1,100,0,0,4,1.89552,15,7,18,18,85,81,116,68,110,61,-1,-1,-1,-1,-1,100,0,0,12.33272,2,16,18,18,84,87,112,78,105,36,414,-1,-1,-1,-1,100,0,0,6.1214,3,7,18,18,80,76,71,125,95,93,-1,-1,-1,-1,-1,100,0,0,18.32824,10,6,18,18,83,105,73,105,83,76,-1,-1,-1,-1,-1,100,0,0,18.16424,0,13,18,18,80,80,70,116,73,103,-1,-1,-1,-1,-1,100,0,0,1.0786,2,9,18,18,88,91,85,70,86,110,-1,-1,-1,-1,-1,100,0,0,1,9,passive,0
2,28.2738,13,10,18,18,76,61,80,138,88,46,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,6.2444,12,9,18,18,95,144,83,76,66,72,-1,-1,-1,-1,-1,100,0,0,18.34604,13,15,18,18,90,126,98,75,88,59,814,139,-1,-1,-1,83,0,0,27.0466,17,16,18,18,86,68,98,116,116,60,-1,-1,-1,-1,-1,100,0,0,4,1.89552,15,7,18,18,85,81,116,68,110,61,-1,-1,-1,-1,-1,100,0,0,12.33272,2,16,18,18,84,87,112,78,105,36,414,729,-1,-1,-1,73,0,0,6.1214,3,7,18,18,80,76,71,125,95,93,-1,-1,-1,-1,-1,100,0,0,18.32824,10,6,18,18,83,105,73,105,83,76,-1,-1,-1,-1,-1,100,0,0,18.16424,0,13,18,18,80,80,70,116,73,103,-1,-1,-1,-1,-1,100,0,0,1.0786,2,9,18,18,88,91,85,70,86,110,-1,-1,-1,-1,-1,100,0,0,1,1,aggressive,0
3,28.2738,13,10,18,18,76,61,80,138,88,46,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,6.2444,12,9,18,18,95,144,83,76,66,72,-1,-1,-1,-1,-1,100,0,0,18.34604,13,15,18,18,90,126,98,75,88,59,814,139,370,-1,-1,72,540,0,27.0466,17,16,18,18,86,68,98,116,116,60,-1,-1,-1,-1,-1,100,0,0,4,1.89552,15,7,18,18,85,81,116,68,110,61,-1,-1,-1,-1,-1,89,0,0,12.33272,2,16,18,18,84,87,112,78,105,36,414,729,-1,-1,-1,73,0,0,6.1214,3,7,18,18,80,76,71,125,95,93,-1,-1,-1,-1,-1,100,0,0,18.32824,10,6,18,18,83,105,73,105,83,76,-1,-1,-1,-1,-1,100,0,0,18.16424,0,13,18,18,80,80,70,116,73,103,-1,-1,-1,-1,-1,100,0,0,1.0786,2,9,18,18,88,91,85,70,86,110,-1,-1,-1,-1,-1,100,0,0,0,2,aggressive,0
4,28.2738,13,10,18,18,76,61,80,138,88,46,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,6.2444,12,9,18,18,95,144,83,76,66,72,-1,-1,-1,-1,-1,100,0,0,18.34604,13,15,18,18,90,126,98,75,88,59,814,139,370,-1,-1,55,540,0,27.0466,17,16,18,18,86,68,98,116,116,60,-1,-1,-1,-1,-1,100,0,0,4,1.89552,15,7,18,18,85,81,116,68,110,61,528,-1,-1,-1,-1,72,0,0,12.33272,2,16,18,18,84,87,112,78,105,36,414,729,-1,-1,-1,73,0,0,6.1214,3,7,18,18,80,76,71,125,95,93,-1,-1,-1,-1,-1,100,0,0,18.32824,10,6,18,18,83,105,73,105,83,76,-1,-1,-1,-1,-1,100,0,0,18.16424,0,13,18,18,80,80,70,116,73,103,-1,-1,-1,-1,-1,100,0,0,1.0786,2,9,18,18,88,91,85,70,86,110,-1,-1,-1,-1,-1,100,0,0,2,2,aggressive,0
5,28.2738,13,10,18,18,76,61,80,138,88,46,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,6.2444,12,9,18,18,95,144,83,76,66,72,-1,-1,-1,-1,-1,0,0,0,18.34604,13,15,18,18,90,126,98,75,88,59,814,139,370,-1,-1,55,540,0,27.0466,17,16,18,18,86,68,98,116,116,60,-1,-1,-1,-1,-1,100,0,0,0,1.89552,15,7,18,18,85,81,116,68,110,61,528,-1,-1,-1,-1,72,0,0,12.33272,2,16,18,18,84,87,112,78,105,36,414,729,-1,-1,-1,73,0,0,6.1214,3,7,18,18,80,76,71,125,95,93,846,-1,-1,-1,-1,100,0,0,18.32824,10,6,18,18,83,105,73,105,83,76,-1,-1,-1,-1,-1,100,0,0,18.16424,0,13,18,18,80,80,70,116,73,103,-1,-1,-1,-1,-1,100,0,0,1.0786,2,9,18,18,88,91,85,70,86,110,-1,-1,-1,-1,-1,100,0,0,2,5,passive,0
6,28.2738,13,10,18,18,76,61,80,138,88,46,814,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,6.2444,12,9,18,18,95,144,83,76,66,72,-1,-1,-1,-1,-1,0,0,0,18.34604,13,15,18,18,90,126,98,75,88,59,814,139,370,-1,-1,55,540,0,27.0466,17,16,18,18,86,68,98,116,116,60,-1,-1,-1,-1,-1,100,0,0,0,1.89552,15,7,18,18,85,81,116,68,110,61,528,-1,-1,-1,-1,72,0,0,12.33272,2,16,18,18,84,87,112,78,105,36,414,729,-1,-1,-1,73,0,0,6.1214,3,7,18,18,80,76,71,125,95,93,846,-1,-1,-1,-1,100,0,0,18.32824,10,6,18,18,83,105,73,105,83,76,-1,-1,-1,-1,-1,100,0,0,18.16424,0,13,18,18,80,80,70,116,73,103,-1,-1,-1,-1,-1,100,0,0,1.0786,2,9,18,18,88,91,85,70,86,110,-1,-1,-1,-1,-1,100,0,0,4,5,passive,0
7,28.2738,13,10,18,18,76,61,80,138,88,46,814,570,-1,-1,-1,0,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,94,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,6.2444,12,9,18,18,95,144,83,76,66,72,-1,-1,-1,-1,-1,0,0,0,18.34604,13,15,18,18,90,126,98,75,88,59,814,139,370,-1,-1,55,540,0,27.0466,17,16,18,18,86,68,98,116,116,60,-1,-1,-1,-1,-1,100,0,0,1,1.89552,15,7,18,18,85,81,116,68,110,61,528,-1,-1,-1,-1,72,0,0,12.33272,2,16,18,18,84,87,112,78,105,36,414,729,-1,-1,-1,73,0,0,6.1214,3,7,18,18,80,76,71,125,95,93,846,-1,-1,-1,-1,100,0,0,18.32824,10,6,18,18,83,105,73,105,83,76,-1,-1,-1,-1,-1,100,0,0,18.16424,0,13,18,18,80,80,70,116,73,103,654,-1,-1,-1,-1,4,0,0,1.0786,2,9,18,18,88,91,85,70,86,110,-1,-1,-1,-1,-1,100,0,0,4,6,passive,0
8,28.2738,13,10,18,18,76,61,80,138,88,46,814,570,-1,-1,-1,0,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,245,-1,-1,-1,-1,94,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,6.2444,12,9,18,18,95,144,83,76,66,72,-1,-1,-1,-1,-1,0,0,0,18.34604,13,15,18,18,90,126,98,75,88,59,814,139,370,-1,-1,55,540,0,27.0466,17,16,18,18,86,68,98,116,116,60,-1,-1,-1,-1,-1,100,0,0,1,1.89552,15,7,18,18,85,81,116,68,110,61,528,-1,-1,-1,-1,72,0,0,12.33272,2,16,18,18,84,87,112,78,105,36,414,729,-1,-1,-1,73,0,0,6.1214,3,7,18,18,80,76,71,125,95,93,846,-1,-1,-1,-1,100,0,0,18.32824,10,6,18,18,83,105,73,105,83,76,-1,-1,-1,-1,-1,83,0,0,18.16424,0,13,18,18,80,80,70,116,73,103,654,-1,-1,-1,-1,4,0,0,1.0786,2,9,18,18,88,91,85,70,86,110,-1,-1,-1,-1,-1,100,0,0,3,6,passive,0
9,28.2738,13,10,18,18,76,61,80,138,88,46,814,570,-1,-1,-1,0,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,245,-1,-1,-1,-1,94,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,6.2444,12,9,18,18,95,144,83,76,66,72,-1,-1,-1,-1,-1,0,0,0,18.34604,13,15,18,18,90,126,98,75,88,59,814,139,370,-1,-1,43,540,0,27.0466,17,16,18,18,86,68,98,116,116,60,-1,-1,-1,-1,-1,100,0,0,4,1.89552,15,7,18,18,85,81,116,68,110,61,528,-1,-1,-1,-1,72,0,0,12.33272,2,16,18,18,84,87,112,78,105,36,414,729,-1,-1,-1,73,0,0,6.1214,3,7,18,18,80,76,71,125,95,93,846,-1,-1,-1,-1,100,0,0,18.32824,10,6,18,18,83,105,73,105,83,76,280,-1,-1,-1,-1,83,0,0,18.16424,0,13,18,18,80,80,70,116,73,103,654,-1,-1,-1,-1,4,0,0,1.0786,2,9,18,18,88,91,85,70,86,110,-1,-1,-1,-1,-1,100,0,0,3,9,passive,0
