turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type,Win
5.06872,1,4,18,18,58,80,96,70,60,55,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,14.34984,14,4,18,18,86,96,110,123,90,70,-1,-1,-1,-1,-1,100,0,0,4.61784,0,9,18,18,82,82,75,126,78,96,-1,-1,-1,-1,-1,100,0,0,10.93564,1,17,18,18,80,68,68,90,110,73,-1,-1,-1,-1,-1,100,0,0,34.21504,13,16,18,18,81,99,112,61,93,32,-1,-1,-1,-1,-1,100,0,0,0,5.29272,17,13,18,18,78,90,114,85,105,50,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,5,5,passive,0
5.06872,1,4,18,18,58,80,96,70,60,55,427,-1,-1,-1,-1,74,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,14.34984,14,4,18,18,86,96,110,123,90,70,-1,-1,-1,-1,-1,100,0,0,4.61784,0,9,18,18,82,82,75,126,78,96,-1,-1,-1,-1,-1,100,0,0,10.93564,1,17,18,18,80,68,68,90,110,73,-1,-1,-1,-1,-1,100,0,0,34.21504,13,16,18,18,81,99,112,61,93,32,-1,-1,-1,-1,-1,100,0,0,0,5.29272,17,13,18,18,78,90,114,85,105,50,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,384,-1,-1,-1,-1,88,0,0,5,5,passive,0
5.06872,1,4,18,18,58,80,96,70,60,55,427,854,-1,-1,-1,48,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,14.34984,14,4,18,18,86,96,110,123,90,70,-1,-1,-1,-1,-1,100,0,0,4.61784,0,9,18,18,82,82,75,126,78,96,-1,-1,-1,-1,-1,100,0,0,10.93564,1,17,18,18,80,68,68,90,110,73,-1,-1,-1,-1,-1,100,0,0,34.21504,13,16,18,18,81,99,112,61,93,32,-1,-1,-1,-1,-1,100,0,0,0,5.29272,17,13,18,18,78,90,114,85,105,50,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,384,-1,-1,-1,-1,70,0,2,5,1,aggressive,0
5.06872,1,4,18,18,58,80,96,70,60,55,427,854,-1,-1,-1,48,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,14.34984,14,4,18,18,86,96,110,123,90,70,-1,-1,-1,-1,-1,100,0,0,4.61784,0,9,18,18,82,82,75,126,78,96,-1,-1,-1,-1,-1,100,0,0,10.93564,1,17,18,18,80,68,68,90,110,73,-1,-1,-1,-1,-1,94,0,0,34.21504,13,16,18,18,81,99,112,61,93,32,-1,-1,-1,-1,-1,100,0,0,4,5.29272,17,13,18,18,78,90,114,85,105,50,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,384,-1,-1,-1,-1,52,0,2,5,9,passive,0
5.06872,1,4,18,18,58,80,96,70,60,55,427,854,-1,-1,-1,48,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,14.34984,14,4,18,18,86,96,110,123,90,70,-1,-1,-1,-1,-1,100,0,0,4.61784,0,9,18,18,82,82,75,126,78,96,-1,-1,-1,-1,-1,100,0,0,10.93564,1,17,18,18,80,68,68,90,110,73,251,-1,-1,-1,-1,94,0,0,34.21504,13,16,18,18,81,99,112,61,93,32,-1,-1,-1,-1,-1,100,0,0,4,5.29272,17,13,18,18,78,90,114,85,105,50,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,87,234,0,15.83392,14,3,18,18,113,100,80,125,93,108,384,-1,-1,-1,-1,52,0,2,4,9,passive,0
5.06872,1,4,18,18,58,80,96,70,60,55,427,854,-1,-1,-1,48,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,14.34984,14,4,18,18,86,96,110,123,90,70,-1,-1,-1,-1,-1,100,0,0,4.61784,0,9,18,18,82,82,75,126,78,96,-1,-1,-1,-1,-1,100,0,0,10.93564,1,17,18,18,80,68,68,90,110,73,251,-1,-1,-1,-1,94,0,0,34.21504,13,16,18,18,81,99,112,61,93,32,-1,-1,-1,-1,-1,100,0,0,5,5.29272,17,13,18,18,78,90,114,85,105,50,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,729,-1,-1,-1,-1,93,234,0,15.83392,14,3,18,18,113,100,80,125,93,108,384,-1,-1,-1,-1,52,0,2,4,10,passive,0
5.06872,1,4,18,18,58,80,96,70,60,55,427,854,-1,-1,-1,48,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,100,0,0,14.34984,14,4,18,18,86,96,110,123,90,70,-1,-1,-1,-1,-1,100,0,0,4.61784,0,9,18,18,82,82,75,126,78,96,-1,-1,-1,-1,-1,100,0,0,10.93564,1,17,18,18,80,68,68,90,110,73,251,-1,-1,-1,-1,94,0,0,34.21504,13,16,18,18,81,99,112,61,93,32,427,-1,-1,-1,-1,46,0,2,5,5.29272,17,13,18,18,78,90,114,85,105,50,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,729,632,-1,-1,-1,87,234,0,15.83392,14,3,18,18,113,100,80,125,93,108,384,-1,-1,-1,-1,52,0,2,4,10,passive,0
5.06872,1,4,18,18,58,80,96,70,60,55,427,854,-1,-1,-1,48,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,-1,-1,-1,-1,-1,71,0,0,14.34984,14,4,18,18,86,96,110,123,90,70,-1,-1,-1,-1,-1,100,0,0,4.61784,0,9,18,18,82,82,75,126,78,96,-1,-1,-1,-1,-1,100,0,0,10.93564,1,17,18,18,80,68,68,90,110,73,251,-1,-1,-1,-1,94,0,0,34.21504,13,16,18,18,81,99,112,61,93,32,427,-1,-1,-1,-1,46,0,2,1,5.29272,17,13,18,18,78,90,114,85,105,50,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,729,632,-1,-1,-1,80,234,0,15.83392,14,3,18,18,113,100,80,125,93,108,384,-1,-1,-1,-1,52,0,2,4,6,passive,0
5.06872,1,4,18,18,58,80,96,70,60,55,427,854,-1,-1,-1,48,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,524,-1,-1,-1,-1,71,0,0,14.34984,14,4,18,18,86,96,110,123,90,70,-1,-1,-1,-1,-1,100,0,0,4.61784,0,9,18,18,82,82,75,126,78,96,-1,-1,-1,-1,-1,100,0,0,10.93564,1,17,18,18,80,68,68,90,110,73,251,-1,-1,-1,-1,94,0,0,34.21504,13,16,18,18,81,99,112,61,93,32,427,-1,-1,-1,-1,46,0,2,1,5.29272,17,13,18,18,78,90,114,85,105,50,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,57,272,6,7.93516,16,1,18,18,105,110,90,96,91,100,729,632,-1,-1,-1,80,234,0,15.83392,14,3,18,18,113,100,80,125,93,108,384,-1,-1,-1,-1,52,0,2,3,6,passive,0
5.06872,1,4,18,18,58,80,96,70,60,55,427,854,-1,-1,-1,48,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,524,209,-1,-1,-1,71,0,0,14.34984,14,4,18,18,86,96,110,123,90,70,-1,-1,-1,-1,-1,100,0,0,4.61784,0,9,18,18,82,82,75,126,78,96,-1,-1,-1,-1,-1,100,0,0,10.93564,1,17,18,18,80,68,68,90,110,73,251,-1,-1,-1,-1,94,0,0,34.21504,13,16,18,18,81,99,112,61,93,32,427,-1,-1,-1,-1,46,0,2,1,5.29272,17,13,18,18,78,90,114,85,105,50,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,0,272,6,7.93516,16,1,18,18,105,110,90,96,91,100,729,632,-1,-1,-1,80,234,0,15.83392,14,3,18,18,113,100,80,125,93,108,384,-1,-1,-1,-1,52,0,2,2,1,passive,0
5.06872,1,4,18,18,58,80,96,70,60,55,427,854,-1,-1,-1,48,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,524,209,245,-1,-1,0,0,0,14.34984,14,4,18,18,86,96,110,123,90,70,-1,-1,-1,-1,-1,100,0,0,4.61784,0,9,18,18,82,82,75,126,78,96,-1,-1,-1,-1,-1,100,0,0,10.93564,1,17,18,18,80,68,68,90,110,73,251,-1,-1,-1,-1,69,0,0,34.21504,13,16,18,18,81,99,112,61,93,32,427,-1,-1,-1,-1,46,0,2,4,5.29272,17,13,18,18,78,90,114,85,105,50,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,681,-1,-1,-1,-1,5,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,0,272,6,7.93516,16,1,18,18,105,110,90,96,91,100,729,632,-1,-1,-1,80,234,0,15.83392,14,3,18,18,113,100,80,125,93,108,384,-1,-1,-1,-1,52,0,2,2,9,passive,0
5.06872,1,4,18,18,58,80,96,70,60,55,427,854,-1,-1,-1,48,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,524,209,245,-1,-1,0,0,0,14.34984,14,4,18,18,86,96,110,123,90,70,-1,-1,-1,-1,-1,100,0,0,4.61784,0,9,18,18,82,82,75,126,78,96,-1,-1,-1,-1,-1,100,0,0,10.93564,1,17,18,18,80,68,68,90,110,73,251,245,-1,-1,-1,31,0,0,34.21504,13,16,18,18,81,99,112,61,93,32,427,-1,-1,-1,-1,46,0,2,4,5.29272,17,13,18,18,78,90,114,85,105,50,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,681,414,-1,-1,-1,0,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,0,272,6,7.93516,16,1,18,18,105,110,90,96,91,100,729,632,-1,-1,-1,80,234,0,15.83392,14,3,18,18,113,100,80,125,93,108,384,-1,-1,-1,-1,52,0,2,1,1,passive,0
