turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type,Win
0,1.1918,13,9,18,18,70,111,83,120,83,90,-1,-1,-1,-1,-1,100,0,0,2.16816,2,15,18,18,96,114,110,98,86,50,-1,-1,-1,-1,-1,100,0,0,13.35884,3,14,18,18,90,95,88,118,90,83,-1,-1,-1,-1,-1,100,0,0,24.51472,12,14,18,18,92,135,99,66,53,66,-1,-1,-1,-1,-1,100,0,0,1.74588,11,17,18,18,62,58,60,101,91,76,-1,-1,-1,-1,-1,100,0,0,0.2992,0,2,18,18,61,116,98,57,57,83,-1,-1,-1,-1,-1,100,0,0,5,34.00944,8,13,18,18,79,114,126,51,69,41,-1,-1,-1,-1,-1,100,0,0,8.47196,13,2,18,18,125,96,64,95,61,56,-1,-1,-1,-1,-1,100,0,0,21.01044,13,5,18,18,62,96,91,78,98,93,-1,-1,-1,-1,-1,100,0,0,9.18928,6,1,18,18,71,96,56,113,73,93,-1,-1,-1,-1,-1,100,0,0,2.17032,3,13,18,18,56,80,68,81,75,70,-1,-1,-1,-1,-1,100,0,0,6.58192,12,10,18,18,68,67,95,74,138,58,-1,-1,-1,-1,-1,100,0,0,5,10,passive,0
1,1.1918,13,9,18,18,70,111,83,120,83,90,-1,-1,-1,-1,-1,100,0,0,2.16816,2,15,18,18,96,114,110,98,86,50,-1,-1,-1,-1,-1,100,0,0,13.35884,3,14,18,18,90,95,88,118,90,83,-1,-1,-1,-1,-1,100,0,0,24.51472,12,14,18,18,92,135,99,66,53,66,-1,-1,-1,-1,-1,100,0,0,1.74588,11,17,18,18,62,58,60,101,91,76,-1,-1,-1,-1,-1,100,0,0,0.2992,0,2,18,18,61,116,98,57,57,83,261,-1,-1,-1,-1,100,0,0,5,34.00944,8,13,18,18,79,114,126,51,69,41,-1,-1,-1,-1,-1,100,0,0,8.47196,13,2,18,18,125,96,64,95,61,56,-1,-1,-1,-1,-1,100,0,0,21.01044,13,5,18,18,62,96,91,78,98,93,-1,-1,-1,-1,-1,100,0,0,9.18928,6,1,18,18,71,96,56,113,73,93,-1,-1,-1,-1,-1,100,0,0,2.17032,3,13,18,18,56,80,68,81,75,70,-1,-1,-1,-1,-1,100,0,0,6.58192,12,10,18,18,68,67,95,74,138,58,814,-1,-1,-1,-1,100,0,0,5,10,passive,0
2,1.1918,13,9,18,18,70,111,83,120,83,90,-1,-1,-1,-1,-1,100,0,0,2.16816,2,15,18,18,96,114,110,98,86,50,-1,-1,-1,-1,-1,100,0,0,13.35884,3,14,18,18,90,95,88,118,90,83,-1,-1,-1,-1,-1,100,0,0,24.51472,12,14,18,18,92,135,99,66,53,66,-1,-1,-1,-1,-1,100,0,0,1.74588,11,17,18,18,62,58,60,101,91,76,-1,-1,-1,-1,-1,100,0,0,0.2992,0,2,18,18,61,116,98,57,57,83,261,-1,-1,-1,-1,0,0,0,1,34.00944,8,13,18,18,79,114,126,51,69,41,-1,-1,-1,-1,-1,100,0,0,8.47196,13,2,18,18,125,96,64,95,61,56,-1,-1,-1,-1,-1,100,0,0,21.01044,13,5,18,18,62,96,91,78,98,93,-1,-1,-1,-1,-1,100,0,0,9.18928,6,1,18,18,71,96,56,113,73,93,-1,-1,-1,-1,-1,100,0,0,2.17032,3,13,18,18,56,80,68,81,75,70,-1,-1,-1,-1,-1,100,0,0,6.58192,12,10,18,18,68,67,95,74,138,58,814,835,-1,-1,-1,100,0,0,0,6,passive,0
3,1.1918,13,9,18,18,70,111,83,120,83,90,-1,-1,-1,-1,-1,100,0,0,2.16816,2,15,18,18,96,114,110,98,86,50,583,-1,-1,-1,-1,100,0,0,13.35884,3,14,18,18,90,95,88,118,90,83,-1,-1,-1,-1,-1,100,0,0,24.51472,12,14,18,18,92,135,99,66,53,66,-1,-1,-1,-1,-1,100,0,0,1.74588,11,17,18,18,62,58,60,101,91,76,-1,-1,-1,-1,-1,100,0,0,0.2992,0,2,18,18,61,116,98,57,57,83,261,-1,-1,-1,-1,0,0,0,1,34.00944,8,13,18,18,79,114,126,51,69,41,767,-1,-1,-1,-1,67,0,0,8.47196,13,2,18,18,125,96,64,95,61,56,-1,-1,-1,-1,-1,100,0,0,21.01044,13,5,18,18,62,96,91,78,98,93,-1,-1,-1,-1,-1,100,0,0,9.18928,6,1,18,18,71,96,56,113,73,93,-1,-1,-1,-1,-1,100,0,0,2.17032,3,13,18,18,56,80,68,81,75,70,-1,-1,-1,-1,-1,100,0,0,6.58192,12,10,18,18,68,67,95,74,138,58,814,835,-1,-1,-1,100,0,0,0,6,passive,0
4,1.1918,13,9,18,18,70,111,83,120,83,90,-1,-1,-1,-1,-1,100,0,0,2.16816,2,15,18,18,96,114,110,98,86,50,583,-1,-1,-1,-1,100,0,0,13.35884,3,14,18,18,90,95,88,118,90,83,-1,-1,-1,-1,-1,100,0,0,24.51472,12,14,18,18,92,135,99,66,53,66,-1,-1,-1,-1,-1,100,0,0,1.74588,11,17,18,18,62,58,60,101,91,76,-1,-1,-1,-1,-1,100,0,0,0.2992,0,2,18,18,61,116,98,57,57,83,261,-1,-1,-1,-1,0,0,0,0,34.00944,8,13,18,18,79,114,126,51,69,41,767,192,-1,-1,-1,67,0,0,8.47196,13,2,18,18,125,96,64,95,61,56,-1,-1,-1,-1,-1,100,0,0,21.01044,13,5,18,18,62,96,91,78,98,93,-1,-1,-1,-1,-1,100,0,0,9.18928,6,1,18,18,71,96,56,113,73,93,-1,-1,-1,-1,-1,100,0,0,2.17032,3,13,18,18,56,80,68,81,75,70,-1,-1,-1,-1,-1,100,0,0,6.58192,12,10,18,18,68,67,95,74,138,58,814,835,-1,-1,-1,100,0,0,0,5,passive,0
5,1.1918,13,9,18,18,70,111,83,120,83,90,-1,-1,-1,-1,-1,0,0,0,2.16816,2,15,18,18,96,114,110,98,86,50,583,-1,-1,-1,-1,100,0,0,13.35884,3,14,18,18,90,95,88,118,90,83,-1,-1,-1,-1,-1,100,0,0,24.51472,12,14,18,18,92,135,99,66,53,66,-1,-1,-1,-1,-1,100,0,0,1.74588,11,17,18,18,62,58,60,101,91,76,-1,-1,-1,-1,-1,100,0,0,0.2992,0,2,18,18,61,116,98,57,57,83,261,-1,-1,-1,-1,0,0,0,1,34.00944,8,13,18,18,79,114,126,51,69,41,767,192,712,-1,-1,67,0,0,8.47196,13,2,18,18,125,96,64,95,61,56,-1,-1,-1,-1,-1,100,0,0,21.01044,13,5,18,18,62,96,91,78,98,93,-1,-1,-1,-1,-1,100,0,0,9.18928,6,1,18,18,71,96,56,113,73,93,-1,-1,-1,-1,-1,100,0,0,2.17032,3,13,18,18,56,80,68,81,75,70,-1,-1,-1,-1,-1,100,0,0,6.58192,12,10,18,18,68,67,95,74,138,58,814,835,-1,-1,-1,100,0,0,0,6,passive,0
6,1.1918,13,9,18,18,70,111,83,120,83,90,-1,-1,-1,-1,-1,0,0,0,2.16816,2,15,18,18,96,114,110,98,86,50,583,23,-1,-1,-1,100,0,0,13.35884,3,14,18,18,90,95,88,118,90,83,-1,-1,-1,-1,-1,100,0,0,24.51472,12,14,18,18,92,135,99,66,53,66,-1,-1,-1,-1,-1,100,0,0,1.74588,11,17,18,18,62,58,60,101,91,76,-1,-1,-1,-1,-1,100,0,0,0.2992,0,2,18,18,61,116,98,57,57,83,261,-1,-1,-1,-1,0,0,0,1,34.00944,8,13,18,18,79,114,126,51,69,41,767,192,712,-1,-1,0,0,0,8.47196,13,2,18,18,125,96,64,95,61,56,-1,-1,-1,-1,-1,100,0,0,21.01044,13,5,18,18,62,96,91,78,98,93,-1,-1,-1,-1,-1,100,0,0,9.18928,6,1,18,18,71,96,56,113,73,93,-1,-1,-1,-1,-1,100,0,0,2.17032,3,13,18,18,56,80,68,81,75,70,-1,-1,-1,-1,-1,100,0,0,6.58192,12,10,18,18,68,67,95,74,138,58,814,835,-1,-1,-1,100,0,0,3,1,aggressive,0
7,1.1918,13,9,18,18,70,111,83,120,83,90,-1,-1,-1,-1,-1,0,0,0,2.16816,2,15,18,18,96,114,110,98,86,50,583,23,-1,-1,-1,28,0,0,13.35884,3,14,18,18,90,95,88,118,90,83,-1,-1,-1,-1,-1,100,0,0,24.51472,12,14,18,18,92,135,99,66,53,66,-1,-1,-1,-1,-1,100,0,0,1.74588,11,17,18,18,62,58,60,101,91,76,-1,-1,-1,-1,-1,100,0,0,0.2992,0,2,18,18,61,116,98,57,57,83,261,-1,-1,-1,-1,0,0,0,1,34.00944,8,13,18,18,79,114,126,51,69,41,767,192,712,-1,-1,0,0,0,8.47196,13,2,18,18,125,96,64,95,61,56,-1,-1,-1,-1,-1,100,0,0,21.01044,13,5,18,18,62,96,91,78,98,93,-1,-1,-1,-1,-1,100,0,0,9.18928,6,1,18,18,71,96,56,113,73,93,34,-1,-1,-1,-1,100,0,0,2.17032,3,13,18,18,56,80,68,81,75,70,-1,-1,-1,-1,-1,100,0,0,6.58192,12,10,18,18,68,67,95,74,138,58,814,835,-1,-1,-1,100,0,0,3,2,aggressive,0
8,1.1918,13,9,18,18,70,111,83,120,83,90,-1,-1,-1,-1,-1,0,0,0,2.16816,2,15,18,18,96,114,110,98,86,50,583,23,-1,-1,-1,0,0,0,13.35884,3,14,18,18,90,95,88,118,90,83,-1,-1,-1,-1,-1,100,0,0,24.51472,12,14,18,18,92,135,99,66,53,66,-1,-1,-1,-1,-1,100,0,0,1.74588,11,17,18,18,62,58,60,101,91,76,-1,-1,-1,-1,-1,100,0,0,0.2992,0,2,18,18,61,116,98,57,57,83,261,-1,-1,-1,-1,0,0,0,2,34.00944,8,13,18,18,79,114,126,51,69,41,767,192,712,-1,-1,0,0,0,8.47196,13,2,18,18,125,96,64,95,61,56,-1,-1,-1,-1,-1,100,0,0,21.01044,13,5,18,18,62,96,91,78,98,93,-1,-1,-1,-1,-1,100,0,0,9.18928,6,1,18,18,71,96,56,113,73,93,34,-1,-1,-1,-1,100,0,0,2.17032,3,13,18,18,56,80,68,81,75,70,-1,-1,-1,-1,-1,100,0,0,6.58192,12,10,18,18,68,67,95,74,138,58,814,835,-1,-1,-1,100,0,0,3,7,passive,0
9,1.1918,13,9,18,18,70,111,83,120,83,90,-1,-1,-1,-1,-1,0,0,0,2.16816,2,15,18,18,96,114,110,98,86,50,583,23,-1,-1,-1,0,0,0,13.35884,3,14,18,18,90,95,88,118,90,83,772,-1,-1,-1,-1,100,0,0,24.51472,12,14,18,18,92,135,99,66,53,66,-1,-1,-1,-1,-1,100,0,0,1.74588,11,17,18,18,62,58,60,101,91,76,-1,-1,-1,-1,-1,100,0,0,0.2992,0,2,18,18,61,116,98,57,57,83,261,-1,-1,-1,-1,0,0,0,2,34.00944,8,13,18,18,79,114,126,51,69,41,767,192,712,-1,-1,0,0,0,8.47196,13,2,18,18,125,96,64,95,61,56,-1,-1,-1,-1,-1,100,0,0,21.01044,13,5,18,18,62,96,91,78,98,93,-1,-1,-1,-1,-1,100,0,0,9.18928,6,1,18,18,71,96,56,113,73,93,34,860,-1,-1,-1,100,0,0,2.17032,3,13,18,18,56,80,68,81,75,70,-1,-1,-1,-1,-1,100,0,0,6.58192,12,10,18,18,68,67,95,74,138,58,814,835,-1,-1,-1,100,0,0,3,7,passive,0
