turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type,Win
6.93872,4,13,18,18,56,93,76,61,61,56,-1,-1,-1,-1,-1,100,0,0,0.5064,1,2,18,18,78,123,103,83,70,81,-1,-1,-1,-1,-1,100,0,0,17.7476,3,13,18,18,63,56,89,118,85,80,-1,-1,-1,-1,-1,100,0,0,16.77492,14,17,18,18,67,105,86,58,65,65,-1,-1,-1,-1,-1,100,0,0,12.42964,5,9,18,18,69,70,59,101,86,115,-1,-1,-1,-1,-1,100,0,0,3.92432,6,16,18,18,58,91,125,43,93,50,-1,-1,-1,-1,-1,100,0,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,-1,-1,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,-1,-1,-1,-1,-1,100,0,0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,-1,-1,-1,-1,-1,100,0,0,17.83584,0,10,18,18,139,108,89,85,103,62,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,-1,-1,-1,-1,-1,100,0,0,1,5,passive,1
6.93872,4,13,18,18,56,93,76,61,61,56,726,-1,-1,-1,-1,100,0,0,0.5064,1,2,18,18,78,123,103,83,70,81,-1,-1,-1,-1,-1,100,0,0,17.7476,3,13,18,18,63,56,89,118,85,80,-1,-1,-1,-1,-1,100,0,0,16.77492,14,17,18,18,67,105,86,58,65,65,-1,-1,-1,-1,-1,100,0,0,12.42964,5,9,18,18,69,70,59,101,86,115,-1,-1,-1,-1,-1,100,0,0,3.92432,6,16,18,18,58,91,125,43,93,50,-1,-1,-1,-1,-1,100,0,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,-1,-1,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,-1,-1,-1,-1,-1,100,0,0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,-1,-1,-1,-1,-1,100,0,0,17.83584,0,10,18,18,139,108,89,85,103,62,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,-1,-1,-1,-1,-1,100,0,0,5,5,passive,1
6.93872,4,13,18,18,56,93,76,61,61,56,726,-1,-1,-1,-1,100,0,0,0.5064,1,2,18,18,78,123,103,83,70,81,-1,-1,-1,-1,-1,100,0,0,17.7476,3,13,18,18,63,56,89,118,85,80,-1,-1,-1,-1,-1,100,0,0,16.77492,14,17,18,18,67,105,86,58,65,65,-1,-1,-1,-1,-1,66,0,2,12.42964,5,9,18,18,69,70,59,101,86,115,-1,-1,-1,-1,-1,100,0,0,3.92432,6,16,18,18,58,91,125,43,93,50,-1,-1,-1,-1,-1,100,0,0,3,29.82232,8,2,18,18,66,73,143,47,97,55,-1,-1,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,-1,-1,-1,-1,-1,100,0,0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,-1,-1,-1,-1,-1,100,0,0,17.83584,0,10,18,18,139,108,89,85,103,62,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,61,-1,-1,-1,-1,91,270,0,5,8,passive,1
6.93872,4,13,18,18,56,93,76,61,61,56,726,-1,-1,-1,-1,100,0,0,0.5064,1,2,18,18,78,123,103,83,70,81,-1,-1,-1,-1,-1,100,0,0,17.7476,3,13,18,18,63,56,89,118,85,80,-1,-1,-1,-1,-1,100,0,0,16.77492,14,17,18,18,67,105,86,58,65,65,182,-1,-1,-1,-1,60,0,2,12.42964,5,9,18,18,69,70,59,101,86,115,-1,-1,-1,-1,-1,100,0,0,3.92432,6,16,18,18,58,91,125,43,93,50,-1,-1,-1,-1,-1,100,0,0,3,29.82232,8,2,18,18,66,73,143,47,97,55,-1,-1,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,-1,-1,-1,-1,-1,100,0,0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,-1,-1,-1,-1,-1,100,0,0,17.83584,0,10,18,18,139,108,89,85,103,62,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,61,-1,-1,-1,-1,91,270,0,1,8,passive,1
6.93872,4,13,18,18,56,93,76,61,61,56,726,-1,-1,-1,-1,100,0,0,0.5064,1,2,18,18,78,123,103,83,70,81,-1,-1,-1,-1,-1,100,0,0,17.7476,3,13,18,18,63,56,89,118,85,80,-1,-1,-1,-1,-1,100,0,0,16.77492,14,17,18,18,67,105,86,58,65,65,182,541,-1,-1,-1,0,540,2,12.42964,5,9,18,18,69,70,59,101,86,115,-1,-1,-1,-1,-1,100,0,0,3.92432,6,16,18,18,58,91,125,43,93,50,-1,-1,-1,-1,-1,100,0,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,-1,-1,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,147,-1,-1,-1,-1,91,0,0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,-1,-1,-1,-1,-1,100,0,0,17.83584,0,10,18,18,139,108,89,85,103,62,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,61,-1,-1,-1,-1,91,270,0,1,5,passive,1
6.93872,4,13,18,18,56,93,76,61,61,56,726,-1,-1,-1,-1,100,0,0,0.5064,1,2,18,18,78,123,103,83,70,81,-1,-1,-1,-1,-1,100,0,0,17.7476,3,13,18,18,63,56,89,118,85,80,-1,-1,-1,-1,-1,100,0,0,16.77492,14,17,18,18,67,105,86,58,65,65,182,541,-1,-1,-1,0,540,2,12.42964,5,9,18,18,69,70,59,101,86,115,-1,-1,-1,-1,-1,100,0,0,3.92432,6,16,18,18,58,91,125,43,93,50,-1,-1,-1,-1,-1,100,0,0,1,29.82232,8,2,18,18,66,73,143,47,97,55,-1,-1,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,147,-1,-1,-1,-1,91,0,0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,-1,-1,-1,-1,-1,100,0,0,17.83584,0,10,18,18,139,108,89,85,103,62,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,61,-1,-1,-1,-1,91,270,0,5,6,passive,1
6.93872,4,13,18,18,56,93,76,61,61,56,726,-1,-1,-1,-1,100,0,0,0.5064,1,2,18,18,78,123,103,83,70,81,620,-1,-1,-1,-1,100,0,0,17.7476,3,13,18,18,63,56,89,118,85,80,-1,-1,-1,-1,-1,100,0,0,16.77492,14,17,18,18,67,105,86,58,65,65,182,541,-1,-1,-1,0,540,2,12.42964,5,9,18,18,69,70,59,101,86,115,-1,-1,-1,-1,-1,100,0,0,3.92432,6,16,18,18,58,91,125,43,93,50,-1,-1,-1,-1,-1,100,0,0,1,29.82232,8,2,18,18,66,73,143,47,97,55,-1,-1,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,147,-1,-1,-1,-1,91,0,0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,-1,-1,-1,-1,-1,100,0,0,17.83584,0,10,18,18,139,108,89,85,103,62,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,61,767,-1,-1,-1,0,270,0,3,6,passive,1
6.93872,4,13,18,18,56,93,76,61,61,56,726,-1,-1,-1,-1,100,0,0,0.5064,1,2,18,18,78,123,103,83,70,81,620,-1,-1,-1,-1,100,0,0,17.7476,3,13,18,18,63,56,89,118,85,80,-1,-1,-1,-1,-1,100,0,0,16.77492,14,17,18,18,67,105,86,58,65,65,182,541,-1,-1,-1,0,540,2,12.42964,5,9,18,18,69,70,59,101,86,115,-1,-1,-1,-1,-1,100,0,0,3.92432,6,16,18,18,58,91,125,43,93,50,-1,-1,-1,-1,-1,100,0,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,-1,-1,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,147,-1,-1,-1,-1,91,0,0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,192,-1,-1,-1,-1,100,0,0,17.83584,0,10,18,18,139,108,89,85,103,62,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,61,767,-1,-1,-1,0,270,0,3,5,passive,1
6.93872,4,13,18,18,56,93,76,61,61,56,726,-1,-1,-1,-1,100,0,0,0.5064,1,2,18,18,78,123,103,83,70,81,620,-1,-1,-1,-1,100,0,0,17.7476,3,13,18,18,63,56,89,118,85,80,-1,-1,-1,-1,-1,100,0,0,16.77492,14,17,18,18,67,105,86,58,65,65,182,541,-1,-1,-1,0,540,2,12.42964,5,9,18,18,69,70,59,101,86,115,-1,-1,-1,-1,-1,100,0,0,3.92432,6,16,18,18,58,91,125,43,93,50,-1,-1,-1,-1,-1,100,0,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,-1,-1,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,147,-1,-1,-1,-1,91,0,0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,192,-1,-1,-1,-1,100,0,1,17.83584,0,10,18,18,139,108,89,85,103,62,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,61,767,-1,-1,-1,0,270,0,3,1,unknown,1
6.93872,4,13,18,18,56,93,76,61,61,56,726,427,-1,-1,-1,58,0,0,0.5064,1,2,18,18,78,123,103,83,70,81,620,-1,-1,-1,-1,100,0,0,17.7476,3,13,18,18,63,56,89,118,85,80,-1,-1,-1,-1,-1,100,0,0,16.77492,14,17,18,18,67,105,86,58,65,65,182,541,-1,-1,-1,0,540,2,12.42964,5,9,18,18,69,70,59,101,86,115,-1,-1,-1,-1,-1,100,0,0,3.92432,6,16,18,18,58,91,125,43,93,50,-1,-1,-1,-1,-1,100,0,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,-1,-1,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,147,-1,-1,-1,-1,91,0,0,12.128,13,9,18,18,68,78,83,120,86,113,-1,-1,-1,-1,-1,100,0,0,3.90116,14,6,18,18,93,131,80,95,81,70,192,181,-1,-1,-1,88,0,1,17.83584,0,10,18,18,139,108,89,85,103,62,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,61,767,-1,-1,-1,0,270,0,3,1,unknown,1
