turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type
0,20.37184,12,6,18,18,106,128,90,81,86,60,-1,-1,-1,-1,-1,100,0,0,1.48624,1,8,18,18,101,105,101,75,68,76,-1,-1,-1,-1,-1,100,0,0,3.81268,16,8,18,18,78,100,66,83,90,113,-1,-1,-1,-1,-1,100,0,0,13.41772,12,9,18,18,82,90,115,69,96,77,-1,-1,-1,-1,-1,100,0,0,8.99504,10,5,18,18,90,85,145,111,71,56,-1,-1,-1,-1,-1,100,0,0,14.5384,13,16,18,18,73,65,100,106,73,58,-1,-1,-1,-1,-1,100,0,0,2,0.3316,13,8,18,18,67,89,71,115,75,93,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,21.80176,14,16,18,18,96,106,119,71,95,47,-1,-1,-1,-1,-1,100,0,0,28.07988,16,13,18,18,53,93,120,75,103,55,-1,-1,-1,-1,-1,100,0,0,9.97304,1,5,18,18,100,118,71,75,78,116,-1,-1,-1,-1,-1,100,0,0,9.94528,8,9,18,18,85,103,123,55,65,80,-1,-1,-1,-1,-1,100,0,0,0,7,passive
1,20.37184,12,6,18,18,106,128,90,81,86,60,-1,-1,-1,-1,-1,100,0,0,1.48624,1,8,18,18,101,105,101,75,68,76,-1,-1,-1,-1,-1,100,0,0,3.81268,16,8,18,18,78,100,66,83,90,113,729,-1,-1,-1,-1,1,0,0,13.41772,12,9,18,18,82,90,115,69,96,77,-1,-1,-1,-1,-1,100,0,0,8.99504,10,5,18,18,90,85,145,111,71,56,-1,-1,-1,-1,-1,100,0,0,14.5384,13,16,18,18,73,65,100,106,73,58,-1,-1,-1,-1,-1,100,0,0,2,0.3316,13,8,18,18,67,89,71,115,75,93,193,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,21.80176,14,16,18,18,96,106,119,71,95,47,-1,-1,-1,-1,-1,100,0,0,28.07988,16,13,18,18,53,93,120,75,103,55,-1,-1,-1,-1,-1,100,0,0,9.97304,1,5,18,18,100,118,71,75,78,116,-1,-1,-1,-1,-1,100,0,0,9.94528,8,9,18,18,85,103,123,55,65,80,-1,-1,-1,-1,-1,100,0,0,0,7,passive
2,20.37184,12,6,18,18,106,128,90,81,86,60,-1,-1,-1,-1,-1,74,0,0,1.48624,1,8,18,18,101,105,101,75,68,76,-1,-1,-1,-1,-1,100,0,0,3.81268,16,8,18,18,78,100,66,83,90,113,729,825,-1,-1,-1,1,0,0,13.41772,12,9,18,18,82,90,115,69,96,77,-1,-1,-1,-1,-1,100,0,0,8.99504,10,5,18,18,90,85,145,111,71,56,-1,-1,-1,-1,-1,100,0,0,14.5384,13,16,18,18,73,65,100,106,73,58,-1,-1,-1,-1,-1,100,0,0,0,0.3316,13,8,18,18,67,89,71,115,75,93,193,654,-1,-1,-1,84,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,21.80176,14,16,18,18,96,106,119,71,95,47,-1,-1,-1,-1,-1,100,0,0,28.07988,16,13,18,18,53,93,120,75,103,55,-1,-1,-1,-1,-1,100,0,0,9.97304,1,5,18,18,100,118,71,75,78,116,-1,-1,-1,-1,-1,100,0,0,9.94528,8,9,18,18,85,103,123,55,65,80,-1,-1,-1,-1,-1,100,0,0,0,5,passive
3,20.37184,12,6,18,18,106,128,90,81,86,60,182,-1,-1,-1,-1,20,0,0,1.48624,1,8,18,18,101,105,101,75,68,76,-1,-1,-1,-1,-1,100,0,0,3.81268,16,8,18,18,78,100,66,83,90,113,729,825,-1,-1,-1,1,0,0,13.41772,12,9,18,18,82,90,115,69,96,77,-1,-1,-1,-1,-1,100,0,0,8.99504,10,5,18,18,90,85,145,111,71,56,-1,-1,-1,-1,-1,100,0,0,14.5384,13,16,18,18,73,65,100,106,73,58,-1,-1,-1,-1,-1,100,0,0,0,0.3316,13,8,18,18,67,89,71,115,75,93,193,654,-1,-1,-1,94,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,21.80176,14,16,18,18,96,106,119,71,95,47,-1,-1,-1,-1,-1,100,0,0,28.07988,16,13,18,18,53,93,120,75,103,55,-1,-1,-1,-1,-1,100,0,0,9.97304,1,5,18,18,100,118,71,75,78,116,-1,-1,-1,-1,-1,100,0,0,9.94528,8,9,18,18,85,103,123,55,65,80,-1,-1,-1,-1,-1,100,0,0,0,5,passive
4,20.37184,12,6,18,18,106,128,90,81,86,60,182,184,-1,-1,-1,0,540,0,1.48624,1,8,18,18,101,105,101,75,68,76,-1,-1,-1,-1,-1,100,0,0,3.81268,16,8,18,18,78,100,66,83,90,113,729,825,-1,-1,-1,1,0,0,13.41772,12,9,18,18,82,90,115,69,96,77,-1,-1,-1,-1,-1,100,0,0,8.99504,10,5,18,18,90,85,145,111,71,56,-1,-1,-1,-1,-1,100,0,0,14.5384,13,16,18,18,73,65,100,106,73,58,-1,-1,-1,-1,-1,100,0,0,1,0.3316,13,8,18,18,67,89,71,115,75,93,193,654,194,-1,-1,39,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,21.80176,14,16,18,18,96,106,119,71,95,47,-1,-1,-1,-1,-1,100,0,0,28.07988,16,13,18,18,53,93,120,75,103,55,-1,-1,-1,-1,-1,100,0,0,9.97304,1,5,18,18,100,118,71,75,78,116,-1,-1,-1,-1,-1,100,0,0,9.94528,8,9,18,18,85,103,123,55,65,80,-1,-1,-1,-1,-1,100,0,0,0,6,passive
5,20.37184,12,6,18,18,106,128,90,81,86,60,182,184,-1,-1,-1,0,540,0,1.48624,1,8,18,18,101,105,101,75,68,76,767,-1,-1,-1,-1,100,0,0,3.81268,16,8,18,18,78,100,66,83,90,113,729,825,-1,-1,-1,1,0,0,13.41772,12,9,18,18,82,90,115,69,96,77,-1,-1,-1,-1,-1,100,0,0,8.99504,10,5,18,18,90,85,145,111,71,56,-1,-1,-1,-1,-1,100,0,0,14.5384,13,16,18,18,73,65,100,106,73,58,-1,-1,-1,-1,-1,100,0,0,1,0.3316,13,8,18,18,67,89,71,115,75,93,193,654,194,729,-1,39,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,21.80176,14,16,18,18,96,106,119,71,95,47,-1,-1,-1,-1,-1,100,0,0,28.07988,16,13,18,18,53,93,120,75,103,55,-1,-1,-1,-1,-1,100,0,0,9.97304,1,5,18,18,100,118,71,75,78,116,-1,-1,-1,-1,-1,100,0,0,9.94528,8,9,18,18,85,103,123,55,65,80,-1,-1,-1,-1,-1,100,0,0,0,6,passive
6,20.37184,12,6,18,18,106,128,90,81,86,60,182,184,-1,-1,-1,0,540,0,1.48624,1,8,18,18,101,105,101,75,68,76,767,789,-1,-1,-1,100,0,0,3.81268,16,8,18,18,78,100,66,83,90,113,729,825,-1,-1,-1,1,0,0,13.41772,12,9,18,18,82,90,115,69,96,77,-1,-1,-1,-1,-1,100,0,0,8.99504,10,5,18,18,90,85,145,111,71,56,-1,-1,-1,-1,-1,100,0,0,14.5384,13,16,18,18,73,65,100,106,73,58,-1,-1,-1,-1,-1,100,0,0,1,0.3316,13,8,18,18,67,89,71,115,75,93,193,654,194,729,-1,42,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,21.80176,14,16,18,18,96,106,119,71,95,47,-1,-1,-1,-1,-1,100,0,0,28.07988,16,13,18,18,53,93,120,75,103,55,-1,-1,-1,-1,-1,100,0,0,9.97304,1,5,18,18,100,118,71,75,78,116,-1,-1,-1,-1,-1,100,0,0,9.94528,8,9,18,18,85,103,123,55,65,80,-1,-1,-1,-1,-1,100,0,0,0,1,aggressive
7,20.37184,12,6,18,18,106,128,90,81,86,60,182,184,-1,-1,-1,0,540,0,1.48624,1,8,18,18,101,105,101,75,68,76,767,789,-1,-1,-1,7,0,0,3.81268,16,8,18,18,78,100,66,83,90,113,729,825,-1,-1,-1,1,0,0,13.41772,12,9,18,18,82,90,115,69,96,77,-1,-1,-1,-1,-1,100,0,0,8.99504,10,5,18,18,90,85,145,111,71,56,-1,-1,-1,-1,-1,100,0,0,14.5384,13,16,18,18,73,65,100,106,73,58,-1,-1,-1,-1,-1,100,0,0,1,0.3316,13,8,18,18,67,89,71,115,75,93,193,654,194,729,-1,0,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,76,0,0,21.80176,14,16,18,18,96,106,119,71,95,47,-1,-1,-1,-1,-1,100,0,0,28.07988,16,13,18,18,53,93,120,75,103,55,-1,-1,-1,-1,-1,100,0,0,9.97304,1,5,18,18,100,118,71,75,78,116,-1,-1,-1,-1,-1,100,0,0,9.94528,8,9,18,18,85,103,123,55,65,80,-1,-1,-1,-1,-1,100,0,0,1,2,aggressive
8,20.37184,12,6,18,18,106,128,90,81,86,60,182,184,-1,-1,-1,0,540,0,1.48624,1,8,18,18,101,105,101,75,68,76,767,789,217,-1,-1,0,0,0,3.81268,16,8,18,18,78,100,66,83,90,113,729,825,-1,-1,-1,1,0,0,13.41772,12,9,18,18,82,90,115,69,96,77,-1,-1,-1,-1,-1,100,0,0,8.99504,10,5,18,18,90,85,145,111,71,56,-1,-1,-1,-1,-1,100,0,0,14.5384,13,16,18,18,73,65,100,106,73,58,-1,-1,-1,-1,-1,94,0,0,5,0.3316,13,8,18,18,67,89,71,115,75,93,193,654,194,729,-1,0,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,24,0,0,21.80176,14,16,18,18,96,106,119,71,95,47,-1,-1,-1,-1,-1,100,0,0,28.07988,16,13,18,18,53,93,120,75,103,55,-1,-1,-1,-1,-1,100,0,0,9.97304,1,5,18,18,100,118,71,75,78,116,-1,-1,-1,-1,-1,100,0,0,9.94528,8,9,18,18,85,103,123,55,65,80,-1,-1,-1,-1,-1,100,0,0,1,10,passive
9,20.37184,12,6,18,18,106,128,90,81,86,60,182,184,-1,-1,-1,0,540,0,1.48624,1,8,18,18,101,105,101,75,68,76,767,789,217,-1,-1,0,0,0,3.81268,16,8,18,18,78,100,66,83,90,113,729,825,-1,-1,-1,1,0,0,13.41772,12,9,18,18,82,90,115,69,96,77,-1,-1,-1,-1,-1,100,0,0,8.99504,10,5,18,18,90,85,145,111,71,56,-1,-1,-1,-1,-1,100,0,0,14.5384,13,16,18,18,73,65,100,106,73,58,654,-1,-1,-1,-1,94,0,0,5,0.3316,13,8,18,18,67,89,71,115,75,93,193,654,194,729,-1,0,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,24,0,0,21.80176,14,16,18,18,96,106,119,71,95,47,-1,-1,-1,-1,-1,100,0,0,28.07988,16,13,18,18,53,93,120,75,103,55,-1,-1,-1,-1,-1,0,0,0,9.97304,1,5,18,18,100,118,71,75,78,116,-1,-1,-1,-1,-1,100,0,0,9.94528,8,9,18,18,85,103,123,55,65,80,-1,-1,-1,-1,-1,88,0,0,5,10,passive
