turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type
0,7.34404,2,6,18,18,66,126,66,83,46,78,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,40.1008,9,17,18,18,88,66,70,101,96,81,-1,-1,-1,-1,-1,100,0,0,17.75632,1,14,18,18,104,119,107,83,69,80,-1,-1,-1,-1,-1,100,0,0,4,4.9148,16,7,18,18,88,93,113,95,90,73,-1,-1,-1,-1,-1,100,0,0,9.526,1,8,18,18,112,125,91,86,78,101,-1,-1,-1,-1,-1,100,0,0,12.83296,16,0,18,18,78,111,87,83,82,100,-1,-1,-1,-1,-1,100,0,0,29.48156,4,2,18,18,83,75,143,91,80,40,-1,-1,-1,-1,-1,100,0,0,7.79024,3,10,18,18,86,81,85,113,110,111,-1,-1,-1,-1,-1,100,0,0,1.66316,17,4,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,1,9,passive
1,7.34404,2,6,18,18,66,126,66,83,46,78,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,40.1008,9,17,18,18,88,66,70,101,96,81,-1,-1,-1,-1,-1,0,0,0,17.75632,1,14,18,18,104,119,107,83,69,80,-1,-1,-1,-1,-1,100,0,0,2,4.9148,16,7,18,18,88,93,113,95,90,73,-1,-1,-1,-1,-1,100,0,0,9.526,1,8,18,18,112,125,91,86,78,101,632,-1,-1,-1,-1,100,0,0,12.83296,16,0,18,18,78,111,87,83,82,100,-1,-1,-1,-1,-1,100,0,0,29.48156,4,2,18,18,83,75,143,91,80,40,-1,-1,-1,-1,-1,100,0,0,7.79024,3,10,18,18,86,81,85,113,110,111,-1,-1,-1,-1,-1,100,0,0,1.66316,17,4,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,1,7,passive
2,7.34404,2,6,18,18,66,126,66,83,46,78,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,193,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,40.1008,9,17,18,18,88,66,70,101,96,81,-1,-1,-1,-1,-1,0,0,0,17.75632,1,14,18,18,104,119,107,83,69,80,-1,-1,-1,-1,-1,100,0,0,2,4.9148,16,7,18,18,88,93,113,95,90,73,-1,-1,-1,-1,-1,100,0,0,9.526,1,8,18,18,112,125,91,86,78,101,632,-1,-1,-1,-1,100,0,0,12.83296,16,0,18,18,78,111,87,83,82,100,-1,-1,-1,-1,-1,100,0,0,29.48156,4,2,18,18,83,75,143,91,80,40,-1,-1,-1,-1,-1,100,0,0,7.79024,3,10,18,18,86,81,85,113,110,111,-1,-1,-1,-1,-1,100,0,0,1.66316,17,4,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,4,7,passive
3,7.34404,2,6,18,18,66,126,66,83,46,78,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,193,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,60,0,0,40.1008,9,17,18,18,88,66,70,101,96,81,-1,-1,-1,-1,-1,0,0,0,17.75632,1,14,18,18,104,119,107,83,69,80,-1,-1,-1,-1,-1,100,0,0,3,4.9148,16,7,18,18,88,93,113,95,90,73,-1,-1,-1,-1,-1,100,0,0,9.526,1,8,18,18,112,125,91,86,78,101,632,-1,-1,-1,-1,100,0,0,12.83296,16,0,18,18,78,111,87,83,82,100,-1,-1,-1,-1,-1,100,0,0,29.48156,4,2,18,18,83,75,143,91,80,40,-1,-1,-1,-1,-1,100,0,0,7.79024,3,10,18,18,86,81,85,113,110,111,570,-1,-1,-1,-1,100,0,0,1.66316,17,4,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,4,8,passive
4,7.34404,2,6,18,18,66,126,66,83,46,78,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,193,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,60,0,0,40.1008,9,17,18,18,88,66,70,101,96,81,-1,-1,-1,-1,-1,0,0,0,17.75632,1,14,18,18,104,119,107,83,69,80,-1,-1,-1,-1,-1,100,0,0,3,4.9148,16,7,18,18,88,93,113,95,90,73,-1,-1,-1,-1,-1,100,0,0,9.526,1,8,18,18,112,125,91,86,78,101,632,-1,-1,-1,-1,100,0,0,12.83296,16,0,18,18,78,111,87,83,82,100,-1,-1,-1,-1,-1,59,0,0,29.48156,4,2,18,18,83,75,143,91,80,40,-1,-1,-1,-1,-1,100,0,0,7.79024,3,10,18,18,86,81,85,113,110,111,570,-1,-1,-1,-1,100,0,0,1.66316,17,4,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,2,8,passive
5,7.34404,2,6,18,18,66,126,66,83,46,78,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,193,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,245,-1,-1,-1,12,0,0,40.1008,9,17,18,18,88,66,70,101,96,81,-1,-1,-1,-1,-1,0,0,0,17.75632,1,14,18,18,104,119,107,83,69,80,-1,-1,-1,-1,-1,100,0,0,3,4.9148,16,7,18,18,88,93,113,95,90,73,-1,-1,-1,-1,-1,100,0,0,9.526,1,8,18,18,112,125,91,86,78,101,632,-1,-1,-1,-1,100,0,0,12.83296,16,0,18,18,78,111,87,83,82,100,194,-1,-1,-1,-1,0,0,0,29.48156,4,2,18,18,83,75,143,91,80,40,-1,-1,-1,-1,-1,100,0,0,7.79024,3,10,18,18,86,81,85,113,110,111,570,-1,-1,-1,-1,100,0,0,1.66316,17,4,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,0,1,passive
6,7.34404,2,6,18,18,66,126,66,83,46,78,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,-1,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,193,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,245,-1,-1,-1,0,0,0,40.1008,9,17,18,18,88,66,70,101,96,81,-1,-1,-1,-1,-1,0,0,0,17.75632,1,14,18,18,104,119,107,83,69,80,-1,-1,-1,-1,-1,100,0,0,1,4.9148,16,7,18,18,88,93,113,95,90,73,209,-1,-1,-1,-1,57,281,0,9.526,1,8,18,18,112,125,91,86,78,101,632,-1,-1,-1,-1,100,0,0,12.83296,16,0,18,18,78,111,87,83,82,100,194,-1,-1,-1,-1,0,0,0,29.48156,4,2,18,18,83,75,143,91,80,40,-1,-1,-1,-1,-1,100,0,0,7.79024,3,10,18,18,86,81,85,113,110,111,570,-1,-1,-1,-1,100,0,0,1.66316,17,4,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,0,6,passive
7,7.34404,2,6,18,18,66,126,66,83,46,78,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,779,-1,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,193,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,245,-1,-1,-1,0,0,0,40.1008,9,17,18,18,88,66,70,101,96,81,-1,-1,-1,-1,-1,0,0,0,17.75632,1,14,18,18,104,119,107,83,69,80,-1,-1,-1,-1,-1,100,0,0,1,4.9148,16,7,18,18,88,93,113,95,90,73,209,-1,-1,-1,-1,57,281,0,9.526,1,8,18,18,112,125,91,86,78,101,632,-1,-1,-1,-1,100,0,0,12.83296,16,0,18,18,78,111,87,83,82,100,194,-1,-1,-1,-1,0,0,0,29.48156,4,2,18,18,83,75,143,91,80,40,-1,-1,-1,-1,-1,100,0,0,7.79024,3,10,18,18,86,81,85,113,110,111,570,-1,-1,-1,-1,100,0,0,1.66316,17,4,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,1,6,passive
8,7.34404,2,6,18,18,66,126,66,83,46,78,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,779,718,-1,-1,-1,100,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,193,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,245,-1,-1,-1,0,0,0,40.1008,9,17,18,18,88,66,70,101,96,81,-1,-1,-1,-1,-1,0,0,0,17.75632,1,14,18,18,104,119,107,83,69,80,-1,-1,-1,-1,-1,100,0,0,1,4.9148,16,7,18,18,88,93,113,95,90,73,209,-1,-1,-1,-1,57,281,0,9.526,1,8,18,18,112,125,91,86,78,101,632,-1,-1,-1,-1,100,0,0,12.83296,16,0,18,18,78,111,87,83,82,100,194,-1,-1,-1,-1,0,0,0,29.48156,4,2,18,18,83,75,143,91,80,40,-1,-1,-1,-1,-1,100,0,0,7.79024,3,10,18,18,86,81,85,113,110,111,570,-1,-1,-1,-1,100,0,0,1.66316,17,4,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,1,1,passive
9,7.34404,2,6,18,18,66,126,66,83,46,78,-1,-1,-1,-1,-1,100,0,0,26.26732,4,16,18,18,64,85,115,69,88,52,779,718,-1,-1,-1,0,0,0,4.9316,3,8,18,18,73,91,89,115,85,76,193,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,245,-1,-1,-1,0,0,0,40.1008,9,17,18,18,88,66,70,101,96,81,-1,-1,-1,-1,-1,0,0,0,17.75632,1,14,18,18,104,119,107,83,69,80,-1,-1,-1,-1,-1,100,0,0,0,4.9148,16,7,18,18,88,93,113,95,90,73,209,-1,-1,-1,-1,57,281,0,9.526,1,8,18,18,112,125,91,86,78,101,632,-1,-1,-1,-1,100,0,0,12.83296,16,0,18,18,78,111,87,83,82,100,194,-1,-1,-1,-1,0,0,0,29.48156,4,2,18,18,83,75,143,91,80,40,-1,-1,-1,-1,-1,100,0,0,7.79024,3,10,18,18,86,81,85,113,110,111,570,-1,-1,-1,-1,100,0,0,1.66316,17,4,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,1,5,passive
